symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DG,5m,1729077000000,2024-10-16T11:10:00+00:00,80.69,80.69,80.69,80.69,400,1729077299999,2024-10-16T11:14:59.999000+00:00,,2,,
DG,5m,1729080000000,2024-10-16T12:00:00+00:00,80.66,81.0608,80.6501,81.0608,63271,1729080299999,2024-10-16T12:04:59.999000+00:00,,38,,
DG,5m,1729080600000,2024-10-16T12:10:00+00:00,80.8,80.82,80.79,80.82,3174,1729080899999,2024-10-16T12:14:59.999000+00:00,,5,,
DG,5m,1729080900000,2024-10-16T12:15:00+00:00,80.82,80.82,80.82,80.82,1070,1729081199999,2024-10-16T12:19:59.999000+00:00,,2,,
DG,5m,1729083600000,2024-10-16T13:00:00+00:00,80.65,80.65,80.65,80.65,116,1729083899999,2024-10-16T13:04:59.999000+00:00,,1,,
DG,5m,1729084200000,2024-10-16T13:10:00+00:00,80.78,80.78,80.78,80.78,155,1729084499999,2024-10-16T13:14:59.999000+00:00,,3,,
DG,5m,1729084800000,2024-10-16T13:20:00+00:00,80.78,80.78,80.78,80.78,500,1729085099999,2024-10-16T13:24:59.999000+00:00,,1,,
DG,5m,1729085100000,2024-10-16T13:25:00+00:00,80.77,80.77,80.77,80.77,605,1729085399999,2024-10-16T13:29:59.999000+00:00,,9,,
DG,5m,1729085400000,2024-10-16T13:30:00+00:00,80.75,80.77,80.22,80.69,80171,1729085699999,2024-10-16T13:34:59.999000+00:00,,980,,
DG,5m,1729085700000,2024-10-16T13:35:00+00:00,80.69,81.41,80.69,81.4,80522,1729085999999,2024-10-16T13:39:59.999000+00:00,,879,,
DG,5m,1729086000000,2024-10-16T13:40:00+00:00,81.36,81.62,81.28,81.6,64533,1729086299999,2024-10-16T13:44:59.999000+00:00,,750,,
DG,5m,1729086300000,2024-10-16T13:45:00+00:00,81.57,81.7346,81.3072,81.36,58859,1729086599999,2024-10-16T13:49:59.999000+00:00,,752,,
DG,5m,1729086600000,2024-10-16T13:50:00+00:00,81.3594,81.7745,81.24,81.7,87983,1729086899999,2024-10-16T13:54:59.999000+00:00,,651,,
DG,5m,1729086900000,2024-10-16T13:55:00+00:00,81.66,81.83,81.54,81.75,48285,1729087199999,2024-10-16T13:59:59.999000+00:00,,686,,
DG,5m,1729087200000,2024-10-16T14:00:00+00:00,81.76,81.79,81.595,81.78,64455,1729087499999,2024-10-16T14:04:59.999000+00:00,,915,,
DG,5m,1729087500000,2024-10-16T14:05:00+00:00,81.78,81.83,81.451,81.555,43680,1729087799999,2024-10-16T14:09:59.999000+00:00,,637,,
DG,5m,1729087800000,2024-10-16T14:10:00+00:00,81.58,81.64,81.34,81.375,70319,1729088099999,2024-10-16T14:14:59.999000+00:00,,670,,
DG,5m,1729088100000,2024-10-16T14:15:00+00:00,81.392,81.56,81.3,81.525,31522,1729088399999,2024-10-16T14:19:59.999000+00:00,,478,,
DG,5m,1729088400000,2024-10-16T14:20:00+00:00,81.51,81.6,81.4,81.575,41948,1729088699999,2024-10-16T14:24:59.999000+00:00,,603,,
DG,5m,1729088700000,2024-10-16T14:25:00+00:00,81.59,81.59,81.3,81.3298,27387,1729088999999,2024-10-16T14:29:59.999000+00:00,,483,,
DG,5m,1729089000000,2024-10-16T14:30:00+00:00,81.3,81.46,81.3,81.4,19700,1729089299999,2024-10-16T14:34:59.999000+00:00,,353,,
DG,5m,1729089300000,2024-10-16T14:35:00+00:00,81.395,81.485,81.36,81.485,12474,1729089599999,2024-10-16T14:39:59.999000+00:00,,270,,
DG,5m,1729089600000,2024-10-16T14:40:00+00:00,81.445,81.7,81.39,81.58,54740,1729089899999,2024-10-16T14:44:59.999000+00:00,,494,,
DG,5m,1729089900000,2024-10-16T14:45:00+00:00,81.6,81.7799,81.58,81.6221,53211,1729090199999,2024-10-16T14:49:59.999000+00:00,,521,,
DG,5m,1729090200000,2024-10-16T14:50:00+00:00,81.645,81.739,81.58,81.69,19688,1729090499999,2024-10-16T14:54:59.999000+00:00,,438,,
DG,5m,1729090500000,2024-10-16T14:55:00+00:00,81.67,81.82,81.662,81.8,47465,1729090799999,2024-10-16T14:59:59.999000+00:00,,479,,
DG,5m,1729090800000,2024-10-16T15:00:00+00:00,81.78,81.98,81.7005,81.97,53332,1729091099999,2024-10-16T15:04:59.999000+00:00,,624,,
DG,5m,1729091100000,2024-10-16T15:05:00+00:00,81.95,81.9604,81.82,81.91,36450,1729091399999,2024-10-16T15:09:59.999000+00:00,,535,,
DG,5m,1729091400000,2024-10-16T15:10:00+00:00,81.9,82.05,81.87,81.945,43335,1729091699999,2024-10-16T15:14:59.999000+00:00,,549,,
