symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DOW,5m,1729075200000,2024-10-16T10:40:00+00:00,52.52,52.52,52.52,52.52,100,1729075499999,2024-10-16T10:44:59.999000+00:00,,1,,
DOW,5m,1729076400000,2024-10-16T11:00:00+00:00,52.63,52.63,52.63,52.63,228,1729076699999,2024-10-16T11:04:59.999000+00:00,,9,,
DOW,5m,1729076700000,2024-10-16T11:05:00+00:00,52.66,52.66,52.63,52.63,600,1729076999999,2024-10-16T11:09:59.999000+00:00,,3,,
DOW,5m,1729080000000,2024-10-16T12:00:00+00:00,52.7,52.7,52.7,52.7,266,1729080299999,2024-10-16T12:04:59.999000+00:00,,12,,
DOW,5m,1729080300000,2024-10-16T12:05:00+00:00,52.6046,52.6046,52.6046,52.6046,142,1729080599999,2024-10-16T12:09:59.999000+00:00,,3,,
DOW,5m,1729081500000,2024-10-16T12:25:00+00:00,52.7716,52.7716,52.7716,52.7716,100,1729081799999,2024-10-16T12:29:59.999000+00:00,,1,,
DOW,5m,1729083300000,2024-10-16T12:55:00+00:00,52.62,52.62,52.62,52.62,300,1729083599999,2024-10-16T12:59:59.999000+00:00,,1,,
DOW,5m,1729085400000,2024-10-16T13:30:00+00:00,52.6,52.64,52.36,52.4514,140498,1729085699999,2024-10-16T13:34:59.999000+00:00,,891,,
DOW,5m,1729085700000,2024-10-16T13:35:00+00:00,52.45,52.89,52.45,52.87,56373,1729085999999,2024-10-16T13:39:59.999000+00:00,,493,,
DOW,5m,1729086000000,2024-10-16T13:40:00+00:00,52.89,53.035,52.82,53.035,48443,1729086299999,2024-10-16T13:44:59.999000+00:00,,547,,
DOW,5m,1729086300000,2024-10-16T13:45:00+00:00,53.02,53.05,52.89,52.9,147762,1729086599999,2024-10-16T13:49:59.999000+00:00,,886,,
DOW,5m,1729086600000,2024-10-16T13:50:00+00:00,52.89,52.92,52.82,52.85,55667,1729086899999,2024-10-16T13:54:59.999000+00:00,,616,,
DOW,5m,1729086900000,2024-10-16T13:55:00+00:00,52.835,53.0742,52.835,53.0596,82061,1729087199999,2024-10-16T13:59:59.999000+00:00,,746,,
DOW,5m,1729087200000,2024-10-16T14:00:00+00:00,53.05,53.29,53.04,53.25,223847,1729087499999,2024-10-16T14:04:59.999000+00:00,,818,,
DOW,5m,1729087500000,2024-10-16T14:05:00+00:00,53.25,53.32,53.21,53.32,43831,1729087799999,2024-10-16T14:09:59.999000+00:00,,568,,
DOW,5m,1729087800000,2024-10-16T14:10:00+00:00,53.32,53.32,53.16,53.19,29360,1729088099999,2024-10-16T14:14:59.999000+00:00,,555,,
DOW,5m,1729088100000,2024-10-16T14:15:00+00:00,53.2,53.3199,53.18,53.21,37280,1729088399999,2024-10-16T14:19:59.999000+00:00,,620,,
DOW,5m,1729088400000,2024-10-16T14:20:00+00:00,53.2,53.26,53.17,53.1803,28917,1729088699999,2024-10-16T14:24:59.999000+00:00,,469,,
DOW,5m,1729088700000,2024-10-16T14:25:00+00:00,53.18,53.22,53.16,53.185,30416,1729088999999,2024-10-16T14:29:59.999000+00:00,,460,,
DOW,5m,1729089000000,2024-10-16T14:30:00+00:00,53.175,53.26,53.14,53.21,27776,1729089299999,2024-10-16T14:34:59.999000+00:00,,476,,
DOW,5m,1729089300000,2024-10-16T14:35:00+00:00,53.19,53.24,53.165,53.19,28788,1729089599999,2024-10-16T14:39:59.999000+00:00,,493,,
DOW,5m,1729089600000,2024-10-16T14:40:00+00:00,53.2,53.2,53.0402,53.055,37041,1729089899999,2024-10-16T14:44:59.999000+00:00,,591,,
DOW,5m,1729089900000,2024-10-16T14:45:00+00:00,53.06,53.085,53.015,53.07,21139,1729090199999,2024-10-16T14:49:59.999000+00:00,,409,,
DOW,5m,1729090200000,2024-10-16T14:50:00+00:00,53.07,53.12,53.06,53.06,21651,1729090499999,2024-10-16T14:54:59.999000+00:00,,411,,
DOW,5m,1729090500000,2024-10-16T14:55:00+00:00,53.0501,53.08,53.03,53.08,35758,1729090799999,2024-10-16T14:59:59.999000+00:00,,528,,
DOW,5m,1729090800000,2024-10-16T15:00:00+00:00,53.095,53.0997,52.97,52.97,55224,1729091099999,2024-10-16T15:04:59.999000+00:00,,483,,
DOW,5m,1729091100000,2024-10-16T15:05:00+00:00,52.97,53.01,52.955,52.99,32934,1729091399999,2024-10-16T15:09:59.999000+00:00,,573,,
DOW,5m,1729091400000,2024-10-16T15:10:00+00:00,52.98,53.015,52.9202,52.925,36099,1729091699999,2024-10-16T15:14:59.999000+00:00,,541,,
