symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DPZ,5m,1729084500000,2024-10-16T13:15:00+00:00,426,426,426,426,950,1729084799999,2024-10-16T13:19:59.999000+00:00,,4,,
DPZ,5m,1729085400000,2024-10-16T13:30:00+00:00,426.12,427.5,425.9,425.97,5052,1729085699999,2024-10-16T13:34:59.999000+00:00,,168,,
DPZ,5m,1729085700000,2024-10-16T13:35:00+00:00,425.69,425.805,424.33,424.92,2349,1729085999999,2024-10-16T13:39:59.999000+00:00,,96,,
DPZ,5m,1729086000000,2024-10-16T13:40:00+00:00,424.13,425.68,422.93,425.68,3164,1729086299999,2024-10-16T13:44:59.999000+00:00,,84,,
DPZ,5m,1729086300000,2024-10-16T13:45:00+00:00,424.35,426.84,424.35,426.84,1604,1729086599999,2024-10-16T13:49:59.999000+00:00,,95,,
DPZ,5m,1729086600000,2024-10-16T13:50:00+00:00,425.885,427.59,425.885,426.94,4757,1729086899999,2024-10-16T13:54:59.999000+00:00,,123,,
DPZ,5m,1729086900000,2024-10-16T13:55:00+00:00,426.95,429.175,426.95,429.175,3592,1729087199999,2024-10-16T13:59:59.999000+00:00,,145,,
DPZ,5m,1729087200000,2024-10-16T14:00:00+00:00,429.41,430.575,429.405,430.195,4743,1729087499999,2024-10-16T14:04:59.999000+00:00,,166,,
DPZ,5m,1729087500000,2024-10-16T14:05:00+00:00,430.195,430.42,429.11,429.11,3033,1729087799999,2024-10-16T14:09:59.999000+00:00,,108,,
DPZ,5m,1729087800000,2024-10-16T14:10:00+00:00,428.16,428.34,427.535,428.34,1713,1729088099999,2024-10-16T14:14:59.999000+00:00,,105,,
DPZ,5m,1729088100000,2024-10-16T14:15:00+00:00,427.895,427.895,427.895,427.895,170,1729088399999,2024-10-16T14:19:59.999000+00:00,,12,,
DPZ,5m,1729088400000,2024-10-16T14:20:00+00:00,427.43,427.96,427.06,427.06,4717,1729088699999,2024-10-16T14:24:59.999000+00:00,,145,,
DPZ,5m,1729088700000,2024-10-16T14:25:00+00:00,427.25,427.25,426.82,426.905,1089,1729088999999,2024-10-16T14:29:59.999000+00:00,,51,,
DPZ,5m,1729089000000,2024-10-16T14:30:00+00:00,426.88,427.36,426.88,427.265,2285,1729089299999,2024-10-16T14:34:59.999000+00:00,,106,,
DPZ,5m,1729089300000,2024-10-16T14:35:00+00:00,426.76,427.045,426.34,426.53,3646,1729089599999,2024-10-16T14:39:59.999000+00:00,,126,,
DPZ,5m,1729089600000,2024-10-16T14:40:00+00:00,426.14,426.14,426.14,426.14,181,1729089899999,2024-10-16T14:44:59.999000+00:00,,22,,
DPZ,5m,1729089900000,2024-10-16T14:45:00+00:00,426.15,426.2425,426.15,426.18,1277,1729090199999,2024-10-16T14:49:59.999000+00:00,,52,,
DPZ,5m,1729090200000,2024-10-16T14:50:00+00:00,426.1675,426.55,426.155,426.48,2991,1729090499999,2024-10-16T14:54:59.999000+00:00,,119,,
DPZ,5m,1729090800000,2024-10-16T15:00:00+00:00,426.21,426.91,425.65,426.72,8826,1729091099999,2024-10-16T15:04:59.999000+00:00,,177,,
DPZ,5m,1729091100000,2024-10-16T15:05:00+00:00,426.89,427.33,426.89,427.16,5005,1729091399999,2024-10-16T15:09:59.999000+00:00,,174,,
DPZ,5m,1729091400000,2024-10-16T15:10:00+00:00,427.255,427.28,426.36,426.58,2859,1729091699999,2024-10-16T15:14:59.999000+00:00,,126,,
DPZ,5m,1729091700000,2024-10-16T15:15:00+00:00,426.43,426.43,425.8301,426.2536,1669,1729091999999,2024-10-16T15:19:59.999000+00:00,,54,,
DPZ,5m,1729092000000,2024-10-16T15:20:00+00:00,426.49,426.56,426.21,426.26,4331,1729092299999,2024-10-16T15:24:59.999000+00:00,,105,,
DPZ,5m,1729092300000,2024-10-16T15:25:00+00:00,426.2,426.95,426.2,426.62,3972,1729092599999,2024-10-16T15:29:59.999000+00:00,,173,,
DPZ,5m,1729092600000,2024-10-16T15:30:00+00:00,426.9,427.31,426.9,427.31,3973,1729092899999,2024-10-16T15:34:59.999000+00:00,,158,,
DPZ,5m,1729092900000,2024-10-16T15:35:00+00:00,427.29,427.29,427.29,427.29,155,1729093199999,2024-10-16T15:39:59.999000+00:00,,13,,
DPZ,5m,1729093200000,2024-10-16T15:40:00+00:00,427.11,427.875,427.03,427.875,2846,1729093499999,2024-10-16T15:44:59.999000+00:00,,153,,
DPZ,5m,1729093500000,2024-10-16T15:45:00+00:00,427.72,428.12,427.41,428.12,6778,1729093799999,2024-10-16T15:49:59.999000+00:00,,178,,
DPZ,5m,1729093800000,2024-10-16T15:50:00+00:00,428.015,428.33,428.015,428.33,1096,1729094099999,2024-10-16T15:54:59.999000+00:00,,88,,
DPZ,5m,1729094100000,2024-10-16T15:55:00+00:00,428.198,429.17,428.198,429.09,2528,1729094399999,2024-10-16T15:59:59.999000+00:00,,135,,
DPZ,5m,1729094400000,2024-10-16T16:00:00+00:00,429.115,429.32,428.65,428.775,5945,1729094699999,2024-10-16T16:04:59.999000+00:00,,191,,
DPZ,5m,1729094700000,2024-10-16T16:05:00+00:00,428.47,428.8417,428.3201,428.58,2290,1729094999999,2024-10-16T16:09:59.999000+00:00,,79,,
DPZ,5m,1729095000000,2024-10-16T16:10:00+00:00,428.32,428.5983,428.32,428.33,1081,1729095299999,2024-10-16T16:14:59.999000+00:00,,58,,
DPZ,5m,1729095300000,2024-10-16T16:15:00+00:00,428.18,429.15,428.18,429.12,4752,1729095599999,2024-10-16T16:19:59.999000+00:00,,177,,
DPZ,5m,1729095600000,2024-10-16T16:20:00+00:00,429.12,429.12,428.97,428.97,266,1729095899999,2024-10-16T16:24:59.999000+00:00,,15,,
DPZ,5m,1729095900000,2024-10-16T16:25:00+00:00,429.1899,429.8753,429.1899,429.78,7129,1729096199999,2024-10-16T16:29:59.999000+00:00,,123,,
DPZ,5m,1729096200000,2024-10-16T16:30:00+00:00,429.34,429.385,428.8,428.83,4113,1729096499999,2024-10-16T16:34:59.999000+00:00,,153,,
DPZ,5m,1729096500000,2024-10-16T16:35:00+00:00,428.74,429.47,428.54,429.47,3285,1729096799999,2024-10-16T16:39:59.999000+00:00,,166,,
