symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DTE,5m,1729085400000,2024-10-16T13:30:00+00:00,127.6,127.99,127.55,127.735,8386,1729085699999,2024-10-16T13:34:59.999000+00:00,,77,,
DTE,5m,1729085700000,2024-10-16T13:35:00+00:00,127.615,127.75,127.485,127.54,6762,1729085999999,2024-10-16T13:39:59.999000+00:00,,158,,
DTE,5m,1729086000000,2024-10-16T13:40:00+00:00,127.57,127.81,127.38,127.77,17722,1729086299999,2024-10-16T13:44:59.999000+00:00,,309,,
DTE,5m,1729086300000,2024-10-16T13:45:00+00:00,127.77,128.03,127.77,127.89,6911,1729086599999,2024-10-16T13:49:59.999000+00:00,,120,,
DTE,5m,1729086600000,2024-10-16T13:50:00+00:00,127.94,128.12,127.94,127.97,9373,1729086899999,2024-10-16T13:54:59.999000+00:00,,151,,
DTE,5m,1729086900000,2024-10-16T13:55:00+00:00,127.98,128.17,127.95,128.16,15930,1729087199999,2024-10-16T13:59:59.999000+00:00,,306,,
DTE,5m,1729087200000,2024-10-16T14:00:00+00:00,128.16,128.175,127.89,128.03,8179,1729087499999,2024-10-16T14:04:59.999000+00:00,,206,,
DTE,5m,1729087500000,2024-10-16T14:05:00+00:00,128.03,128.055,127.91,128.045,9260,1729087799999,2024-10-16T14:09:59.999000+00:00,,190,,
DTE,5m,1729087800000,2024-10-16T14:10:00+00:00,128.035,128.085,127.9,127.93,7014,1729088099999,2024-10-16T14:14:59.999000+00:00,,165,,
DTE,5m,1729088100000,2024-10-16T14:15:00+00:00,128,128.04,127.965,127.975,7451,1729088399999,2024-10-16T14:19:59.999000+00:00,,141,,
DTE,5m,1729088400000,2024-10-16T14:20:00+00:00,127.93,127.95,127.805,127.805,5542,1729088699999,2024-10-16T14:24:59.999000+00:00,,159,,
DTE,5m,1729088700000,2024-10-16T14:25:00+00:00,127.805,127.81,127.67,127.69,7190,1729088999999,2024-10-16T14:29:59.999000+00:00,,216,,
DTE,5m,1729089000000,2024-10-16T14:30:00+00:00,127.67,127.82,127.64,127.81,15940,1729089299999,2024-10-16T14:34:59.999000+00:00,,192,,
DTE,5m,1729089300000,2024-10-16T14:35:00+00:00,127.88,128.07,127.88,128.02,3405,1729089599999,2024-10-16T14:39:59.999000+00:00,,125,,
DTE,5m,1729089600000,2024-10-16T14:40:00+00:00,128.11,128.265,128.11,128.265,1136,1729089899999,2024-10-16T14:44:59.999000+00:00,,40,,
DTE,5m,1729089900000,2024-10-16T14:45:00+00:00,128.18,128.18,127.98,127.98,2903,1729090199999,2024-10-16T14:49:59.999000+00:00,,112,,
