symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DVN,5m,1729075800000,2024-10-16T10:50:00+00:00,41.19,41.19,41.19,41.19,505,1729076099999,2024-10-16T10:54:59.999000+00:00,,8,,
DVN,5m,1729078200000,2024-10-16T11:30:00+00:00,41.22,41.22,41.22,41.22,296,1729078499999,2024-10-16T11:34:59.999000+00:00,,4,,
DVN,5m,1729079100000,2024-10-16T11:45:00+00:00,41.26,41.26,41.26,41.26,284,1729079399999,2024-10-16T11:49:59.999000+00:00,,3,,
DVN,5m,1729079700000,2024-10-16T11:55:00+00:00,41.3,41.3,41.3,41.3,400,1729079999999,2024-10-16T11:59:59.999000+00:00,,3,,
DVN,5m,1729080000000,2024-10-16T12:00:00+00:00,41.2996,41.2996,41.295,41.295,1524,1729080299999,2024-10-16T12:04:59.999000+00:00,,20,,
DVN,5m,1729081200000,2024-10-16T12:20:00+00:00,41.31,41.31,41.31,41.31,661,1729081499999,2024-10-16T12:24:59.999000+00:00,,7,,
DVN,5m,1729082100000,2024-10-16T12:35:00+00:00,41.33,41.33,41.33,41.33,100,1729082399999,2024-10-16T12:39:59.999000+00:00,,1,,
DVN,5m,1729082700000,2024-10-16T12:45:00+00:00,41.38,41.41,41.37,41.41,830,1729082999999,2024-10-16T12:49:59.999000+00:00,,6,,
DVN,5m,1729083000000,2024-10-16T12:50:00+00:00,41.41,41.49,41.41,41.49,755,1729083299999,2024-10-16T12:54:59.999000+00:00,,15,,
DVN,5m,1729083900000,2024-10-16T13:05:00+00:00,41.38,41.38,41.37,41.37,1640,1729084199999,2024-10-16T13:09:59.999000+00:00,,11,,
DVN,5m,1729084500000,2024-10-16T13:15:00+00:00,41.301,41.301,41.301,41.301,103,1729084799999,2024-10-16T13:19:59.999000+00:00,,2,,
DVN,5m,1729084800000,2024-10-16T13:20:00+00:00,41.3,41.3,41.3,41.3,975,1729085099999,2024-10-16T13:24:59.999000+00:00,,3,,
DVN,5m,1729085100000,2024-10-16T13:25:00+00:00,41.29,41.37,41.29,41.37,329,1729085399999,2024-10-16T13:29:59.999000+00:00,,3,,
DVN,5m,1729085400000,2024-10-16T13:30:00+00:00,41.47,41.61,41.37,41.54,227095,1729085699999,2024-10-16T13:34:59.999000+00:00,,1305,,
DVN,5m,1729085700000,2024-10-16T13:35:00+00:00,41.54,41.57,41.43,41.54,53741,1729085999999,2024-10-16T13:39:59.999000+00:00,,838,,
DVN,5m,1729086000000,2024-10-16T13:40:00+00:00,41.54,41.545,41.32,41.41,69093,1729086299999,2024-10-16T13:44:59.999000+00:00,,941,,
DVN,5m,1729086300000,2024-10-16T13:45:00+00:00,41.4,41.475,41.3796,41.38,35219,1729086599999,2024-10-16T13:49:59.999000+00:00,,764,,
DVN,5m,1729086600000,2024-10-16T13:50:00+00:00,41.36,41.39,41.2802,41.34,109335,1729086899999,2024-10-16T13:54:59.999000+00:00,,1195,,
DVN,5m,1729086900000,2024-10-16T13:55:00+00:00,41.34,41.38,41.305,41.306,53358,1729087199999,2024-10-16T13:59:59.999000+00:00,,667,,
DVN,5m,1729087200000,2024-10-16T14:00:00+00:00,41.32,41.37,41.22,41.26,104471,1729087499999,2024-10-16T14:04:59.999000+00:00,,917,,
DVN,5m,1729087500000,2024-10-16T14:05:00+00:00,41.26,41.36,41.1991,41.335,58651,1729087799999,2024-10-16T14:09:59.999000+00:00,,785,,
DVN,5m,1729087800000,2024-10-16T14:10:00+00:00,41.3408,41.36,41.2401,41.3,140420,1729088099999,2024-10-16T14:14:59.999000+00:00,,1013,,
DVN,5m,1729088100000,2024-10-16T14:15:00+00:00,41.3,41.47,41.2725,41.43,122507,1729088399999,2024-10-16T14:19:59.999000+00:00,,1307,,
DVN,5m,1729088400000,2024-10-16T14:20:00+00:00,41.4251,41.4251,41.325,41.3363,94467,1729088699999,2024-10-16T14:24:59.999000+00:00,,1007,,
DVN,5m,1729088700000,2024-10-16T14:25:00+00:00,41.33,41.34,41.26,41.26,58523,1729088999999,2024-10-16T14:29:59.999000+00:00,,823,,
DVN,5m,1729089000000,2024-10-16T14:30:00+00:00,41.265,41.38,41.26,41.275,137537,1729089299999,2024-10-16T14:34:59.999000+00:00,,1064,,
DVN,5m,1729089300000,2024-10-16T14:35:00+00:00,41.27,41.3099,41.215,41.215,64320,1729089599999,2024-10-16T14:39:59.999000+00:00,,728,,
DVN,5m,1729089600000,2024-10-16T14:40:00+00:00,41.22,41.22,41.12,41.15,56069,1729089899999,2024-10-16T14:44:59.999000+00:00,,747,,
DVN,5m,1729089900000,2024-10-16T14:45:00+00:00,41.155,41.255,41.155,41.24,67569,1729090199999,2024-10-16T14:49:59.999000+00:00,,708,,
DVN,5m,1729090200000,2024-10-16T14:50:00+00:00,41.245,41.26,41.22,41.23,67500,1729090499999,2024-10-16T14:54:59.999000+00:00,,684,,
DVN,5m,1729090500000,2024-10-16T14:55:00+00:00,41.22,41.255,41.2002,41.235,84742,1729090799999,2024-10-16T14:59:59.999000+00:00,,721,,
DVN,5m,1729090800000,2024-10-16T15:00:00+00:00,41.23,41.23,41.095,41.15,118158,1729091099999,2024-10-16T15:04:59.999000+00:00,,1298,,
DVN,5m,1729091100000,2024-10-16T15:05:00+00:00,41.155,41.155,41.05,41.08,58838,1729091399999,2024-10-16T15:09:59.999000+00:00,,679,,
DVN,5m,1729091400000,2024-10-16T15:10:00+00:00,41.075,41.1143,41.01,41.015,70142,1729091699999,2024-10-16T15:14:59.999000+00:00,,657,,
DVN,5m,1729091700000,2024-10-16T15:15:00+00:00,41.01,41.02,40.954,40.965,103175,1729091999999,2024-10-16T15:19:59.999000+00:00,,957,,
DVN,5m,1729092000000,2024-10-16T15:20:00+00:00,40.9685,40.9999,40.88,40.995,122940,1729092299999,2024-10-16T15:24:59.999000+00:00,,929,,
DVN,5m,1729092300000,2024-10-16T15:25:00+00:00,40.99,41.02,40.97,41.005,57352,1729092599999,2024-10-16T15:29:59.999000+00:00,,633,,
DVN,5m,1729092600000,2024-10-16T15:30:00+00:00,41.015,41.0299,40.96,40.97,38624,1729092899999,2024-10-16T15:34:59.999000+00:00,,507,,
DVN,5m,1729092900000,2024-10-16T15:35:00+00:00,40.975,40.995,40.9201,40.99,40007,1729093199999,2024-10-16T15:39:59.999000+00:00,,506,,
DVN,5m,1729093200000,2024-10-16T15:40:00+00:00,40.98,40.98,40.94,40.945,59665,1729093499999,2024-10-16T15:44:59.999000+00:00,,524,,
DVN,5m,1729093500000,2024-10-16T15:45:00+00:00,40.945,41,40.94,40.965,44624,1729093799999,2024-10-16T15:49:59.999000+00:00,,524,,
DVN,5m,1729093800000,2024-10-16T15:50:00+00:00,40.963208,41.015,40.963208,40.97,41319,1729094099999,2024-10-16T15:54:59.999000+00:00,,428,,
DVN,5m,1729094100000,2024-10-16T15:55:00+00:00,40.97,41.03,40.97,40.99,73321,1729094399999,2024-10-16T15:59:59.999000+00:00,,699,,
DVN,5m,1729094400000,2024-10-16T16:00:00+00:00,40.985,40.995,40.945,40.945,56119,1729094699999,2024-10-16T16:04:59.999000+00:00,,589,,
DVN,5m,1729094700000,2024-10-16T16:05:00+00:00,40.95,40.975,40.91,40.92,75646,1729094999999,2024-10-16T16:09:59.999000+00:00,,570,,
DVN,5m,1729095000000,2024-10-16T16:10:00+00:00,40.925,40.9391,40.89,40.92,81493,1729095299999,2024-10-16T16:14:59.999000+00:00,,586,,
DVN,5m,1729095300000,2024-10-16T16:15:00+00:00,40.925,40.945,40.91,40.93,62649,1729095599999,2024-10-16T16:19:59.999000+00:00,,558,,
DVN,5m,1729095600000,2024-10-16T16:20:00+00:00,40.925,40.95,40.9001,40.91,53172,1729095899999,2024-10-16T16:24:59.999000+00:00,,632,,
DVN,5m,1729095900000,2024-10-16T16:25:00+00:00,40.915,40.915,40.85,40.8542,58675,1729096199999,2024-10-16T16:29:59.999000+00:00,,682,,
DVN,5m,1729096200000,2024-10-16T16:30:00+00:00,40.85,40.9,40.845,40.895,57602,1729096499999,2024-10-16T16:34:59.999000+00:00,,629,,
