symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DXCM,5m,1729066500000,2024-10-16T08:15:00+00:00,67.77,67.77,67.44,67.44,230,1729066799999,2024-10-16T08:19:59.999000+00:00,,9,,
DXCM,5m,1729075500000,2024-10-16T10:45:00+00:00,67.5,67.5,67.5,67.5,200,1729075799999,2024-10-16T10:49:59.999000+00:00,,3,,
DXCM,5m,1729080900000,2024-10-16T12:15:00+00:00,67.13,67.13,67.13,67.13,400,1729081199999,2024-10-16T12:19:59.999000+00:00,,14,,
DXCM,5m,1729081800000,2024-10-16T12:30:00+00:00,67.3799,67.3799,67.3799,67.3799,1000,1729082099999,2024-10-16T12:34:59.999000+00:00,,1,,
DXCM,5m,1729082400000,2024-10-16T12:40:00+00:00,67.22,67.22,67.22,67.22,342,1729082699999,2024-10-16T12:44:59.999000+00:00,,6,,
DXCM,5m,1729084200000,2024-10-16T13:10:00+00:00,67.25,67.25,67.25,67.25,181,1729084499999,2024-10-16T13:14:59.999000+00:00,,2,,
DXCM,5m,1729085100000,2024-10-16T13:25:00+00:00,67.38,67.64,67.33,67.63,4163,1729085399999,2024-10-16T13:29:59.999000+00:00,,99,,
DXCM,5m,1729085400000,2024-10-16T13:30:00+00:00,67.59,68.11,67.585,67.89,169138,1729085699999,2024-10-16T13:34:59.999000+00:00,,553,,
DXCM,5m,1729085700000,2024-10-16T13:35:00+00:00,67.755,68.08,67.65,67.945,73422,1729085999999,2024-10-16T13:39:59.999000+00:00,,760,,
DXCM,5m,1729086000000,2024-10-16T13:40:00+00:00,67.89,67.94,67.71,67.88,30276,1729086299999,2024-10-16T13:44:59.999000+00:00,,464,,
DXCM,5m,1729086300000,2024-10-16T13:45:00+00:00,67.87,68.316,67.79,68.26,148833,1729086599999,2024-10-16T13:49:59.999000+00:00,,1384,,
DXCM,5m,1729086600000,2024-10-16T13:50:00+00:00,68.2,68.39,67.98,67.9835,41631,1729086899999,2024-10-16T13:54:59.999000+00:00,,578,,
DXCM,5m,1729086900000,2024-10-16T13:55:00+00:00,68.015,68.3,68.015,68.27,45521,1729087199999,2024-10-16T13:59:59.999000+00:00,,745,,
DXCM,5m,1729087200000,2024-10-16T14:00:00+00:00,68.27,69.07,68.24,69.05,141064,1729087499999,2024-10-16T14:04:59.999000+00:00,,1377,,
DXCM,5m,1729087500000,2024-10-16T14:05:00+00:00,69.08,69.265,68.75,68.98,118209,1729087799999,2024-10-16T14:09:59.999000+00:00,,1423,,
DXCM,5m,1729087800000,2024-10-16T14:10:00+00:00,68.99,69.15,68.975,69.04,53372,1729088099999,2024-10-16T14:14:59.999000+00:00,,721,,
DXCM,5m,1729088100000,2024-10-16T14:15:00+00:00,69.04,69.115,68.93,69,63644,1729088399999,2024-10-16T14:19:59.999000+00:00,,827,,
DXCM,5m,1729088400000,2024-10-16T14:20:00+00:00,69,69.07,68.88,68.93,65374,1729088699999,2024-10-16T14:24:59.999000+00:00,,727,,
DXCM,5m,1729088700000,2024-10-16T14:25:00+00:00,68.92,69.08,68.87,68.94,92138,1729088999999,2024-10-16T14:29:59.999000+00:00,,1184,,
DXCM,5m,1729089000000,2024-10-16T14:30:00+00:00,68.89,69.05,68.88,68.9,43502,1729089299999,2024-10-16T14:34:59.999000+00:00,,814,,
DXCM,5m,1729089300000,2024-10-16T14:35:00+00:00,68.89,69.005,68.78,69,31423,1729089599999,2024-10-16T14:39:59.999000+00:00,,535,,
DXCM,5m,1729089600000,2024-10-16T14:40:00+00:00,68.985,68.985,68.75,68.8,54948,1729089899999,2024-10-16T14:44:59.999000+00:00,,681,,
DXCM,5m,1729089900000,2024-10-16T14:45:00+00:00,68.82,68.86,68.7,68.74,26734,1729090199999,2024-10-16T14:49:59.999000+00:00,,478,,
DXCM,5m,1729090200000,2024-10-16T14:50:00+00:00,68.77,68.83,68.73,68.825,53583,1729090499999,2024-10-16T14:54:59.999000+00:00,,543,,
DXCM,5m,1729090500000,2024-10-16T14:55:00+00:00,68.825,68.875,68.66,68.72,25902,1729090799999,2024-10-16T14:59:59.999000+00:00,,427,,
DXCM,5m,1729090800000,2024-10-16T15:00:00+00:00,68.71,68.72,68.59,68.69,16943,1729091099999,2024-10-16T15:04:59.999000+00:00,,379,,
