symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
D,5m,1729069500000,2024-10-16T09:05:00+00:00,58.02,58.02,58.02,58.02,314,1729069799999,2024-10-16T09:09:59.999000+00:00,,5,,
D,5m,1729082400000,2024-10-16T12:40:00+00:00,57.81,59.91,57.81,59.4,40875,1729082699999,2024-10-16T12:44:59.999000+00:00,,710,,
D,5m,1729082700000,2024-10-16T12:45:00+00:00,59.32,61.06,59.32,60.69,117630,1729082999999,2024-10-16T12:49:59.999000+00:00,,1498,,
D,5m,1729083000000,2024-10-16T12:50:00+00:00,60.69,60.7,59.65,59.65,81117,1729083299999,2024-10-16T12:54:59.999000+00:00,,739,,
D,5m,1729083300000,2024-10-16T12:55:00+00:00,59.73,59.73,58.88,59,40078,1729083599999,2024-10-16T12:59:59.999000+00:00,,510,,
D,5m,1729083600000,2024-10-16T13:00:00+00:00,59.0639,59.7,59.03,59.43,24738,1729083899999,2024-10-16T13:04:59.999000+00:00,,463,,
D,5m,1729083900000,2024-10-16T13:05:00+00:00,59.5,59.5,58.6825,58.9,25291,1729084199999,2024-10-16T13:09:59.999000+00:00,,400,,
D,5m,1729084200000,2024-10-16T13:10:00+00:00,58.91,59.45,58.9,59.25,23836,1729084499999,2024-10-16T13:14:59.999000+00:00,,285,,
D,5m,1729084500000,2024-10-16T13:15:00+00:00,59.19,59.19,58.92,58.92,13284,1729084799999,2024-10-16T13:19:59.999000+00:00,,197,,
D,5m,1729084800000,2024-10-16T13:20:00+00:00,58.95,59.1,58.82,59.06,8962,1729085099999,2024-10-16T13:24:59.999000+00:00,,144,,
D,5m,1729085100000,2024-10-16T13:25:00+00:00,59.03,59.03,58.8,58.8,9524,1729085399999,2024-10-16T13:29:59.999000+00:00,,77,,
D,5m,1729085400000,2024-10-16T13:30:00+00:00,58.75,58.75,57.83,58.11,405933,1729085699999,2024-10-16T13:34:59.999000+00:00,,2406,,
D,5m,1729085700000,2024-10-16T13:35:00+00:00,58.16,58.24,57.74,58.2,128743,1729085999999,2024-10-16T13:39:59.999000+00:00,,1138,,
D,5m,1729086000000,2024-10-16T13:40:00+00:00,58.24,58.46,58.08,58.39,203567,1729086299999,2024-10-16T13:44:59.999000+00:00,,1245,,
D,5m,1729086300000,2024-10-16T13:45:00+00:00,58.38,58.6099,58.35,58.521,61243,1729086599999,2024-10-16T13:49:59.999000+00:00,,815,,
D,5m,1729086600000,2024-10-16T13:50:00+00:00,58.535,58.8,58.535,58.65,137686,1729086899999,2024-10-16T13:54:59.999000+00:00,,1726,,
D,5m,1729086900000,2024-10-16T13:55:00+00:00,58.68,58.91,58.67,58.91,61561,1729087199999,2024-10-16T13:59:59.999000+00:00,,926,,
D,5m,1729087200000,2024-10-16T14:00:00+00:00,58.9,58.92,58.67,58.7974,102431,1729087499999,2024-10-16T14:04:59.999000+00:00,,1079,,
D,5m,1729087500000,2024-10-16T14:05:00+00:00,58.78,58.78,58.63,58.73,72066,1729087799999,2024-10-16T14:09:59.999000+00:00,,1080,,
D,5m,1729087800000,2024-10-16T14:10:00+00:00,58.725,58.81,58.7,58.735,86971,1729088099999,2024-10-16T14:14:59.999000+00:00,,1330,,
D,5m,1729088100000,2024-10-16T14:15:00+00:00,58.73,58.84,58.715,58.84,51698,1729088399999,2024-10-16T14:19:59.999000+00:00,,778,,
D,5m,1729088400000,2024-10-16T14:20:00+00:00,58.83,59.08,58.76,59.045,235039,1729088699999,2024-10-16T14:24:59.999000+00:00,,1903,,
D,5m,1729088700000,2024-10-16T14:25:00+00:00,59.05,59.15,58.985,59.0299,152324,1729088999999,2024-10-16T14:29:59.999000+00:00,,1544,,
D,5m,1729089000000,2024-10-16T14:30:00+00:00,59.02,59.18,58.955,58.96,116521,1729089299999,2024-10-16T14:34:59.999000+00:00,,1488,,
D,5m,1729089300000,2024-10-16T14:35:00+00:00,58.96,59.15,58.96,59.075,60395,1729089599999,2024-10-16T14:39:59.999000+00:00,,874,,
D,5m,1729089600000,2024-10-16T14:40:00+00:00,59.07,59.149,59.05,59.06,54914,1729089899999,2024-10-16T14:44:59.999000+00:00,,847,,
D,5m,1729089900000,2024-10-16T14:45:00+00:00,59.07,59.07,58.87,58.91,58328,1729090199999,2024-10-16T14:49:59.999000+00:00,,829,,
D,5m,1729090200000,2024-10-16T14:50:00+00:00,58.923,59.06,58.8601,59.055,83241,1729090499999,2024-10-16T14:54:59.999000+00:00,,907,,
D,5m,1729090500000,2024-10-16T14:55:00+00:00,59.055,59.165,59,59.165,75873,1729090799999,2024-10-16T14:59:59.999000+00:00,,1025,,
D,5m,1729090800000,2024-10-16T15:00:00+00:00,59.17,59.26,59.17,59.2,80650,1729091099999,2024-10-16T15:04:59.999000+00:00,,1065,,
D,5m,1729091100000,2024-10-16T15:05:00+00:00,59.21,59.3,59.17,59.28,71070,1729091399999,2024-10-16T15:09:59.999000+00:00,,809,,
D,5m,1729091400000,2024-10-16T15:10:00+00:00,59.27,59.36,59.27,59.29,70120,1729091699999,2024-10-16T15:14:59.999000+00:00,,838,,
D,5m,1729091700000,2024-10-16T15:15:00+00:00,59.295,59.365,59.29,59.3498,51597,1729091999999,2024-10-16T15:19:59.999000+00:00,,736,,
D,5m,1729092000000,2024-10-16T15:20:00+00:00,59.34,59.5,59.34,59.41,90833,1729092299999,2024-10-16T15:24:59.999000+00:00,,1180,,
D,5m,1729092300000,2024-10-16T15:25:00+00:00,59.42,59.43,59.36,59.4,55542,1729092599999,2024-10-16T15:29:59.999000+00:00,,885,,
D,5m,1729092600000,2024-10-16T15:30:00+00:00,59.4,59.5,59.3801,59.455,55914,1729092899999,2024-10-16T15:34:59.999000+00:00,,765,,
D,5m,1729092900000,2024-10-16T15:35:00+00:00,59.455,59.475,59.41,59.465,36054,1729093199999,2024-10-16T15:39:59.999000+00:00,,625,,
D,5m,1729093200000,2024-10-16T15:40:00+00:00,59.4701,59.55,59.4701,59.535,48952,1729093499999,2024-10-16T15:44:59.999000+00:00,,691,,
D,5m,1729093500000,2024-10-16T15:45:00+00:00,59.535,59.545,59.4,59.425,89489,1729093799999,2024-10-16T15:49:59.999000+00:00,,942,,
D,5m,1729093800000,2024-10-16T15:50:00+00:00,59.42,59.49,59.38,59.41,51581,1729094099999,2024-10-16T15:54:59.999000+00:00,,783,,
D,5m,1729094100000,2024-10-16T15:55:00+00:00,59.41,59.53,59.4,59.5101,117614,1729094399999,2024-10-16T15:59:59.999000+00:00,,715,,
D,5m,1729094400000,2024-10-16T16:00:00+00:00,59.52,59.5965,59.52,59.59,62490,1729094699999,2024-10-16T16:04:59.999000+00:00,,845,,
D,5m,1729094700000,2024-10-16T16:05:00+00:00,59.59,59.6468,59.59,59.6468,29483,1729094999999,2024-10-16T16:09:59.999000+00:00,,610,,
D,5m,1729095000000,2024-10-16T16:10:00+00:00,59.649,59.8,59.623,59.795,71705,1729095299999,2024-10-16T16:14:59.999000+00:00,,1012,,
D,5m,1729095300000,2024-10-16T16:15:00+00:00,59.7999,59.83,59.753404,59.765,68153,1729095599999,2024-10-16T16:19:59.999000+00:00,,888,,
D,5m,1729095600000,2024-10-16T16:20:00+00:00,59.77,59.7744,59.67,59.71,62311,1729095899999,2024-10-16T16:24:59.999000+00:00,,938,,
D,5m,1729095900000,2024-10-16T16:25:00+00:00,59.71,59.74,59.58,59.615,54410,1729096199999,2024-10-16T16:29:59.999000+00:00,,688,,
D,5m,1729096200000,2024-10-16T16:30:00+00:00,59.62,59.68,59.62,59.66,34771,1729096499999,2024-10-16T16:34:59.999000+00:00,,515,,
D,5m,1729096500000,2024-10-16T16:35:00+00:00,59.665,59.695,59.645,59.645,28352,1729096799999,2024-10-16T16:39:59.999000+00:00,,527,,
D,5m,1729096800000,2024-10-16T16:40:00+00:00,59.65,59.715,59.615,59.71,40258,1729097099999,2024-10-16T16:44:59.999000+00:00,,544,,
D,5m,1729097100000,2024-10-16T16:45:00+00:00,59.7199,59.7692,59.665,59.71,48084,1729097399999,2024-10-16T16:49:59.999000+00:00,,659,,
D,5m,1729097400000,2024-10-16T16:50:00+00:00,59.7175,59.785,59.7,59.71,31378,1729097699999,2024-10-16T16:54:59.999000+00:00,,504,,
D,5m,1729097700000,2024-10-16T16:55:00+00:00,59.71,59.755,59.69,59.75,47489,1729097999999,2024-10-16T16:59:59.999000+00:00,,622,,
D,5m,1729098000000,2024-10-16T17:00:00+00:00,59.76,59.765,59.71,59.765,36284,1729098299999,2024-10-16T17:04:59.999000+00:00,,660,,
D,5m,1729098300000,2024-10-16T17:05:00+00:00,59.765,59.77,59.722,59.75,21763,1729098599999,2024-10-16T17:09:59.999000+00:00,,439,,
D,5m,1729098600000,2024-10-16T17:10:00+00:00,59.75,59.8,59.74,59.79,44743,1729098899999,2024-10-16T17:14:59.999000+00:00,,672,,
D,5m,1729098900000,2024-10-16T17:15:00+00:00,59.7965,59.885,59.7965,59.82,42443,1729099199999,2024-10-16T17:19:59.999000+00:00,,757,,
D,5m,1729099200000,2024-10-16T17:20:00+00:00,59.825,59.88,59.815,59.875,38870,1729099499999,2024-10-16T17:24:59.999000+00:00,,532,,
D,5m,1729099500000,2024-10-16T17:25:00+00:00,59.88,59.96,59.875,59.94,94979,1729099799999,2024-10-16T17:29:59.999000+00:00,,1185,,
D,5m,1729099800000,2024-10-16T17:30:00+00:00,59.94,59.99,59.9199,59.96,88215,1729100099999,2024-10-16T17:34:59.999000+00:00,,951,,
D,5m,1729100100000,2024-10-16T17:35:00+00:00,59.96,59.99,59.8901,59.975,57012,1729100399999,2024-10-16T17:39:59.999000+00:00,,659,,
D,5m,1729100400000,2024-10-16T17:40:00+00:00,59.975,59.98,59.9003,59.927,47522,1729100699999,2024-10-16T17:44:59.999000+00:00,,706,,
D,5m,1729100700000,2024-10-16T17:45:00+00:00,59.93,60.03,59.875,59.9511,58172,1729100999999,2024-10-16T17:49:59.999000+00:00,,720,,
D,5m,1729101000000,2024-10-16T17:50:00+00:00,59.96,60.04,59.9459,60.04,90547,1729101299999,2024-10-16T17:54:59.999000+00:00,,924,,
D,5m,1729101300000,2024-10-16T17:55:00+00:00,60.0398,60.07,60.03,60.045,39344,1729101599999,2024-10-16T17:59:59.999000+00:00,,616,,
D,5m,1729101600000,2024-10-16T18:00:00+00:00,60.047,60.19,60.045,60.16,105399,1729101899999,2024-10-16T18:04:59.999000+00:00,,1398,,
D,5m,1729101900000,2024-10-16T18:05:00+00:00,60.16,60.175,60.07,60.125,65687,1729102199999,2024-10-16T18:09:59.999000+00:00,,855,,
D,5m,1729102200000,2024-10-16T18:10:00+00:00,60.13,60.225,60.12,60.225,42168,1729102499999,2024-10-16T18:14:59.999000+00:00,,676,,
D,5m,1729102500000,2024-10-16T18:15:00+00:00,60.225,60.245,60.14,60.155,71737,1729102799999,2024-10-16T18:19:59.999000+00:00,,987,,
D,5m,1729102800000,2024-10-16T18:20:00+00:00,60.155,60.185,60.12,60.1711,62102,1729103099999,2024-10-16T18:24:59.999000+00:00,,788,,
D,5m,1729103100000,2024-10-16T18:25:00+00:00,60.175,60.2,60.15,60.173654,69389,1729103399999,2024-10-16T18:29:59.999000+00:00,,858,,
D,5m,1729103400000,2024-10-16T18:30:00+00:00,60.17,60.32,60.16,60.285,111209,1729103699999,2024-10-16T18:34:59.999000+00:00,,1145,,
D,5m,1729103700000,2024-10-16T18:35:00+00:00,60.28,60.2875,60.12,60.12,60937,1729103999999,2024-10-16T18:39:59.999000+00:00,,814,,
D,5m,1729104000000,2024-10-16T18:40:00+00:00,60.115,60.14,60.06,60.14,66120,1729104299999,2024-10-16T18:44:59.999000+00:00,,844,,
D,5m,1729104300000,2024-10-16T18:45:00+00:00,60.145,60.1487,60,60.06,82368,1729104599999,2024-10-16T18:49:59.999000+00:00,,1040,,
D,5m,1729104600000,2024-10-16T18:50:00+00:00,60.06,60.08,60.02,60.055,84276,1729104899999,2024-10-16T18:54:59.999000+00:00,,1077,,
D,5m,1729104900000,2024-10-16T18:55:00+00:00,60.0599,60.135,60.05,60.13,60303,1729105199999,2024-10-16T18:59:59.999000+00:00,,778,,
D,5m,1729105200000,2024-10-16T19:00:00+00:00,60.14,60.2,60.1029,60.175,64849,1729105499999,2024-10-16T19:04:59.999000+00:00,,893,,
D,5m,1729105500000,2024-10-16T19:05:00+00:00,60.175,60.21,60.15,60.2,63616,1729105799999,2024-10-16T19:09:59.999000+00:00,,787,,
D,5m,1729105800000,2024-10-16T19:10:00+00:00,60.21,60.37,60.2019,60.35,70775,1729106099999,2024-10-16T19:14:59.999000+00:00,,971,,
D,5m,1729106100000,2024-10-16T19:15:00+00:00,60.355,60.44,60.33,60.42,87413,1729106399999,2024-10-16T19:19:59.999000+00:00,,1056,,
D,5m,1729106400000,2024-10-16T19:20:00+00:00,60.429,60.48,60.36,60.455,73127,1729106699999,2024-10-16T19:24:59.999000+00:00,,1032,,
D,5m,1729106700000,2024-10-16T19:25:00+00:00,60.455,60.47,60.38,60.41,88960,1729106999999,2024-10-16T19:29:59.999000+00:00,,1294,,
D,5m,1729107000000,2024-10-16T19:30:00+00:00,60.4021,60.44,60.355,60.39,94562,1729107299999,2024-10-16T19:34:59.999000+00:00,,1423,,
D,5m,1729107300000,2024-10-16T19:35:00+00:00,60.395,60.505,60.395,60.47,139817,1729107599999,2024-10-16T19:39:59.999000+00:00,,1668,,
D,5m,1729107600000,2024-10-16T19:40:00+00:00,60.475,60.585,60.46,60.57,133214,1729107899999,2024-10-16T19:44:59.999000+00:00,,1615,,
D,5m,1729107900000,2024-10-16T19:45:00+00:00,60.575,60.63,60.54,60.585,186690,1729108199999,2024-10-16T19:49:59.999000+00:00,,2332,,
D,5m,1729108200000,2024-10-16T19:50:00+00:00,60.6,60.72,60.59,60.695,275758,1729108499999,2024-10-16T19:54:59.999000+00:00,,2902,,
D,5m,1729108500000,2024-10-16T19:55:00+00:00,60.69,60.7,60.43,60.52,721270,1729108799999,2024-10-16T19:59:59.999000+00:00,,7838,,
D,5m,1729108800000,2024-10-16T20:00:00+00:00,60.55,60.75,60.55,60.75,8687,1729109099999,2024-10-16T20:04:59.999000+00:00,,28,,
D,5m,1729109100000,2024-10-16T20:05:00+00:00,60.6,60.6,60.6,60.6,1001,1729109399999,2024-10-16T20:09:59.999000+00:00,,2,,
D,5m,1729109400000,2024-10-16T20:10:00+00:00,60.68,60.7,60.68,60.7,322,1729109699999,2024-10-16T20:14:59.999000+00:00,,6,,
D,5m,1729109700000,2024-10-16T20:15:00+00:00,60.68,60.68,60.68,60.68,307,1729109999999,2024-10-16T20:19:59.999000+00:00,,6,,
