symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EBAY,5m,1729075800000,2024-10-16T10:50:00+00:00,67,67,67,67,397,1729076099999,2024-10-16T10:54:59.999000+00:00,,2,,
EBAY,5m,1729080300000,2024-10-16T12:05:00+00:00,67.07,67.07,67.07,67.07,218,1729080599999,2024-10-16T12:09:59.999000+00:00,,2,,
EBAY,5m,1729085100000,2024-10-16T13:25:00+00:00,66.57,66.64,66.54,66.54,3877,1729085399999,2024-10-16T13:29:59.999000+00:00,,48,,
EBAY,5m,1729085400000,2024-10-16T13:30:00+00:00,66.83,67.17,66.63,66.94,87815,1729085699999,2024-10-16T13:34:59.999000+00:00,,780,,
EBAY,5m,1729085700000,2024-10-16T13:35:00+00:00,66.93,67.01,66.85,66.9,19520,1729085999999,2024-10-16T13:39:59.999000+00:00,,340,,
EBAY,5m,1729086000000,2024-10-16T13:40:00+00:00,66.87,67.04,66.85,66.99,18642,1729086299999,2024-10-16T13:44:59.999000+00:00,,402,,
EBAY,5m,1729086300000,2024-10-16T13:45:00+00:00,67.01,67.02,66.8,66.8,28405,1729086599999,2024-10-16T13:49:59.999000+00:00,,534,,
EBAY,5m,1729086600000,2024-10-16T13:50:00+00:00,66.825,66.89,66.73,66.769,15098,1729086899999,2024-10-16T13:54:59.999000+00:00,,365,,
EBAY,5m,1729086900000,2024-10-16T13:55:00+00:00,66.72,66.87,66.72,66.83,64306,1729087199999,2024-10-16T13:59:59.999000+00:00,,604,,
EBAY,5m,1729087200000,2024-10-16T14:00:00+00:00,66.87,67.08,66.87,67.04,45020,1729087499999,2024-10-16T14:04:59.999000+00:00,,660,,
EBAY,5m,1729087500000,2024-10-16T14:05:00+00:00,67.05,67.12,66.995,67,72406,1729087799999,2024-10-16T14:09:59.999000+00:00,,820,,
EBAY,5m,1729087800000,2024-10-16T14:10:00+00:00,67,67.02,66.98,67,21486,1729088099999,2024-10-16T14:14:59.999000+00:00,,363,,
EBAY,5m,1729088100000,2024-10-16T14:15:00+00:00,66.99,67.02,66.8,66.81,28739,1729088399999,2024-10-16T14:19:59.999000+00:00,,617,,
EBAY,5m,1729088400000,2024-10-16T14:20:00+00:00,66.8,66.86,66.72,66.79,20126,1729088699999,2024-10-16T14:24:59.999000+00:00,,384,,
EBAY,5m,1729088700000,2024-10-16T14:25:00+00:00,66.785,66.81,66.69,66.69,19533,1729088999999,2024-10-16T14:29:59.999000+00:00,,433,,
EBAY,5m,1729089000000,2024-10-16T14:30:00+00:00,66.66,66.82,66.62,66.8,23547,1729089299999,2024-10-16T14:34:59.999000+00:00,,475,,
EBAY,5m,1729089300000,2024-10-16T14:35:00+00:00,66.79,66.895,66.73,66.73,20572,1729089599999,2024-10-16T14:39:59.999000+00:00,,382,,
EBAY,5m,1729089600000,2024-10-16T14:40:00+00:00,66.76,66.83,66.75,66.75,12961,1729089899999,2024-10-16T14:44:59.999000+00:00,,310,,
EBAY,5m,1729089900000,2024-10-16T14:45:00+00:00,66.765,66.7708,66.67,66.71,20014,1729090199999,2024-10-16T14:49:59.999000+00:00,,419,,
EBAY,5m,1729090200000,2024-10-16T14:50:00+00:00,66.7,66.74,66.66,66.74,23924,1729090499999,2024-10-16T14:54:59.999000+00:00,,490,,
EBAY,5m,1729090500000,2024-10-16T14:55:00+00:00,66.76,66.83,66.76,66.78,21573,1729090799999,2024-10-16T14:59:59.999000+00:00,,444,,
EBAY,5m,1729090800000,2024-10-16T15:00:00+00:00,66.78,66.795,66.72,66.77,21286,1729091099999,2024-10-16T15:04:59.999000+00:00,,420,,
EBAY,5m,1729091100000,2024-10-16T15:05:00+00:00,66.78,66.79,66.68,66.728,24384,1729091399999,2024-10-16T15:09:59.999000+00:00,,489,,
EBAY,5m,1729091400000,2024-10-16T15:10:00+00:00,66.72,66.77,66.72,66.73,23272,1729091699999,2024-10-16T15:14:59.999000+00:00,,452,,
EBAY,5m,1729091700000,2024-10-16T15:15:00+00:00,66.74,66.76,66.68,66.74,19373,1729091999999,2024-10-16T15:19:59.999000+00:00,,421,,
EBAY,5m,1729092000000,2024-10-16T15:20:00+00:00,66.735,66.74,66.65,66.7,20975,1729092299999,2024-10-16T15:24:59.999000+00:00,,421,,
EBAY,5m,1729092300000,2024-10-16T15:25:00+00:00,66.7,66.704,66.655,66.69,18725,1729092599999,2024-10-16T15:29:59.999000+00:00,,408,,
EBAY,5m,1729092600000,2024-10-16T15:30:00+00:00,66.69,66.87,66.69,66.85,21287,1729092899999,2024-10-16T15:34:59.999000+00:00,,452,,
EBAY,5m,1729092900000,2024-10-16T15:35:00+00:00,66.85,66.885,66.82,66.87,19290,1729093199999,2024-10-16T15:39:59.999000+00:00,,369,,
EBAY,5m,1729093200000,2024-10-16T15:40:00+00:00,66.89,66.89,66.79,66.84,16157,1729093499999,2024-10-16T15:44:59.999000+00:00,,361,,
EBAY,5m,1729093500000,2024-10-16T15:45:00+00:00,66.84,66.85,66.8,66.85,15607,1729093799999,2024-10-16T15:49:59.999000+00:00,,292,,
EBAY,5m,1729093800000,2024-10-16T15:50:00+00:00,66.84,66.865,66.805,66.85,19775,1729094099999,2024-10-16T15:54:59.999000+00:00,,381,,
EBAY,5m,1729094100000,2024-10-16T15:55:00+00:00,66.87,66.89,66.85,66.88,11764,1729094399999,2024-10-16T15:59:59.999000+00:00,,292,,
EBAY,5m,1729094400000,2024-10-16T16:00:00+00:00,66.87,66.87,66.735,66.755,19446,1729094699999,2024-10-16T16:04:59.999000+00:00,,354,,
EBAY,5m,1729094700000,2024-10-16T16:05:00+00:00,66.75,66.755,66.71,66.74,13517,1729094999999,2024-10-16T16:09:59.999000+00:00,,313,,
EBAY,5m,1729095000000,2024-10-16T16:10:00+00:00,66.731,66.805,66.73,66.7901,20116,1729095299999,2024-10-16T16:14:59.999000+00:00,,280,,
EBAY,5m,1729095300000,2024-10-16T16:15:00+00:00,66.79,66.86,66.76,66.86,13246,1729095599999,2024-10-16T16:19:59.999000+00:00,,351,,
EBAY,5m,1729095600000,2024-10-16T16:20:00+00:00,66.87,66.89,66.83,66.89,16969,1729095899999,2024-10-16T16:24:59.999000+00:00,,374,,
EBAY,5m,1729095900000,2024-10-16T16:25:00+00:00,66.89,66.89,66.85,66.86,9225,1729096199999,2024-10-16T16:29:59.999000+00:00,,227,,
