symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EFX,5m,1729076400000,2024-10-16T11:00:00+00:00,292.31,292.31,292.31,292.31,112,1729076699999,2024-10-16T11:04:59.999000+00:00,,7,,
EFX,5m,1729079400000,2024-10-16T11:50:00+00:00,292.81,292.81,292.81,292.81,113,1729079699999,2024-10-16T11:54:59.999000+00:00,,6,,
EFX,5m,1729085400000,2024-10-16T13:30:00+00:00,289.19,289.675,286.42,287.58,15376,1729085699999,2024-10-16T13:34:59.999000+00:00,,367,,
EFX,5m,1729085700000,2024-10-16T13:35:00+00:00,287.61,288.635,287.38,288.02,10020,1729085999999,2024-10-16T13:39:59.999000+00:00,,287,,
EFX,5m,1729086000000,2024-10-16T13:40:00+00:00,288.04,288.92,287.34,288.36,11970,1729086299999,2024-10-16T13:44:59.999000+00:00,,312,,
EFX,5m,1729086300000,2024-10-16T13:45:00+00:00,288.67,290.04,288.39,289.72,7834,1729086599999,2024-10-16T13:49:59.999000+00:00,,188,,
EFX,5m,1729086600000,2024-10-16T13:50:00+00:00,289.72,290.54,289.45,290.275,7324,1729086899999,2024-10-16T13:54:59.999000+00:00,,149,,
EFX,5m,1729086900000,2024-10-16T13:55:00+00:00,290.205,291.96,290.205,291.485,10705,1729087199999,2024-10-16T13:59:59.999000+00:00,,235,,
EFX,5m,1729087200000,2024-10-16T14:00:00+00:00,291.485,291.82,291.1,291.82,14605,1729087499999,2024-10-16T14:04:59.999000+00:00,,254,,
EFX,5m,1729087500000,2024-10-16T14:05:00+00:00,291.55,292.53,291.55,292.295,5107,1729087799999,2024-10-16T14:09:59.999000+00:00,,154,,
EFX,5m,1729087800000,2024-10-16T14:10:00+00:00,292.6172,292.6172,291.73,291.91,6853,1729088099999,2024-10-16T14:14:59.999000+00:00,,184,,
EFX,5m,1729088100000,2024-10-16T14:15:00+00:00,291.71,292.37,291.71,292.22,5439,1729088399999,2024-10-16T14:19:59.999000+00:00,,139,,
EFX,5m,1729088400000,2024-10-16T14:20:00+00:00,292.185,292.91,291.84,292.04,27868,1729088699999,2024-10-16T14:24:59.999000+00:00,,371,,
EFX,5m,1729088700000,2024-10-16T14:25:00+00:00,292.04,292.25,291.72,291.975,17258,1729088999999,2024-10-16T14:29:59.999000+00:00,,310,,
EFX,5m,1729089000000,2024-10-16T14:30:00+00:00,291.93,292.06,291.63,291.75,16605,1729089299999,2024-10-16T14:34:59.999000+00:00,,317,,
EFX,5m,1729089300000,2024-10-16T14:35:00+00:00,291.59,292.37,291.51,292.04,19111,1729089599999,2024-10-16T14:39:59.999000+00:00,,456,,
EFX,5m,1729089600000,2024-10-16T14:40:00+00:00,291.945,291.945,291.335,291.46,26377,1729089899999,2024-10-16T14:44:59.999000+00:00,,446,,
EFX,5m,1729089900000,2024-10-16T14:45:00+00:00,291.49,291.62,291.075,291.365,19161,1729090199999,2024-10-16T14:49:59.999000+00:00,,356,,
EFX,5m,1729090200000,2024-10-16T14:50:00+00:00,291.365,291.38,290.62,290.755,12100,1729090499999,2024-10-16T14:54:59.999000+00:00,,287,,
