symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EIX,5m,1729085400000,2024-10-16T13:30:00+00:00,85.37,85.37,84.94,85.215,14411,1729085699999,2024-10-16T13:34:59.999000+00:00,,140,,
EIX,5m,1729085700000,2024-10-16T13:35:00+00:00,85.24,85.255,85.17,85.185,3664,1729085999999,2024-10-16T13:39:59.999000+00:00,,66,,
EIX,5m,1729086000000,2024-10-16T13:40:00+00:00,85.185,85.4586,85.165,85.4586,23752,1729086299999,2024-10-16T13:44:59.999000+00:00,,230,,
EIX,5m,1729086300000,2024-10-16T13:45:00+00:00,85.442,85.55,85.41,85.42,9784,1729086599999,2024-10-16T13:49:59.999000+00:00,,230,,
EIX,5m,1729086600000,2024-10-16T13:50:00+00:00,85.535,85.65,85.42,85.42,11418,1729086899999,2024-10-16T13:54:59.999000+00:00,,299,,
EIX,5m,1729086900000,2024-10-16T13:55:00+00:00,85.37,85.58,85.325,85.58,13782,1729087199999,2024-10-16T13:59:59.999000+00:00,,365,,
EIX,5m,1729087200000,2024-10-16T14:00:00+00:00,85.6,85.62,85.5205,85.58,12694,1729087499999,2024-10-16T14:04:59.999000+00:00,,219,,
EIX,5m,1729087500000,2024-10-16T14:05:00+00:00,85.63,85.63,85.525,85.55,8835,1729087799999,2024-10-16T14:09:59.999000+00:00,,263,,
EIX,5m,1729087800000,2024-10-16T14:10:00+00:00,85.54,85.54,85.32,85.32,4828,1729088099999,2024-10-16T14:14:59.999000+00:00,,165,,
EIX,5m,1729088100000,2024-10-16T14:15:00+00:00,85.31,85.42,85.29,85.4,6168,1729088399999,2024-10-16T14:19:59.999000+00:00,,211,,
EIX,5m,1729088400000,2024-10-16T14:20:00+00:00,85.43,85.43,85.23,85.23,18415,1729088699999,2024-10-16T14:24:59.999000+00:00,,383,,
EIX,5m,1729088700000,2024-10-16T14:25:00+00:00,85.23,85.27,85.185,85.22,19397,1729088999999,2024-10-16T14:29:59.999000+00:00,,368,,
EIX,5m,1729089000000,2024-10-16T14:30:00+00:00,85.2,85.27,85.11,85.23,21737,1729089299999,2024-10-16T14:34:59.999000+00:00,,403,,
EIX,5m,1729089300000,2024-10-16T14:35:00+00:00,85.25,85.375,85.25,85.36,6228,1729089599999,2024-10-16T14:39:59.999000+00:00,,227,,
EIX,5m,1729089600000,2024-10-16T14:40:00+00:00,85.39,85.527977,85.39,85.45,9085,1729089899999,2024-10-16T14:44:59.999000+00:00,,307,,
EIX,5m,1729089900000,2024-10-16T14:45:00+00:00,85.455,85.455,85.34,85.35,6935,1729090199999,2024-10-16T14:49:59.999000+00:00,,218,,
EIX,5m,1729090200000,2024-10-16T14:50:00+00:00,85.36,85.5,85.33,85.495,6143,1729090499999,2024-10-16T14:54:59.999000+00:00,,186,,
EIX,5m,1729090500000,2024-10-16T14:55:00+00:00,85.48,85.495,85.425,85.495,7952,1729090799999,2024-10-16T14:59:59.999000+00:00,,257,,
EIX,5m,1729090800000,2024-10-16T15:00:00+00:00,85.52,85.54,85.41,85.41,6565,1729091099999,2024-10-16T15:04:59.999000+00:00,,238,,
EIX,5m,1729091100000,2024-10-16T15:05:00+00:00,85.41,85.41,85.35,85.37,8341,1729091399999,2024-10-16T15:09:59.999000+00:00,,275,,
