symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EL,5m,1729065600000,2024-10-16T08:00:00+00:00,91.3,91.39,91.3,91.39,1459,1729065899999,2024-10-16T08:04:59.999000+00:00,,17,,
EL,5m,1729066200000,2024-10-16T08:10:00+00:00,91.38,91.38,91.38,91.38,252,1729066499999,2024-10-16T08:14:59.999000+00:00,,2,,
EL,5m,1729066500000,2024-10-16T08:15:00+00:00,91.33,91.33,91.3,91.3,300,1729066799999,2024-10-16T08:19:59.999000+00:00,,4,,
EL,5m,1729067100000,2024-10-16T08:25:00+00:00,91.39,91.4,91.39,91.4,1098,1729067399999,2024-10-16T08:29:59.999000+00:00,,12,,
EL,5m,1729069500000,2024-10-16T09:05:00+00:00,91.46,91.46,91.3,91.3,2985,1729069799999,2024-10-16T09:09:59.999000+00:00,,38,,
EL,5m,1729070700000,2024-10-16T09:25:00+00:00,91.41,91.41,91.38,91.38,455,1729070999999,2024-10-16T09:29:59.999000+00:00,,8,,
EL,5m,1729072500000,2024-10-16T09:55:00+00:00,91.3,91.3,90.55,90.55,4441,1729072799999,2024-10-16T09:59:59.999000+00:00,,72,,
EL,5m,1729075800000,2024-10-16T10:50:00+00:00,90.59,90.7,90.4,90.4,1680,1729076099999,2024-10-16T10:54:59.999000+00:00,,37,,
EL,5m,1729076100000,2024-10-16T10:55:00+00:00,90.16,90.16,90.16,90.16,201,1729076399999,2024-10-16T10:59:59.999000+00:00,,5,,
EL,5m,1729076400000,2024-10-16T11:00:00+00:00,90.78,90.94,90.55,90.65,1501,1729076699999,2024-10-16T11:04:59.999000+00:00,,40,,
EL,5m,1729076700000,2024-10-16T11:05:00+00:00,90.65,90.65,90.65,90.65,110,1729076999999,2024-10-16T11:09:59.999000+00:00,,2,,
EL,5m,1729077000000,2024-10-16T11:10:00+00:00,90.45,90.46,90.3,90.3,3140,1729077299999,2024-10-16T11:14:59.999000+00:00,,19,,
EL,5m,1729077300000,2024-10-16T11:15:00+00:00,90.21,90.21,90.21,90.21,310,1729077599999,2024-10-16T11:19:59.999000+00:00,,7,,
EL,5m,1729077900000,2024-10-16T11:25:00+00:00,90.35,90.35,90.35,90.35,134,1729078199999,2024-10-16T11:29:59.999000+00:00,,4,,
EL,5m,1729078200000,2024-10-16T11:30:00+00:00,90.45,90.49,90.45,90.49,600,1729078499999,2024-10-16T11:34:59.999000+00:00,,2,,
EL,5m,1729078500000,2024-10-16T11:35:00+00:00,90.45,90.45,90.45,90.45,101,1729078799999,2024-10-16T11:39:59.999000+00:00,,2,,
EL,5m,1729079700000,2024-10-16T11:55:00+00:00,90.49,90.5,90.49,90.5,877,1729079999999,2024-10-16T11:59:59.999000+00:00,,19,,
EL,5m,1729080000000,2024-10-16T12:00:00+00:00,90.88,90.9685,90.2,90.5,5407,1729080299999,2024-10-16T12:04:59.999000+00:00,,86,,
EL,5m,1729081500000,2024-10-16T12:25:00+00:00,90.5,90.5,89.95,90,11324,1729081799999,2024-10-16T12:29:59.999000+00:00,,204,,
EL,5m,1729081800000,2024-10-16T12:30:00+00:00,89.9,90,89.9,90,2608,1729082099999,2024-10-16T12:34:59.999000+00:00,,24,,
EL,5m,1729082100000,2024-10-16T12:35:00+00:00,89.98,90,89.98,90,2176,1729082399999,2024-10-16T12:39:59.999000+00:00,,36,,
EL,5m,1729082400000,2024-10-16T12:40:00+00:00,89.82,89.82,89.82,89.82,242,1729082699999,2024-10-16T12:44:59.999000+00:00,,9,,
EL,5m,1729082700000,2024-10-16T12:45:00+00:00,89.91,89.91,89.75,89.814,2523,1729082999999,2024-10-16T12:49:59.999000+00:00,,73,,
EL,5m,1729083000000,2024-10-16T12:50:00+00:00,89.8,89.8,89.8,89.8,755,1729083299999,2024-10-16T12:54:59.999000+00:00,,16,,
EL,5m,1729083300000,2024-10-16T12:55:00+00:00,89.9,89.9766,89.88,89.9766,2932,1729083599999,2024-10-16T12:59:59.999000+00:00,,18,,
EL,5m,1729083600000,2024-10-16T13:00:00+00:00,89.97,90,89.97,90,3101,1729083899999,2024-10-16T13:04:59.999000+00:00,,53,,
EL,5m,1729083900000,2024-10-16T13:05:00+00:00,90,90,89.97,89.98,3116,1729084199999,2024-10-16T13:09:59.999000+00:00,,30,,
EL,5m,1729084500000,2024-10-16T13:15:00+00:00,89.943,89.981,89.943,89.98,788,1729084799999,2024-10-16T13:19:59.999000+00:00,,9,,
EL,5m,1729084800000,2024-10-16T13:20:00+00:00,90,90.16,90,90.16,713,1729085099999,2024-10-16T13:24:59.999000+00:00,,14,,
EL,5m,1729085100000,2024-10-16T13:25:00+00:00,90.3,90.3,89.96,89.96,2991,1729085399999,2024-10-16T13:29:59.999000+00:00,,28,,
EL,5m,1729085400000,2024-10-16T13:30:00+00:00,90.01,90.7194,89.355,89.44,222987,1729085699999,2024-10-16T13:34:59.999000+00:00,,1810,,
EL,5m,1729085700000,2024-10-16T13:35:00+00:00,89.355,89.78,89.28,89.62,70502,1729085999999,2024-10-16T13:39:59.999000+00:00,,1040,,
EL,5m,1729086000000,2024-10-16T13:40:00+00:00,89.66,89.675,89.37,89.47,73594,1729086299999,2024-10-16T13:44:59.999000+00:00,,1022,,
EL,5m,1729086300000,2024-10-16T13:45:00+00:00,89.52,90.43,89.27,90.275,90618,1729086599999,2024-10-16T13:49:59.999000+00:00,,1357,,
EL,5m,1729086600000,2024-10-16T13:50:00+00:00,90.27,90.75,90.25,90.515,37354,1729086899999,2024-10-16T13:54:59.999000+00:00,,707,,
EL,5m,1729086900000,2024-10-16T13:55:00+00:00,90.502,91.25,90.502,91.1101,31721,1729087199999,2024-10-16T13:59:59.999000+00:00,,605,,
EL,5m,1729087200000,2024-10-16T14:00:00+00:00,91.125,91.27,90.84,90.95,43314,1729087499999,2024-10-16T14:04:59.999000+00:00,,732,,
EL,5m,1729087500000,2024-10-16T14:05:00+00:00,90.98,91.35,90.78,90.92,42732,1729087799999,2024-10-16T14:09:59.999000+00:00,,956,,
EL,5m,1729087800000,2024-10-16T14:10:00+00:00,90.98,90.98,90.66,90.89,38278,1729088099999,2024-10-16T14:14:59.999000+00:00,,755,,
EL,5m,1729088100000,2024-10-16T14:15:00+00:00,90.87,91.23,90.83,91.19,33299,1729088399999,2024-10-16T14:19:59.999000+00:00,,701,,
EL,5m,1729088400000,2024-10-16T14:20:00+00:00,91.16,91.18,91.03,91.055,25274,1729088699999,2024-10-16T14:24:59.999000+00:00,,436,,
EL,5m,1729088700000,2024-10-16T14:25:00+00:00,91.03,91.2,91.03,91.12,42982,1729088999999,2024-10-16T14:29:59.999000+00:00,,616,,
EL,5m,1729089000000,2024-10-16T14:30:00+00:00,91.115,91.2,91.08,91.155,21597,1729089299999,2024-10-16T14:34:59.999000+00:00,,469,,
EL,5m,1729089300000,2024-10-16T14:35:00+00:00,91.135,91.28,91.05,91.06,32862,1729089599999,2024-10-16T14:39:59.999000+00:00,,611,,
EL,5m,1729089600000,2024-10-16T14:40:00+00:00,91.09,91.09,90.6004,90.61,38674,1729089899999,2024-10-16T14:44:59.999000+00:00,,711,,
EL,5m,1729089900000,2024-10-16T14:45:00+00:00,90.67,90.78,90.575,90.66,33360,1729090199999,2024-10-16T14:49:59.999000+00:00,,515,,
EL,5m,1729090200000,2024-10-16T14:50:00+00:00,90.66,90.74,90.3,90.3599,42826,1729090499999,2024-10-16T14:54:59.999000+00:00,,667,,
EL,5m,1729090500000,2024-10-16T14:55:00+00:00,90.325,90.41,90.21,90.3849,48983,1729090799999,2024-10-16T14:59:59.999000+00:00,,773,,
EL,5m,1729090800000,2024-10-16T15:00:00+00:00,90.385,90.56,90.34,90.53,26945,1729091099999,2024-10-16T15:04:59.999000+00:00,,543,,
EL,5m,1729091100000,2024-10-16T15:05:00+00:00,90.54,90.77,90.4601,90.53,48309,1729091399999,2024-10-16T15:09:59.999000+00:00,,847,,
EL,5m,1729091400000,2024-10-16T15:10:00+00:00,90.52,90.71,90.43,90.62,24647,1729091699999,2024-10-16T15:14:59.999000+00:00,,456,,
EL,5m,1729091700000,2024-10-16T15:15:00+00:00,90.625,90.71,90.51,90.605,27351,1729091999999,2024-10-16T15:19:59.999000+00:00,,466,,
EL,5m,1729092000000,2024-10-16T15:20:00+00:00,90.605,90.61,90.25,90.31,32862,1729092299999,2024-10-16T15:24:59.999000+00:00,,601,,
EL,5m,1729092300000,2024-10-16T15:25:00+00:00,90.315,90.5,90.28,90.465,27858,1729092599999,2024-10-16T15:29:59.999000+00:00,,514,,
EL,5m,1729092600000,2024-10-16T15:30:00+00:00,90.44,90.54,90.34,90.46,47915,1729092899999,2024-10-16T15:34:59.999000+00:00,,806,,
EL,5m,1729092900000,2024-10-16T15:35:00+00:00,90.47,90.48,90.23,90.45,60713,1729093199999,2024-10-16T15:39:59.999000+00:00,,883,,
EL,5m,1729093200000,2024-10-16T15:40:00+00:00,90.48,90.54,90.27,90.29,19203,1729093499999,2024-10-16T15:44:59.999000+00:00,,383,,
EL,5m,1729093500000,2024-10-16T15:45:00+00:00,90.285,90.285,90.17,90.27,22732,1729093799999,2024-10-16T15:49:59.999000+00:00,,391,,
EL,5m,1729093800000,2024-10-16T15:50:00+00:00,90.29,90.46,90.29,90.405,20642,1729094099999,2024-10-16T15:54:59.999000+00:00,,407,,
EL,5m,1729094100000,2024-10-16T15:55:00+00:00,90.41,90.46,90.28,90.39,36325,1729094399999,2024-10-16T15:59:59.999000+00:00,,628,,
EL,5m,1729094400000,2024-10-16T16:00:00+00:00,90.395,90.62,90.35,90.45,23160,1729094699999,2024-10-16T16:04:59.999000+00:00,,396,,
EL,5m,1729094700000,2024-10-16T16:05:00+00:00,90.44,90.635,90.44,90.575,14434,1729094999999,2024-10-16T16:09:59.999000+00:00,,311,,
EL,5m,1729095000000,2024-10-16T16:10:00+00:00,90.56,90.965,90.56,90.89,45284,1729095299999,2024-10-16T16:14:59.999000+00:00,,575,,
EL,5m,1729095300000,2024-10-16T16:15:00+00:00,90.92,90.93,90.76,90.92,20040,1729095599999,2024-10-16T16:19:59.999000+00:00,,326,,
EL,5m,1729095600000,2024-10-16T16:20:00+00:00,90.92,90.94,90.84,90.854,16650,1729095899999,2024-10-16T16:24:59.999000+00:00,,325,,
EL,5m,1729095900000,2024-10-16T16:25:00+00:00,90.855,90.87,90.67,90.68,12895,1729096199999,2024-10-16T16:29:59.999000+00:00,,306,,
EL,5m,1729096200000,2024-10-16T16:30:00+00:00,90.66,90.72,90.48,90.5,13821,1729096499999,2024-10-16T16:34:59.999000+00:00,,279,,
EL,5m,1729096500000,2024-10-16T16:35:00+00:00,90.51,90.64,90.49,90.595,30587,1729096799999,2024-10-16T16:39:59.999000+00:00,,363,,
EL,5m,1729096800000,2024-10-16T16:40:00+00:00,90.615,90.84,90.54,90.775,20298,1729097099999,2024-10-16T16:44:59.999000+00:00,,393,,
EL,5m,1729097100000,2024-10-16T16:45:00+00:00,90.79,90.86,90.74,90.74,15143,1729097399999,2024-10-16T16:49:59.999000+00:00,,348,,
EL,5m,1729097400000,2024-10-16T16:50:00+00:00,90.74,90.78,90.68,90.7,15451,1729097699999,2024-10-16T16:54:59.999000+00:00,,337,,
EL,5m,1729097700000,2024-10-16T16:55:00+00:00,90.72,90.82,90.69,90.81,14956,1729097999999,2024-10-16T16:59:59.999000+00:00,,298,,
EL,5m,1729098000000,2024-10-16T17:00:00+00:00,90.84,90.86,90.795,90.835,9853,1729098299999,2024-10-16T17:04:59.999000+00:00,,257,,
EL,5m,1729098300000,2024-10-16T17:05:00+00:00,90.83,90.85,90.78,90.84,10686,1729098599999,2024-10-16T17:09:59.999000+00:00,,285,,
EL,5m,1729098600000,2024-10-16T17:10:00+00:00,90.8392,90.86,90.7,90.715,13413,1729098899999,2024-10-16T17:14:59.999000+00:00,,289,,
EL,5m,1729098900000,2024-10-16T17:15:00+00:00,90.7,90.7,90.51,90.6,9964,1729099199999,2024-10-16T17:19:59.999000+00:00,,286,,
EL,5m,1729099200000,2024-10-16T17:20:00+00:00,90.61,90.73,90.61,90.73,13323,1729099499999,2024-10-16T17:24:59.999000+00:00,,287,,
EL,5m,1729099500000,2024-10-16T17:25:00+00:00,90.75,90.875,90.7387,90.81,17291,1729099799999,2024-10-16T17:29:59.999000+00:00,,368,,
EL,5m,1729099800000,2024-10-16T17:30:00+00:00,90.8,90.96,90.73,90.925,20627,1729100099999,2024-10-16T17:34:59.999000+00:00,,354,,
EL,5m,1729100100000,2024-10-16T17:35:00+00:00,90.93,90.98,90.84,90.98,15502,1729100399999,2024-10-16T17:39:59.999000+00:00,,318,,
EL,5m,1729100400000,2024-10-16T17:40:00+00:00,90.96,91,90.915,90.955,10048,1729100699999,2024-10-16T17:44:59.999000+00:00,,250,,
EL,5m,1729100700000,2024-10-16T17:45:00+00:00,90.97,91.02,90.93,91.015,15928,1729100999999,2024-10-16T17:49:59.999000+00:00,,331,,
EL,5m,1729101000000,2024-10-16T17:50:00+00:00,91.04,91.21,91.04,91.145,13568,1729101299999,2024-10-16T17:54:59.999000+00:00,,323,,
EL,5m,1729101300000,2024-10-16T17:55:00+00:00,91.145,91.19,91.1,91.14,14733,1729101599999,2024-10-16T17:59:59.999000+00:00,,318,,
EL,5m,1729101600000,2024-10-16T18:00:00+00:00,91.15,91.16,91.07,91.1018,8714,1729101899999,2024-10-16T18:04:59.999000+00:00,,241,,
EL,5m,1729101900000,2024-10-16T18:05:00+00:00,91.095,91.2399,91.03,91.185,21492,1729102199999,2024-10-16T18:09:59.999000+00:00,,441,,
EL,5m,1729102200000,2024-10-16T18:10:00+00:00,91.16,91.397,91.16,91.3687,32594,1729102499999,2024-10-16T18:14:59.999000+00:00,,431,,
EL,5m,1729102500000,2024-10-16T18:15:00+00:00,91.38,91.48,91.31,91.39,22429,1729102799999,2024-10-16T18:19:59.999000+00:00,,422,,
EL,5m,1729102800000,2024-10-16T18:20:00+00:00,91.38,91.46,91.37,91.38,14092,1729103099999,2024-10-16T18:24:59.999000+00:00,,304,,
EL,5m,1729103100000,2024-10-16T18:25:00+00:00,91.37,91.385,91.2629,91.31,10573,1729103399999,2024-10-16T18:29:59.999000+00:00,,275,,
EL,5m,1729103400000,2024-10-16T18:30:00+00:00,91.31,91.39,91.31,91.38,20163,1729103699999,2024-10-16T18:34:59.999000+00:00,,379,,
EL,5m,1729103700000,2024-10-16T18:35:00+00:00,91.365,91.4,91.325,91.35,11539,1729103999999,2024-10-16T18:39:59.999000+00:00,,275,,
EL,5m,1729104000000,2024-10-16T18:40:00+00:00,91.355,91.3799,91.21,91.21,16633,1729104299999,2024-10-16T18:44:59.999000+00:00,,289,,
