symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EME,5m,1729085400000,2024-10-16T13:30:00+00:00,447.21,447.21,445,445,2414,1729085699999,2024-10-16T13:34:59.999000+00:00,,32,,
EME,5m,1729085700000,2024-10-16T13:35:00+00:00,445.04,446.04,444.66,444.66,3056,1729085999999,2024-10-16T13:39:59.999000+00:00,,52,,
EME,5m,1729086000000,2024-10-16T13:40:00+00:00,444.5,444.5,444.5,444.5,412,1729086299999,2024-10-16T13:44:59.999000+00:00,,13,,
EME,5m,1729086300000,2024-10-16T13:45:00+00:00,445.15,445.63,444.375,445.4,3570,1729086599999,2024-10-16T13:49:59.999000+00:00,,287,,
EME,5m,1729086600000,2024-10-16T13:50:00+00:00,445.63,445.63,445.63,445.63,730,1729086899999,2024-10-16T13:54:59.999000+00:00,,32,,
EME,5m,1729086900000,2024-10-16T13:55:00+00:00,445.155,445.9,445.155,445.9,940,1729087199999,2024-10-16T13:59:59.999000+00:00,,32,,
EME,5m,1729087200000,2024-10-16T14:00:00+00:00,446.6,446.9,446.6,446.9,1502,1729087499999,2024-10-16T14:04:59.999000+00:00,,54,,
EME,5m,1729087500000,2024-10-16T14:05:00+00:00,446.23,447.525,446.23,447.525,851,1729087799999,2024-10-16T14:09:59.999000+00:00,,28,,
EME,5m,1729087800000,2024-10-16T14:10:00+00:00,447.75,449.5,447.12,448.6,4922,1729088099999,2024-10-16T14:14:59.999000+00:00,,131,,
EME,5m,1729088100000,2024-10-16T14:15:00+00:00,449.09,449.525,447.77,447.77,6025,1729088399999,2024-10-16T14:19:59.999000+00:00,,219,,
EME,5m,1729088700000,2024-10-16T14:25:00+00:00,448.28,448.64,447.955,448.2,6997,1729088999999,2024-10-16T14:29:59.999000+00:00,,150,,
EME,5m,1729089000000,2024-10-16T14:30:00+00:00,448.25,448.25,447.79,448.25,1112,1729089299999,2024-10-16T14:34:59.999000+00:00,,36,,
EME,5m,1729089300000,2024-10-16T14:35:00+00:00,449.62,450.218978,448.54,448.54,2297,1729089599999,2024-10-16T14:39:59.999000+00:00,,94,,
EME,5m,1729089600000,2024-10-16T14:40:00+00:00,448.54,448.54,448.54,448.54,445,1729089899999,2024-10-16T14:44:59.999000+00:00,,37,,
EME,5m,1729089900000,2024-10-16T14:45:00+00:00,449.53,449.53,449.53,449.53,594,1729090199999,2024-10-16T14:49:59.999000+00:00,,26,,
EME,5m,1729090200000,2024-10-16T14:50:00+00:00,450.09,450.09,449.73,449.73,418,1729090499999,2024-10-16T14:54:59.999000+00:00,,30,,
EME,5m,1729090500000,2024-10-16T14:55:00+00:00,450.48,450.48,448.96,450.155,2955,1729090799999,2024-10-16T14:59:59.999000+00:00,,120,,
EME,5m,1729090800000,2024-10-16T15:00:00+00:00,449.2402,450.025,448.56,448.97,2654,1729091099999,2024-10-16T15:04:59.999000+00:00,,102,,
EME,5m,1729091100000,2024-10-16T15:05:00+00:00,449.58,449.58,447.74,449.1,3489,1729091399999,2024-10-16T15:09:59.999000+00:00,,125,,
EME,5m,1729091400000,2024-10-16T15:10:00+00:00,448.49,450.04,448.49,450.04,858,1729091699999,2024-10-16T15:14:59.999000+00:00,,45,,
EME,5m,1729091700000,2024-10-16T15:15:00+00:00,450.185,450.185,450.185,450.185,330,1729091999999,2024-10-16T15:19:59.999000+00:00,,21,,
EME,5m,1729092000000,2024-10-16T15:20:00+00:00,450.6652,450.6652,450.6652,450.6652,124,1729092299999,2024-10-16T15:24:59.999000+00:00,,8,,
EME,5m,1729092300000,2024-10-16T15:25:00+00:00,450.44,450.44,449.92,449.92,1007,1729092599999,2024-10-16T15:29:59.999000+00:00,,47,,
EME,5m,1729092600000,2024-10-16T15:30:00+00:00,450.175,450.58,450.175,450.58,511,1729092899999,2024-10-16T15:34:59.999000+00:00,,36,,
EME,5m,1729092900000,2024-10-16T15:35:00+00:00,449.94,450.175,449.94,450.175,385,1729093199999,2024-10-16T15:39:59.999000+00:00,,16,,
