symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EPAM,5m,1729085400000,2024-10-16T13:30:00+00:00,198.6,199.3552,198.48,198.59,5459,1729085699999,2024-10-16T13:34:59.999000+00:00,,152,,
EPAM,5m,1729085700000,2024-10-16T13:35:00+00:00,199.5,199.9572,199.35,199.9572,2265,1729085999999,2024-10-16T13:39:59.999000+00:00,,87,,
EPAM,5m,1729086000000,2024-10-16T13:40:00+00:00,199.57,200.1,199.57,200.1,24723,1729086299999,2024-10-16T13:44:59.999000+00:00,,31,,
EPAM,5m,1729086300000,2024-10-16T13:45:00+00:00,200.23,201.61,200.23,201.61,74844,1729086599999,2024-10-16T13:49:59.999000+00:00,,516,,
EPAM,5m,1729086600000,2024-10-16T13:50:00+00:00,201.6,201.82,201.6,201.6,1020,1729086899999,2024-10-16T13:54:59.999000+00:00,,46,,
EPAM,5m,1729086900000,2024-10-16T13:55:00+00:00,201.58,201.82,201.37,201.61,7577,1729087199999,2024-10-16T13:59:59.999000+00:00,,200,,
EPAM,5m,1729087200000,2024-10-16T14:00:00+00:00,201.72,202.14,201.49,201.985,6660,1729087499999,2024-10-16T14:04:59.999000+00:00,,161,,
EPAM,5m,1729087500000,2024-10-16T14:05:00+00:00,202.49,203.99,200,203.81,166668,1729087799999,2024-10-16T14:09:59.999000+00:00,,611,,
EPAM,5m,1729087800000,2024-10-16T14:10:00+00:00,203.865,203.89,202.9335,202.9335,6392,1729088099999,2024-10-16T14:14:59.999000+00:00,,256,,
EPAM,5m,1729088100000,2024-10-16T14:15:00+00:00,203.31,203.59,203.1,203.475,4388,1729088399999,2024-10-16T14:19:59.999000+00:00,,127,,
EPAM,5m,1729088400000,2024-10-16T14:20:00+00:00,203.665,203.795,203.54,203.65,18026,1729088699999,2024-10-16T14:24:59.999000+00:00,,277,,
EPAM,5m,1729088700000,2024-10-16T14:25:00+00:00,203.74,203.74,203.53,203.63,3685,1729088999999,2024-10-16T14:29:59.999000+00:00,,79,,
EPAM,5m,1729089000000,2024-10-16T14:30:00+00:00,203.5,204.51,203.45,204.09,41905,1729089299999,2024-10-16T14:34:59.999000+00:00,,640,,
EPAM,5m,1729089300000,2024-10-16T14:35:00+00:00,204.015,204.105,203.2,203.4,8631,1729089599999,2024-10-16T14:39:59.999000+00:00,,232,,
EPAM,5m,1729089600000,2024-10-16T14:40:00+00:00,203.445,203.685,203.4,203.685,6801,1729089899999,2024-10-16T14:44:59.999000+00:00,,194,,
EPAM,5m,1729089900000,2024-10-16T14:45:00+00:00,203.69,203.7,203.345,203.43,58764,1729090199999,2024-10-16T14:49:59.999000+00:00,,174,,
EPAM,5m,1729090200000,2024-10-16T14:50:00+00:00,203.615,204.55,203.615,204.55,4522,1729090499999,2024-10-16T14:54:59.999000+00:00,,130,,
EPAM,5m,1729090500000,2024-10-16T14:55:00+00:00,204.38,204.38,204.12,204.235,3118,1729090799999,2024-10-16T14:59:59.999000+00:00,,86,,
EPAM,5m,1729090800000,2024-10-16T15:00:00+00:00,204.335,204.335,203.8,203.8,5325,1729091099999,2024-10-16T15:04:59.999000+00:00,,261,,
EPAM,5m,1729091100000,2024-10-16T15:05:00+00:00,203.41,203.63,203.4,203.4,1184,1729091399999,2024-10-16T15:09:59.999000+00:00,,32,,
EPAM,5m,1729091400000,2024-10-16T15:10:00+00:00,203.3301,203.76,203.3301,203.3953,7424,1729091699999,2024-10-16T15:14:59.999000+00:00,,168,,
EPAM,5m,1729091700000,2024-10-16T15:15:00+00:00,203.4,203.89,203.4,203.75,10750,1729091999999,2024-10-16T15:19:59.999000+00:00,,229,,
EPAM,5m,1729092000000,2024-10-16T15:20:00+00:00,203.885,203.885,203.69,203.69,968,1729092299999,2024-10-16T15:24:59.999000+00:00,,28,,
EPAM,5m,1729092300000,2024-10-16T15:25:00+00:00,203.67,203.68,203.57,203.57,2084,1729092599999,2024-10-16T15:29:59.999000+00:00,,63,,
EPAM,5m,1729092600000,2024-10-16T15:30:00+00:00,203.48,203.64,203.43,203.46,4837,1729092899999,2024-10-16T15:34:59.999000+00:00,,123,,
EPAM,5m,1729092900000,2024-10-16T15:35:00+00:00,203.46,203.525,203.4,203.45,6038,1729093199999,2024-10-16T15:39:59.999000+00:00,,180,,
EPAM,5m,1729093200000,2024-10-16T15:40:00+00:00,203.625,203.99,203.625,203.99,3285,1729093499999,2024-10-16T15:44:59.999000+00:00,,156,,
EPAM,5m,1729093500000,2024-10-16T15:45:00+00:00,203.985,204.17,203.86,204.03,1721,1729093799999,2024-10-16T15:49:59.999000+00:00,,79,,
EPAM,5m,1729093800000,2024-10-16T15:50:00+00:00,204.03,204.03,203.51,203.51,3459,1729094099999,2024-10-16T15:54:59.999000+00:00,,80,,
EPAM,5m,1729094100000,2024-10-16T15:55:00+00:00,203.51,203.52,203.51,203.51,846,1729094399999,2024-10-16T15:59:59.999000+00:00,,29,,
EPAM,5m,1729094400000,2024-10-16T16:00:00+00:00,203.91,204.25,203.91,204.1,5123,1729094699999,2024-10-16T16:04:59.999000+00:00,,96,,
EPAM,5m,1729094700000,2024-10-16T16:05:00+00:00,204.08,204.08,203.74,203.74,2805,1729094999999,2024-10-16T16:09:59.999000+00:00,,73,,
EPAM,5m,1729095000000,2024-10-16T16:10:00+00:00,203.67,203.8221,203.4,203.5,3836,1729095299999,2024-10-16T16:14:59.999000+00:00,,160,,
EPAM,5m,1729095300000,2024-10-16T16:15:00+00:00,203.38,203.57,203.38,203.51,3427,1729095599999,2024-10-16T16:19:59.999000+00:00,,81,,
EPAM,5m,1729095600000,2024-10-16T16:20:00+00:00,203.46,203.46,203.46,203.46,3519,1729095899999,2024-10-16T16:24:59.999000+00:00,,66,,
EPAM,5m,1729095900000,2024-10-16T16:25:00+00:00,203.5,203.54,203.45,203.5,12825,1729096199999,2024-10-16T16:29:59.999000+00:00,,251,,
