symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EQT,5m,1729070400000,2024-10-16T09:20:00+00:00,36.16,36.16,36.07,36.07,438,1729070699999,2024-10-16T09:24:59.999000+00:00,,11,,
EQT,5m,1729083000000,2024-10-16T12:50:00+00:00,36.29,36.3,36.29,36.3,660,1729083299999,2024-10-16T12:54:59.999000+00:00,,4,,
EQT,5m,1729085100000,2024-10-16T13:25:00+00:00,36.57,36.57,36.57,36.57,708,1729085399999,2024-10-16T13:29:59.999000+00:00,,7,,
EQT,5m,1729085400000,2024-10-16T13:30:00+00:00,36.49,36.7423,36.41,36.74,101362,1729085699999,2024-10-16T13:34:59.999000+00:00,,581,,
EQT,5m,1729085700000,2024-10-16T13:35:00+00:00,36.73,36.86,36.65,36.835,35407,1729085999999,2024-10-16T13:39:59.999000+00:00,,442,,
EQT,5m,1729086000000,2024-10-16T13:40:00+00:00,36.835,36.85,36.625,36.725,36402,1729086299999,2024-10-16T13:44:59.999000+00:00,,535,,
EQT,5m,1729086300000,2024-10-16T13:45:00+00:00,36.7,36.76,36.63,36.63,37146,1729086599999,2024-10-16T13:49:59.999000+00:00,,443,,
EQT,5m,1729086600000,2024-10-16T13:50:00+00:00,36.63,36.67,36.56,36.63,35464,1729086899999,2024-10-16T13:54:59.999000+00:00,,489,,
EQT,5m,1729086900000,2024-10-16T13:55:00+00:00,36.605,36.78,36.605,36.76,32164,1729087199999,2024-10-16T13:59:59.999000+00:00,,461,,
EQT,5m,1729087200000,2024-10-16T14:00:00+00:00,36.78,36.82,36.62,36.69,33817,1729087499999,2024-10-16T14:04:59.999000+00:00,,477,,
EQT,5m,1729087500000,2024-10-16T14:05:00+00:00,36.7,36.76,36.64,36.74,35247,1729087799999,2024-10-16T14:09:59.999000+00:00,,567,,
EQT,5m,1729087800000,2024-10-16T14:10:00+00:00,36.73,36.765,36.715,36.765,24985,1729088099999,2024-10-16T14:14:59.999000+00:00,,391,,
EQT,5m,1729088100000,2024-10-16T14:15:00+00:00,36.75,36.84,36.74,36.74,84414,1729088399999,2024-10-16T14:19:59.999000+00:00,,821,,
EQT,5m,1729088400000,2024-10-16T14:20:00+00:00,36.74,36.74,36.58,36.6099,35801,1729088699999,2024-10-16T14:24:59.999000+00:00,,494,,
EQT,5m,1729088700000,2024-10-16T14:25:00+00:00,36.6,36.65,36.56,36.5688,48083,1729088999999,2024-10-16T14:29:59.999000+00:00,,669,,
EQT,5m,1729089000000,2024-10-16T14:30:00+00:00,36.55,36.6,36.49,36.51,41103,1729089299999,2024-10-16T14:34:59.999000+00:00,,581,,
EQT,5m,1729089300000,2024-10-16T14:35:00+00:00,36.5094,36.57,36.49,36.55,30275,1729089599999,2024-10-16T14:39:59.999000+00:00,,543,,
EQT,5m,1729089600000,2024-10-16T14:40:00+00:00,36.54,36.56,36.49,36.51,36926,1729089899999,2024-10-16T14:44:59.999000+00:00,,511,,
EQT,5m,1729089900000,2024-10-16T14:45:00+00:00,36.51,36.63,36.51,36.63,19323,1729090199999,2024-10-16T14:49:59.999000+00:00,,342,,
EQT,5m,1729090200000,2024-10-16T14:50:00+00:00,36.61,36.66,36.61,36.655,25335,1729090499999,2024-10-16T14:54:59.999000+00:00,,397,,
