symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ERIE,5m,1729085400000,2024-10-16T13:30:00+00:00,525.65,525.65,525.65,525.65,759,1729085699999,2024-10-16T13:34:59.999000+00:00,,11,,
ERIE,5m,1729086300000,2024-10-16T13:45:00+00:00,524.26,524.26,523.5,523.5,1031,1729086599999,2024-10-16T13:49:59.999000+00:00,,35,,
ERIE,5m,1729086600000,2024-10-16T13:50:00+00:00,520.795,520.795,520.795,520.795,232,1729086899999,2024-10-16T13:54:59.999000+00:00,,5,,
ERIE,5m,1729086900000,2024-10-16T13:55:00+00:00,520.905,522.34,520.905,522.34,2410,1729087199999,2024-10-16T13:59:59.999000+00:00,,81,,
ERIE,5m,1729087200000,2024-10-16T14:00:00+00:00,523,523,522.21,522.985,1303,1729087499999,2024-10-16T14:04:59.999000+00:00,,33,,
ERIE,5m,1729087500000,2024-10-16T14:05:00+00:00,522.3656,522.53,522.3656,522.53,373,1729087799999,2024-10-16T14:09:59.999000+00:00,,15,,
ERIE,5m,1729087800000,2024-10-16T14:10:00+00:00,524.11,524.11,522.59,522.59,322,1729088099999,2024-10-16T14:14:59.999000+00:00,,30,,
ERIE,5m,1729088100000,2024-10-16T14:15:00+00:00,522.86,524.695,522.86,524.695,875,1729088399999,2024-10-16T14:19:59.999000+00:00,,49,,
ERIE,5m,1729088400000,2024-10-16T14:20:00+00:00,524,524,524,524,521,1729088699999,2024-10-16T14:24:59.999000+00:00,,35,,
ERIE,5m,1729088700000,2024-10-16T14:25:00+00:00,524,524,524,524,242,1729088999999,2024-10-16T14:29:59.999000+00:00,,7,,
ERIE,5m,1729089600000,2024-10-16T14:40:00+00:00,523.05,523.28,523.05,523.28,824,1729089899999,2024-10-16T14:44:59.999000+00:00,,26,,
ERIE,5m,1729090200000,2024-10-16T14:50:00+00:00,522.99,522.99,522.58,522.97,845,1729090499999,2024-10-16T14:54:59.999000+00:00,,56,,
ERIE,5m,1729090500000,2024-10-16T14:55:00+00:00,522.7,522.7,522.7,522.7,427,1729090799999,2024-10-16T14:59:59.999000+00:00,,29,,
