symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ESS,5m,1729085400000,2024-10-16T13:30:00+00:00,292.86,294.88,292.86,293.79,3505,1729085699999,2024-10-16T13:34:59.999000+00:00,,61,,
ESS,5m,1729085700000,2024-10-16T13:35:00+00:00,294.42,294.675,294.42,294.46,932,1729085999999,2024-10-16T13:39:59.999000+00:00,,60,,
ESS,5m,1729086300000,2024-10-16T13:45:00+00:00,295.465,295.95,295.465,295.95,1347,1729086599999,2024-10-16T13:49:59.999000+00:00,,18,,
ESS,5m,1729086600000,2024-10-16T13:50:00+00:00,295.872,296.24,295.872,296.24,1035,1729086899999,2024-10-16T13:54:59.999000+00:00,,40,,
ESS,5m,1729086900000,2024-10-16T13:55:00+00:00,295.715,296.59,295.715,296.59,924,1729087199999,2024-10-16T13:59:59.999000+00:00,,45,,
ESS,5m,1729087200000,2024-10-16T14:00:00+00:00,296.53,296.98,296.53,296.98,1101,1729087499999,2024-10-16T14:04:59.999000+00:00,,34,,
ESS,5m,1729087500000,2024-10-16T14:05:00+00:00,296.87,296.96,296.47,296.47,1652,1729087799999,2024-10-16T14:09:59.999000+00:00,,33,,
ESS,5m,1729087800000,2024-10-16T14:10:00+00:00,296.375,296.375,295.75,295.755,2402,1729088099999,2024-10-16T14:14:59.999000+00:00,,78,,
ESS,5m,1729088100000,2024-10-16T14:15:00+00:00,295.77,296.0746,295.74,295.74,1338,1729088399999,2024-10-16T14:19:59.999000+00:00,,41,,
ESS,5m,1729088400000,2024-10-16T14:20:00+00:00,295.395,295.44,295.135,295.33,4367,1729088699999,2024-10-16T14:24:59.999000+00:00,,71,,
ESS,5m,1729088700000,2024-10-16T14:25:00+00:00,295.6,295.6,294.68,294.68,2043,1729088999999,2024-10-16T14:29:59.999000+00:00,,66,,
ESS,5m,1729089000000,2024-10-16T14:30:00+00:00,294.38,294.55,294.38,294.52,1596,1729089299999,2024-10-16T14:34:59.999000+00:00,,48,,
ESS,5m,1729089300000,2024-10-16T14:35:00+00:00,294.545,294.81,294.54,294.81,1244,1729089599999,2024-10-16T14:39:59.999000+00:00,,40,,
ESS,5m,1729089600000,2024-10-16T14:40:00+00:00,294.7975,294.82,294.7975,294.82,647,1729089899999,2024-10-16T14:44:59.999000+00:00,,27,,
ESS,5m,1729089900000,2024-10-16T14:45:00+00:00,295.11,295.11,294.805,294.805,1222,1729090199999,2024-10-16T14:49:59.999000+00:00,,41,,
ESS,5m,1729090500000,2024-10-16T14:55:00+00:00,295.79,295.83,295.78,295.83,857,1729090799999,2024-10-16T14:59:59.999000+00:00,,40,,
ESS,5m,1729090800000,2024-10-16T15:00:00+00:00,296.08,296.08,295.68,295.68,843,1729091099999,2024-10-16T15:04:59.999000+00:00,,24,,
ESS,5m,1729091100000,2024-10-16T15:05:00+00:00,295.52,295.67,295.44,295.67,1612,1729091399999,2024-10-16T15:09:59.999000+00:00,,70,,
ESS,5m,1729091400000,2024-10-16T15:10:00+00:00,295.625,295.625,295.34,295.4475,1177,1729091699999,2024-10-16T15:14:59.999000+00:00,,31,,
ESS,5m,1729091700000,2024-10-16T15:15:00+00:00,295.45,295.47,295.28,295.42,2103,1729091999999,2024-10-16T15:19:59.999000+00:00,,54,,
