symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ES,5m,1729084800000,2024-10-16T13:20:00+00:00,65.69,65.69,65.69,65.69,200,1729085099999,2024-10-16T13:24:59.999000+00:00,,2,,
ES,5m,1729085400000,2024-10-16T13:30:00+00:00,65.72,65.73,65.28,65.495,26461,1729085699999,2024-10-16T13:34:59.999000+00:00,,230,,
ES,5m,1729085700000,2024-10-16T13:35:00+00:00,65.47,65.52,65.35,65.37,24802,1729085999999,2024-10-16T13:39:59.999000+00:00,,370,,
ES,5m,1729086000000,2024-10-16T13:40:00+00:00,65.45,65.68,65.43,65.65,7948,1729086299999,2024-10-16T13:44:59.999000+00:00,,212,,
ES,5m,1729086300000,2024-10-16T13:45:00+00:00,65.67,65.8,65.64,65.675,17263,1729086599999,2024-10-16T13:49:59.999000+00:00,,338,,
ES,5m,1729086600000,2024-10-16T13:50:00+00:00,65.68,65.83,65.59,65.59,20388,1729086899999,2024-10-16T13:54:59.999000+00:00,,310,,
ES,5m,1729086900000,2024-10-16T13:55:00+00:00,65.6,65.83,65.6,65.83,29902,1729087199999,2024-10-16T13:59:59.999000+00:00,,298,,
ES,5m,1729087200000,2024-10-16T14:00:00+00:00,65.79,65.82,65.7,65.73,24665,1729087499999,2024-10-16T14:04:59.999000+00:00,,400,,
ES,5m,1729087500000,2024-10-16T14:05:00+00:00,65.72,65.73,65.66,65.67,21439,1729087799999,2024-10-16T14:09:59.999000+00:00,,368,,
ES,5m,1729087800000,2024-10-16T14:10:00+00:00,65.65,65.66,65.48,65.49,27346,1729088099999,2024-10-16T14:14:59.999000+00:00,,438,,
ES,5m,1729088100000,2024-10-16T14:15:00+00:00,65.48,65.61,65.45,65.6,22591,1729088399999,2024-10-16T14:19:59.999000+00:00,,335,,
ES,5m,1729088400000,2024-10-16T14:20:00+00:00,65.61,65.62,65.51,65.51,14301,1729088699999,2024-10-16T14:24:59.999000+00:00,,291,,
ES,5m,1729088700000,2024-10-16T14:25:00+00:00,65.52,65.54,65.46,65.48,8764,1729088999999,2024-10-16T14:29:59.999000+00:00,,204,,
ES,5m,1729089000000,2024-10-16T14:30:00+00:00,65.48,65.52,65.44,65.45,9866,1729089299999,2024-10-16T14:34:59.999000+00:00,,234,,
ES,5m,1729089300000,2024-10-16T14:35:00+00:00,65.47,65.555,65.465,65.53,9970,1729089599999,2024-10-16T14:39:59.999000+00:00,,209,,
ES,5m,1729089600000,2024-10-16T14:40:00+00:00,65.55,65.59,65.54,65.58,9464,1729089899999,2024-10-16T14:44:59.999000+00:00,,188,,
ES,5m,1729089900000,2024-10-16T14:45:00+00:00,65.605,65.61,65.43,65.445,8427,1729090199999,2024-10-16T14:49:59.999000+00:00,,210,,
ES,5m,1729090200000,2024-10-16T14:50:00+00:00,65.45,65.5,65.435,65.49,9291,1729090499999,2024-10-16T14:54:59.999000+00:00,,242,,
ES,5m,1729090500000,2024-10-16T14:55:00+00:00,65.5,65.55,65.484,65.55,10139,1729090799999,2024-10-16T14:59:59.999000+00:00,,228,,
ES,5m,1729090800000,2024-10-16T15:00:00+00:00,65.58,65.58,65.48,65.48,13111,1729091099999,2024-10-16T15:04:59.999000+00:00,,268,,
ES,5m,1729091100000,2024-10-16T15:05:00+00:00,65.47,65.6406,65.47,65.59,27707,1729091399999,2024-10-16T15:09:59.999000+00:00,,316,,
ES,5m,1729091400000,2024-10-16T15:10:00+00:00,65.58,65.62,65.54,65.56,16364,1729091699999,2024-10-16T15:14:59.999000+00:00,,224,,
ES,5m,1729091700000,2024-10-16T15:15:00+00:00,65.56,65.61,65.55,65.59,13051,1729091999999,2024-10-16T15:19:59.999000+00:00,,270,,
ES,5m,1729092000000,2024-10-16T15:20:00+00:00,65.59,65.65,65.585,65.64,22756,1729092299999,2024-10-16T15:24:59.999000+00:00,,416,,
ES,5m,1729092300000,2024-10-16T15:25:00+00:00,65.64,65.675,65.595,65.645,28313,1729092599999,2024-10-16T15:29:59.999000+00:00,,520,,
ES,5m,1729092600000,2024-10-16T15:30:00+00:00,65.65,65.76,65.65,65.75,12680,1729092899999,2024-10-16T15:34:59.999000+00:00,,307,,
ES,5m,1729092900000,2024-10-16T15:35:00+00:00,65.74,65.76,65.69,65.75,11954,1729093199999,2024-10-16T15:39:59.999000+00:00,,278,,
ES,5m,1729093200000,2024-10-16T15:40:00+00:00,65.77,65.82,65.73,65.79,22965,1729093499999,2024-10-16T15:44:59.999000+00:00,,310,,
ES,5m,1729093500000,2024-10-16T15:45:00+00:00,65.8,65.81,65.765,65.78,12992,1729093799999,2024-10-16T15:49:59.999000+00:00,,280,,
ES,5m,1729093800000,2024-10-16T15:50:00+00:00,65.775,65.81,65.66,65.68,17471,1729094099999,2024-10-16T15:54:59.999000+00:00,,355,,
