symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
EW,5m,1729085100000,2024-10-16T13:25:00+00:00,68.49,68.49,68.49,68.49,100,1729085399999,2024-10-16T13:29:59.999000+00:00,,1,,
EW,5m,1729085400000,2024-10-16T13:30:00+00:00,68.73,68.73,68.24,68.24,61890,1729085699999,2024-10-16T13:34:59.999000+00:00,,277,,
EW,5m,1729085700000,2024-10-16T13:35:00+00:00,68.2,68.22,68,68.07,23905,1729085999999,2024-10-16T13:39:59.999000+00:00,,317,,
EW,5m,1729086000000,2024-10-16T13:40:00+00:00,68.08,68.125,67.65,67.71,41666,1729086299999,2024-10-16T13:44:59.999000+00:00,,601,,
EW,5m,1729086300000,2024-10-16T13:45:00+00:00,67.72,68.05,67.655,67.8,60019,1729086599999,2024-10-16T13:49:59.999000+00:00,,851,,
EW,5m,1729086600000,2024-10-16T13:50:00+00:00,67.78,68.09,67.78,67.895,106616,1729086899999,2024-10-16T13:54:59.999000+00:00,,989,,
EW,5m,1729086900000,2024-10-16T13:55:00+00:00,67.92,68.34,67.92,68.15,36429,1729087199999,2024-10-16T13:59:59.999000+00:00,,654,,
EW,5m,1729087200000,2024-10-16T14:00:00+00:00,68.16,68.55,68.1,68.525,90574,1729087499999,2024-10-16T14:04:59.999000+00:00,,836,,
EW,5m,1729087500000,2024-10-16T14:05:00+00:00,68.53,68.61,68.32,68.385,38244,1729087799999,2024-10-16T14:09:59.999000+00:00,,670,,
EW,5m,1729087800000,2024-10-16T14:10:00+00:00,68.37,68.39,68.185,68.28,47247,1729088099999,2024-10-16T14:14:59.999000+00:00,,744,,
EW,5m,1729088100000,2024-10-16T14:15:00+00:00,68.28,68.31,68.12,68.12,81471,1729088399999,2024-10-16T14:19:59.999000+00:00,,1105,,
EW,5m,1729088400000,2024-10-16T14:20:00+00:00,68.125,68.18,68.05,68.13,41067,1729088699999,2024-10-16T14:24:59.999000+00:00,,544,,
EW,5m,1729088700000,2024-10-16T14:25:00+00:00,68.12,68.29,68.12,68.185,37881,1729088999999,2024-10-16T14:29:59.999000+00:00,,561,,
EW,5m,1729089000000,2024-10-16T14:30:00+00:00,68.17,68.345,68.16,68.29,46199,1729089299999,2024-10-16T14:34:59.999000+00:00,,578,,
EW,5m,1729089300000,2024-10-16T14:35:00+00:00,68.31,68.33,68.23,68.245,52359,1729089599999,2024-10-16T14:39:59.999000+00:00,,697,,
EW,5m,1729089600000,2024-10-16T14:40:00+00:00,68.2425,68.29,68.19,68.21,63237,1729089899999,2024-10-16T14:44:59.999000+00:00,,862,,
EW,5m,1729089900000,2024-10-16T14:45:00+00:00,68.21,68.23,67.95,68.02,94529,1729090199999,2024-10-16T14:49:59.999000+00:00,,1204,,
EW,5m,1729090200000,2024-10-16T14:50:00+00:00,68.07,68.47,68.06,68.47,101866,1729090499999,2024-10-16T14:54:59.999000+00:00,,799,,
EW,5m,1729090500000,2024-10-16T14:55:00+00:00,68.47,68.485,68.375,68.44,38304,1729090799999,2024-10-16T14:59:59.999000+00:00,,608,,
EW,5m,1729090800000,2024-10-16T15:00:00+00:00,68.42,68.42,68.265,68.35,36106,1729091099999,2024-10-16T15:04:59.999000+00:00,,526,,
EW,5m,1729091100000,2024-10-16T15:05:00+00:00,68.36,68.38,68.29,68.331,28667,1729091399999,2024-10-16T15:09:59.999000+00:00,,472,,
EW,5m,1729091400000,2024-10-16T15:10:00+00:00,68.33,68.34,68.28,68.335,23378,1729091699999,2024-10-16T15:14:59.999000+00:00,,383,,
EW,5m,1729091700000,2024-10-16T15:15:00+00:00,68.335,68.38,68.25,68.265,20478,1729091999999,2024-10-16T15:19:59.999000+00:00,,401,,
EW,5m,1729092000000,2024-10-16T15:20:00+00:00,68.26,68.42,68.18,68.35,86642,1729092299999,2024-10-16T15:24:59.999000+00:00,,762,,
EW,5m,1729092300000,2024-10-16T15:25:00+00:00,68.355,68.38,68.25,68.2801,19909,1729092599999,2024-10-16T15:29:59.999000+00:00,,391,,
EW,5m,1729092600000,2024-10-16T15:30:00+00:00,68.28,68.28,68.15,68.16,18966,1729092899999,2024-10-16T15:34:59.999000+00:00,,450,,
EW,5m,1729092900000,2024-10-16T15:35:00+00:00,68.15,68.38,68.125,68.37,59723,1729093199999,2024-10-16T15:39:59.999000+00:00,,585,,
EW,5m,1729093200000,2024-10-16T15:40:00+00:00,68.37,68.42,68.35,68.35,21468,1729093499999,2024-10-16T15:44:59.999000+00:00,,450,,
EW,5m,1729093500000,2024-10-16T15:45:00+00:00,68.35,68.35,68.25,68.27,24385,1729093799999,2024-10-16T15:49:59.999000+00:00,,498,,
EW,5m,1729093800000,2024-10-16T15:50:00+00:00,68.27,68.275,68.11,68.11,32602,1729094099999,2024-10-16T15:54:59.999000+00:00,,493,,
EW,5m,1729094100000,2024-10-16T15:55:00+00:00,68.11,68.17,68.07,68.07,37248,1729094399999,2024-10-16T15:59:59.999000+00:00,,652,,
EW,5m,1729094400000,2024-10-16T16:00:00+00:00,68.08,68.23,68.06,68.15,21532,1729094699999,2024-10-16T16:04:59.999000+00:00,,485,,
EW,5m,1729094700000,2024-10-16T16:05:00+00:00,68.16,68.17,68.116,68.15,18563,1729094999999,2024-10-16T16:09:59.999000+00:00,,398,,
EW,5m,1729095000000,2024-10-16T16:10:00+00:00,68.15,68.15,68.02,68.07,26716,1729095299999,2024-10-16T16:14:59.999000+00:00,,505,,
EW,5m,1729095300000,2024-10-16T16:15:00+00:00,68.08,68.12,68.04,68.1,25001,1729095599999,2024-10-16T16:19:59.999000+00:00,,427,,
