symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FCX,5m,1729065600000,2024-10-16T08:00:00+00:00,47.57,47.57,47.46,47.46,1000,1729065899999,2024-10-16T08:04:59.999000+00:00,,8,,
FCX,5m,1729070700000,2024-10-16T09:25:00+00:00,48,48.01,48,48.01,1352,1729070999999,2024-10-16T09:29:59.999000+00:00,,8,,
FCX,5m,1729076100000,2024-10-16T10:55:00+00:00,47.87,47.87,47.76,47.77,3210,1729076399999,2024-10-16T10:59:59.999000+00:00,,41,,
FCX,5m,1729076400000,2024-10-16T11:00:00+00:00,47.85,47.87,47.85,47.87,1026,1729076699999,2024-10-16T11:04:59.999000+00:00,,7,,
FCX,5m,1729078500000,2024-10-16T11:35:00+00:00,47.85,47.85,47.85,47.85,1000,1729078799999,2024-10-16T11:39:59.999000+00:00,,17,,
FCX,5m,1729079400000,2024-10-16T11:50:00+00:00,47.86,47.86,47.85,47.85,3640,1729079699999,2024-10-16T11:54:59.999000+00:00,,9,,
FCX,5m,1729079700000,2024-10-16T11:55:00+00:00,47.87,47.91,47.87,47.91,1170,1729079999999,2024-10-16T11:59:59.999000+00:00,,10,,
FCX,5m,1729080000000,2024-10-16T12:00:00+00:00,47.85,47.9445,47.3,47.54,5212,1729080299999,2024-10-16T12:04:59.999000+00:00,,52,,
FCX,5m,1729080600000,2024-10-16T12:10:00+00:00,47.86,47.894,47.84,47.894,1663,1729080899999,2024-10-16T12:14:59.999000+00:00,,10,,
FCX,5m,1729080900000,2024-10-16T12:15:00+00:00,47.9,47.9,47.9,47.9,2000,1729081199999,2024-10-16T12:19:59.999000+00:00,,2,,
FCX,5m,1729081200000,2024-10-16T12:20:00+00:00,47.84,47.84,47.84,47.84,320,1729081499999,2024-10-16T12:24:59.999000+00:00,,3,,
FCX,5m,1729082400000,2024-10-16T12:40:00+00:00,47.79,47.82,47.79,47.82,750,1729082699999,2024-10-16T12:44:59.999000+00:00,,8,,
FCX,5m,1729082700000,2024-10-16T12:45:00+00:00,47.79,47.79,47.78,47.78,1379,1729082999999,2024-10-16T12:49:59.999000+00:00,,9,,
FCX,5m,1729083300000,2024-10-16T12:55:00+00:00,47.76,47.76,47.75,47.75,400,1729083599999,2024-10-16T12:59:59.999000+00:00,,2,,
FCX,5m,1729083600000,2024-10-16T13:00:00+00:00,47.73,47.76,47.73,47.76,1341,1729083899999,2024-10-16T13:04:59.999000+00:00,,5,,
FCX,5m,1729084200000,2024-10-16T13:10:00+00:00,47.65,47.65,47.65,47.65,715,1729084499999,2024-10-16T13:14:59.999000+00:00,,11,,
FCX,5m,1729084800000,2024-10-16T13:20:00+00:00,47.64,47.64,47.64,47.64,500,1729085099999,2024-10-16T13:24:59.999000+00:00,,4,,
FCX,5m,1729085100000,2024-10-16T13:25:00+00:00,47.64,47.86,47.64,47.86,8736,1729085399999,2024-10-16T13:29:59.999000+00:00,,28,,
FCX,5m,1729085400000,2024-10-16T13:30:00+00:00,47.81,47.91,47.75,47.89,48806,1729085699999,2024-10-16T13:34:59.999000+00:00,,665,,
FCX,5m,1729085700000,2024-10-16T13:35:00+00:00,47.885,47.94,47.67,47.87,279977,1729085999999,2024-10-16T13:39:59.999000+00:00,,1819,,
FCX,5m,1729086000000,2024-10-16T13:40:00+00:00,47.86,47.87,47.65,47.75,119486,1729086299999,2024-10-16T13:44:59.999000+00:00,,1422,,
FCX,5m,1729086300000,2024-10-16T13:45:00+00:00,47.76,47.8,47.525,47.545,101229,1729086599999,2024-10-16T13:49:59.999000+00:00,,1187,,
FCX,5m,1729086600000,2024-10-16T13:50:00+00:00,47.55,47.55,47.33,47.48,94255,1729086899999,2024-10-16T13:54:59.999000+00:00,,1203,,
FCX,5m,1729086900000,2024-10-16T13:55:00+00:00,47.48,47.545,47.43,47.515,99968,1729087199999,2024-10-16T13:59:59.999000+00:00,,1269,,
FCX,5m,1729087200000,2024-10-16T14:00:00+00:00,47.515,47.605,47.468,47.565,186602,1729087499999,2024-10-16T14:04:59.999000+00:00,,1255,,
FCX,5m,1729087500000,2024-10-16T14:05:00+00:00,47.56,47.645,47.46,47.6375,109948,1729087799999,2024-10-16T14:09:59.999000+00:00,,1355,,
FCX,5m,1729087800000,2024-10-16T14:10:00+00:00,47.63,47.82,47.6,47.815,137391,1729088099999,2024-10-16T14:14:59.999000+00:00,,1106,,
FCX,5m,1729088100000,2024-10-16T14:15:00+00:00,47.815,47.97,47.815,47.905,246187,1729088399999,2024-10-16T14:19:59.999000+00:00,,2192,,
FCX,5m,1729088400000,2024-10-16T14:20:00+00:00,47.9,47.91,47.8,47.88,232706,1729088699999,2024-10-16T14:24:59.999000+00:00,,1678,,
FCX,5m,1729088700000,2024-10-16T14:25:00+00:00,47.865,48.07,47.85,47.86,146731,1729088999999,2024-10-16T14:29:59.999000+00:00,,1571,,
FCX,5m,1729089000000,2024-10-16T14:30:00+00:00,47.86,47.8758,47.67,47.6953,163692,1729089299999,2024-10-16T14:34:59.999000+00:00,,1435,,
FCX,5m,1729089300000,2024-10-16T14:35:00+00:00,47.69,47.715,47.58,47.58,49980,1729089599999,2024-10-16T14:39:59.999000+00:00,,645,,
FCX,5m,1729089600000,2024-10-16T14:40:00+00:00,47.58,47.61,47.51,47.59,62327,1729089899999,2024-10-16T14:44:59.999000+00:00,,857,,
FCX,5m,1729089900000,2024-10-16T14:45:00+00:00,47.585,47.74,47.585,47.65,53747,1729090199999,2024-10-16T14:49:59.999000+00:00,,669,,
FCX,5m,1729090200000,2024-10-16T14:50:00+00:00,47.64,47.7799,47.64,47.737,67818,1729090499999,2024-10-16T14:54:59.999000+00:00,,774,,
FCX,5m,1729090500000,2024-10-16T14:55:00+00:00,47.725,47.793,47.71,47.79,45554,1729090799999,2024-10-16T14:59:59.999000+00:00,,698,,
FCX,5m,1729090800000,2024-10-16T15:00:00+00:00,47.79,47.79,47.63,47.64,94456,1729091099999,2024-10-16T15:04:59.999000+00:00,,932,,
FCX,5m,1729091100000,2024-10-16T15:05:00+00:00,47.64,47.68,47.555,47.68,80674,1729091399999,2024-10-16T15:09:59.999000+00:00,,777,,
FCX,5m,1729091400000,2024-10-16T15:10:00+00:00,47.68,47.78,47.66,47.78,79930,1729091699999,2024-10-16T15:14:59.999000+00:00,,757,,
FCX,5m,1729091700000,2024-10-16T15:15:00+00:00,47.775,47.78,47.71,47.735,57390,1729091999999,2024-10-16T15:19:59.999000+00:00,,737,,
FCX,5m,1729092000000,2024-10-16T15:20:00+00:00,47.735,47.83,47.7,47.79,53152,1729092299999,2024-10-16T15:24:59.999000+00:00,,743,,
FCX,5m,1729092300000,2024-10-16T15:25:00+00:00,47.79,47.84,47.76,47.82,59758,1729092599999,2024-10-16T15:29:59.999000+00:00,,719,,
FCX,5m,1729092600000,2024-10-16T15:30:00+00:00,47.82,47.825,47.76,47.8,48019,1729092899999,2024-10-16T15:34:59.999000+00:00,,603,,
FCX,5m,1729092900000,2024-10-16T15:35:00+00:00,47.795,47.92,47.785,47.905,124606,1729093199999,2024-10-16T15:39:59.999000+00:00,,1103,,
