symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FDS,5m,1729085400000,2024-10-16T13:30:00+00:00,468.01,468.01,468.01,468.01,1210,1729085699999,2024-10-16T13:34:59.999000+00:00,,14,,
FDS,5m,1729086000000,2024-10-16T13:40:00+00:00,467.88,468.03,467.88,468.03,870,1729086299999,2024-10-16T13:44:59.999000+00:00,,39,,
FDS,5m,1729086300000,2024-10-16T13:45:00+00:00,469.72,469.95,468.47,468.47,1050,1729086599999,2024-10-16T13:49:59.999000+00:00,,34,,
FDS,5m,1729086600000,2024-10-16T13:50:00+00:00,469.14,469.45,469.14,469.44,1003,1729086899999,2024-10-16T13:54:59.999000+00:00,,47,,
FDS,5m,1729086900000,2024-10-16T13:55:00+00:00,469.16,469.75,468.91,469.32,3512,1729087199999,2024-10-16T13:59:59.999000+00:00,,88,,
FDS,5m,1729087200000,2024-10-16T14:00:00+00:00,471.752,471.752,470.78,470.78,1008,1729087499999,2024-10-16T14:04:59.999000+00:00,,48,,
FDS,5m,1729087500000,2024-10-16T14:05:00+00:00,469.93,470.08,469.92,470.08,969,1729087799999,2024-10-16T14:09:59.999000+00:00,,56,,
FDS,5m,1729087800000,2024-10-16T14:10:00+00:00,468.99,469.475,468.81,469.475,3017,1729088099999,2024-10-16T14:14:59.999000+00:00,,93,,
FDS,5m,1729088100000,2024-10-16T14:15:00+00:00,471.09,471.09,470.965,470.965,962,1729088399999,2024-10-16T14:19:59.999000+00:00,,20,,
FDS,5m,1729088700000,2024-10-16T14:25:00+00:00,471.72,471.72,470.863,471.2,1719,1729088999999,2024-10-16T14:29:59.999000+00:00,,78,,
FDS,5m,1729089000000,2024-10-16T14:30:00+00:00,470.88,471.995,470.83,471.995,1908,1729089299999,2024-10-16T14:34:59.999000+00:00,,90,,
FDS,5m,1729089300000,2024-10-16T14:35:00+00:00,471.99,472.165,471.99,472.06,1833,1729089599999,2024-10-16T14:39:59.999000+00:00,,60,,
FDS,5m,1729089600000,2024-10-16T14:40:00+00:00,471.925,471.925,471.63,471.63,804,1729089899999,2024-10-16T14:44:59.999000+00:00,,37,,
FDS,5m,1729089900000,2024-10-16T14:45:00+00:00,470.99,471.37,470.775,470.775,1682,1729090199999,2024-10-16T14:49:59.999000+00:00,,59,,
FDS,5m,1729090200000,2024-10-16T14:50:00+00:00,469.885,470.64,469.885,470.64,4105,1729090499999,2024-10-16T14:54:59.999000+00:00,,94,,
FDS,5m,1729090500000,2024-10-16T14:55:00+00:00,470.34,470.34,470.34,470.34,421,1729090799999,2024-10-16T14:59:59.999000+00:00,,18,,
FDS,5m,1729090800000,2024-10-16T15:00:00+00:00,470.665,470.785,470.665,470.785,633,1729091099999,2024-10-16T15:04:59.999000+00:00,,13,,
FDS,5m,1729091100000,2024-10-16T15:05:00+00:00,470.665,471.36,470.635,471.36,1147,1729091399999,2024-10-16T15:09:59.999000+00:00,,52,,
FDS,5m,1729091400000,2024-10-16T15:10:00+00:00,471.9,471.9,471.9,471.9,1063,1729091699999,2024-10-16T15:14:59.999000+00:00,,49,,
FDS,5m,1729092000000,2024-10-16T15:20:00+00:00,472.08,472.08,471.995,471.995,619,1729092299999,2024-10-16T15:24:59.999000+00:00,,37,,
FDS,5m,1729092300000,2024-10-16T15:25:00+00:00,471.89,471.89,471.65,471.69,1567,1729092599999,2024-10-16T15:29:59.999000+00:00,,70,,
FDS,5m,1729093200000,2024-10-16T15:40:00+00:00,472.07,472.32,472.025,472.32,1328,1729093499999,2024-10-16T15:44:59.999000+00:00,,56,,
FDS,5m,1729093800000,2024-10-16T15:50:00+00:00,471.85,471.99,471.775,471.99,934,1729094099999,2024-10-16T15:54:59.999000+00:00,,40,,
FDS,5m,1729094100000,2024-10-16T15:55:00+00:00,472.015,472.015,472.015,472.015,343,1729094399999,2024-10-16T15:59:59.999000+00:00,,27,,
FDS,5m,1729094400000,2024-10-16T16:00:00+00:00,472.29,472.29,472.29,472.29,255,1729094699999,2024-10-16T16:04:59.999000+00:00,,8,,
FDS,5m,1729095000000,2024-10-16T16:10:00+00:00,471.88,472.38,471.88,472.38,1745,1729095299999,2024-10-16T16:14:59.999000+00:00,,74,,
FDS,5m,1729095300000,2024-10-16T16:15:00+00:00,472.09,472.26,472.09,472.24,758,1729095599999,2024-10-16T16:19:59.999000+00:00,,28,,
FDS,5m,1729095600000,2024-10-16T16:20:00+00:00,472.04,472.04,471.34,471.62,2387,1729095899999,2024-10-16T16:24:59.999000+00:00,,99,,
FDS,5m,1729095900000,2024-10-16T16:25:00+00:00,471.58,471.58,471.58,471.58,168,1729096199999,2024-10-16T16:29:59.999000+00:00,,9,,
FDS,5m,1729096200000,2024-10-16T16:30:00+00:00,471.94,471.975,471.81,471.81,960,1729096499999,2024-10-16T16:34:59.999000+00:00,,58,,
FDS,5m,1729096500000,2024-10-16T16:35:00+00:00,471.19,471.995,471.19,471.995,1661,1729096799999,2024-10-16T16:39:59.999000+00:00,,66,,
FDS,5m,1729097100000,2024-10-16T16:45:00+00:00,471.61,471.61,471.61,471.61,351,1729097399999,2024-10-16T16:49:59.999000+00:00,,11,,
FDS,5m,1729097700000,2024-10-16T16:55:00+00:00,471.685,471.685,471.685,471.685,144,1729097999999,2024-10-16T16:59:59.999000+00:00,,10,,
FDS,5m,1729098000000,2024-10-16T17:00:00+00:00,471.35,471.35,471.35,471.35,356,1729098299999,2024-10-16T17:04:59.999000+00:00,,14,,
FDS,5m,1729098300000,2024-10-16T17:05:00+00:00,471.68,471.68,471.68,471.68,119,1729098599999,2024-10-16T17:09:59.999000+00:00,,9,,
