symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FFIV,5m,1729080300000,2024-10-16T12:05:00+00:00,217.01,217.01,217.01,217.01,200,1729080599999,2024-10-16T12:09:59.999000+00:00,,2,,
FFIV,5m,1729085400000,2024-10-16T13:30:00+00:00,216.91,217.03,216.081,216.515,12794,1729085699999,2024-10-16T13:34:59.999000+00:00,,235,,
FFIV,5m,1729085700000,2024-10-16T13:35:00+00:00,216.465,216.935,216.09,216.09,2919,1729085999999,2024-10-16T13:39:59.999000+00:00,,124,,
FFIV,5m,1729086000000,2024-10-16T13:40:00+00:00,216.02,216.385,216,216.385,2836,1729086299999,2024-10-16T13:44:59.999000+00:00,,77,,
FFIV,5m,1729086300000,2024-10-16T13:45:00+00:00,216.5,216.82,216.47,216.82,3467,1729086599999,2024-10-16T13:49:59.999000+00:00,,106,,
FFIV,5m,1729086600000,2024-10-16T13:50:00+00:00,216.74,216.83,216.73,216.83,1654,1729086899999,2024-10-16T13:54:59.999000+00:00,,80,,
FFIV,5m,1729086900000,2024-10-16T13:55:00+00:00,216.91,216.94,216.75,216.81,3593,1729087199999,2024-10-16T13:59:59.999000+00:00,,110,,
FFIV,5m,1729087200000,2024-10-16T14:00:00+00:00,216.8,216.92,216.68,216.705,5643,1729087499999,2024-10-16T14:04:59.999000+00:00,,209,,
FFIV,5m,1729087500000,2024-10-16T14:05:00+00:00,216.705,217.135,216.705,216.83,6832,1729087799999,2024-10-16T14:09:59.999000+00:00,,225,,
FFIV,5m,1729087800000,2024-10-16T14:10:00+00:00,216.72,216.72,216.53,216.54,2708,1729088099999,2024-10-16T14:14:59.999000+00:00,,119,,
FFIV,5m,1729088100000,2024-10-16T14:15:00+00:00,216.705,216.84,216.57,216.57,2222,1729088399999,2024-10-16T14:19:59.999000+00:00,,99,,
FFIV,5m,1729088400000,2024-10-16T14:20:00+00:00,216.72,216.72,216.35,216.35,3641,1729088699999,2024-10-16T14:24:59.999000+00:00,,158,,
FFIV,5m,1729088700000,2024-10-16T14:25:00+00:00,216.555,216.555,216.31,216.39,2896,1729088999999,2024-10-16T14:29:59.999000+00:00,,132,,
FFIV,5m,1729089000000,2024-10-16T14:30:00+00:00,216.545,216.72,216.42,216.72,2505,1729089299999,2024-10-16T14:34:59.999000+00:00,,92,,
FFIV,5m,1729089300000,2024-10-16T14:35:00+00:00,216.58,216.609,216.3,216.3,4098,1729089599999,2024-10-16T14:39:59.999000+00:00,,189,,
FFIV,5m,1729089600000,2024-10-16T14:40:00+00:00,216.355,216.355,216.18,216.28,1131,1729089899999,2024-10-16T14:44:59.999000+00:00,,87,,
FFIV,5m,1729089900000,2024-10-16T14:45:00+00:00,216.4664,216.4664,215.985,216.06,3773,1729090199999,2024-10-16T14:49:59.999000+00:00,,154,,
FFIV,5m,1729090200000,2024-10-16T14:50:00+00:00,216.06,216.33,216.01,216.28,5480,1729090499999,2024-10-16T14:54:59.999000+00:00,,194,,
FFIV,5m,1729090500000,2024-10-16T14:55:00+00:00,216.27,216.42,216.22,216.42,816,1729090799999,2024-10-16T14:59:59.999000+00:00,,53,,
FFIV,5m,1729090800000,2024-10-16T15:00:00+00:00,216.2372,216.2372,216.2372,216.2372,266,1729091099999,2024-10-16T15:04:59.999000+00:00,,11,,
FFIV,5m,1729091100000,2024-10-16T15:05:00+00:00,216.2,216.49,216.12,216.12,2337,1729091399999,2024-10-16T15:09:59.999000+00:00,,152,,
FFIV,5m,1729091400000,2024-10-16T15:10:00+00:00,216.21,216.365,216.0801,216.365,5701,1729091699999,2024-10-16T15:14:59.999000+00:00,,174,,
FFIV,5m,1729091700000,2024-10-16T15:15:00+00:00,216.4,216.44,216.31,216.385,1885,1729091999999,2024-10-16T15:19:59.999000+00:00,,84,,
FFIV,5m,1729092000000,2024-10-16T15:20:00+00:00,216.33,216.37,216.26,216.31,3060,1729092299999,2024-10-16T15:24:59.999000+00:00,,129,,
FFIV,5m,1729092600000,2024-10-16T15:30:00+00:00,216.29,216.29,216.23,216.23,891,1729092899999,2024-10-16T15:34:59.999000+00:00,,65,,
FFIV,5m,1729092900000,2024-10-16T15:35:00+00:00,216.35,216.35,216.23,216.23,623,1729093199999,2024-10-16T15:39:59.999000+00:00,,37,,
