symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FITB,5m,1729080300000,2024-10-16T12:05:00+00:00,44.99,45,44.99,44.99,700,1729080599999,2024-10-16T12:09:59.999000+00:00,,5,,
FITB,5m,1729081200000,2024-10-16T12:20:00+00:00,44.95,44.95,44.95,44.95,100,1729081499999,2024-10-16T12:24:59.999000+00:00,,1,,
FITB,5m,1729082100000,2024-10-16T12:35:00+00:00,44.99,44.99,44.99,44.99,1000,1729082399999,2024-10-16T12:39:59.999000+00:00,,1,,
FITB,5m,1729085100000,2024-10-16T13:25:00+00:00,44.97,45,44.97,45,1772,1729085399999,2024-10-16T13:29:59.999000+00:00,,17,,
FITB,5m,1729085400000,2024-10-16T13:30:00+00:00,44.97,45.03,44.83,45.02,56218,1729085699999,2024-10-16T13:34:59.999000+00:00,,443,,
FITB,5m,1729085700000,2024-10-16T13:35:00+00:00,45.06,45.105,44.86,44.94,27812,1729085999999,2024-10-16T13:39:59.999000+00:00,,356,,
FITB,5m,1729086000000,2024-10-16T13:40:00+00:00,44.94,45.05,44.84,45.05,32911,1729086299999,2024-10-16T13:44:59.999000+00:00,,687,,
FITB,5m,1729086300000,2024-10-16T13:45:00+00:00,45.05,45.09,44.99,45.04,21902,1729086599999,2024-10-16T13:49:59.999000+00:00,,486,,
FITB,5m,1729086600000,2024-10-16T13:50:00+00:00,45.04,45.14,45.01,45.09,37370,1729086899999,2024-10-16T13:54:59.999000+00:00,,631,,
FITB,5m,1729086900000,2024-10-16T13:55:00+00:00,45.09,45.29,45.08,45.265,27673,1729087199999,2024-10-16T13:59:59.999000+00:00,,452,,
FITB,5m,1729087200000,2024-10-16T14:00:00+00:00,45.29,45.355,45.255,45.335,46438,1729087499999,2024-10-16T14:04:59.999000+00:00,,780,,
FITB,5m,1729087500000,2024-10-16T14:05:00+00:00,45.34,45.4,45.31,45.315,47608,1729087799999,2024-10-16T14:09:59.999000+00:00,,708,,
FITB,5m,1729087800000,2024-10-16T14:10:00+00:00,45.3,45.36,45.11,45.14,78803,1729088099999,2024-10-16T14:14:59.999000+00:00,,1045,,
