symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FOXA,5m,1729067400000,2024-10-16T08:30:00+00:00,42.23,42.31,42.23,42.31,390,1729067699999,2024-10-16T08:34:59.999000+00:00,,2,,
FOXA,5m,1729085400000,2024-10-16T13:30:00+00:00,41.78,41.92,41.74,41.92,24681,1729085699999,2024-10-16T13:34:59.999000+00:00,,143,,
FOXA,5m,1729085700000,2024-10-16T13:35:00+00:00,42.02,42.03,41.96,42.03,5603,1729085999999,2024-10-16T13:39:59.999000+00:00,,109,,
FOXA,5m,1729086000000,2024-10-16T13:40:00+00:00,42.03,42.04,41.97,42.04,6587,1729086299999,2024-10-16T13:44:59.999000+00:00,,174,,
FOXA,5m,1729086300000,2024-10-16T13:45:00+00:00,42.095,42.12,42.06,42.07,4167,1729086599999,2024-10-16T13:49:59.999000+00:00,,144,,
FOXA,5m,1729086600000,2024-10-16T13:50:00+00:00,42.07,42.07,41.96,41.96,5111,1729086899999,2024-10-16T13:54:59.999000+00:00,,145,,
FOXA,5m,1729086900000,2024-10-16T13:55:00+00:00,41.965,42.03,41.96,42.02,5523,1729087199999,2024-10-16T13:59:59.999000+00:00,,156,,
FOXA,5m,1729087200000,2024-10-16T14:00:00+00:00,42.015,42.05,41.995,42.045,18475,1729087499999,2024-10-16T14:04:59.999000+00:00,,348,,
FOXA,5m,1729087500000,2024-10-16T14:05:00+00:00,42.055,42.085,42.05,42.08,6582,1729087799999,2024-10-16T14:09:59.999000+00:00,,181,,
FOXA,5m,1729087800000,2024-10-16T14:10:00+00:00,42.08,42.085,41.995,42,7041,1729088099999,2024-10-16T14:14:59.999000+00:00,,224,,
FOXA,5m,1729088100000,2024-10-16T14:15:00+00:00,42.02,42.1,42.02,42.1,5845,1729088399999,2024-10-16T14:19:59.999000+00:00,,171,,
FOXA,5m,1729088400000,2024-10-16T14:20:00+00:00,42.11,42.17,42.105,42.13,7861,1729088699999,2024-10-16T14:24:59.999000+00:00,,210,,
FOXA,5m,1729088700000,2024-10-16T14:25:00+00:00,42.145,42.17,42.14,42.145,7497,1729088999999,2024-10-16T14:29:59.999000+00:00,,215,,
FOXA,5m,1729089000000,2024-10-16T14:30:00+00:00,42.14,42.185,42.11,42.18,9671,1729089299999,2024-10-16T14:34:59.999000+00:00,,276,,
FOXA,5m,1729089300000,2024-10-16T14:35:00+00:00,42.19,42.195,42.155,42.175,7211,1729089599999,2024-10-16T14:39:59.999000+00:00,,163,,
FOXA,5m,1729089600000,2024-10-16T14:40:00+00:00,42.175,42.19,42.15,42.175,8929,1729089899999,2024-10-16T14:44:59.999000+00:00,,238,,
FOXA,5m,1729089900000,2024-10-16T14:45:00+00:00,42.18,42.18,42.125,42.125,6536,1729090199999,2024-10-16T14:49:59.999000+00:00,,163,,
FOXA,5m,1729090200000,2024-10-16T14:50:00+00:00,42.14,42.155,42.1325,42.15,5699,1729090499999,2024-10-16T14:54:59.999000+00:00,,190,,
FOXA,5m,1729090500000,2024-10-16T14:55:00+00:00,42.135,42.135,42.1,42.135,7598,1729090799999,2024-10-16T14:59:59.999000+00:00,,235,,
FOXA,5m,1729090800000,2024-10-16T15:00:00+00:00,42.135,42.16,42.125,42.14,5091,1729091099999,2024-10-16T15:04:59.999000+00:00,,191,,
FOXA,5m,1729091100000,2024-10-16T15:05:00+00:00,42.14,42.145,42.135,42.145,4167,1729091399999,2024-10-16T15:09:59.999000+00:00,,147,,
FOXA,5m,1729091400000,2024-10-16T15:10:00+00:00,42.135,42.155,42.105,42.13,7735,1729091699999,2024-10-16T15:14:59.999000+00:00,,234,,
FOXA,5m,1729091700000,2024-10-16T15:15:00+00:00,42.12,42.13,42.115,42.13,4447,1729091999999,2024-10-16T15:19:59.999000+00:00,,139,,
FOXA,5m,1729092000000,2024-10-16T15:20:00+00:00,42.12,42.12,42.1,42.105,4436,1729092299999,2024-10-16T15:24:59.999000+00:00,,140,,
FOXA,5m,1729092300000,2024-10-16T15:25:00+00:00,42.11,42.115,42.085,42.1,7091,1729092599999,2024-10-16T15:29:59.999000+00:00,,200,,
FOXA,5m,1729092600000,2024-10-16T15:30:00+00:00,42.09,42.105,42.065,42.07,4739,1729092899999,2024-10-16T15:34:59.999000+00:00,,190,,
FOXA,5m,1729092900000,2024-10-16T15:35:00+00:00,42.065,42.07,42.04,42.04,5170,1729093199999,2024-10-16T15:39:59.999000+00:00,,111,,
FOXA,5m,1729093200000,2024-10-16T15:40:00+00:00,42.03,42.04,42.015,42.03,5978,1729093499999,2024-10-16T15:44:59.999000+00:00,,175,,
FOXA,5m,1729093500000,2024-10-16T15:45:00+00:00,42.03,42.04,42.005,42.02,7778,1729093799999,2024-10-16T15:49:59.999000+00:00,,160,,
FOXA,5m,1729093800000,2024-10-16T15:50:00+00:00,42.03,42.03,41.985,41.985,4271,1729094099999,2024-10-16T15:54:59.999000+00:00,,100,,
FOXA,5m,1729094100000,2024-10-16T15:55:00+00:00,41.99,42.01,41.985,41.99,4741,1729094399999,2024-10-16T15:59:59.999000+00:00,,157,,
FOXA,5m,1729094400000,2024-10-16T16:00:00+00:00,42,42.005,41.99,42,5356,1729094699999,2024-10-16T16:04:59.999000+00:00,,134,,
FOXA,5m,1729094700000,2024-10-16T16:05:00+00:00,41.99,42,41.985,41.995,3891,1729094999999,2024-10-16T16:09:59.999000+00:00,,105,,
FOXA,5m,1729095000000,2024-10-16T16:10:00+00:00,41.995,42.02,41.975,42.02,14261,1729095299999,2024-10-16T16:14:59.999000+00:00,,243,,
FOXA,5m,1729095300000,2024-10-16T16:15:00+00:00,42.01,42.01,41.99,42.01,10459,1729095599999,2024-10-16T16:19:59.999000+00:00,,168,,
FOXA,5m,1729095600000,2024-10-16T16:20:00+00:00,42.02,42.03,42.01,42.025,5353,1729095899999,2024-10-16T16:24:59.999000+00:00,,144,,
FOXA,5m,1729095900000,2024-10-16T16:25:00+00:00,42.02,42.03,42.015,42.02,5250,1729096199999,2024-10-16T16:29:59.999000+00:00,,155,,
FOXA,5m,1729096200000,2024-10-16T16:30:00+00:00,42.02,42.04,42.02,42.04,6285,1729096499999,2024-10-16T16:34:59.999000+00:00,,171,,
FOXA,5m,1729096500000,2024-10-16T16:35:00+00:00,42.05,42.06,42.045,42.055,4909,1729096799999,2024-10-16T16:39:59.999000+00:00,,116,,
FOXA,5m,1729096800000,2024-10-16T16:40:00+00:00,42.055,42.06,42.055,42.06,3192,1729097099999,2024-10-16T16:44:59.999000+00:00,,98,,
FOXA,5m,1729097100000,2024-10-16T16:45:00+00:00,42.055,42.06,42.04,42.045,5491,1729097399999,2024-10-16T16:49:59.999000+00:00,,167,,
FOXA,5m,1729097400000,2024-10-16T16:50:00+00:00,42.045,42.055,42.025,42.03,8460,1729097699999,2024-10-16T16:54:59.999000+00:00,,207,,
FOXA,5m,1729097700000,2024-10-16T16:55:00+00:00,42.035,42.035,42.01,42.02,8413,1729097999999,2024-10-16T16:59:59.999000+00:00,,238,,
FOXA,5m,1729098000000,2024-10-16T17:00:00+00:00,42.03,42.075,42.03,42.06,6692,1729098299999,2024-10-16T17:04:59.999000+00:00,,174,,
FOXA,5m,1729098300000,2024-10-16T17:05:00+00:00,42.06,42.09,42.06,42.07,7434,1729098599999,2024-10-16T17:09:59.999000+00:00,,147,,
FOXA,5m,1729098600000,2024-10-16T17:10:00+00:00,42.06,42.09,42.055,42.09,4432,1729098899999,2024-10-16T17:14:59.999000+00:00,,148,,
FOXA,5m,1729098900000,2024-10-16T17:15:00+00:00,42.095,42.095,42.08,42.08,5567,1729099199999,2024-10-16T17:19:59.999000+00:00,,164,,
FOXA,5m,1729099200000,2024-10-16T17:20:00+00:00,42.07,42.08,42.07,42.08,1272,1729099499999,2024-10-16T17:24:59.999000+00:00,,43,,
