symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FOX,5m,1729085400000,2024-10-16T13:30:00+00:00,38.46,38.6,38.46,38.6,6139,1729085699999,2024-10-16T13:34:59.999000+00:00,,104,,
FOX,5m,1729085700000,2024-10-16T13:35:00+00:00,38.62,38.65,38.585,38.65,2918,1729085999999,2024-10-16T13:39:59.999000+00:00,,91,,
FOX,5m,1729086000000,2024-10-16T13:40:00+00:00,38.61,38.67,38.59,38.67,3369,1729086299999,2024-10-16T13:44:59.999000+00:00,,121,,
FOX,5m,1729086300000,2024-10-16T13:45:00+00:00,38.68,38.716,38.68,38.69,1886,1729086599999,2024-10-16T13:49:59.999000+00:00,,51,,
FOX,5m,1729086600000,2024-10-16T13:50:00+00:00,38.66,38.67,38.6,38.6,2466,1729086899999,2024-10-16T13:54:59.999000+00:00,,47,,
FOX,5m,1729086900000,2024-10-16T13:55:00+00:00,38.57,38.63,38.57,38.63,1629,1729087199999,2024-10-16T13:59:59.999000+00:00,,71,,
FOX,5m,1729087200000,2024-10-16T14:00:00+00:00,38.65,38.67,38.615,38.64,10426,1729087499999,2024-10-16T14:04:59.999000+00:00,,198,,
FOX,5m,1729087500000,2024-10-16T14:05:00+00:00,38.65,38.67,38.645,38.665,14373,1729087799999,2024-10-16T14:09:59.999000+00:00,,190,,
FOX,5m,1729087800000,2024-10-16T14:10:00+00:00,38.665,38.665,38.59,38.59,2427,1729088099999,2024-10-16T14:14:59.999000+00:00,,81,,
FOX,5m,1729088100000,2024-10-16T14:15:00+00:00,38.62,38.66,38.62,38.66,572,1729088399999,2024-10-16T14:19:59.999000+00:00,,28,,
FOX,5m,1729088400000,2024-10-16T14:20:00+00:00,38.69,38.72,38.69,38.72,1741,1729088699999,2024-10-16T14:24:59.999000+00:00,,50,,
FOX,5m,1729088700000,2024-10-16T14:25:00+00:00,38.715,38.735,38.715,38.715,1657,1729088999999,2024-10-16T14:29:59.999000+00:00,,60,,
FOX,5m,1729089000000,2024-10-16T14:30:00+00:00,38.71,38.76,38.695,38.76,4130,1729089299999,2024-10-16T14:34:59.999000+00:00,,98,,
FOX,5m,1729089300000,2024-10-16T14:35:00+00:00,38.76,38.76,38.74,38.75,1663,1729089599999,2024-10-16T14:39:59.999000+00:00,,50,,
FOX,5m,1729089600000,2024-10-16T14:40:00+00:00,38.75,38.75,38.72,38.75,3101,1729089899999,2024-10-16T14:44:59.999000+00:00,,78,,
FOX,5m,1729089900000,2024-10-16T14:45:00+00:00,38.735,38.735,38.69,38.71,3568,1729090199999,2024-10-16T14:49:59.999000+00:00,,84,,
FOX,5m,1729090200000,2024-10-16T14:50:00+00:00,38.71,38.71,38.705,38.71,1675,1729090499999,2024-10-16T14:54:59.999000+00:00,,64,,
FOX,5m,1729090500000,2024-10-16T14:55:00+00:00,38.69,38.71,38.68,38.71,895,1729090799999,2024-10-16T14:59:59.999000+00:00,,34,,
FOX,5m,1729090800000,2024-10-16T15:00:00+00:00,38.71,38.71,38.71,38.71,220,1729091099999,2024-10-16T15:04:59.999000+00:00,,11,,
FOX,5m,1729091100000,2024-10-16T15:05:00+00:00,38.71,38.715,38.705,38.71,1218,1729091399999,2024-10-16T15:09:59.999000+00:00,,56,,
FOX,5m,1729091400000,2024-10-16T15:10:00+00:00,38.71,38.715,38.69,38.715,2510,1729091699999,2024-10-16T15:14:59.999000+00:00,,68,,
FOX,5m,1729091700000,2024-10-16T15:15:00+00:00,38.705,38.71,38.7,38.71,1313,1729091999999,2024-10-16T15:19:59.999000+00:00,,51,,
FOX,5m,1729092000000,2024-10-16T15:20:00+00:00,38.68,38.7,38.68,38.69,3127,1729092299999,2024-10-16T15:24:59.999000+00:00,,53,,
FOX,5m,1729092300000,2024-10-16T15:25:00+00:00,38.69,38.69,38.67,38.675,1207,1729092599999,2024-10-16T15:29:59.999000+00:00,,66,,
FOX,5m,1729092600000,2024-10-16T15:30:00+00:00,38.68,38.68,38.65,38.65,2426,1729092899999,2024-10-16T15:34:59.999000+00:00,,66,,
FOX,5m,1729092900000,2024-10-16T15:35:00+00:00,38.65,38.65,38.61,38.61,1266,1729093199999,2024-10-16T15:39:59.999000+00:00,,39,,
FOX,5m,1729093200000,2024-10-16T15:40:00+00:00,38.62,38.62,38.6039,38.615,2252,1729093499999,2024-10-16T15:44:59.999000+00:00,,41,,
FOX,5m,1729093500000,2024-10-16T15:45:00+00:00,38.62,38.63,38.6,38.6,4454,1729093799999,2024-10-16T15:49:59.999000+00:00,,81,,
FOX,5m,1729093800000,2024-10-16T15:50:00+00:00,38.591,38.591,38.591,38.591,187,1729094099999,2024-10-16T15:54:59.999000+00:00,,10,,
FOX,5m,1729094100000,2024-10-16T15:55:00+00:00,38.57,38.58,38.57,38.58,807,1729094399999,2024-10-16T15:59:59.999000+00:00,,24,,
FOX,5m,1729094400000,2024-10-16T16:00:00+00:00,38.585,38.585,38.575,38.575,300,1729094699999,2024-10-16T16:04:59.999000+00:00,,8,,
FOX,5m,1729095000000,2024-10-16T16:10:00+00:00,38.581,38.581,38.56,38.57,1055,1729095299999,2024-10-16T16:14:59.999000+00:00,,31,,
FOX,5m,1729095300000,2024-10-16T16:15:00+00:00,38.59,38.605,38.58,38.605,2558,1729095599999,2024-10-16T16:19:59.999000+00:00,,49,,
