symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FSLR,5m,1729065600000,2024-10-16T08:00:00+00:00,202.89,202.89,202.89,202.89,316,1729065899999,2024-10-16T08:04:59.999000+00:00,,15,,
FSLR,5m,1729070100000,2024-10-16T09:15:00+00:00,203.87,203.87,203.87,203.87,222,1729070399999,2024-10-16T09:19:59.999000+00:00,,3,,
FSLR,5m,1729075500000,2024-10-16T10:45:00+00:00,203.81,203.81,203.81,203.81,103,1729075799999,2024-10-16T10:49:59.999000+00:00,,2,,
FSLR,5m,1729076700000,2024-10-16T11:05:00+00:00,203.8,203.8,203.8,203.8,153,1729076999999,2024-10-16T11:09:59.999000+00:00,,5,,
FSLR,5m,1729077300000,2024-10-16T11:15:00+00:00,203.73,203.73,203.4,203.4,449,1729077599999,2024-10-16T11:19:59.999000+00:00,,14,,
FSLR,5m,1729077900000,2024-10-16T11:25:00+00:00,203,203,203,203,198,1729078199999,2024-10-16T11:29:59.999000+00:00,,13,,
FSLR,5m,1729078800000,2024-10-16T11:40:00+00:00,203.74,203.75,203.74,203.75,748,1729079099999,2024-10-16T11:44:59.999000+00:00,,18,,
FSLR,5m,1729079100000,2024-10-16T11:45:00+00:00,203.75,204.25,203.75,204.25,903,1729079399999,2024-10-16T11:49:59.999000+00:00,,21,,
FSLR,5m,1729080000000,2024-10-16T12:00:00+00:00,203.02,204.5,202.5,204.5,4103,1729080299999,2024-10-16T12:04:59.999000+00:00,,151,,
FSLR,5m,1729080300000,2024-10-16T12:05:00+00:00,204.3,204.3,204.3,204.3,1600,1729080599999,2024-10-16T12:09:59.999000+00:00,,1,,
FSLR,5m,1729080900000,2024-10-16T12:15:00+00:00,204.28,205,204.28,205,1206,1729081199999,2024-10-16T12:19:59.999000+00:00,,26,,
FSLR,5m,1729082400000,2024-10-16T12:40:00+00:00,204.24,204.3,204.24,204.27,626,1729082699999,2024-10-16T12:44:59.999000+00:00,,15,,
