symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
FTV,5m,1729082100000,2024-10-16T12:35:00+00:00,77.39,77.39,77.2,77.2,489,1729082399999,2024-10-16T12:39:59.999000+00:00,,20,,
FTV,5m,1729085400000,2024-10-16T13:30:00+00:00,77.45,77.75,77.405,77.405,16978,1729085699999,2024-10-16T13:34:59.999000+00:00,,133,,
FTV,5m,1729085700000,2024-10-16T13:35:00+00:00,77.41,77.425,77.23,77.33,17802,1729085999999,2024-10-16T13:39:59.999000+00:00,,240,,
FTV,5m,1729086000000,2024-10-16T13:40:00+00:00,77.29,77.435,77.13,77.435,15192,1729086299999,2024-10-16T13:44:59.999000+00:00,,276,,
FTV,5m,1729086300000,2024-10-16T13:45:00+00:00,77.4,77.57,77.4,77.51,9311,1729086599999,2024-10-16T13:49:59.999000+00:00,,133,,
FTV,5m,1729086600000,2024-10-16T13:50:00+00:00,77.47,77.65,77.43,77.47,8620,1729086899999,2024-10-16T13:54:59.999000+00:00,,218,,
FTV,5m,1729086900000,2024-10-16T13:55:00+00:00,77.48,77.715,77.48,77.69,8058,1729087199999,2024-10-16T13:59:59.999000+00:00,,203,,
FTV,5m,1729087200000,2024-10-16T14:00:00+00:00,77.715,77.83,77.7,77.825,8958,1729087499999,2024-10-16T14:04:59.999000+00:00,,211,,
FTV,5m,1729087500000,2024-10-16T14:05:00+00:00,77.84,77.93,77.835,77.905,10892,1729087799999,2024-10-16T14:09:59.999000+00:00,,263,,
FTV,5m,1729087800000,2024-10-16T14:10:00+00:00,77.875,77.895,77.75,77.75,9966,1729088099999,2024-10-16T14:14:59.999000+00:00,,231,,
FTV,5m,1729088100000,2024-10-16T14:15:00+00:00,77.745,77.84,77.7,77.7,12477,1729088399999,2024-10-16T14:19:59.999000+00:00,,222,,
FTV,5m,1729088400000,2024-10-16T14:20:00+00:00,77.67,77.67,77.615,77.615,4392,1729088699999,2024-10-16T14:24:59.999000+00:00,,131,,
FTV,5m,1729088700000,2024-10-16T14:25:00+00:00,77.61,77.72,77.59,77.655,9850,1729088999999,2024-10-16T14:29:59.999000+00:00,,220,,
FTV,5m,1729089000000,2024-10-16T14:30:00+00:00,77.655,77.76,77.62,77.74,8704,1729089299999,2024-10-16T14:34:59.999000+00:00,,182,,
FTV,5m,1729089300000,2024-10-16T14:35:00+00:00,77.76,77.8049,77.62,77.62,11715,1729089599999,2024-10-16T14:39:59.999000+00:00,,225,,
FTV,5m,1729089600000,2024-10-16T14:40:00+00:00,77.6,77.6,77.49,77.565,6123,1729089899999,2024-10-16T14:44:59.999000+00:00,,161,,
