symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GD,5m,1729085400000,2024-10-16T13:30:00+00:00,300.14,300.85,300.14,300.85,11953,1729085699999,2024-10-16T13:34:59.999000+00:00,,307,,
GD,5m,1729085700000,2024-10-16T13:35:00+00:00,300.975,301.76,300.975,301.5386,3512,1729085999999,2024-10-16T13:39:59.999000+00:00,,135,,
GD,5m,1729086000000,2024-10-16T13:40:00+00:00,301.0204,302.69,300.95,302.525,13871,1729086299999,2024-10-16T13:44:59.999000+00:00,,350,,
GD,5m,1729086300000,2024-10-16T13:45:00+00:00,302.9,302.945,301.93,302.715,13988,1729086599999,2024-10-16T13:49:59.999000+00:00,,272,,
GD,5m,1729086600000,2024-10-16T13:50:00+00:00,302.62,303.04,302.5953,302.735,4510,1729086899999,2024-10-16T13:54:59.999000+00:00,,170,,
GD,5m,1729086900000,2024-10-16T13:55:00+00:00,302.46,303.286,302.46,303.13,8031,1729087199999,2024-10-16T13:59:59.999000+00:00,,234,,
GD,5m,1729087200000,2024-10-16T14:00:00+00:00,303.365,303.55,302.87,303.3966,5797,1729087499999,2024-10-16T14:04:59.999000+00:00,,253,,
GD,5m,1729087500000,2024-10-16T14:05:00+00:00,303.43,303.6,303.2,303.53,3027,1729087799999,2024-10-16T14:09:59.999000+00:00,,196,,
GD,5m,1729087800000,2024-10-16T14:10:00+00:00,303.46,303.63,302.97,303.08,5335,1729088099999,2024-10-16T14:14:59.999000+00:00,,257,,
GD,5m,1729088100000,2024-10-16T14:15:00+00:00,303.26,303.67,303.06,303.67,5291,1729088399999,2024-10-16T14:19:59.999000+00:00,,243,,
GD,5m,1729088400000,2024-10-16T14:20:00+00:00,303.6,303.6,303.27,303.48,3447,1729088699999,2024-10-16T14:24:59.999000+00:00,,156,,
GD,5m,1729088700000,2024-10-16T14:25:00+00:00,303.415,303.84,303.415,303.82,4070,1729088999999,2024-10-16T14:29:59.999000+00:00,,159,,
GD,5m,1729089000000,2024-10-16T14:30:00+00:00,303.52,303.74,303.44,303.61,6072,1729089299999,2024-10-16T14:34:59.999000+00:00,,233,,
GD,5m,1729089300000,2024-10-16T14:35:00+00:00,303.77,303.95,303.72,303.72,6454,1729089599999,2024-10-16T14:39:59.999000+00:00,,209,,
GD,5m,1729089600000,2024-10-16T14:40:00+00:00,303.925,303.93,303.58,303.6022,3312,1729089899999,2024-10-16T14:44:59.999000+00:00,,110,,
GD,5m,1729089900000,2024-10-16T14:45:00+00:00,303.58,303.58,303.35,303.58,10984,1729090199999,2024-10-16T14:49:59.999000+00:00,,214,,
GD,5m,1729090200000,2024-10-16T14:50:00+00:00,303.59,304.17,303.57,304.055,6771,1729090499999,2024-10-16T14:54:59.999000+00:00,,254,,
GD,5m,1729090500000,2024-10-16T14:55:00+00:00,304.05,304.18,303.86,303.99,5516,1729090799999,2024-10-16T14:59:59.999000+00:00,,269,,
GD,5m,1729090800000,2024-10-16T15:00:00+00:00,304.075,304.075,303.81,303.81,2367,1729091099999,2024-10-16T15:04:59.999000+00:00,,150,,
GD,5m,1729091100000,2024-10-16T15:05:00+00:00,304,304,303.71,303.71,3171,1729091399999,2024-10-16T15:09:59.999000+00:00,,160,,
GD,5m,1729091400000,2024-10-16T15:10:00+00:00,303.85,304.11,303.815,304.08,6409,1729091699999,2024-10-16T15:14:59.999000+00:00,,229,,
GD,5m,1729091700000,2024-10-16T15:15:00+00:00,304.08,304.42,304.08,304.42,6957,1729091999999,2024-10-16T15:19:59.999000+00:00,,266,,
GD,5m,1729092000000,2024-10-16T15:20:00+00:00,304.35,304.55,304.26,304.43,5868,1729092299999,2024-10-16T15:24:59.999000+00:00,,601,,
GD,5m,1729092300000,2024-10-16T15:25:00+00:00,304.43,304.43,304.01,304.22,4715,1729092599999,2024-10-16T15:29:59.999000+00:00,,336,,
GD,5m,1729092600000,2024-10-16T15:30:00+00:00,304.14,304.37,304.1094,304.37,4578,1729092899999,2024-10-16T15:34:59.999000+00:00,,275,,
GD,5m,1729092900000,2024-10-16T15:35:00+00:00,304.44,304.48,304.19,304.2001,2036,1729093199999,2024-10-16T15:39:59.999000+00:00,,144,,
GD,5m,1729093200000,2024-10-16T15:40:00+00:00,304.3,304.36,304.29,304.36,866,1729093499999,2024-10-16T15:44:59.999000+00:00,,48,,
GD,5m,1729093500000,2024-10-16T15:45:00+00:00,304.29,304.385,303.89,303.89,7760,1729093799999,2024-10-16T15:49:59.999000+00:00,,241,,
GD,5m,1729093800000,2024-10-16T15:50:00+00:00,303.9,304.02,303.6,303.66,5685,1729094099999,2024-10-16T15:54:59.999000+00:00,,233,,
GD,5m,1729094100000,2024-10-16T15:55:00+00:00,303.605,303.9399,303.56,303.57,8443,1729094399999,2024-10-16T15:59:59.999000+00:00,,333,,
GD,5m,1729094400000,2024-10-16T16:00:00+00:00,303.8,304.1775,303.7106,303.99,6164,1729094699999,2024-10-16T16:04:59.999000+00:00,,176,,
GD,5m,1729094700000,2024-10-16T16:05:00+00:00,303.98,303.99,303.7598,303.76,7080,1729094999999,2024-10-16T16:09:59.999000+00:00,,186,,
GD,5m,1729095000000,2024-10-16T16:10:00+00:00,303.7596,303.99,303.74,303.7401,8280,1729095299999,2024-10-16T16:14:59.999000+00:00,,229,,
GD,5m,1729095300000,2024-10-16T16:15:00+00:00,303.96,304.44,303.87,304.44,4600,1729095599999,2024-10-16T16:19:59.999000+00:00,,178,,
GD,5m,1729095600000,2024-10-16T16:20:00+00:00,304.4399,304.4399,304.21,304.24,2370,1729095899999,2024-10-16T16:24:59.999000+00:00,,79,,
GD,5m,1729095900000,2024-10-16T16:25:00+00:00,304.37,304.38,304.22,304.22,3781,1729096199999,2024-10-16T16:29:59.999000+00:00,,170,,
GD,5m,1729096200000,2024-10-16T16:30:00+00:00,304.25,304.38,304.1601,304.38,2369,1729096499999,2024-10-16T16:34:59.999000+00:00,,136,,
GD,5m,1729096500000,2024-10-16T16:35:00+00:00,304.38,304.49,304.33,304.47,3750,1729096799999,2024-10-16T16:39:59.999000+00:00,,166,,
GD,5m,1729096800000,2024-10-16T16:40:00+00:00,304.5,304.57,304.415,304.53,1872,1729097099999,2024-10-16T16:44:59.999000+00:00,,80,,
GD,5m,1729097100000,2024-10-16T16:45:00+00:00,304.46,304.5699,304.2706,304.2706,5355,1729097399999,2024-10-16T16:49:59.999000+00:00,,183,,
GD,5m,1729097400000,2024-10-16T16:50:00+00:00,304.4,304.4,304.26,304.36,2305,1729097699999,2024-10-16T16:54:59.999000+00:00,,121,,
GD,5m,1729097700000,2024-10-16T16:55:00+00:00,304.38,304.41,304.26,304.36,4485,1729097999999,2024-10-16T16:59:59.999000+00:00,,177,,
GD,5m,1729098000000,2024-10-16T17:00:00+00:00,304.45,304.575,304.43,304.575,3877,1729098299999,2024-10-16T17:04:59.999000+00:00,,209,,
GD,5m,1729098300000,2024-10-16T17:05:00+00:00,304.61,304.71,304.56,304.56,2525,1729098599999,2024-10-16T17:09:59.999000+00:00,,118,,
GD,5m,1729098600000,2024-10-16T17:10:00+00:00,304.72,304.72,304.72,304.72,239,1729098899999,2024-10-16T17:14:59.999000+00:00,,18,,
GD,5m,1729098900000,2024-10-16T17:15:00+00:00,304.72,304.72,304.65,304.65,769,1729099199999,2024-10-16T17:19:59.999000+00:00,,59,,
GD,5m,1729099200000,2024-10-16T17:20:00+00:00,304.69,304.8,304.645,304.8,3126,1729099499999,2024-10-16T17:24:59.999000+00:00,,224,,
GD,5m,1729099500000,2024-10-16T17:25:00+00:00,304.81,305.16,304.8,305.13,10522,1729099799999,2024-10-16T17:29:59.999000+00:00,,334,,
GD,5m,1729099800000,2024-10-16T17:30:00+00:00,304.95,305,304.85,304.88,3534,1729100099999,2024-10-16T17:34:59.999000+00:00,,208,,
GD,5m,1729100100000,2024-10-16T17:35:00+00:00,304.82,305.03,304.6658,304.88,9804,1729100399999,2024-10-16T17:39:59.999000+00:00,,264,,
GD,5m,1729100400000,2024-10-16T17:40:00+00:00,304.8781,304.905,304.79,304.87,4801,1729100699999,2024-10-16T17:44:59.999000+00:00,,201,,
GD,5m,1729100700000,2024-10-16T17:45:00+00:00,305,305.01,304.76,304.81,3967,1729100999999,2024-10-16T17:49:59.999000+00:00,,167,,
GD,5m,1729101000000,2024-10-16T17:50:00+00:00,304.71,304.8,304.71,304.8,2160,1729101299999,2024-10-16T17:54:59.999000+00:00,,89,,
GD,5m,1729101300000,2024-10-16T17:55:00+00:00,304.9,305.2,304.7701,305.0536,3845,1729101599999,2024-10-16T17:59:59.999000+00:00,,181,,
GD,5m,1729101600000,2024-10-16T18:00:00+00:00,305.21,305.55,304.9901,305.415,8265,1729101899999,2024-10-16T18:04:59.999000+00:00,,262,,
GD,5m,1729101900000,2024-10-16T18:05:00+00:00,305.43,305.59,305.37,305.425,2626,1729102199999,2024-10-16T18:09:59.999000+00:00,,177,,
GD,5m,1729102200000,2024-10-16T18:10:00+00:00,305.425,305.575,305.34,305.4987,10758,1729102499999,2024-10-16T18:14:59.999000+00:00,,288,,
GD,5m,1729102500000,2024-10-16T18:15:00+00:00,305.575,305.61,305.47,305.5,9452,1729102799999,2024-10-16T18:19:59.999000+00:00,,267,,
GD,5m,1729102800000,2024-10-16T18:20:00+00:00,305.555,305.935,305.555,305.87,11652,1729103099999,2024-10-16T18:24:59.999000+00:00,,441,,
GD,5m,1729103100000,2024-10-16T18:25:00+00:00,305.8,305.9393,305.7914,305.9393,2558,1729103399999,2024-10-16T18:29:59.999000+00:00,,172,,
GD,5m,1729103400000,2024-10-16T18:30:00+00:00,305.95,306.06,305.95,305.98,7014,1729103699999,2024-10-16T18:34:59.999000+00:00,,350,,
GD,5m,1729103700000,2024-10-16T18:35:00+00:00,305.92,306.0412,305.86,305.925,4935,1729103999999,2024-10-16T18:39:59.999000+00:00,,216,,
GD,5m,1729104000000,2024-10-16T18:40:00+00:00,305.83,305.83,305.7,305.81,2579,1729104299999,2024-10-16T18:44:59.999000+00:00,,141,,
GD,5m,1729104300000,2024-10-16T18:45:00+00:00,305.805,305.87,305.43,305.47,10937,1729104599999,2024-10-16T18:49:59.999000+00:00,,348,,
GD,5m,1729104600000,2024-10-16T18:50:00+00:00,305.34,305.38,304.66,304.735,8198,1729104899999,2024-10-16T18:54:59.999000+00:00,,321,,
GD,5m,1729104900000,2024-10-16T18:55:00+00:00,304.8,305,304.71,304.87,4293,1729105199999,2024-10-16T18:59:59.999000+00:00,,258,,
