symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GEN,5m,1729085400000,2024-10-16T13:30:00+00:00,28.14,28.15,28.08,28.15,15009,1729085699999,2024-10-16T13:34:59.999000+00:00,,51,,
GEN,5m,1729085700000,2024-10-16T13:35:00+00:00,28.17,28.17,28.075,28.075,4992,1729085999999,2024-10-16T13:39:59.999000+00:00,,95,,
GEN,5m,1729086000000,2024-10-16T13:40:00+00:00,28.09,28.11,28.08,28.1,2166,1729086299999,2024-10-16T13:44:59.999000+00:00,,56,,
GEN,5m,1729086300000,2024-10-16T13:45:00+00:00,28.1,28.19,28.1,28.145,20237,1729086599999,2024-10-16T13:49:59.999000+00:00,,188,,
GEN,5m,1729086600000,2024-10-16T13:50:00+00:00,28.13,28.19,28.115,28.19,8910,1729086899999,2024-10-16T13:54:59.999000+00:00,,183,,
GEN,5m,1729086900000,2024-10-16T13:55:00+00:00,28.19,28.19,28.16,28.16,4852,1729087199999,2024-10-16T13:59:59.999000+00:00,,154,,
GEN,5m,1729087200000,2024-10-16T14:00:00+00:00,28.175,28.23,28.175,28.23,18246,1729087499999,2024-10-16T14:04:59.999000+00:00,,324,,
GEN,5m,1729087500000,2024-10-16T14:05:00+00:00,28.23,28.25,28.185,28.19,24887,1729087799999,2024-10-16T14:09:59.999000+00:00,,358,,
GEN,5m,1729087800000,2024-10-16T14:10:00+00:00,28.175,28.175,28.1,28.12,19903,1729088099999,2024-10-16T14:14:59.999000+00:00,,340,,
GEN,5m,1729088100000,2024-10-16T14:15:00+00:00,28.12,28.165,28.12,28.13,11088,1729088399999,2024-10-16T14:19:59.999000+00:00,,180,,
GEN,5m,1729088400000,2024-10-16T14:20:00+00:00,28.13,28.14,28.094,28.1,14357,1729088699999,2024-10-16T14:24:59.999000+00:00,,181,,
GEN,5m,1729088700000,2024-10-16T14:25:00+00:00,28.101919,28.12,28.09,28.105,8692,1729088999999,2024-10-16T14:29:59.999000+00:00,,167,,
GEN,5m,1729089000000,2024-10-16T14:30:00+00:00,28.1,28.12,28.1,28.115,5564,1729089299999,2024-10-16T14:34:59.999000+00:00,,109,,
GEN,5m,1729089300000,2024-10-16T14:35:00+00:00,28.115,28.15,28.115,28.145,14803,1729089599999,2024-10-16T14:39:59.999000+00:00,,278,,
GEN,5m,1729089600000,2024-10-16T14:40:00+00:00,28.145,28.15,28.131,28.135,16238,1729089899999,2024-10-16T14:44:59.999000+00:00,,266,,
GEN,5m,1729089900000,2024-10-16T14:45:00+00:00,28.135,28.14,28.091,28.091,5490,1729090199999,2024-10-16T14:49:59.999000+00:00,,166,,
GEN,5m,1729090200000,2024-10-16T14:50:00+00:00,28.095,28.11,28.095,28.11,3154,1729090499999,2024-10-16T14:54:59.999000+00:00,,93,,
GEN,5m,1729090500000,2024-10-16T14:55:00+00:00,28.104,28.105,28.08,28.08,3876,1729090799999,2024-10-16T14:59:59.999000+00:00,,114,,
GEN,5m,1729090800000,2024-10-16T15:00:00+00:00,28.085,28.11,28.075,28.095,7063,1729091099999,2024-10-16T15:04:59.999000+00:00,,165,,
GEN,5m,1729091100000,2024-10-16T15:05:00+00:00,28.09,28.09,28.075,28.075,4190,1729091399999,2024-10-16T15:09:59.999000+00:00,,97,,
GEN,5m,1729091400000,2024-10-16T15:10:00+00:00,28.075,28.11,28.055,28.09,36794,1729091699999,2024-10-16T15:14:59.999000+00:00,,412,,
GEN,5m,1729091700000,2024-10-16T15:15:00+00:00,28.09,28.095,28.075,28.085,16628,1729091999999,2024-10-16T15:19:59.999000+00:00,,251,,
GEN,5m,1729092000000,2024-10-16T15:20:00+00:00,28.08,28.09,28.07,28.09,13191,1729092299999,2024-10-16T15:24:59.999000+00:00,,194,,
GEN,5m,1729092300000,2024-10-16T15:25:00+00:00,28.095,28.11,28.06,28.06,12053,1729092599999,2024-10-16T15:29:59.999000+00:00,,240,,
GEN,5m,1729092600000,2024-10-16T15:30:00+00:00,28.06,28.0675,28.03,28.04,10742,1729092899999,2024-10-16T15:34:59.999000+00:00,,275,,
GEN,5m,1729092900000,2024-10-16T15:35:00+00:00,28.0411,28.055,28.0411,28.05,5299,1729093199999,2024-10-16T15:39:59.999000+00:00,,93,,
GEN,5m,1729093200000,2024-10-16T15:40:00+00:00,28.0538,28.055,28.04,28.045,10832,1729093499999,2024-10-16T15:44:59.999000+00:00,,205,,
GEN,5m,1729093500000,2024-10-16T15:45:00+00:00,28.04,28.06,28.025,28.045,23230,1729093799999,2024-10-16T15:49:59.999000+00:00,,321,,
GEN,5m,1729093800000,2024-10-16T15:50:00+00:00,28.05,28.06,28.025,28.035,13778,1729094099999,2024-10-16T15:54:59.999000+00:00,,216,,
GEN,5m,1729094100000,2024-10-16T15:55:00+00:00,28.035,28.04,28.03,28.035,19343,1729094399999,2024-10-16T15:59:59.999000+00:00,,275,,
GEN,5m,1729094400000,2024-10-16T16:00:00+00:00,28.035,28.04,28.015,28.015,10373,1729094699999,2024-10-16T16:04:59.999000+00:00,,195,,
GEN,5m,1729094700000,2024-10-16T16:05:00+00:00,28.02,28.025,28.01,28.025,13164,1729094999999,2024-10-16T16:09:59.999000+00:00,,172,,
GEN,5m,1729095000000,2024-10-16T16:10:00+00:00,28.03,28.04,28.025,28.025,9172,1729095299999,2024-10-16T16:14:59.999000+00:00,,146,,
GEN,5m,1729095300000,2024-10-16T16:15:00+00:00,28.03,28.05,28.02,28.045,16973,1729095599999,2024-10-16T16:19:59.999000+00:00,,264,,
GEN,5m,1729095600000,2024-10-16T16:20:00+00:00,28.05,28.07,28.045,28.07,11706,1729095899999,2024-10-16T16:24:59.999000+00:00,,194,,
GEN,5m,1729095900000,2024-10-16T16:25:00+00:00,28.065,28.07,28.05,28.05,11268,1729096199999,2024-10-16T16:29:59.999000+00:00,,245,,
GEN,5m,1729096200000,2024-10-16T16:30:00+00:00,28.045,28.05,28.03,28.045,8646,1729096499999,2024-10-16T16:34:59.999000+00:00,,164,,
GEN,5m,1729096500000,2024-10-16T16:35:00+00:00,28.04,28.065,28.04,28.065,6035,1729096799999,2024-10-16T16:39:59.999000+00:00,,124,,
GEN,5m,1729096800000,2024-10-16T16:40:00+00:00,28.07,28.075,28.065,28.07,4427,1729097099999,2024-10-16T16:44:59.999000+00:00,,117,,
GEN,5m,1729097100000,2024-10-16T16:45:00+00:00,28.075,28.075,28.06,28.065,4918,1729097399999,2024-10-16T16:49:59.999000+00:00,,144,,
GEN,5m,1729097400000,2024-10-16T16:50:00+00:00,28.06,28.07,28.06,28.065,2960,1729097699999,2024-10-16T16:54:59.999000+00:00,,122,,
GEN,5m,1729097700000,2024-10-16T16:55:00+00:00,28.07,28.08,28.06,28.075,21128,1729097999999,2024-10-16T16:59:59.999000+00:00,,262,,
GEN,5m,1729098000000,2024-10-16T17:00:00+00:00,28.075,28.08,28.06,28.07,9897,1729098299999,2024-10-16T17:04:59.999000+00:00,,221,,
GEN,5m,1729098300000,2024-10-16T17:05:00+00:00,28.07,28.075,28.05,28.05,11561,1729098599999,2024-10-16T17:09:59.999000+00:00,,229,,
GEN,5m,1729098600000,2024-10-16T17:10:00+00:00,28.055,28.09,28.05,28.08,44446,1729098899999,2024-10-16T17:14:59.999000+00:00,,369,,
GEN,5m,1729098900000,2024-10-16T17:15:00+00:00,28.075,28.08,28.035,28.05,35019,1729099199999,2024-10-16T17:19:59.999000+00:00,,345,,
GEN,5m,1729099200000,2024-10-16T17:20:00+00:00,28.06,28.09,28.05,28.09,8097,1729099499999,2024-10-16T17:24:59.999000+00:00,,184,,
GEN,5m,1729099500000,2024-10-16T17:25:00+00:00,28.1,28.13,28.085,28.085,12318,1729099799999,2024-10-16T17:29:59.999000+00:00,,225,,
GEN,5m,1729099800000,2024-10-16T17:30:00+00:00,28.085,28.09,28.075,28.075,8304,1729100099999,2024-10-16T17:34:59.999000+00:00,,208,,
GEN,5m,1729100100000,2024-10-16T17:35:00+00:00,28.075,28.075,28.07,28.075,3885,1729100399999,2024-10-16T17:39:59.999000+00:00,,79,,
