symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GEV,5m,1729065600000,2024-10-16T08:00:00+00:00,265.87,265.87,265.87,265.87,115,1729065899999,2024-10-16T08:04:59.999000+00:00,,4,,
GEV,5m,1729076700000,2024-10-16T11:05:00+00:00,266.5,266.5,266.5,266.5,2356,1729076999999,2024-10-16T11:09:59.999000+00:00,,26,,
GEV,5m,1729079400000,2024-10-16T11:50:00+00:00,266.51,266.51,266.51,266.51,300,1729079699999,2024-10-16T11:54:59.999000+00:00,,6,,
GEV,5m,1729080000000,2024-10-16T12:00:00+00:00,268,268,267.21,267.21,1097,1729080299999,2024-10-16T12:04:59.999000+00:00,,25,,
GEV,5m,1729081500000,2024-10-16T12:25:00+00:00,266.8,266.8,266.7,266.7,1000,1729081799999,2024-10-16T12:29:59.999000+00:00,,5,,
GEV,5m,1729082400000,2024-10-16T12:40:00+00:00,267,267,267,267,350,1729082699999,2024-10-16T12:44:59.999000+00:00,,3,,
GEV,5m,1729083000000,2024-10-16T12:50:00+00:00,267.98,268,267.9594,268,2709,1729083299999,2024-10-16T12:54:59.999000+00:00,,40,,
GEV,5m,1729083600000,2024-10-16T13:00:00+00:00,268.72,268.8275,268.25,268.8275,574,1729083899999,2024-10-16T13:04:59.999000+00:00,,15,,
GEV,5m,1729083900000,2024-10-16T13:05:00+00:00,268.84,268.84,268.84,268.84,471,1729084199999,2024-10-16T13:09:59.999000+00:00,,15,,
GEV,5m,1729084200000,2024-10-16T13:10:00+00:00,268.63,268.63,268.63,268.63,105,1729084499999,2024-10-16T13:14:59.999000+00:00,,2,,
GEV,5m,1729084800000,2024-10-16T13:20:00+00:00,268.1,268.1,268.1,268.1,230,1729085099999,2024-10-16T13:24:59.999000+00:00,,2,,
GEV,5m,1729085100000,2024-10-16T13:25:00+00:00,268.15,268.15,268,268,723,1729085399999,2024-10-16T13:29:59.999000+00:00,,8,,
GEV,5m,1729085400000,2024-10-16T13:30:00+00:00,268.9,269.74,267.69,268.625,45724,1729085699999,2024-10-16T13:34:59.999000+00:00,,497,,
GEV,5m,1729085700000,2024-10-16T13:35:00+00:00,268.625,269.1378,268.42,269.04,38267,1729085999999,2024-10-16T13:39:59.999000+00:00,,467,,
GEV,5m,1729086000000,2024-10-16T13:40:00+00:00,268.75,269.69,268.75,269.54,22600,1729086299999,2024-10-16T13:44:59.999000+00:00,,535,,
GEV,5m,1729086300000,2024-10-16T13:45:00+00:00,269.42,269.44,267.72,268.285,18677,1729086599999,2024-10-16T13:49:59.999000+00:00,,502,,
GEV,5m,1729086600000,2024-10-16T13:50:00+00:00,268.49,268.9874,268.19,268.41,14123,1729086899999,2024-10-16T13:54:59.999000+00:00,,292,,
GEV,5m,1729086900000,2024-10-16T13:55:00+00:00,268.41,269.14,268.41,268.84,21531,1729087199999,2024-10-16T13:59:59.999000+00:00,,482,,
GEV,5m,1729087200000,2024-10-16T14:00:00+00:00,268.935,269.58,268.815,268.815,18609,1729087499999,2024-10-16T14:04:59.999000+00:00,,485,,
GEV,5m,1729087500000,2024-10-16T14:05:00+00:00,268.8092,269.5,268.1201,269.28,21063,1729087799999,2024-10-16T14:09:59.999000+00:00,,389,,
GEV,5m,1729087800000,2024-10-16T14:10:00+00:00,269.34,269.6,269.25,269.385,22800,1729088099999,2024-10-16T14:14:59.999000+00:00,,357,,
GEV,5m,1729088100000,2024-10-16T14:15:00+00:00,269.385,270.25,269.385,269.405,55017,1729088399999,2024-10-16T14:19:59.999000+00:00,,942,,
GEV,5m,1729088400000,2024-10-16T14:20:00+00:00,269.29,269.48,269.23,269.4596,9181,1729088699999,2024-10-16T14:24:59.999000+00:00,,292,,
GEV,5m,1729088700000,2024-10-16T14:25:00+00:00,269.44,270.0859,269.44,269.885,14428,1729088999999,2024-10-16T14:29:59.999000+00:00,,423,,
GEV,5m,1729089000000,2024-10-16T14:30:00+00:00,269.86,270.3,269.665,270.245,25243,1729089299999,2024-10-16T14:34:59.999000+00:00,,545,,
