symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GE,5m,1729074600000,2024-10-16T10:30:00+00:00,190.26,190.26,190.26,190.26,200,1729074899999,2024-10-16T10:34:59.999000+00:00,,2,,
GE,5m,1729079700000,2024-10-16T11:55:00+00:00,190.8,190.8,190.8,190.8,175,1729079999999,2024-10-16T11:59:59.999000+00:00,,3,,
GE,5m,1729081800000,2024-10-16T12:30:00+00:00,191,191,191,191,203,1729082099999,2024-10-16T12:34:59.999000+00:00,,3,,
GE,5m,1729085100000,2024-10-16T13:25:00+00:00,190.59,190.59,190.57,190.59,591,1729085399999,2024-10-16T13:29:59.999000+00:00,,6,,
GE,5m,1729085400000,2024-10-16T13:30:00+00:00,190.5,191.17,190.5,191.07,52480,1729085699999,2024-10-16T13:34:59.999000+00:00,,799,,
GE,5m,1729085700000,2024-10-16T13:35:00+00:00,191.05,191.3075,190.67,190.8742,21511,1729085999999,2024-10-16T13:39:59.999000+00:00,,441,,
GE,5m,1729086000000,2024-10-16T13:40:00+00:00,190.83,190.97,190.62,190.96,16937,1729086299999,2024-10-16T13:44:59.999000+00:00,,361,,
GE,5m,1729086300000,2024-10-16T13:45:00+00:00,190.97,190.97,190.16,190.195,24268,1729086599999,2024-10-16T13:49:59.999000+00:00,,658,,
GE,5m,1729086600000,2024-10-16T13:50:00+00:00,190.13,191,190,191,29627,1729086899999,2024-10-16T13:54:59.999000+00:00,,742,,
GE,5m,1729086900000,2024-10-16T13:55:00+00:00,190.99,191.08,190.82,190.82,25090,1729087199999,2024-10-16T13:59:59.999000+00:00,,631,,
GE,5m,1729087200000,2024-10-16T14:00:00+00:00,190.82,190.91,190.65,190.905,41414,1729087499999,2024-10-16T14:04:59.999000+00:00,,854,,
GE,5m,1729087500000,2024-10-16T14:05:00+00:00,190.905,191.22,190.81,191.1,24454,1729087799999,2024-10-16T14:09:59.999000+00:00,,694,,
GE,5m,1729087800000,2024-10-16T14:10:00+00:00,191.09,191.36,190.975,190.975,32146,1729088099999,2024-10-16T14:14:59.999000+00:00,,623,,
GE,5m,1729088100000,2024-10-16T14:15:00+00:00,190.99,191.365,190.94,191,22258,1729088399999,2024-10-16T14:19:59.999000+00:00,,611,,
GE,5m,1729088400000,2024-10-16T14:20:00+00:00,190.93,191.06,190.755,190.88,217832,1729088699999,2024-10-16T14:24:59.999000+00:00,,878,,
GE,5m,1729088700000,2024-10-16T14:25:00+00:00,190.79,191,190.77,190.83,15817,1729088999999,2024-10-16T14:29:59.999000+00:00,,434,,
GE,5m,1729089000000,2024-10-16T14:30:00+00:00,190.91,191.2014,190.76,190.93,23545,1729089299999,2024-10-16T14:34:59.999000+00:00,,546,,
GE,5m,1729089300000,2024-10-16T14:35:00+00:00,190.81,191.06,190.29,190.36,71272,1729089599999,2024-10-16T14:39:59.999000+00:00,,823,,
GE,5m,1729089600000,2024-10-16T14:40:00+00:00,190.385,190.44,189.92,190.0021,29769,1729089899999,2024-10-16T14:44:59.999000+00:00,,712,,
GE,5m,1729089900000,2024-10-16T14:45:00+00:00,190.02,190.39,189.99,190.33,27538,1729090199999,2024-10-16T14:49:59.999000+00:00,,705,,
GE,5m,1729090200000,2024-10-16T14:50:00+00:00,190.33,190.63,190.33,190.59,27675,1729090499999,2024-10-16T14:54:59.999000+00:00,,550,,
GE,5m,1729090500000,2024-10-16T14:55:00+00:00,190.575,190.67,190.37,190.635,33543,1729090799999,2024-10-16T14:59:59.999000+00:00,,755,,
GE,5m,1729090800000,2024-10-16T15:00:00+00:00,190.66,190.66,190.39,190.45,27903,1729091099999,2024-10-16T15:04:59.999000+00:00,,592,,
GE,5m,1729091100000,2024-10-16T15:05:00+00:00,190.46,190.54,190.04,190.54,29138,1729091399999,2024-10-16T15:09:59.999000+00:00,,661,,
GE,5m,1729091400000,2024-10-16T15:10:00+00:00,190.61,190.62,190.36,190.37,16330,1729091699999,2024-10-16T15:14:59.999000+00:00,,397,,
GE,5m,1729091700000,2024-10-16T15:15:00+00:00,190.37,190.92,190.32,190.86,27040,1729091999999,2024-10-16T15:19:59.999000+00:00,,485,,
GE,5m,1729092000000,2024-10-16T15:20:00+00:00,190.86,190.9,190.51,190.64,24369,1729092299999,2024-10-16T15:24:59.999000+00:00,,582,,
GE,5m,1729092300000,2024-10-16T15:25:00+00:00,190.64,190.72,190.41,190.72,31151,1729092599999,2024-10-16T15:29:59.999000+00:00,,651,,
GE,5m,1729092600000,2024-10-16T15:30:00+00:00,190.67,190.87,190.67,190.83,24461,1729092899999,2024-10-16T15:34:59.999000+00:00,,567,,
GE,5m,1729092900000,2024-10-16T15:35:00+00:00,190.83,190.9151,190.74,190.89,21398,1729093199999,2024-10-16T15:39:59.999000+00:00,,520,,
GE,5m,1729093200000,2024-10-16T15:40:00+00:00,190.95,191.12,190.87,191,51788,1729093499999,2024-10-16T15:44:59.999000+00:00,,842,,
GE,5m,1729093500000,2024-10-16T15:45:00+00:00,190.98,190.98,190.53,190.615,61442,1729093799999,2024-10-16T15:49:59.999000+00:00,,834,,
GE,5m,1729093800000,2024-10-16T15:50:00+00:00,190.65,190.7486,190.42,190.53,23016,1729094099999,2024-10-16T15:54:59.999000+00:00,,543,,
GE,5m,1729094100000,2024-10-16T15:55:00+00:00,190.54,190.64,190.47,190.64,23246,1729094399999,2024-10-16T15:59:59.999000+00:00,,588,,
GE,5m,1729094400000,2024-10-16T16:00:00+00:00,190.66,191.1,190.6,191.055,31935,1729094699999,2024-10-16T16:04:59.999000+00:00,,677,,
GE,5m,1729094700000,2024-10-16T16:05:00+00:00,191.05,191.27,190.99,191.259529,19193,1729094999999,2024-10-16T16:09:59.999000+00:00,,513,,
GE,5m,1729095000000,2024-10-16T16:10:00+00:00,191.255,191.35,191.195,191.235,24219,1729095299999,2024-10-16T16:14:59.999000+00:00,,499,,
GE,5m,1729095300000,2024-10-16T16:15:00+00:00,191.2174,191.23,191.03,191.165,24544,1729095599999,2024-10-16T16:19:59.999000+00:00,,450,,
GE,5m,1729095600000,2024-10-16T16:20:00+00:00,191.16,191.27,191.125,191.155,15680,1729095899999,2024-10-16T16:24:59.999000+00:00,,348,,
GE,5m,1729095900000,2024-10-16T16:25:00+00:00,191.165,191.26,191.01,191.01,13574,1729096199999,2024-10-16T16:29:59.999000+00:00,,358,,
GE,5m,1729096200000,2024-10-16T16:30:00+00:00,191.01,191.115,191,191.03,12187,1729096499999,2024-10-16T16:34:59.999000+00:00,,366,,
GE,5m,1729096500000,2024-10-16T16:35:00+00:00,191.03,191.235,191.03,191.235,14546,1729096799999,2024-10-16T16:39:59.999000+00:00,,375,,
GE,5m,1729096800000,2024-10-16T16:40:00+00:00,191.2593,191.26,191.13,191.19,14189,1729097099999,2024-10-16T16:44:59.999000+00:00,,410,,
GE,5m,1729097100000,2024-10-16T16:45:00+00:00,191.2075,191.2799,191.0704,191.25,13244,1729097399999,2024-10-16T16:49:59.999000+00:00,,403,,
GE,5m,1729097400000,2024-10-16T16:50:00+00:00,191.27,191.49,191.215,191.24,26102,1729097699999,2024-10-16T16:54:59.999000+00:00,,548,,
GE,5m,1729097700000,2024-10-16T16:55:00+00:00,191.24,191.33,191.2,191.325,18973,1729097999999,2024-10-16T16:59:59.999000+00:00,,395,,
GE,5m,1729098000000,2024-10-16T17:00:00+00:00,191.35,191.395,191.19,191.2183,12596,1729098299999,2024-10-16T17:04:59.999000+00:00,,355,,
GE,5m,1729098300000,2024-10-16T17:05:00+00:00,191.22,191.27,191.06,191.18,13501,1729098599999,2024-10-16T17:09:59.999000+00:00,,380,,
GE,5m,1729098600000,2024-10-16T17:10:00+00:00,191.1801,191.322,191.16,191.22,10458,1729098899999,2024-10-16T17:14:59.999000+00:00,,290,,
GE,5m,1729098900000,2024-10-16T17:15:00+00:00,191.22,191.285,191.16,191.18,13561,1729099199999,2024-10-16T17:19:59.999000+00:00,,260,,
GE,5m,1729099200000,2024-10-16T17:20:00+00:00,191.176,191.25,191.1,191.23,10858,1729099499999,2024-10-16T17:24:59.999000+00:00,,292,,
GE,5m,1729099500000,2024-10-16T17:25:00+00:00,191.2391,191.39,191.2209,191.2209,18127,1729099799999,2024-10-16T17:29:59.999000+00:00,,453,,
GE,5m,1729099800000,2024-10-16T17:30:00+00:00,191.25,191.345,191.11,191.145,36291,1729100099999,2024-10-16T17:34:59.999000+00:00,,680,,
