symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GIS,5m,1729085100000,2024-10-16T13:25:00+00:00,71.15,71.15,71.07,71.07,1420,1729085399999,2024-10-16T13:29:59.999000+00:00,,12,,
GIS,5m,1729085400000,2024-10-16T13:30:00+00:00,70.93,71.16,70.9,71.06,46879,1729085699999,2024-10-16T13:34:59.999000+00:00,,299,,
GIS,5m,1729085700000,2024-10-16T13:35:00+00:00,71.09,71.225,70.91,71.07,11139,1729085999999,2024-10-16T13:39:59.999000+00:00,,194,,
GIS,5m,1729086000000,2024-10-16T13:40:00+00:00,71.1,71.35,70.955,71.29,12792,1729086299999,2024-10-16T13:44:59.999000+00:00,,259,,
GIS,5m,1729086300000,2024-10-16T13:45:00+00:00,71.325,71.44,71.3,71.3,20670,1729086599999,2024-10-16T13:49:59.999000+00:00,,416,,
GIS,5m,1729086600000,2024-10-16T13:50:00+00:00,71.32,71.44,71.3,71.34,10317,1729086899999,2024-10-16T13:54:59.999000+00:00,,222,,
GIS,5m,1729086900000,2024-10-16T13:55:00+00:00,71.32,71.39,71.25,71.325,15679,1729087199999,2024-10-16T13:59:59.999000+00:00,,300,,
GIS,5m,1729087200000,2024-10-16T14:00:00+00:00,71.36,71.445,71.34,71.38,21518,1729087499999,2024-10-16T14:04:59.999000+00:00,,310,,
GIS,5m,1729087500000,2024-10-16T14:05:00+00:00,71.38,71.41,71.3,71.34,13195,1729087799999,2024-10-16T14:09:59.999000+00:00,,282,,
GIS,5m,1729087800000,2024-10-16T14:10:00+00:00,71.33,71.34,71.03,71.04,17263,1729088099999,2024-10-16T14:14:59.999000+00:00,,353,,
GIS,5m,1729088100000,2024-10-16T14:15:00+00:00,71.04,71.181,71.03,71.17,16444,1729088399999,2024-10-16T14:19:59.999000+00:00,,289,,
GIS,5m,1729088400000,2024-10-16T14:20:00+00:00,71.165,71.2,71.13,71.155,19882,1729088699999,2024-10-16T14:24:59.999000+00:00,,364,,
GIS,5m,1729088700000,2024-10-16T14:25:00+00:00,71.15,71.23,71.125,71.19,21987,1729088999999,2024-10-16T14:29:59.999000+00:00,,365,,
GIS,5m,1729089000000,2024-10-16T14:30:00+00:00,71.18,71.28,71.17,71.26,21895,1729089299999,2024-10-16T14:34:59.999000+00:00,,398,,
GIS,5m,1729089300000,2024-10-16T14:35:00+00:00,71.255,71.41,71.25,71.41,16759,1729089599999,2024-10-16T14:39:59.999000+00:00,,345,,
GIS,5m,1729089600000,2024-10-16T14:40:00+00:00,71.4,71.48,71.39,71.42,25545,1729089899999,2024-10-16T14:44:59.999000+00:00,,467,,
GIS,5m,1729089900000,2024-10-16T14:45:00+00:00,71.42,71.42,71.21,71.22,31471,1729090199999,2024-10-16T14:49:59.999000+00:00,,402,,
GIS,5m,1729090200000,2024-10-16T14:50:00+00:00,71.24,71.26,71.17,71.26,23284,1729090499999,2024-10-16T14:54:59.999000+00:00,,342,,
GIS,5m,1729090500000,2024-10-16T14:55:00+00:00,71.26,71.34,71.225,71.34,22879,1729090799999,2024-10-16T14:59:59.999000+00:00,,432,,
GIS,5m,1729090800000,2024-10-16T15:00:00+00:00,71.33,71.35,71.275,71.33,22834,1729091099999,2024-10-16T15:04:59.999000+00:00,,408,,
GIS,5m,1729091100000,2024-10-16T15:05:00+00:00,71.33,71.4,71.31,71.35,68711,1729091399999,2024-10-16T15:09:59.999000+00:00,,426,,
GIS,5m,1729091400000,2024-10-16T15:10:00+00:00,71.36,71.36,71.24,71.27,23764,1729091699999,2024-10-16T15:14:59.999000+00:00,,416,,
GIS,5m,1729091700000,2024-10-16T15:15:00+00:00,71.26,71.33,71.24,71.32,17938,1729091999999,2024-10-16T15:19:59.999000+00:00,,288,,
GIS,5m,1729092000000,2024-10-16T15:20:00+00:00,71.31,71.335,71.28,71.315,18574,1729092299999,2024-10-16T15:24:59.999000+00:00,,317,,
GIS,5m,1729092300000,2024-10-16T15:25:00+00:00,71.3299,71.3299,71.2,71.21,30055,1729092599999,2024-10-16T15:29:59.999000+00:00,,331,,
GIS,5m,1729092600000,2024-10-16T15:30:00+00:00,71.215,71.26,71.17,71.245,23572,1729092899999,2024-10-16T15:34:59.999000+00:00,,398,,
GIS,5m,1729092900000,2024-10-16T15:35:00+00:00,71.25,71.25,71.16,71.21,17456,1729093199999,2024-10-16T15:39:59.999000+00:00,,321,,
GIS,5m,1729093200000,2024-10-16T15:40:00+00:00,71.21,71.26,71.18,71.24,17161,1729093499999,2024-10-16T15:44:59.999000+00:00,,305,,
GIS,5m,1729093500000,2024-10-16T15:45:00+00:00,71.245,71.255,71.15,71.16,26477,1729093799999,2024-10-16T15:49:59.999000+00:00,,396,,
GIS,5m,1729093800000,2024-10-16T15:50:00+00:00,71.165,71.24,71.15,71.16,18858,1729094099999,2024-10-16T15:54:59.999000+00:00,,303,,
GIS,5m,1729094100000,2024-10-16T15:55:00+00:00,71.16,71.19,71.13,71.17,20357,1729094399999,2024-10-16T15:59:59.999000+00:00,,363,,
