symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GLW,5m,1729065600000,2024-10-16T08:00:00+00:00,45.75,45.75,45.75,45.75,120,1729065899999,2024-10-16T08:04:59.999000+00:00,,2,,
GLW,5m,1729073100000,2024-10-16T10:05:00+00:00,45.75,45.75,45.75,45.75,159,1729073399999,2024-10-16T10:09:59.999000+00:00,,6,,
GLW,5m,1729080000000,2024-10-16T12:00:00+00:00,45.8,45.8,45.8,45.8,271,1729080299999,2024-10-16T12:04:59.999000+00:00,,15,,
GLW,5m,1729085400000,2024-10-16T13:30:00+00:00,45.72,45.86,45.68,45.86,52288,1729085699999,2024-10-16T13:34:59.999000+00:00,,315,,
GLW,5m,1729085700000,2024-10-16T13:35:00+00:00,45.85,45.85,45.76,45.77,17583,1729085999999,2024-10-16T13:39:59.999000+00:00,,254,,
GLW,5m,1729086000000,2024-10-16T13:40:00+00:00,45.76,45.87,45.76,45.87,30663,1729086299999,2024-10-16T13:44:59.999000+00:00,,319,,
GLW,5m,1729086300000,2024-10-16T13:45:00+00:00,45.89,46.08,45.88,46.05,52061,1729086599999,2024-10-16T13:49:59.999000+00:00,,593,,
GLW,5m,1729086600000,2024-10-16T13:50:00+00:00,46.07,46.19,46.02,46.185,33057,1729086899999,2024-10-16T13:54:59.999000+00:00,,560,,
GLW,5m,1729086900000,2024-10-16T13:55:00+00:00,46.19,46.2,46.06,46.2,85615,1729087199999,2024-10-16T13:59:59.999000+00:00,,535,,
GLW,5m,1729087200000,2024-10-16T14:00:00+00:00,46.2,46.28,46.1805,46.28,29419,1729087499999,2024-10-16T14:04:59.999000+00:00,,510,,
GLW,5m,1729087500000,2024-10-16T14:05:00+00:00,46.29,46.36,46.248,46.36,13214,1729087799999,2024-10-16T14:09:59.999000+00:00,,326,,
GLW,5m,1729087800000,2024-10-16T14:10:00+00:00,46.34,46.37,46.29,46.31,15037,1729088099999,2024-10-16T14:14:59.999000+00:00,,336,,
GLW,5m,1729088100000,2024-10-16T14:15:00+00:00,46.3126,46.365,46.3031,46.35,7791,1729088399999,2024-10-16T14:19:59.999000+00:00,,222,,
GLW,5m,1729088400000,2024-10-16T14:20:00+00:00,46.345,46.39,46.32,46.35,21195,1729088699999,2024-10-16T14:24:59.999000+00:00,,423,,
GLW,5m,1729088700000,2024-10-16T14:25:00+00:00,46.35,46.38,46.31,46.345,24216,1729088999999,2024-10-16T14:29:59.999000+00:00,,228,,
GLW,5m,1729089000000,2024-10-16T14:30:00+00:00,46.34,46.46,46.325,46.45,16431,1729089299999,2024-10-16T14:34:59.999000+00:00,,314,,
GLW,5m,1729089300000,2024-10-16T14:35:00+00:00,46.44,46.45,46.37,46.39,37102,1729089599999,2024-10-16T14:39:59.999000+00:00,,531,,
GLW,5m,1729089600000,2024-10-16T14:40:00+00:00,46.39,46.41,46.31,46.348,11359,1729089899999,2024-10-16T14:44:59.999000+00:00,,274,,
GLW,5m,1729089900000,2024-10-16T14:45:00+00:00,46.35,46.36,46.29,46.34,22456,1729090199999,2024-10-16T14:49:59.999000+00:00,,318,,
GLW,5m,1729090200000,2024-10-16T14:50:00+00:00,46.34,46.39,46.33,46.38,11192,1729090499999,2024-10-16T14:54:59.999000+00:00,,267,,
GLW,5m,1729090500000,2024-10-16T14:55:00+00:00,46.38,46.39,46.33,46.37,10990,1729090799999,2024-10-16T14:59:59.999000+00:00,,256,,
GLW,5m,1729090800000,2024-10-16T15:00:00+00:00,46.37,46.41,46.36,46.36,12229,1729091099999,2024-10-16T15:04:59.999000+00:00,,263,,
