symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GNRC,5m,1729085100000,2024-10-16T13:25:00+00:00,172,172.1,172,172.1,852,1729085399999,2024-10-16T13:29:59.999000+00:00,,12,,
GNRC,5m,1729085400000,2024-10-16T13:30:00+00:00,173.11,173.11,172.085,172.085,12486,1729085699999,2024-10-16T13:34:59.999000+00:00,,119,,
GNRC,5m,1729085700000,2024-10-16T13:35:00+00:00,172.25,172.3075,171.77,171.77,8596,1729085999999,2024-10-16T13:39:59.999000+00:00,,66,,
GNRC,5m,1729086000000,2024-10-16T13:40:00+00:00,171.77,172.37,171.77,172.22,6311,1729086299999,2024-10-16T13:44:59.999000+00:00,,97,,
GNRC,5m,1729086300000,2024-10-16T13:45:00+00:00,171.9865,173,171.9865,172.815,10262,1729086599999,2024-10-16T13:49:59.999000+00:00,,138,,
GNRC,5m,1729086600000,2024-10-16T13:50:00+00:00,172.83,173.015,172.295,172.295,4118,1729086899999,2024-10-16T13:54:59.999000+00:00,,94,,
GNRC,5m,1729086900000,2024-10-16T13:55:00+00:00,172.315,172.84,172.13,172.8125,4133,1729087199999,2024-10-16T13:59:59.999000+00:00,,115,,
GNRC,5m,1729087200000,2024-10-16T14:00:00+00:00,172.655,172.8,172.2201,172.525,34386,1729087499999,2024-10-16T14:04:59.999000+00:00,,151,,
GNRC,5m,1729087500000,2024-10-16T14:05:00+00:00,172.525,172.69,172.2201,172.32,8987,1729087799999,2024-10-16T14:09:59.999000+00:00,,136,,
GNRC,5m,1729087800000,2024-10-16T14:10:00+00:00,172.3,172.36,172.135,172.195,5102,1729088099999,2024-10-16T14:14:59.999000+00:00,,155,,
GNRC,5m,1729088100000,2024-10-16T14:15:00+00:00,172.185,172.59,171.74,171.74,5568,1729088399999,2024-10-16T14:19:59.999000+00:00,,238,,
GNRC,5m,1729088400000,2024-10-16T14:20:00+00:00,171.805,171.805,171.0501,171.3255,8497,1729088699999,2024-10-16T14:24:59.999000+00:00,,178,,
GNRC,5m,1729088700000,2024-10-16T14:25:00+00:00,171.0001,171.61,171.0001,171.395,6144,1729088999999,2024-10-16T14:29:59.999000+00:00,,129,,
GNRC,5m,1729089000000,2024-10-16T14:30:00+00:00,171.57,172.5226,171.515,172.24,7419,1729089299999,2024-10-16T14:34:59.999000+00:00,,236,,
