symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
GRMN,5m,1729085400000,2024-10-16T13:30:00+00:00,166.87,167.255,166.87,167.205,4215,1729085699999,2024-10-16T13:34:59.999000+00:00,,83,,
GRMN,5m,1729085700000,2024-10-16T13:35:00+00:00,167.02,167.38,167.02,167.19,1139,1729085999999,2024-10-16T13:39:59.999000+00:00,,74,,
GRMN,5m,1729086000000,2024-10-16T13:40:00+00:00,167.19,167.24,166.87,167.08,3684,1729086299999,2024-10-16T13:44:59.999000+00:00,,96,,
GRMN,5m,1729086300000,2024-10-16T13:45:00+00:00,167.36,167.505,167.225,167.505,2642,1729086599999,2024-10-16T13:49:59.999000+00:00,,82,,
GRMN,5m,1729086600000,2024-10-16T13:50:00+00:00,167.91,167.91,167.65,167.78,3750,1729086899999,2024-10-16T13:54:59.999000+00:00,,125,,
GRMN,5m,1729086900000,2024-10-16T13:55:00+00:00,167.78,167.785,167.62,167.63,2991,1729087199999,2024-10-16T13:59:59.999000+00:00,,98,,
GRMN,5m,1729087200000,2024-10-16T14:00:00+00:00,167.79,167.835,167.305,167.425,9487,1729087499999,2024-10-16T14:04:59.999000+00:00,,258,,
GRMN,5m,1729087500000,2024-10-16T14:05:00+00:00,167.53,167.65,167.39,167.65,1914,1729087799999,2024-10-16T14:09:59.999000+00:00,,73,,
GRMN,5m,1729087800000,2024-10-16T14:10:00+00:00,167.48,167.51,167.18,167.18,3093,1729088099999,2024-10-16T14:14:59.999000+00:00,,145,,
GRMN,5m,1729088100000,2024-10-16T14:15:00+00:00,167.17,167.17,167,167,1279,1729088399999,2024-10-16T14:19:59.999000+00:00,,57,,
GRMN,5m,1729088400000,2024-10-16T14:20:00+00:00,167.01,167.01,166.92,166.925,1555,1729088699999,2024-10-16T14:24:59.999000+00:00,,89,,
GRMN,5m,1729088700000,2024-10-16T14:25:00+00:00,167.08,167.28,167.08,167.28,2605,1729088999999,2024-10-16T14:29:59.999000+00:00,,150,,
GRMN,5m,1729089000000,2024-10-16T14:30:00+00:00,167.24,167.52,167.24,167.485,4367,1729089299999,2024-10-16T14:34:59.999000+00:00,,144,,
GRMN,5m,1729089300000,2024-10-16T14:35:00+00:00,167.53,167.53,167.43,167.43,615,1729089599999,2024-10-16T14:39:59.999000+00:00,,31,,
GRMN,5m,1729089600000,2024-10-16T14:40:00+00:00,167.39,167.39,167.24,167.24,722,1729089899999,2024-10-16T14:44:59.999000+00:00,,43,,
GRMN,5m,1729089900000,2024-10-16T14:45:00+00:00,167.18,167.265,167.15,167.26,2246,1729090199999,2024-10-16T14:49:59.999000+00:00,,106,,
GRMN,5m,1729090200000,2024-10-16T14:50:00+00:00,167.275,167.365,167.26,167.365,2639,1729090499999,2024-10-16T14:54:59.999000+00:00,,120,,
GRMN,5m,1729090500000,2024-10-16T14:55:00+00:00,167.365,167.59,167.365,167.54,1971,1729090799999,2024-10-16T14:59:59.999000+00:00,,92,,
GRMN,5m,1729090800000,2024-10-16T15:00:00+00:00,167.5395,167.65,167.5395,167.59,2764,1729091099999,2024-10-16T15:04:59.999000+00:00,,148,,
GRMN,5m,1729091100000,2024-10-16T15:05:00+00:00,167.659,167.659,167.54,167.54,1299,1729091399999,2024-10-16T15:09:59.999000+00:00,,71,,
GRMN,5m,1729091400000,2024-10-16T15:10:00+00:00,167.63,167.71,167.42,167.42,5350,1729091699999,2024-10-16T15:14:59.999000+00:00,,234,,
GRMN,5m,1729091700000,2024-10-16T15:15:00+00:00,167.3,167.415,167.2,167.24,7322,1729091999999,2024-10-16T15:19:59.999000+00:00,,887,,
GRMN,5m,1729092000000,2024-10-16T15:20:00+00:00,167.16,167.225,167.16,167.225,1126,1729092299999,2024-10-16T15:24:59.999000+00:00,,67,,
GRMN,5m,1729092300000,2024-10-16T15:25:00+00:00,167.3,167.36,167.205,167.305,3429,1729092599999,2024-10-16T15:29:59.999000+00:00,,94,,
GRMN,5m,1729092600000,2024-10-16T15:30:00+00:00,167.305,167.31,167.305,167.305,1806,1729092899999,2024-10-16T15:34:59.999000+00:00,,96,,
GRMN,5m,1729092900000,2024-10-16T15:35:00+00:00,167.3125,167.3125,167.26,167.26,493,1729093199999,2024-10-16T15:39:59.999000+00:00,,27,,
