symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HAL,5m,1729067700000,2024-10-16T08:35:00+00:00,29.43,29.43,29.43,29.43,300,1729067999999,2024-10-16T08:39:59.999000+00:00,,8,,
HAL,5m,1729070100000,2024-10-16T09:15:00+00:00,29.26,29.26,29.25,29.25,660,1729070399999,2024-10-16T09:19:59.999000+00:00,,23,,
HAL,5m,1729080000000,2024-10-16T12:00:00+00:00,29.43,29.43,29.22,29.22,171483,1729080299999,2024-10-16T12:04:59.999000+00:00,,17,,
HAL,5m,1729080300000,2024-10-16T12:05:00+00:00,29.35,29.35,29.35,29.35,400,1729080599999,2024-10-16T12:09:59.999000+00:00,,2,,
HAL,5m,1729082400000,2024-10-16T12:40:00+00:00,29.33,29.35,29.33,29.35,700,1729082699999,2024-10-16T12:44:59.999000+00:00,,7,,
HAL,5m,1729083900000,2024-10-16T13:05:00+00:00,29.34,29.34,29.33,29.34,885,1729084199999,2024-10-16T13:09:59.999000+00:00,,13,,
HAL,5m,1729084200000,2024-10-16T13:10:00+00:00,29.3,29.3,29.29,29.29,355,1729084499999,2024-10-16T13:14:59.999000+00:00,,3,,
HAL,5m,1729084800000,2024-10-16T13:20:00+00:00,29.29,29.3,29.29,29.3,1683,1729085099999,2024-10-16T13:24:59.999000+00:00,,10,,
HAL,5m,1729085100000,2024-10-16T13:25:00+00:00,29.29,29.29,29.23,29.28,2436,1729085399999,2024-10-16T13:29:59.999000+00:00,,14,,
HAL,5m,1729085400000,2024-10-16T13:30:00+00:00,29.315,29.42,29.26,29.41,169268,1729085699999,2024-10-16T13:34:59.999000+00:00,,971,,
HAL,5m,1729085700000,2024-10-16T13:35:00+00:00,29.41,29.41,29.29,29.37,114782,1729085999999,2024-10-16T13:39:59.999000+00:00,,1174,,
HAL,5m,1729086000000,2024-10-16T13:40:00+00:00,29.37,29.39,29.28,29.375,89528,1729086299999,2024-10-16T13:44:59.999000+00:00,,1105,,
HAL,5m,1729086300000,2024-10-16T13:45:00+00:00,29.38,29.415,29.315,29.315,70387,1729086599999,2024-10-16T13:49:59.999000+00:00,,1071,,
HAL,5m,1729086600000,2024-10-16T13:50:00+00:00,29.31,29.34,29.26,29.2899,66026,1729086899999,2024-10-16T13:54:59.999000+00:00,,861,,
HAL,5m,1729086900000,2024-10-16T13:55:00+00:00,29.28,29.36,29.275,29.32,37234,1729087199999,2024-10-16T13:59:59.999000+00:00,,697,,
HAL,5m,1729087200000,2024-10-16T14:00:00+00:00,29.32,29.36,29.305,29.315,68485,1729087499999,2024-10-16T14:04:59.999000+00:00,,667,,
HAL,5m,1729087500000,2024-10-16T14:05:00+00:00,29.32,29.395,29.3,29.3801,64369,1729087799999,2024-10-16T14:09:59.999000+00:00,,681,,
HAL,5m,1729087800000,2024-10-16T14:10:00+00:00,29.385,29.39,29.335,29.35,59343,1729088099999,2024-10-16T14:14:59.999000+00:00,,741,,
HAL,5m,1729088100000,2024-10-16T14:15:00+00:00,29.355,29.45,29.3499,29.435,73519,1729088399999,2024-10-16T14:19:59.999000+00:00,,549,,
HAL,5m,1729088400000,2024-10-16T14:20:00+00:00,29.435,29.44,29.39,29.415,44497,1729088699999,2024-10-16T14:24:59.999000+00:00,,658,,
HAL,5m,1729088700000,2024-10-16T14:25:00+00:00,29.41,29.42,29.38,29.395,55135,1729088999999,2024-10-16T14:29:59.999000+00:00,,657,,
HAL,5m,1729089000000,2024-10-16T14:30:00+00:00,29.39,29.47,29.385,29.43,71566,1729089299999,2024-10-16T14:34:59.999000+00:00,,760,,
HAL,5m,1729089300000,2024-10-16T14:35:00+00:00,29.43,29.47,29.42,29.44,97687,1729089599999,2024-10-16T14:39:59.999000+00:00,,757,,
HAL,5m,1729089600000,2024-10-16T14:40:00+00:00,29.43,29.43,29.375,29.385,54569,1729089899999,2024-10-16T14:44:59.999000+00:00,,770,,
HAL,5m,1729089900000,2024-10-16T14:45:00+00:00,29.39,29.5,29.39,29.48,85738,1729090199999,2024-10-16T14:49:59.999000+00:00,,904,,
HAL,5m,1729090200000,2024-10-16T14:50:00+00:00,29.485,29.485,29.43,29.44,60714,1729090499999,2024-10-16T14:54:59.999000+00:00,,705,,
HAL,5m,1729090500000,2024-10-16T14:55:00+00:00,29.44,29.475,29.425,29.475,29442,1729090799999,2024-10-16T14:59:59.999000+00:00,,488,,
HAL,5m,1729090800000,2024-10-16T15:00:00+00:00,29.47,29.47,29.37,29.375,52428,1729091099999,2024-10-16T15:04:59.999000+00:00,,649,,
HAL,5m,1729091100000,2024-10-16T15:05:00+00:00,29.38,29.38,29.315,29.355,35964,1729091399999,2024-10-16T15:09:59.999000+00:00,,557,,
HAL,5m,1729091400000,2024-10-16T15:10:00+00:00,29.355,29.37,29.315,29.32,98912,1729091699999,2024-10-16T15:14:59.999000+00:00,,660,,
HAL,5m,1729091700000,2024-10-16T15:15:00+00:00,29.325,29.325,29.29,29.294,70460,1729091999999,2024-10-16T15:19:59.999000+00:00,,621,,
HAL,5m,1729092000000,2024-10-16T15:20:00+00:00,29.29,29.37,29.264,29.37,92870,1729092299999,2024-10-16T15:24:59.999000+00:00,,978,,
HAL,5m,1729092300000,2024-10-16T15:25:00+00:00,29.365,29.405,29.365,29.38,65727,1729092599999,2024-10-16T15:29:59.999000+00:00,,681,,
HAL,5m,1729092600000,2024-10-16T15:30:00+00:00,29.385,29.4,29.335,29.355,44281,1729092899999,2024-10-16T15:34:59.999000+00:00,,592,,
HAL,5m,1729092900000,2024-10-16T15:35:00+00:00,29.36,29.37,29.3432,29.365,38928,1729093199999,2024-10-16T15:39:59.999000+00:00,,513,,
HAL,5m,1729093200000,2024-10-16T15:40:00+00:00,29.365,29.37,29.35,29.365,38642,1729093499999,2024-10-16T15:44:59.999000+00:00,,509,,
HAL,5m,1729093500000,2024-10-16T15:45:00+00:00,29.365,29.37,29.32,29.335,82309,1729093799999,2024-10-16T15:49:59.999000+00:00,,726,,
HAL,5m,1729093800000,2024-10-16T15:50:00+00:00,29.335,29.35,29.32,29.32,50029,1729094099999,2024-10-16T15:54:59.999000+00:00,,505,,
HAL,5m,1729094100000,2024-10-16T15:55:00+00:00,29.325,29.3382,29.3,29.335,79575,1729094399999,2024-10-16T15:59:59.999000+00:00,,910,,
HAL,5m,1729094400000,2024-10-16T16:00:00+00:00,29.34,29.355,29.335,29.345,71719,1729094699999,2024-10-16T16:04:59.999000+00:00,,751,,
HAL,5m,1729094700000,2024-10-16T16:05:00+00:00,29.345,29.35,29.313,29.335,44077,1729094999999,2024-10-16T16:09:59.999000+00:00,,528,,
HAL,5m,1729095000000,2024-10-16T16:10:00+00:00,29.335,29.335,29.301,29.32,33405,1729095299999,2024-10-16T16:14:59.999000+00:00,,438,,
HAL,5m,1729095300000,2024-10-16T16:15:00+00:00,29.31,29.325,29.28,29.325,85441,1729095599999,2024-10-16T16:19:59.999000+00:00,,650,,
HAL,5m,1729095600000,2024-10-16T16:20:00+00:00,29.325,29.33,29.284,29.285,40907,1729095899999,2024-10-16T16:24:59.999000+00:00,,454,,
HAL,5m,1729095900000,2024-10-16T16:25:00+00:00,29.285,29.285,29.26,29.265,39445,1729096199999,2024-10-16T16:29:59.999000+00:00,,404,,
HAL,5m,1729096200000,2024-10-16T16:30:00+00:00,29.265,29.29,29.254,29.2709,39646,1729096499999,2024-10-16T16:34:59.999000+00:00,,436,,
HAL,5m,1729096500000,2024-10-16T16:35:00+00:00,29.27,29.28,29.235,29.25,68847,1729096799999,2024-10-16T16:39:59.999000+00:00,,484,,
HAL,5m,1729096800000,2024-10-16T16:40:00+00:00,29.26,29.29,29.245,29.255,144516,1729097099999,2024-10-16T16:44:59.999000+00:00,,1089,,
HAL,5m,1729097100000,2024-10-16T16:45:00+00:00,29.255,29.27,29.245,29.245,64882,1729097399999,2024-10-16T16:49:59.999000+00:00,,645,,
