symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HD,5m,1729080000000,2024-10-16T12:00:00+00:00,416.02,416.02,416.02,416.02,207,1729080299999,2024-10-16T12:04:59.999000+00:00,,52,,
HD,5m,1729081500000,2024-10-16T12:25:00+00:00,416.04,416.04,416.04,416.04,105,1729081799999,2024-10-16T12:29:59.999000+00:00,,2,,
HD,5m,1729085100000,2024-10-16T13:25:00+00:00,415.1,415.1,414.09,414.09,1238,1729085399999,2024-10-16T13:29:59.999000+00:00,,35,,
HD,5m,1729085400000,2024-10-16T13:30:00+00:00,413.87,416.18,413.87,415.635,93677,1729085699999,2024-10-16T13:34:59.999000+00:00,,1426,,
HD,5m,1729085700000,2024-10-16T13:35:00+00:00,415.715,415.75,413.9087,415.06,27492,1729085999999,2024-10-16T13:39:59.999000+00:00,,645,,
HD,5m,1729086000000,2024-10-16T13:40:00+00:00,414.76,415.23,413.97,415.23,21459,1729086299999,2024-10-16T13:44:59.999000+00:00,,595,,
HD,5m,1729086300000,2024-10-16T13:45:00+00:00,415.235,416.739,414.97,416.1,34281,1729086599999,2024-10-16T13:49:59.999000+00:00,,913,,
HD,5m,1729086600000,2024-10-16T13:50:00+00:00,415.9201,416.14,415.2675,415.3,39798,1729086899999,2024-10-16T13:54:59.999000+00:00,,966,,
HD,5m,1729086900000,2024-10-16T13:55:00+00:00,415.2001,416.34,415.2001,416.175,22422,1729087199999,2024-10-16T13:59:59.999000+00:00,,718,,
HD,5m,1729087200000,2024-10-16T14:00:00+00:00,416,416.52,415.9404,416.515,20553,1729087499999,2024-10-16T14:04:59.999000+00:00,,693,,
HD,5m,1729087500000,2024-10-16T14:05:00+00:00,416.63,416.8361,416.49,416.55,25255,1729087799999,2024-10-16T14:09:59.999000+00:00,,751,,
HD,5m,1729087800000,2024-10-16T14:10:00+00:00,416.51,416.57,415.93,416.045,34553,1729088099999,2024-10-16T14:14:59.999000+00:00,,845,,
HD,5m,1729088100000,2024-10-16T14:15:00+00:00,416.045,416.78,415.81,415.93,22810,1729088399999,2024-10-16T14:19:59.999000+00:00,,602,,
HD,5m,1729088400000,2024-10-16T14:20:00+00:00,415.92,416.08,415.42,415.4937,12572,1729088699999,2024-10-16T14:24:59.999000+00:00,,402,,
HD,5m,1729088700000,2024-10-16T14:25:00+00:00,415.525,415.96,415.34,415.65,29811,1729088999999,2024-10-16T14:29:59.999000+00:00,,749,,
HD,5m,1729089000000,2024-10-16T14:30:00+00:00,415.59,416.32,415.367,416.255,21933,1729089299999,2024-10-16T14:34:59.999000+00:00,,734,,
HD,5m,1729089300000,2024-10-16T14:35:00+00:00,416.26,416.45,415.81,416.06,15026,1729089599999,2024-10-16T14:39:59.999000+00:00,,506,,
HD,5m,1729089600000,2024-10-16T14:40:00+00:00,415.925,415.925,415.11,415.48,15544,1729089899999,2024-10-16T14:44:59.999000+00:00,,477,,
HD,5m,1729089900000,2024-10-16T14:45:00+00:00,415.45,415.45,415.12,415.395,14520,1729090199999,2024-10-16T14:49:59.999000+00:00,,493,,
HD,5m,1729090200000,2024-10-16T14:50:00+00:00,415.55,415.84,415.25,415.555,16236,1729090499999,2024-10-16T14:54:59.999000+00:00,,462,,
HD,5m,1729090500000,2024-10-16T14:55:00+00:00,415.65,416,415.47,416,17923,1729090799999,2024-10-16T14:59:59.999000+00:00,,573,,
HD,5m,1729090800000,2024-10-16T15:00:00+00:00,415.94,416.19,415.82,415.91,15364,1729091099999,2024-10-16T15:04:59.999000+00:00,,581,,
HD,5m,1729091100000,2024-10-16T15:05:00+00:00,415.99,416.02,415.31,415.31,18414,1729091399999,2024-10-16T15:09:59.999000+00:00,,538,,
HD,5m,1729091400000,2024-10-16T15:10:00+00:00,415.31,415.525213,415.11,415.495,14725,1729091699999,2024-10-16T15:14:59.999000+00:00,,476,,
HD,5m,1729091700000,2024-10-16T15:15:00+00:00,415.51,415.82,415.45,415.65,10755,1729091999999,2024-10-16T15:19:59.999000+00:00,,441,,
HD,5m,1729092000000,2024-10-16T15:20:00+00:00,415.96,416.4499,415.845,416.095,18034,1729092299999,2024-10-16T15:24:59.999000+00:00,,616,,
HD,5m,1729092300000,2024-10-16T15:25:00+00:00,416.24,416.3743,415.73,415.88,14779,1729092599999,2024-10-16T15:29:59.999000+00:00,,489,,
HD,5m,1729092600000,2024-10-16T15:30:00+00:00,415.89,416.1714,415.8,415.8,15331,1729092899999,2024-10-16T15:34:59.999000+00:00,,423,,
HD,5m,1729092900000,2024-10-16T15:35:00+00:00,415.81,415.9979,415.75,415.84,7016,1729093199999,2024-10-16T15:39:59.999000+00:00,,308,,
HD,5m,1729093200000,2024-10-16T15:40:00+00:00,415.99,416.31,415.94,416.21,16944,1729093499999,2024-10-16T15:44:59.999000+00:00,,541,,
HD,5m,1729093500000,2024-10-16T15:45:00+00:00,416.1788,416.195,415.65,415.65,13724,1729093799999,2024-10-16T15:49:59.999000+00:00,,453,,
HD,5m,1729093800000,2024-10-16T15:50:00+00:00,415.85,416.06,415.75,416,8512,1729094099999,2024-10-16T15:54:59.999000+00:00,,397,,
HD,5m,1729094100000,2024-10-16T15:55:00+00:00,416.1,416.4066,415.92,416.32,15728,1729094399999,2024-10-16T15:59:59.999000+00:00,,678,,
HD,5m,1729094400000,2024-10-16T16:00:00+00:00,416.43,416.57,416.27,416.34,12666,1729094699999,2024-10-16T16:04:59.999000+00:00,,509,,
HD,5m,1729094700000,2024-10-16T16:05:00+00:00,416.28,416.55,416.27,416.55,8704,1729094999999,2024-10-16T16:09:59.999000+00:00,,366,,
HD,5m,1729095000000,2024-10-16T16:10:00+00:00,416.54,416.65,416.4,416.625,16107,1729095299999,2024-10-16T16:14:59.999000+00:00,,455,,
HD,5m,1729095300000,2024-10-16T16:15:00+00:00,416.67,416.83,416.56,416.68,17008,1729095599999,2024-10-16T16:19:59.999000+00:00,,460,,
HD,5m,1729095600000,2024-10-16T16:20:00+00:00,416.695,417.102,416.553,416.6906,15920,1729095899999,2024-10-16T16:24:59.999000+00:00,,483,,
HD,5m,1729095900000,2024-10-16T16:25:00+00:00,416.8228,417.0428,416.55,416.82,14004,1729096199999,2024-10-16T16:29:59.999000+00:00,,422,,
HD,5m,1729096200000,2024-10-16T16:30:00+00:00,416.84,416.8475,416.57,416.685,6784,1729096499999,2024-10-16T16:34:59.999000+00:00,,280,,
HD,5m,1729096500000,2024-10-16T16:35:00+00:00,416.69,416.69,416.29,416.38,32728,1729096799999,2024-10-16T16:39:59.999000+00:00,,531,,
HD,5m,1729096800000,2024-10-16T16:40:00+00:00,416.4,416.4,415.98,416.15,16975,1729097099999,2024-10-16T16:44:59.999000+00:00,,506,,
HD,5m,1729097100000,2024-10-16T16:45:00+00:00,416.03,416.19,415.99,416.075,8977,1729097399999,2024-10-16T16:49:59.999000+00:00,,365,,
HD,5m,1729097400000,2024-10-16T16:50:00+00:00,416.1,416.31,415.94,416.165,16171,1729097699999,2024-10-16T16:54:59.999000+00:00,,450,,
HD,5m,1729097700000,2024-10-16T16:55:00+00:00,416.17,416.2497,416.03,416.1,6200,1729097999999,2024-10-16T16:59:59.999000+00:00,,274,,
HD,5m,1729098000000,2024-10-16T17:00:00+00:00,416.2,416.24,415.97,416.1,8811,1729098299999,2024-10-16T17:04:59.999000+00:00,,361,,
HD,5m,1729098300000,2024-10-16T17:05:00+00:00,416.085,416.1,415.87,415.87,9601,1729098599999,2024-10-16T17:09:59.999000+00:00,,448,,
HD,5m,1729098600000,2024-10-16T17:10:00+00:00,415.935,416.42,415.88,416.42,11785,1729098899999,2024-10-16T17:14:59.999000+00:00,,347,,
HD,5m,1729098900000,2024-10-16T17:15:00+00:00,416.3,416.345,416.13,416.13,8936,1729099199999,2024-10-16T17:19:59.999000+00:00,,355,,
HD,5m,1729099200000,2024-10-16T17:20:00+00:00,416.25,416.45,416.18,416.45,9751,1729099499999,2024-10-16T17:24:59.999000+00:00,,313,,
HD,5m,1729099500000,2024-10-16T17:25:00+00:00,416.55,416.69,416.36,416.36,9937,1729099799999,2024-10-16T17:29:59.999000+00:00,,401,,
HD,5m,1729099800000,2024-10-16T17:30:00+00:00,416.53,416.53,416.15,416.15,12872,1729100099999,2024-10-16T17:34:59.999000+00:00,,478,,
HD,5m,1729100100000,2024-10-16T17:35:00+00:00,416.16,416.46,416.14,416.43,18370,1729100399999,2024-10-16T17:39:59.999000+00:00,,503,,
