symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HIG,5m,1729085400000,2024-10-16T13:30:00+00:00,118.81,118.81,118.2,118.45,24438,1729085699999,2024-10-16T13:34:59.999000+00:00,,341,,
HIG,5m,1729085700000,2024-10-16T13:35:00+00:00,118.45,119.2497,118.45,118.68,44470,1729085999999,2024-10-16T13:39:59.999000+00:00,,418,,
HIG,5m,1729086000000,2024-10-16T13:40:00+00:00,118.84,119.41,118.52,119.315,9908,1729086299999,2024-10-16T13:44:59.999000+00:00,,211,,
HIG,5m,1729086300000,2024-10-16T13:45:00+00:00,119.305,119.425,119.14,119.28,6831,1729086599999,2024-10-16T13:49:59.999000+00:00,,246,,
HIG,5m,1729086600000,2024-10-16T13:50:00+00:00,119.22,119.49,119.21,119.28,8054,1729086899999,2024-10-16T13:54:59.999000+00:00,,210,,
HIG,5m,1729086900000,2024-10-16T13:55:00+00:00,119.33,119.5975,119.31,119.57,8286,1729087199999,2024-10-16T13:59:59.999000+00:00,,242,,
HIG,5m,1729087200000,2024-10-16T14:00:00+00:00,119.68,119.765,119.57,119.62,4896,1729087499999,2024-10-16T14:04:59.999000+00:00,,140,,
HIG,5m,1729087500000,2024-10-16T14:05:00+00:00,119.72,119.73,119.55,119.615,4566,1729087799999,2024-10-16T14:09:59.999000+00:00,,162,,
HIG,5m,1729087800000,2024-10-16T14:10:00+00:00,119.57,119.57,119.235,119.235,3402,1729088099999,2024-10-16T14:14:59.999000+00:00,,136,,
HIG,5m,1729088100000,2024-10-16T14:15:00+00:00,119.22,119.45,119.19,119.45,5198,1729088399999,2024-10-16T14:19:59.999000+00:00,,197,,
HIG,5m,1729088400000,2024-10-16T14:20:00+00:00,119.445,119.445,119.26,119.27,8004,1729088699999,2024-10-16T14:24:59.999000+00:00,,231,,
HIG,5m,1729088700000,2024-10-16T14:25:00+00:00,119.205,119.389581,119.205,119.36,20787,1729088999999,2024-10-16T14:29:59.999000+00:00,,199,,
HIG,5m,1729089000000,2024-10-16T14:30:00+00:00,119.34,119.5,119.3075,119.44,4649,1729089299999,2024-10-16T14:34:59.999000+00:00,,195,,
HIG,5m,1729089300000,2024-10-16T14:35:00+00:00,119.45,119.57,119.425,119.425,6622,1729089599999,2024-10-16T14:39:59.999000+00:00,,204,,
