symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HII,5m,1729070400000,2024-10-16T09:20:00+00:00,259.32,259.32,259.32,259.32,111,1729070699999,2024-10-16T09:24:59.999000+00:00,,3,,
HII,5m,1729085400000,2024-10-16T13:30:00+00:00,259.25,259.57,259.25,259.57,2782,1729085699999,2024-10-16T13:34:59.999000+00:00,,26,,
HII,5m,1729085700000,2024-10-16T13:35:00+00:00,259.935,260.18,259.935,260.18,304,1729085999999,2024-10-16T13:39:59.999000+00:00,,21,,
HII,5m,1729086000000,2024-10-16T13:40:00+00:00,259.47,259.75,259.46,259.68,1115,1729086299999,2024-10-16T13:44:59.999000+00:00,,53,,
HII,5m,1729086300000,2024-10-16T13:45:00+00:00,259.825,260.55,259.825,260.55,1459,1729086599999,2024-10-16T13:49:59.999000+00:00,,60,,
HII,5m,1729086600000,2024-10-16T13:50:00+00:00,259.55,259.55,259.55,259.55,303,1729086899999,2024-10-16T13:54:59.999000+00:00,,17,,
HII,5m,1729086900000,2024-10-16T13:55:00+00:00,259.415,259.415,259.35,259.35,1313,1729087199999,2024-10-16T13:59:59.999000+00:00,,71,,
HII,5m,1729087200000,2024-10-16T14:00:00+00:00,259.58,260.905,259.13,260.905,13510,1729087499999,2024-10-16T14:04:59.999000+00:00,,301,,
HII,5m,1729087500000,2024-10-16T14:05:00+00:00,261.16,261.25,261.15,261.25,789,1729087799999,2024-10-16T14:09:59.999000+00:00,,46,,
HII,5m,1729087800000,2024-10-16T14:10:00+00:00,261.06,261.06,260.015,260.05,2326,1729088099999,2024-10-16T14:14:59.999000+00:00,,73,,
HII,5m,1729088100000,2024-10-16T14:15:00+00:00,260.055,260.63,260.055,260.63,1453,1729088399999,2024-10-16T14:19:59.999000+00:00,,60,,
HII,5m,1729088400000,2024-10-16T14:20:00+00:00,260.38,260.38,260.38,260.38,225,1729088699999,2024-10-16T14:24:59.999000+00:00,,16,,
HII,5m,1729089000000,2024-10-16T14:30:00+00:00,260.38,261.12,260.38,261.12,545,1729089299999,2024-10-16T14:34:59.999000+00:00,,40,,
HII,5m,1729089900000,2024-10-16T14:45:00+00:00,260.24,260.24,259.84,260.195,1133,1729090199999,2024-10-16T14:49:59.999000+00:00,,48,,
HII,5m,1729090200000,2024-10-16T14:50:00+00:00,260.635,261.05,260.635,261.05,971,1729090499999,2024-10-16T14:54:59.999000+00:00,,82,,
HII,5m,1729091100000,2024-10-16T15:05:00+00:00,260.889,260.889,260.889,260.889,635,1729091399999,2024-10-16T15:09:59.999000+00:00,,37,,
HII,5m,1729091400000,2024-10-16T15:10:00+00:00,261.25,261.26,261.155,261.155,699,1729091699999,2024-10-16T15:14:59.999000+00:00,,43,,
HII,5m,1729091700000,2024-10-16T15:15:00+00:00,261.28,261.47,261.255,261.47,1883,1729091999999,2024-10-16T15:19:59.999000+00:00,,92,,
HII,5m,1729092000000,2024-10-16T15:20:00+00:00,261.25,261.25,261.12,261.12,1045,1729092299999,2024-10-16T15:24:59.999000+00:00,,42,,
HII,5m,1729092300000,2024-10-16T15:25:00+00:00,260.89,260.89,260.89,260.89,207,1729092599999,2024-10-16T15:29:59.999000+00:00,,29,,
HII,5m,1729093200000,2024-10-16T15:40:00+00:00,261.145,261.145,261.1419,261.1419,663,1729093499999,2024-10-16T15:44:59.999000+00:00,,36,,
HII,5m,1729093500000,2024-10-16T15:45:00+00:00,260.89,261.1167,260.89,261.1167,952,1729093799999,2024-10-16T15:49:59.999000+00:00,,28,,
HII,5m,1729093800000,2024-10-16T15:50:00+00:00,261.12,261.25,260.98,261.02,3251,1729094099999,2024-10-16T15:54:59.999000+00:00,,121,,
HII,5m,1729094400000,2024-10-16T16:00:00+00:00,261.25,261.43,261.22,261.43,1563,1729094699999,2024-10-16T16:04:59.999000+00:00,,64,,
HII,5m,1729094700000,2024-10-16T16:05:00+00:00,261.744,261.744,261.49,261.49,2270,1729094999999,2024-10-16T16:09:59.999000+00:00,,61,,
HII,5m,1729095000000,2024-10-16T16:10:00+00:00,261.2401,261.7299,261.2401,261.7299,534,1729095299999,2024-10-16T16:14:59.999000+00:00,,19,,
HII,5m,1729095900000,2024-10-16T16:25:00+00:00,261.6,261.6,261.5748,261.5748,899,1729096199999,2024-10-16T16:29:59.999000+00:00,,27,,
HII,5m,1729096200000,2024-10-16T16:30:00+00:00,261.36,261.58,261.27,261.58,2442,1729096499999,2024-10-16T16:34:59.999000+00:00,,91,,
HII,5m,1729096500000,2024-10-16T16:35:00+00:00,261.545,261.545,261.545,261.545,236,1729096799999,2024-10-16T16:39:59.999000+00:00,,16,,
HII,5m,1729096800000,2024-10-16T16:40:00+00:00,261.59,261.59,261.59,261.59,129,1729097099999,2024-10-16T16:44:59.999000+00:00,,8,,
HII,5m,1729097100000,2024-10-16T16:45:00+00:00,261.47,261.4723,261.3,261.4723,1240,1729097399999,2024-10-16T16:49:59.999000+00:00,,50,,
HII,5m,1729097400000,2024-10-16T16:50:00+00:00,261.1,261.24,261.1,261.24,328,1729097699999,2024-10-16T16:54:59.999000+00:00,,30,,
HII,5m,1729097700000,2024-10-16T16:55:00+00:00,260.9001,261.0862,260.9001,261.0862,1125,1729097999999,2024-10-16T16:59:59.999000+00:00,,33,,
HII,5m,1729098000000,2024-10-16T17:00:00+00:00,260.8,260.8,260.8,260.8,125,1729098299999,2024-10-16T17:04:59.999000+00:00,,12,,
HII,5m,1729098300000,2024-10-16T17:05:00+00:00,260.83,260.83,260.83,260.83,1009,1729098599999,2024-10-16T17:09:59.999000+00:00,,38,,
HII,5m,1729098600000,2024-10-16T17:10:00+00:00,260.93,260.99,260.93,260.99,658,1729098899999,2024-10-16T17:14:59.999000+00:00,,31,,
HII,5m,1729098900000,2024-10-16T17:15:00+00:00,261,261.02,260.99,260.998,2766,1729099199999,2024-10-16T17:19:59.999000+00:00,,74,,
HII,5m,1729099200000,2024-10-16T17:20:00+00:00,261.11,261.225,261.07,261.225,2229,1729099499999,2024-10-16T17:24:59.999000+00:00,,66,,
HII,5m,1729099500000,2024-10-16T17:25:00+00:00,261.07,261.69,261.07,261.32,2205,1729099799999,2024-10-16T17:29:59.999000+00:00,,64,,
HII,5m,1729099800000,2024-10-16T17:30:00+00:00,261.43,261.46,261.225,261.225,1674,1729100099999,2024-10-16T17:34:59.999000+00:00,,85,,
HII,5m,1729100100000,2024-10-16T17:35:00+00:00,261.06,261.06,261.06,261.06,468,1729100399999,2024-10-16T17:39:59.999000+00:00,,9,,
