symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HOLX,5m,1729080000000,2024-10-16T12:00:00+00:00,82.945,82.945,82.945,82.945,662,1729080299999,2024-10-16T12:04:59.999000+00:00,,11,,
HOLX,5m,1729080300000,2024-10-16T12:05:00+00:00,82.75,82.75,82.75,82.75,185,1729080599999,2024-10-16T12:09:59.999000+00:00,,1,,
HOLX,5m,1729085400000,2024-10-16T13:30:00+00:00,81.66,81.7,81.3925,81.61,14660,1729085699999,2024-10-16T13:34:59.999000+00:00,,170,,
HOLX,5m,1729085700000,2024-10-16T13:35:00+00:00,81.715,81.715,81.33,81.33,3397,1729085999999,2024-10-16T13:39:59.999000+00:00,,89,,
HOLX,5m,1729086000000,2024-10-16T13:40:00+00:00,81.415,81.77,81.3,81.77,5565,1729086299999,2024-10-16T13:44:59.999000+00:00,,122,,
HOLX,5m,1729086300000,2024-10-16T13:45:00+00:00,81.775,81.95,81.775,81.9,9329,1729086599999,2024-10-16T13:49:59.999000+00:00,,224,,
HOLX,5m,1729086600000,2024-10-16T13:50:00+00:00,81.9,81.94,81.63,81.64,9196,1729086899999,2024-10-16T13:54:59.999000+00:00,,194,,
HOLX,5m,1729086900000,2024-10-16T13:55:00+00:00,81.65,82,81.635,82,28755,1729087199999,2024-10-16T13:59:59.999000+00:00,,314,,
HOLX,5m,1729087200000,2024-10-16T14:00:00+00:00,81.96,82.1,81.95,82.03,10634,1729087499999,2024-10-16T14:04:59.999000+00:00,,267,,
HOLX,5m,1729087500000,2024-10-16T14:05:00+00:00,82.03,82.17,82.03,82.14,8090,1729087799999,2024-10-16T14:09:59.999000+00:00,,227,,
HOLX,5m,1729087800000,2024-10-16T14:10:00+00:00,82.15,82.15,81.94,82,5554,1729088099999,2024-10-16T14:14:59.999000+00:00,,182,,
HOLX,5m,1729088100000,2024-10-16T14:15:00+00:00,81.99,82.06,81.99,82.01,5851,1729088399999,2024-10-16T14:19:59.999000+00:00,,202,,
HOLX,5m,1729088400000,2024-10-16T14:20:00+00:00,82.01,82.06,81.9543,82.01,6484,1729088699999,2024-10-16T14:24:59.999000+00:00,,251,,
HOLX,5m,1729088700000,2024-10-16T14:25:00+00:00,82.06,82.17,82.055,82.09,6436,1729088999999,2024-10-16T14:29:59.999000+00:00,,192,,
HOLX,5m,1729089000000,2024-10-16T14:30:00+00:00,82.07,82.14,82.05,82.14,8342,1729089299999,2024-10-16T14:34:59.999000+00:00,,263,,
HOLX,5m,1729089300000,2024-10-16T14:35:00+00:00,82.17,82.22,82.14,82.1596,9507,1729089599999,2024-10-16T14:39:59.999000+00:00,,269,,
HOLX,5m,1729089600000,2024-10-16T14:40:00+00:00,82.14,82.15,82.07,82.105,7523,1729089899999,2024-10-16T14:44:59.999000+00:00,,242,,
HOLX,5m,1729089900000,2024-10-16T14:45:00+00:00,82.14,82.14,81.95,81.99,6778,1729090199999,2024-10-16T14:49:59.999000+00:00,,228,,
HOLX,5m,1729090200000,2024-10-16T14:50:00+00:00,82.02,82.05,81.98,81.99,6629,1729090499999,2024-10-16T14:54:59.999000+00:00,,221,,
HOLX,5m,1729090500000,2024-10-16T14:55:00+00:00,81.98,81.98,81.8,81.88,9745,1729090799999,2024-10-16T14:59:59.999000+00:00,,279,,
HOLX,5m,1729090800000,2024-10-16T15:00:00+00:00,81.84,81.85,81.745,81.745,7213,1729091099999,2024-10-16T15:04:59.999000+00:00,,202,,
HOLX,5m,1729091100000,2024-10-16T15:05:00+00:00,81.73,81.76,81.68,81.69,5464,1729091399999,2024-10-16T15:09:59.999000+00:00,,171,,
HOLX,5m,1729091400000,2024-10-16T15:10:00+00:00,81.674829,81.715,81.67,81.705,6511,1729091699999,2024-10-16T15:14:59.999000+00:00,,206,,
HOLX,5m,1729091700000,2024-10-16T15:15:00+00:00,81.71,81.73,81.56,81.56,9984,1729091999999,2024-10-16T15:19:59.999000+00:00,,269,,
