symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HON,5m,1729071000000,2024-10-16T09:30:00+00:00,216.76,216.76,216.76,216.76,282,1729071299999,2024-10-16T09:34:59.999000+00:00,,18,,
HON,5m,1729071300000,2024-10-16T09:35:00+00:00,216.8,216.9,216.8,216.9,310,1729071599999,2024-10-16T09:39:59.999000+00:00,,9,,
HON,5m,1729071600000,2024-10-16T09:40:00+00:00,217.36,217.36,217.36,217.36,183,1729071899999,2024-10-16T09:44:59.999000+00:00,,8,,
HON,5m,1729073700000,2024-10-16T10:15:00+00:00,217.55,217.55,217.5,217.5,432,1729073999999,2024-10-16T10:19:59.999000+00:00,,45,,
HON,5m,1729074000000,2024-10-16T10:20:00+00:00,217,217,217,217,150,1729074299999,2024-10-16T10:24:59.999000+00:00,,3,,
HON,5m,1729074300000,2024-10-16T10:25:00+00:00,217.05,217.05,217.05,217.05,108,1729074599999,2024-10-16T10:29:59.999000+00:00,,1,,
HON,5m,1729080000000,2024-10-16T12:00:00+00:00,217,217,217,217,122,1729080299999,2024-10-16T12:04:59.999000+00:00,,7,,
HON,5m,1729082700000,2024-10-16T12:45:00+00:00,216.7,216.7,216.7,216.7,110,1729082999999,2024-10-16T12:49:59.999000+00:00,,1,,
HON,5m,1729085400000,2024-10-16T13:30:00+00:00,217.07,217.07,216.56,217.04,41237,1729085699999,2024-10-16T13:34:59.999000+00:00,,375,,
HON,5m,1729085700000,2024-10-16T13:35:00+00:00,217.02,217.15,216.875,217.03,11668,1729085999999,2024-10-16T13:39:59.999000+00:00,,354,,
HON,5m,1729086000000,2024-10-16T13:40:00+00:00,216.96,217.39,216.9,217.3865,27002,1729086299999,2024-10-16T13:44:59.999000+00:00,,537,,
HON,5m,1729086300000,2024-10-16T13:45:00+00:00,217.26,217.86,217.26,217.68,14909,1729086599999,2024-10-16T13:49:59.999000+00:00,,403,,
HON,5m,1729086600000,2024-10-16T13:50:00+00:00,217.675,217.98,217.45,217.73,21019,1729086899999,2024-10-16T13:54:59.999000+00:00,,446,,
HON,5m,1729086900000,2024-10-16T13:55:00+00:00,217.74,217.8651,217.68,217.8,7679,1729087199999,2024-10-16T13:59:59.999000+00:00,,278,,
HON,5m,1729087200000,2024-10-16T14:00:00+00:00,217.87,218.17,217.8,218.17,23667,1729087499999,2024-10-16T14:04:59.999000+00:00,,428,,
HON,5m,1729087500000,2024-10-16T14:05:00+00:00,218.19,218.28,218.04,218.115,14387,1729087799999,2024-10-16T14:09:59.999000+00:00,,333,,
HON,5m,1729087800000,2024-10-16T14:10:00+00:00,218.135,218.2,217.535,217.58,14783,1729088099999,2024-10-16T14:14:59.999000+00:00,,344,,
HON,5m,1729088100000,2024-10-16T14:15:00+00:00,217.59,217.79,217.44,217.44,10310,1729088399999,2024-10-16T14:19:59.999000+00:00,,329,,
HON,5m,1729088400000,2024-10-16T14:20:00+00:00,217.485,217.64,217.37,217.58,27201,1729088699999,2024-10-16T14:24:59.999000+00:00,,556,,
HON,5m,1729088700000,2024-10-16T14:25:00+00:00,217.56,217.66,217.54,217.62,10433,1729088999999,2024-10-16T14:29:59.999000+00:00,,344,,
HON,5m,1729089000000,2024-10-16T14:30:00+00:00,217.59,217.84,217.56,217.795,14520,1729089299999,2024-10-16T14:34:59.999000+00:00,,391,,
HON,5m,1729089300000,2024-10-16T14:35:00+00:00,217.84,217.86,217.67,217.67,43082,1729089599999,2024-10-16T14:39:59.999000+00:00,,707,,
HON,5m,1729089600000,2024-10-16T14:40:00+00:00,217.66,217.665,217.22,217.22,9413,1729089899999,2024-10-16T14:44:59.999000+00:00,,335,,
HON,5m,1729089900000,2024-10-16T14:45:00+00:00,217.16,217.53,217.085,217.53,25561,1729090199999,2024-10-16T14:49:59.999000+00:00,,476,,
HON,5m,1729090200000,2024-10-16T14:50:00+00:00,217.52,217.7,217.4572,217.655,18792,1729090499999,2024-10-16T14:54:59.999000+00:00,,349,,
HON,5m,1729090500000,2024-10-16T14:55:00+00:00,217.65,217.85,217.64,217.85,14994,1729090799999,2024-10-16T14:59:59.999000+00:00,,377,,
HON,5m,1729090800000,2024-10-16T15:00:00+00:00,217.86,217.86,217.71,217.74,13604,1729091099999,2024-10-16T15:04:59.999000+00:00,,307,,
HON,5m,1729091100000,2024-10-16T15:05:00+00:00,217.745,217.745,217.6201,217.675,8595,1729091399999,2024-10-16T15:09:59.999000+00:00,,329,,
HON,5m,1729091400000,2024-10-16T15:10:00+00:00,217.72,218.05,217.72,217.951,13557,1729091699999,2024-10-16T15:14:59.999000+00:00,,426,,
HON,5m,1729091700000,2024-10-16T15:15:00+00:00,217.98,218.06,217.92,217.935,7710,1729091999999,2024-10-16T15:19:59.999000+00:00,,295,,
HON,5m,1729092000000,2024-10-16T15:20:00+00:00,217.9,218.07,217.86,218.06,40977,1729092299999,2024-10-16T15:24:59.999000+00:00,,796,,
HON,5m,1729092300000,2024-10-16T15:25:00+00:00,218.04,218.08,217.94,218.055,7794,1729092599999,2024-10-16T15:29:59.999000+00:00,,272,,
HON,5m,1729092600000,2024-10-16T15:30:00+00:00,218.065,218.2,217.94,218.2,11980,1729092899999,2024-10-16T15:34:59.999000+00:00,,449,,
HON,5m,1729092900000,2024-10-16T15:35:00+00:00,218.2,218.25,218.1462,218.25,17730,1729093199999,2024-10-16T15:39:59.999000+00:00,,481,,
HON,5m,1729093200000,2024-10-16T15:40:00+00:00,218.245,218.2999,218.1318,218.165,5976,1729093499999,2024-10-16T15:44:59.999000+00:00,,252,,
HON,5m,1729093500000,2024-10-16T15:45:00+00:00,218.17,218.17,217.951,218.12,12673,1729093799999,2024-10-16T15:49:59.999000+00:00,,377,,
HON,5m,1729093800000,2024-10-16T15:50:00+00:00,218.12,218.19,217.87,217.93,25083,1729094099999,2024-10-16T15:54:59.999000+00:00,,345,,
HON,5m,1729094100000,2024-10-16T15:55:00+00:00,217.9,218,217.9,217.92,13128,1729094399999,2024-10-16T15:59:59.999000+00:00,,436,,
HON,5m,1729094400000,2024-10-16T16:00:00+00:00,217.99,218.205,217.96,218.18,17582,1729094699999,2024-10-16T16:04:59.999000+00:00,,423,,
HON,5m,1729094700000,2024-10-16T16:05:00+00:00,218.18,218.295,218.15,218.23,19216,1729094999999,2024-10-16T16:09:59.999000+00:00,,503,,
HON,5m,1729095000000,2024-10-16T16:10:00+00:00,218.21,218.5,218.2,218.5,13757,1729095299999,2024-10-16T16:14:59.999000+00:00,,338,,
HON,5m,1729095300000,2024-10-16T16:15:00+00:00,218.45,218.4775,218.34,218.46,8358,1729095599999,2024-10-16T16:19:59.999000+00:00,,288,,
HON,5m,1729095600000,2024-10-16T16:20:00+00:00,218.42,218.58,218.37,218.52,16625,1729095899999,2024-10-16T16:24:59.999000+00:00,,433,,
HON,5m,1729095900000,2024-10-16T16:25:00+00:00,218.52,218.59,218.49,218.54,13267,1729096199999,2024-10-16T16:29:59.999000+00:00,,340,,
HON,5m,1729096200000,2024-10-16T16:30:00+00:00,218.5123,218.6,218.475,218.51,7501,1729096499999,2024-10-16T16:34:59.999000+00:00,,237,,
HON,5m,1729096500000,2024-10-16T16:35:00+00:00,218.47,218.87,218.47,218.87,84748,1729096799999,2024-10-16T16:39:59.999000+00:00,,465,,
HON,5m,1729096800000,2024-10-16T16:40:00+00:00,218.85,219.08,218.83,219.01,29778,1729097099999,2024-10-16T16:44:59.999000+00:00,,657,,
HON,5m,1729097100000,2024-10-16T16:45:00+00:00,219.01,219.08,218.94,218.99,14786,1729097399999,2024-10-16T16:49:59.999000+00:00,,357,,
HON,5m,1729097400000,2024-10-16T16:50:00+00:00,218.975,219.17,218.975,219.086,18195,1729097699999,2024-10-16T16:54:59.999000+00:00,,495,,
HON,5m,1729097700000,2024-10-16T16:55:00+00:00,219.13,219.16,218.93,219.0163,41178,1729097999999,2024-10-16T16:59:59.999000+00:00,,814,,
HON,5m,1729098000000,2024-10-16T17:00:00+00:00,219.07,219.12,218.76,218.8,8578,1729098299999,2024-10-16T17:04:59.999000+00:00,,301,,
HON,5m,1729098300000,2024-10-16T17:05:00+00:00,218.8,218.83,218.71,218.8,7756,1729098599999,2024-10-16T17:09:59.999000+00:00,,275,,
HON,5m,1729098600000,2024-10-16T17:10:00+00:00,218.84,218.88,218.795,218.8,5932,1729098899999,2024-10-16T17:14:59.999000+00:00,,246,,
HON,5m,1729098900000,2024-10-16T17:15:00+00:00,218.795,218.84,218.64,218.64,13748,1729099199999,2024-10-16T17:19:59.999000+00:00,,396,,
HON,5m,1729099200000,2024-10-16T17:20:00+00:00,218.615,218.69,218.49,218.65,14594,1729099499999,2024-10-16T17:24:59.999000+00:00,,369,,
HON,5m,1729099500000,2024-10-16T17:25:00+00:00,218.6575,218.79,218.65,218.73,14194,1729099799999,2024-10-16T17:29:59.999000+00:00,,300,,
HON,5m,1729099800000,2024-10-16T17:30:00+00:00,218.75,218.75,218.63,218.68,6302,1729100099999,2024-10-16T17:34:59.999000+00:00,,194,,
HON,5m,1729100100000,2024-10-16T17:35:00+00:00,218.65,218.74,218.64,218.735,7659,1729100399999,2024-10-16T17:39:59.999000+00:00,,252,,
HON,5m,1729100400000,2024-10-16T17:40:00+00:00,218.71,218.76,218.7,218.7545,6838,1729100699999,2024-10-16T17:44:59.999000+00:00,,190,,
HON,5m,1729100700000,2024-10-16T17:45:00+00:00,218.75,218.77,218.67,218.75,10135,1729100999999,2024-10-16T17:49:59.999000+00:00,,315,,
HON,5m,1729101000000,2024-10-16T17:50:00+00:00,218.735,218.74,218.635,218.73,13127,1729101299999,2024-10-16T17:54:59.999000+00:00,,317,,
HON,5m,1729101300000,2024-10-16T17:55:00+00:00,218.73,218.9,218.73,218.85,8630,1729101599999,2024-10-16T17:59:59.999000+00:00,,267,,
HON,5m,1729101600000,2024-10-16T18:00:00+00:00,218.88,219.139,218.84,219.08,25755,1729101899999,2024-10-16T18:04:59.999000+00:00,,539,,
HON,5m,1729101900000,2024-10-16T18:05:00+00:00,219.05,219.05,218.9,218.92,32699,1729102199999,2024-10-16T18:09:59.999000+00:00,,363,,
HON,5m,1729102200000,2024-10-16T18:10:00+00:00,218.89,219.02,218.89,218.9687,8289,1729102499999,2024-10-16T18:14:59.999000+00:00,,307,,
HON,5m,1729102500000,2024-10-16T18:15:00+00:00,219.01,219.11,219.01,219.11,13343,1729102799999,2024-10-16T18:19:59.999000+00:00,,375,,
HON,5m,1729102800000,2024-10-16T18:20:00+00:00,219.07,219.56,219.07,219.56,24157,1729103099999,2024-10-16T18:24:59.999000+00:00,,628,,
HON,5m,1729103100000,2024-10-16T18:25:00+00:00,219.52,219.54,219.39,219.5068,19812,1729103399999,2024-10-16T18:29:59.999000+00:00,,426,,
HON,5m,1729103400000,2024-10-16T18:30:00+00:00,219.46,219.61,219.45,219.45,9334,1729103699999,2024-10-16T18:34:59.999000+00:00,,337,,
HON,5m,1729103700000,2024-10-16T18:35:00+00:00,219.4575,219.52,219.43,219.45,22609,1729103999999,2024-10-16T18:39:59.999000+00:00,,572,,
HON,5m,1729104000000,2024-10-16T18:40:00+00:00,219.45,219.45,219.3635,219.445,23034,1729104299999,2024-10-16T18:44:59.999000+00:00,,552,,
HON,5m,1729104300000,2024-10-16T18:45:00+00:00,219.45,219.48,219.43,219.45,15046,1729104599999,2024-10-16T18:49:59.999000+00:00,,387,,
HON,5m,1729104600000,2024-10-16T18:50:00+00:00,219.445,219.5,219.41,219.47,23529,1729104899999,2024-10-16T18:54:59.999000+00:00,,552,,
HON,5m,1729104900000,2024-10-16T18:55:00+00:00,219.45,219.56,219.45,219.47,18258,1729105199999,2024-10-16T18:59:59.999000+00:00,,549,,
HON,5m,1729105200000,2024-10-16T19:00:00+00:00,219.53,219.53,219.4401,219.4475,18559,1729105499999,2024-10-16T19:04:59.999000+00:00,,580,,
HON,5m,1729105500000,2024-10-16T19:05:00+00:00,219.45,219.49,219.43,219.45,28527,1729105799999,2024-10-16T19:09:59.999000+00:00,,635,,
HON,5m,1729105800000,2024-10-16T19:10:00+00:00,219.48,219.5,219.41,219.45,38066,1729106099999,2024-10-16T19:14:59.999000+00:00,,881,,
HON,5m,1729106100000,2024-10-16T19:15:00+00:00,219.44,219.499,219.44,219.48,13242,1729106399999,2024-10-16T19:19:59.999000+00:00,,380,,
HON,5m,1729106400000,2024-10-16T19:20:00+00:00,219.46,219.499,219.4131,219.45,38082,1729106699999,2024-10-16T19:24:59.999000+00:00,,793,,
HON,5m,1729106700000,2024-10-16T19:25:00+00:00,219.45,219.49,219.43,219.45,16784,1729106999999,2024-10-16T19:29:59.999000+00:00,,567,,
HON,5m,1729107000000,2024-10-16T19:30:00+00:00,219.46,219.46,219.21,219.215,38053,1729107299999,2024-10-16T19:34:59.999000+00:00,,973,,
HON,5m,1729107300000,2024-10-16T19:35:00+00:00,219.225,219.416,219.19,219.325,38393,1729107599999,2024-10-16T19:39:59.999000+00:00,,872,,
