symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HPE,5m,1729076400000,2024-10-16T11:00:00+00:00,20.88,20.88,20.88,20.88,200,1729076699999,2024-10-16T11:04:59.999000+00:00,,1,,
HPE,5m,1729080000000,2024-10-16T12:00:00+00:00,20.8,20.8,20.8,20.8,363,1729080299999,2024-10-16T12:04:59.999000+00:00,,10,,
HPE,5m,1729080300000,2024-10-16T12:05:00+00:00,20.8,20.8,20.8,20.8,300,1729080599999,2024-10-16T12:09:59.999000+00:00,,1,,
HPE,5m,1729080600000,2024-10-16T12:10:00+00:00,20.855,20.855,20.855,20.855,1021,1729080899999,2024-10-16T12:14:59.999000+00:00,,2,,
HPE,5m,1729080900000,2024-10-16T12:15:00+00:00,20.79,20.79,20.79,20.79,300,1729081199999,2024-10-16T12:19:59.999000+00:00,,2,,
HPE,5m,1729081200000,2024-10-16T12:20:00+00:00,20.7903,20.7903,20.7903,20.7903,110,1729081499999,2024-10-16T12:24:59.999000+00:00,,2,,
HPE,5m,1729081500000,2024-10-16T12:25:00+00:00,20.8125,20.82,20.8125,20.82,2170,1729081799999,2024-10-16T12:29:59.999000+00:00,,5,,
HPE,5m,1729081800000,2024-10-16T12:30:00+00:00,20.83,20.87,20.83,20.86,5129,1729082099999,2024-10-16T12:34:59.999000+00:00,,37,,
HPE,5m,1729082100000,2024-10-16T12:35:00+00:00,20.86,20.88,20.86,20.86,1573,1729082399999,2024-10-16T12:39:59.999000+00:00,,10,,
HPE,5m,1729083300000,2024-10-16T12:55:00+00:00,20.84,20.84,20.84,20.84,719,1729083599999,2024-10-16T12:59:59.999000+00:00,,9,,
HPE,5m,1729084200000,2024-10-16T13:10:00+00:00,20.79,20.81,20.79,20.81,1991,1729084499999,2024-10-16T13:14:59.999000+00:00,,13,,
HPE,5m,1729084800000,2024-10-16T13:20:00+00:00,20.77,20.77,20.77,20.77,573,1729085099999,2024-10-16T13:24:59.999000+00:00,,37,,
