symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HPQ,5m,1729078800000,2024-10-16T11:40:00+00:00,37.14,37.14,37.14,37.14,672,1729079099999,2024-10-16T11:44:59.999000+00:00,,12,,
HPQ,5m,1729080000000,2024-10-16T12:00:00+00:00,37.13,37.13,37.13,37.13,195,1729080299999,2024-10-16T12:04:59.999000+00:00,,6,,
HPQ,5m,1729081500000,2024-10-16T12:25:00+00:00,37.11,37.11,37.08,37.08,619,1729081799999,2024-10-16T12:29:59.999000+00:00,,13,,
HPQ,5m,1729083000000,2024-10-16T12:50:00+00:00,37.2,37.2,37.2,37.2,500,1729083299999,2024-10-16T12:54:59.999000+00:00,,1,,
HPQ,5m,1729085400000,2024-10-16T13:30:00+00:00,37.04,37.17,37.04,37.14,78143,1729085699999,2024-10-16T13:34:59.999000+00:00,,399,,
HPQ,5m,1729085700000,2024-10-16T13:35:00+00:00,37.1304,37.175,37.07,37.09,23381,1729085999999,2024-10-16T13:39:59.999000+00:00,,360,,
HPQ,5m,1729086000000,2024-10-16T13:40:00+00:00,37.1,37.11,37.05,37.09,27231,1729086299999,2024-10-16T13:44:59.999000+00:00,,436,,
HPQ,5m,1729086300000,2024-10-16T13:45:00+00:00,37.1,37.195,37.08,37.13,53166,1729086599999,2024-10-16T13:49:59.999000+00:00,,540,,
HPQ,5m,1729086600000,2024-10-16T13:50:00+00:00,37.135,37.14,37.06,37.14,29545,1729086899999,2024-10-16T13:54:59.999000+00:00,,407,,
HPQ,5m,1729086900000,2024-10-16T13:55:00+00:00,37.13,37.24,37.125,37.215,28609,1729087199999,2024-10-16T13:59:59.999000+00:00,,388,,
HPQ,5m,1729087200000,2024-10-16T14:00:00+00:00,37.22,37.27,37.22,37.25,36195,1729087499999,2024-10-16T14:04:59.999000+00:00,,591,,
