symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HRL,5m,1729083300000,2024-10-16T12:55:00+00:00,31.06,31.06,31.02,31.02,1009,1729083599999,2024-10-16T12:59:59.999000+00:00,,9,,
HRL,5m,1729085400000,2024-10-16T13:30:00+00:00,31.12,31.16,31.04,31.105,36803,1729085699999,2024-10-16T13:34:59.999000+00:00,,177,,
HRL,5m,1729085700000,2024-10-16T13:35:00+00:00,31.105,31.24,31.105,31.24,8538,1729085999999,2024-10-16T13:39:59.999000+00:00,,184,,
HRL,5m,1729086000000,2024-10-16T13:40:00+00:00,31.27,31.32,31.22,31.32,9209,1729086299999,2024-10-16T13:44:59.999000+00:00,,167,,
HRL,5m,1729086300000,2024-10-16T13:45:00+00:00,31.31,31.345,31.25,31.25,14375,1729086599999,2024-10-16T13:49:59.999000+00:00,,219,,
HRL,5m,1729086600000,2024-10-16T13:50:00+00:00,31.25,31.2975,31.25,31.28,19665,1729086899999,2024-10-16T13:54:59.999000+00:00,,323,,
HRL,5m,1729086900000,2024-10-16T13:55:00+00:00,31.28,31.332,31.28,31.33,8111,1729087199999,2024-10-16T13:59:59.999000+00:00,,257,,
HRL,5m,1729087200000,2024-10-16T14:00:00+00:00,31.33,31.35,31.3105,31.315,8617,1729087499999,2024-10-16T14:04:59.999000+00:00,,222,,
HRL,5m,1729087500000,2024-10-16T14:05:00+00:00,31.32,31.325,31.2815,31.3,8631,1729087799999,2024-10-16T14:09:59.999000+00:00,,245,,
HRL,5m,1729087800000,2024-10-16T14:10:00+00:00,31.29,31.295,31.2,31.22,10449,1729088099999,2024-10-16T14:14:59.999000+00:00,,252,,
HRL,5m,1729088100000,2024-10-16T14:15:00+00:00,31.22,31.28,31.2102,31.28,9989,1729088399999,2024-10-16T14:19:59.999000+00:00,,225,,
HRL,5m,1729088400000,2024-10-16T14:20:00+00:00,31.27,31.27,31.215,31.22,9861,1729088699999,2024-10-16T14:24:59.999000+00:00,,228,,
HRL,5m,1729088700000,2024-10-16T14:25:00+00:00,31.215,31.24,31.215,31.23,11899,1729088999999,2024-10-16T14:29:59.999000+00:00,,236,,
HRL,5m,1729089000000,2024-10-16T14:30:00+00:00,31.2017,31.24,31.2017,31.235,22590,1729089299999,2024-10-16T14:34:59.999000+00:00,,361,,
HRL,5m,1729089300000,2024-10-16T14:35:00+00:00,31.23,31.27,31.23,31.265,44227,1729089599999,2024-10-16T14:39:59.999000+00:00,,413,,
HRL,5m,1729089600000,2024-10-16T14:40:00+00:00,31.265,31.27,31.25,31.26,12489,1729089899999,2024-10-16T14:44:59.999000+00:00,,227,,
HRL,5m,1729089900000,2024-10-16T14:45:00+00:00,31.255,31.255,31.21,31.215,12350,1729090199999,2024-10-16T14:49:59.999000+00:00,,198,,
HRL,5m,1729090200000,2024-10-16T14:50:00+00:00,31.22,31.225,31.2,31.205,13122,1729090499999,2024-10-16T14:54:59.999000+00:00,,226,,
HRL,5m,1729090500000,2024-10-16T14:55:00+00:00,31.2,31.22,31.165,31.21,19013,1729090799999,2024-10-16T14:59:59.999000+00:00,,276,,
HRL,5m,1729090800000,2024-10-16T15:00:00+00:00,31.21,31.21,31.165,31.165,10804,1729091099999,2024-10-16T15:04:59.999000+00:00,,232,,
HRL,5m,1729091100000,2024-10-16T15:05:00+00:00,31.1692,31.185,31.16,31.18,14833,1729091399999,2024-10-16T15:09:59.999000+00:00,,249,,
HRL,5m,1729091400000,2024-10-16T15:10:00+00:00,31.18,31.19,31.15,31.17,22683,1729091699999,2024-10-16T15:14:59.999000+00:00,,261,,
HRL,5m,1729091700000,2024-10-16T15:15:00+00:00,31.165,31.175,31.155,31.155,10371,1729091999999,2024-10-16T15:19:59.999000+00:00,,207,,
HRL,5m,1729092000000,2024-10-16T15:20:00+00:00,31.155,31.165,31.145,31.165,11188,1729092299999,2024-10-16T15:24:59.999000+00:00,,273,,
HRL,5m,1729092300000,2024-10-16T15:25:00+00:00,31.165,31.165,31.12,31.135,12579,1729092599999,2024-10-16T15:29:59.999000+00:00,,245,,
HRL,5m,1729092600000,2024-10-16T15:30:00+00:00,31.14,31.165,31.135,31.155,8980,1729092899999,2024-10-16T15:34:59.999000+00:00,,185,,
HRL,5m,1729092900000,2024-10-16T15:35:00+00:00,31.155,31.165,31.13,31.165,9474,1729093199999,2024-10-16T15:39:59.999000+00:00,,187,,
HRL,5m,1729093200000,2024-10-16T15:40:00+00:00,31.165,31.17,31.145,31.155,10857,1729093499999,2024-10-16T15:44:59.999000+00:00,,226,,
