symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HSIC,5m,1729077600000,2024-10-16T11:20:00+00:00,70.6,71.07,70.6,70.9,4364,1729077899999,2024-10-16T11:24:59.999000+00:00,,42,,
HSIC,5m,1729077900000,2024-10-16T11:25:00+00:00,70.98,70.98,70.98,70.98,698,1729078199999,2024-10-16T11:29:59.999000+00:00,,6,,
HSIC,5m,1729085100000,2024-10-16T13:25:00+00:00,71.05,71.15,71.05,71.15,400,1729085399999,2024-10-16T13:29:59.999000+00:00,,5,,
HSIC,5m,1729085400000,2024-10-16T13:30:00+00:00,71.25,71.36,70.73,71.23,15242,1729085699999,2024-10-16T13:34:59.999000+00:00,,25,,
HSIC,5m,1729085700000,2024-10-16T13:35:00+00:00,71.23,71.59,71.01,71.59,7258,1729085999999,2024-10-16T13:39:59.999000+00:00,,151,,
HSIC,5m,1729086000000,2024-10-16T13:40:00+00:00,71.64,71.92,71.54,71.9,8707,1729086299999,2024-10-16T13:44:59.999000+00:00,,150,,
HSIC,5m,1729086300000,2024-10-16T13:45:00+00:00,71.845,71.98,71.845,71.845,2243,1729086599999,2024-10-16T13:49:59.999000+00:00,,68,,
HSIC,5m,1729086600000,2024-10-16T13:50:00+00:00,71.885,72.06,71.885,72.03,3655,1729086899999,2024-10-16T13:54:59.999000+00:00,,108,,
HSIC,5m,1729086900000,2024-10-16T13:55:00+00:00,71.98,72.36,71.98,72.26,4028,1729087199999,2024-10-16T13:59:59.999000+00:00,,99,,
HSIC,5m,1729087200000,2024-10-16T14:00:00+00:00,72.31,72.45,72.29,72.295,11000,1729087499999,2024-10-16T14:04:59.999000+00:00,,182,,
HSIC,5m,1729087500000,2024-10-16T14:05:00+00:00,72.345,72.345,72.1301,72.165,2964,1729087799999,2024-10-16T14:09:59.999000+00:00,,83,,
HSIC,5m,1729087800000,2024-10-16T14:10:00+00:00,72.12,72.13,72.03,72.05,2463,1729088099999,2024-10-16T14:14:59.999000+00:00,,79,,
HSIC,5m,1729088100000,2024-10-16T14:15:00+00:00,72.03,72.085,71.97,72.08,2750,1729088399999,2024-10-16T14:19:59.999000+00:00,,67,,
HSIC,5m,1729088400000,2024-10-16T14:20:00+00:00,72.08,72.08,71.97,71.97,2049,1729088699999,2024-10-16T14:24:59.999000+00:00,,53,,
HSIC,5m,1729088700000,2024-10-16T14:25:00+00:00,71.94,71.98,71.88,71.885,6748,1729088999999,2024-10-16T14:29:59.999000+00:00,,75,,
HSIC,5m,1729089000000,2024-10-16T14:30:00+00:00,71.84,71.9,71.81,71.845,3803,1729089299999,2024-10-16T14:34:59.999000+00:00,,90,,
HSIC,5m,1729089300000,2024-10-16T14:35:00+00:00,71.9,71.96,71.895,71.94,5076,1729089599999,2024-10-16T14:39:59.999000+00:00,,133,,
HSIC,5m,1729089600000,2024-10-16T14:40:00+00:00,71.945,72.14,71.89,72.11,12288,1729089899999,2024-10-16T14:44:59.999000+00:00,,207,,
HSIC,5m,1729089900000,2024-10-16T14:45:00+00:00,72.05,72.05,72.04,72.04,1470,1729090199999,2024-10-16T14:49:59.999000+00:00,,47,,
HSIC,5m,1729090200000,2024-10-16T14:50:00+00:00,72.04,72.11,72.02,72.105,12764,1729090499999,2024-10-16T14:54:59.999000+00:00,,249,,
HSIC,5m,1729090500000,2024-10-16T14:55:00+00:00,72.105,72.11,71.95,72.04,16713,1729090799999,2024-10-16T14:59:59.999000+00:00,,297,,
HSIC,5m,1729090800000,2024-10-16T15:00:00+00:00,72.04,72.04,71.91,71.99,25001,1729091099999,2024-10-16T15:04:59.999000+00:00,,192,,
HSIC,5m,1729091100000,2024-10-16T15:05:00+00:00,71.99,71.995,71.95,71.95,2045,1729091399999,2024-10-16T15:09:59.999000+00:00,,60,,
HSIC,5m,1729091400000,2024-10-16T15:10:00+00:00,71.976599,71.995,71.95,71.98,4735,1729091699999,2024-10-16T15:14:59.999000+00:00,,111,,
HSIC,5m,1729091700000,2024-10-16T15:15:00+00:00,71.99,72,71.95,71.97,3091,1729091999999,2024-10-16T15:19:59.999000+00:00,,81,,
HSIC,5m,1729092000000,2024-10-16T15:20:00+00:00,71.975,71.98,71.93,71.97,6032,1729092299999,2024-10-16T15:24:59.999000+00:00,,136,,
HSIC,5m,1729092300000,2024-10-16T15:25:00+00:00,71.95,72.14,71.92,72.08,33056,1729092599999,2024-10-16T15:29:59.999000+00:00,,303,,
HSIC,5m,1729092600000,2024-10-16T15:30:00+00:00,72.05,72.06,71.99,72.005,7601,1729092899999,2024-10-16T15:34:59.999000+00:00,,176,,
HSIC,5m,1729092900000,2024-10-16T15:35:00+00:00,71.99,72.01,71.88,71.94,9341,1729093199999,2024-10-16T15:39:59.999000+00:00,,218,,
HSIC,5m,1729093200000,2024-10-16T15:40:00+00:00,71.94,72.02,71.94,72.02,10266,1729093499999,2024-10-16T15:44:59.999000+00:00,,239,,
HSIC,5m,1729093500000,2024-10-16T15:45:00+00:00,72.02,72.025,71.95,71.97,9172,1729093799999,2024-10-16T15:49:59.999000+00:00,,190,,
HSIC,5m,1729093800000,2024-10-16T15:50:00+00:00,71.96,71.96,71.91,71.93,24439,1729094099999,2024-10-16T15:54:59.999000+00:00,,291,,
HSIC,5m,1729094100000,2024-10-16T15:55:00+00:00,71.925,71.95,71.91,71.925,8297,1729094399999,2024-10-16T15:59:59.999000+00:00,,170,,
HSIC,5m,1729094400000,2024-10-16T16:00:00+00:00,71.94,72.13,71.94,72.07,10910,1729094699999,2024-10-16T16:04:59.999000+00:00,,246,,
HSIC,5m,1729094700000,2024-10-16T16:05:00+00:00,72.06,72.06,71.98,72.01,6483,1729094999999,2024-10-16T16:09:59.999000+00:00,,190,,
HSIC,5m,1729095000000,2024-10-16T16:10:00+00:00,72.01,72.01,71.93,71.94,8888,1729095299999,2024-10-16T16:14:59.999000+00:00,,211,,
HSIC,5m,1729095300000,2024-10-16T16:15:00+00:00,71.93,72.03,71.93,72.03,9468,1729095599999,2024-10-16T16:19:59.999000+00:00,,227,,
HSIC,5m,1729095600000,2024-10-16T16:20:00+00:00,72.025,72.05,72.01,72.03,4643,1729095899999,2024-10-16T16:24:59.999000+00:00,,139,,
HSIC,5m,1729095900000,2024-10-16T16:25:00+00:00,72.05,72.07,72.03,72.03,4924,1729096199999,2024-10-16T16:29:59.999000+00:00,,156,,
HSIC,5m,1729096200000,2024-10-16T16:30:00+00:00,72.03,72.165,72.03,72.14,14982,1729096499999,2024-10-16T16:34:59.999000+00:00,,310,,
HSIC,5m,1729096500000,2024-10-16T16:35:00+00:00,72.16,72.27,72.16,72.26,3296,1729096799999,2024-10-16T16:39:59.999000+00:00,,157,,
HSIC,5m,1729096800000,2024-10-16T16:40:00+00:00,72.25,72.28,72.21,72.26,6048,1729097099999,2024-10-16T16:44:59.999000+00:00,,201,,
HSIC,5m,1729097100000,2024-10-16T16:45:00+00:00,72.23,72.26,72.2,72.22,2655,1729097399999,2024-10-16T16:49:59.999000+00:00,,98,,
HSIC,5m,1729097400000,2024-10-16T16:50:00+00:00,72.215,72.25,72.195,72.25,5349,1729097699999,2024-10-16T16:54:59.999000+00:00,,189,,
HSIC,5m,1729097700000,2024-10-16T16:55:00+00:00,72.25,72.25,72.21,72.24,6050,1729097999999,2024-10-16T16:59:59.999000+00:00,,230,,
HSIC,5m,1729098000000,2024-10-16T17:00:00+00:00,72.24,72.24,72.07,72.07,6235,1729098299999,2024-10-16T17:04:59.999000+00:00,,215,,
HSIC,5m,1729098300000,2024-10-16T17:05:00+00:00,72.05,72.05,72,72.02,4408,1729098599999,2024-10-16T17:09:59.999000+00:00,,155,,
HSIC,5m,1729098600000,2024-10-16T17:10:00+00:00,72.01,72.01,71.98,71.985,1831,1729098899999,2024-10-16T17:14:59.999000+00:00,,80,,
HSIC,5m,1729098900000,2024-10-16T17:15:00+00:00,71.99,72,71.89,71.89,17723,1729099199999,2024-10-16T17:19:59.999000+00:00,,159,,
HSIC,5m,1729099200000,2024-10-16T17:20:00+00:00,71.89,71.99,71.89,71.945,3925,1729099499999,2024-10-16T17:24:59.999000+00:00,,154,,
HSIC,5m,1729099500000,2024-10-16T17:25:00+00:00,71.9,71.93,71.9,71.925,3722,1729099799999,2024-10-16T17:29:59.999000+00:00,,104,,
HSIC,5m,1729099800000,2024-10-16T17:30:00+00:00,71.9,71.9,71.87,71.88,7608,1729100099999,2024-10-16T17:34:59.999000+00:00,,199,,
HSIC,5m,1729100100000,2024-10-16T17:35:00+00:00,71.885,71.885,71.84,71.865,2210,1729100399999,2024-10-16T17:39:59.999000+00:00,,99,,
HSIC,5m,1729100400000,2024-10-16T17:40:00+00:00,71.88,71.89,71.85,71.85,3485,1729100699999,2024-10-16T17:44:59.999000+00:00,,113,,
HSIC,5m,1729100700000,2024-10-16T17:45:00+00:00,71.86,71.87,71.85,71.86,3091,1729100999999,2024-10-16T17:49:59.999000+00:00,,94,,
HSIC,5m,1729101000000,2024-10-16T17:50:00+00:00,71.87,71.87,71.78,71.79,7147,1729101299999,2024-10-16T17:54:59.999000+00:00,,236,,
HSIC,5m,1729101300000,2024-10-16T17:55:00+00:00,71.79,71.83,71.79,71.79,3763,1729101599999,2024-10-16T17:59:59.999000+00:00,,119,,
HSIC,5m,1729101600000,2024-10-16T18:00:00+00:00,71.78,71.845,71.78,71.8,3369,1729101899999,2024-10-16T18:04:59.999000+00:00,,136,,
HSIC,5m,1729101900000,2024-10-16T18:05:00+00:00,71.8,71.85,71.8,71.8,3882,1729102199999,2024-10-16T18:09:59.999000+00:00,,112,,
HSIC,5m,1729102200000,2024-10-16T18:10:00+00:00,71.8,71.83,71.78,71.82,1712,1729102499999,2024-10-16T18:14:59.999000+00:00,,56,,
HSIC,5m,1729102500000,2024-10-16T18:15:00+00:00,71.825,71.89,71.825,71.89,2441,1729102799999,2024-10-16T18:19:59.999000+00:00,,123,,
HSIC,5m,1729102800000,2024-10-16T18:20:00+00:00,71.915,71.985,71.915,71.985,3043,1729103099999,2024-10-16T18:24:59.999000+00:00,,121,,
HSIC,5m,1729103100000,2024-10-16T18:25:00+00:00,71.97,71.97,71.87,71.87,8108,1729103399999,2024-10-16T18:29:59.999000+00:00,,257,,
HSIC,5m,1729103400000,2024-10-16T18:30:00+00:00,71.88,71.92,71.88,71.895,5161,1729103699999,2024-10-16T18:34:59.999000+00:00,,139,,
HSIC,5m,1729103700000,2024-10-16T18:35:00+00:00,71.88,72.01,71.86,71.905,16016,1729103999999,2024-10-16T18:39:59.999000+00:00,,387,,
HSIC,5m,1729104000000,2024-10-16T18:40:00+00:00,71.89,72.01,71.88,72.01,5029,1729104299999,2024-10-16T18:44:59.999000+00:00,,138,,
HSIC,5m,1729104300000,2024-10-16T18:45:00+00:00,71.99,72.17,71.97,72.17,7054,1729104599999,2024-10-16T18:49:59.999000+00:00,,190,,
HSIC,5m,1729104600000,2024-10-16T18:50:00+00:00,72.18,72.19,72.02,72.02,7630,1729104899999,2024-10-16T18:54:59.999000+00:00,,213,,
HSIC,5m,1729104900000,2024-10-16T18:55:00+00:00,72.025,72.04,71.96,72.03,6258,1729105199999,2024-10-16T18:59:59.999000+00:00,,231,,
