symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HST,5m,1729085100000,2024-10-16T13:25:00+00:00,18.13,18.13,18.13,18.13,250,1729085399999,2024-10-16T13:29:59.999000+00:00,,1,,
HST,5m,1729085400000,2024-10-16T13:30:00+00:00,17.93,18.045,17.92,18.04,46652,1729085699999,2024-10-16T13:34:59.999000+00:00,,251,,
HST,5m,1729085700000,2024-10-16T13:35:00+00:00,18.06,18.09,18.03,18.065,22299,1729085999999,2024-10-16T13:39:59.999000+00:00,,173,,
HST,5m,1729086000000,2024-10-16T13:40:00+00:00,18.06,18.14,18.045,18.125,21449,1729086299999,2024-10-16T13:44:59.999000+00:00,,195,,
HST,5m,1729086300000,2024-10-16T13:45:00+00:00,18.125,18.16,18.08,18.08,24507,1729086599999,2024-10-16T13:49:59.999000+00:00,,204,,
HST,5m,1729086600000,2024-10-16T13:50:00+00:00,18.08,18.11,18.03,18.04,33304,1729086899999,2024-10-16T13:54:59.999000+00:00,,279,,
HST,5m,1729086900000,2024-10-16T13:55:00+00:00,18.045,18.06,17.99,18.04,43043,1729087199999,2024-10-16T13:59:59.999000+00:00,,375,,
HST,5m,1729087200000,2024-10-16T14:00:00+00:00,18.045,18.0475,18.005,18.0175,23344,1729087499999,2024-10-16T14:04:59.999000+00:00,,209,,
HST,5m,1729087500000,2024-10-16T14:05:00+00:00,18.02,18.04,17.995,18.01,18038,1729087799999,2024-10-16T14:09:59.999000+00:00,,249,,
HST,5m,1729087800000,2024-10-16T14:10:00+00:00,18.0082,18.0082,17.945,17.945,34019,1729088099999,2024-10-16T14:14:59.999000+00:00,,331,,
HST,5m,1729088100000,2024-10-16T14:15:00+00:00,17.9401,18.01,17.9401,17.99,13957,1729088399999,2024-10-16T14:19:59.999000+00:00,,189,,
HST,5m,1729088400000,2024-10-16T14:20:00+00:00,17.99,18,17.985,17.99,16230,1729088699999,2024-10-16T14:24:59.999000+00:00,,163,,
HST,5m,1729088700000,2024-10-16T14:25:00+00:00,17.995,18,17.98,17.985,9114,1729088999999,2024-10-16T14:29:59.999000+00:00,,132,,
