symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HUBB,5m,1729068600000,2024-10-16T08:50:00+00:00,451.91,451.91,451.91,451.91,123,1729068899999,2024-10-16T08:54:59.999000+00:00,,3,,
HUBB,5m,1729085400000,2024-10-16T13:30:00+00:00,454.27,456.2,453.04,453.365,3765,1729085699999,2024-10-16T13:34:59.999000+00:00,,38,,
HUBB,5m,1729085700000,2024-10-16T13:35:00+00:00,455.5,455.5,452.66,454.605,4494,1729085999999,2024-10-16T13:39:59.999000+00:00,,113,,
HUBB,5m,1729086000000,2024-10-16T13:40:00+00:00,454.605,457.18,454.3,456.8,10890,1729086299999,2024-10-16T13:44:59.999000+00:00,,197,,
HUBB,5m,1729086300000,2024-10-16T13:45:00+00:00,456.37,457.38,455.625,456.64,4699,1729086599999,2024-10-16T13:49:59.999000+00:00,,179,,
HUBB,5m,1729086600000,2024-10-16T13:50:00+00:00,456.74,456.815,455.515,456.2,6515,1729086899999,2024-10-16T13:54:59.999000+00:00,,226,,
HUBB,5m,1729086900000,2024-10-16T13:55:00+00:00,456,456,455.41,455.57,3160,1729087199999,2024-10-16T13:59:59.999000+00:00,,55,,
HUBB,5m,1729087200000,2024-10-16T14:00:00+00:00,456.11,456.22,455.165,455.165,3127,1729087499999,2024-10-16T14:04:59.999000+00:00,,137,,
HUBB,5m,1729087500000,2024-10-16T14:05:00+00:00,455.085,455.085,455.07,455.07,706,1729087799999,2024-10-16T14:09:59.999000+00:00,,33,,
HUBB,5m,1729087800000,2024-10-16T14:10:00+00:00,455.16,456.77,455.16,456.77,3928,1729088099999,2024-10-16T14:14:59.999000+00:00,,189,,
HUBB,5m,1729088100000,2024-10-16T14:15:00+00:00,455.99,456.8927,454.91,454.91,1759,1729088399999,2024-10-16T14:19:59.999000+00:00,,59,,
HUBB,5m,1729088400000,2024-10-16T14:20:00+00:00,455.205,455.205,454.17,454.68,2263,1729088699999,2024-10-16T14:24:59.999000+00:00,,103,,
HUBB,5m,1729088700000,2024-10-16T14:25:00+00:00,454.87,454.985,454.87,454.985,1108,1729088999999,2024-10-16T14:29:59.999000+00:00,,32,,
HUBB,5m,1729089000000,2024-10-16T14:30:00+00:00,454.26,454.48,453.67,454.055,3777,1729089299999,2024-10-16T14:34:59.999000+00:00,,164,,
HUBB,5m,1729089300000,2024-10-16T14:35:00+00:00,454.055,454.055,453.24,453.24,1506,1729089599999,2024-10-16T14:39:59.999000+00:00,,71,,
HUBB,5m,1729089600000,2024-10-16T14:40:00+00:00,453.7936,453.7936,452.25,453.36,3674,1729089899999,2024-10-16T14:44:59.999000+00:00,,182,,
HUBB,5m,1729089900000,2024-10-16T14:45:00+00:00,454.19,454.59,454.18,454.19,1191,1729090199999,2024-10-16T14:49:59.999000+00:00,,47,,
HUBB,5m,1729090200000,2024-10-16T14:50:00+00:00,454.19,454.19,454.05,454.05,937,1729090499999,2024-10-16T14:54:59.999000+00:00,,35,,
HUBB,5m,1729090500000,2024-10-16T14:55:00+00:00,454.38,454.86,454.18,454.66,6811,1729090799999,2024-10-16T14:59:59.999000+00:00,,220,,
HUBB,5m,1729090800000,2024-10-16T15:00:00+00:00,454.96,454.96,454.16,454.37,4586,1729091099999,2024-10-16T15:04:59.999000+00:00,,127,,
HUBB,5m,1729091100000,2024-10-16T15:05:00+00:00,454.415,454.415,453.71,453.835,1874,1729091399999,2024-10-16T15:09:59.999000+00:00,,90,,
HUBB,5m,1729091400000,2024-10-16T15:10:00+00:00,453.965,454.64,453.5728,454.64,1717,1729091699999,2024-10-16T15:14:59.999000+00:00,,76,,
HUBB,5m,1729091700000,2024-10-16T15:15:00+00:00,455.1,456.06,455.1,455.84,981,1729091999999,2024-10-16T15:19:59.999000+00:00,,47,,
HUBB,5m,1729092300000,2024-10-16T15:25:00+00:00,456.1,456.1,455.65,455.65,1478,1729092599999,2024-10-16T15:29:59.999000+00:00,,98,,
HUBB,5m,1729092600000,2024-10-16T15:30:00+00:00,455.57,455.86,455.57,455.86,380,1729092899999,2024-10-16T15:34:59.999000+00:00,,12,,
HUBB,5m,1729092900000,2024-10-16T15:35:00+00:00,455.9,456.11,455.53,455.98,1658,1729093199999,2024-10-16T15:39:59.999000+00:00,,45,,
HUBB,5m,1729093200000,2024-10-16T15:40:00+00:00,456.12,456.56,455.81,455.81,4485,1729093499999,2024-10-16T15:44:59.999000+00:00,,129,,
HUBB,5m,1729093500000,2024-10-16T15:45:00+00:00,455.53,455.53,454.68,454.68,993,1729093799999,2024-10-16T15:49:59.999000+00:00,,58,,
HUBB,5m,1729093800000,2024-10-16T15:50:00+00:00,454.68,455.44,454.68,455.44,1344,1729094099999,2024-10-16T15:54:59.999000+00:00,,52,,
HUBB,5m,1729094100000,2024-10-16T15:55:00+00:00,455.44,455.52,455.38,455.52,2546,1729094399999,2024-10-16T15:59:59.999000+00:00,,111,,
HUBB,5m,1729094400000,2024-10-16T16:00:00+00:00,455.52,456.43,455.52,455.735,5271,1729094699999,2024-10-16T16:04:59.999000+00:00,,116,,
HUBB,5m,1729094700000,2024-10-16T16:05:00+00:00,455.735,456.5,455.735,456.02,2346,1729094999999,2024-10-16T16:09:59.999000+00:00,,73,,
HUBB,5m,1729095000000,2024-10-16T16:10:00+00:00,456.02,456.5,455.93,456.5,2256,1729095299999,2024-10-16T16:14:59.999000+00:00,,65,,
HUBB,5m,1729095300000,2024-10-16T16:15:00+00:00,456.84,456.84,456.265,456.265,491,1729095599999,2024-10-16T16:19:59.999000+00:00,,13,,
HUBB,5m,1729095600000,2024-10-16T16:20:00+00:00,456.38,456.385,456.38,456.385,973,1729095899999,2024-10-16T16:24:59.999000+00:00,,32,,
HUBB,5m,1729095900000,2024-10-16T16:25:00+00:00,456.385,456.385,455.93,456.26,1410,1729096199999,2024-10-16T16:29:59.999000+00:00,,76,,
HUBB,5m,1729096200000,2024-10-16T16:30:00+00:00,456.26,456.26,455.85,455.92,1508,1729096499999,2024-10-16T16:34:59.999000+00:00,,86,,
HUBB,5m,1729096500000,2024-10-16T16:35:00+00:00,455.465,456.15,455.465,455.86,1233,1729096799999,2024-10-16T16:39:59.999000+00:00,,50,,
HUBB,5m,1729096800000,2024-10-16T16:40:00+00:00,455.885,456.0825,455.7,455.885,1238,1729097099999,2024-10-16T16:44:59.999000+00:00,,27,,
HUBB,5m,1729097100000,2024-10-16T16:45:00+00:00,455.845,455.845,455.425,455.78,892,1729097399999,2024-10-16T16:49:59.999000+00:00,,54,,
HUBB,5m,1729097400000,2024-10-16T16:50:00+00:00,455.78,455.78,454.54,454.54,1299,1729097699999,2024-10-16T16:54:59.999000+00:00,,73,,
HUBB,5m,1729097700000,2024-10-16T16:55:00+00:00,454.97,454.97,454.46,454.46,728,1729097999999,2024-10-16T16:59:59.999000+00:00,,28,,
HUBB,5m,1729098000000,2024-10-16T17:00:00+00:00,454.885,454.885,454.8,454.85,744,1729098299999,2024-10-16T17:04:59.999000+00:00,,52,,
HUBB,5m,1729098300000,2024-10-16T17:05:00+00:00,454.7,454.785,454.315,454.785,2039,1729098599999,2024-10-16T17:09:59.999000+00:00,,107,,
HUBB,5m,1729098600000,2024-10-16T17:10:00+00:00,454.62,454.62,454.31,454.48,1539,1729098899999,2024-10-16T17:14:59.999000+00:00,,69,,
HUBB,5m,1729098900000,2024-10-16T17:15:00+00:00,454.57,454.685,454.24,454.24,1286,1729099199999,2024-10-16T17:19:59.999000+00:00,,58,,
HUBB,5m,1729099200000,2024-10-16T17:20:00+00:00,454.675,454.74,454.04,454.04,4799,1729099499999,2024-10-16T17:24:59.999000+00:00,,150,,
HUBB,5m,1729099500000,2024-10-16T17:25:00+00:00,454.235,454.365,453.98,454.365,1845,1729099799999,2024-10-16T17:29:59.999000+00:00,,52,,
HUBB,5m,1729099800000,2024-10-16T17:30:00+00:00,453.84,454.28,453.84,454.28,659,1729100099999,2024-10-16T17:34:59.999000+00:00,,33,,
HUBB,5m,1729100100000,2024-10-16T17:35:00+00:00,453.935,454.265,453.9,454.265,1907,1729100399999,2024-10-16T17:39:59.999000+00:00,,79,,
HUBB,5m,1729100400000,2024-10-16T17:40:00+00:00,454.01,454.26,453.73,453.78,1367,1729100699999,2024-10-16T17:44:59.999000+00:00,,39,,
HUBB,5m,1729100700000,2024-10-16T17:45:00+00:00,453.74,454.065,453.58,453.735,2387,1729100999999,2024-10-16T17:49:59.999000+00:00,,114,,
HUBB,5m,1729101000000,2024-10-16T17:50:00+00:00,453.64,453.675,453.16,453.16,3076,1729101299999,2024-10-16T17:54:59.999000+00:00,,168,,
HUBB,5m,1729101300000,2024-10-16T17:55:00+00:00,453.525,454.09,453.2,454.005,9336,1729101599999,2024-10-16T17:59:59.999000+00:00,,217,,
HUBB,5m,1729101600000,2024-10-16T18:00:00+00:00,454.06,454.06,453.92,454.035,1483,1729101899999,2024-10-16T18:04:59.999000+00:00,,45,,
HUBB,5m,1729101900000,2024-10-16T18:05:00+00:00,454.045,454.045,454.045,454.045,222,1729102199999,2024-10-16T18:09:59.999000+00:00,,12,,
HUBB,5m,1729102200000,2024-10-16T18:10:00+00:00,453.91,454.03,453.8,454.025,1462,1729102499999,2024-10-16T18:14:59.999000+00:00,,58,,
HUBB,5m,1729102500000,2024-10-16T18:15:00+00:00,454.08,454.26,454.015,454.25,3721,1729102799999,2024-10-16T18:19:59.999000+00:00,,151,,
HUBB,5m,1729102800000,2024-10-16T18:20:00+00:00,454.27,454.67,454.15,454.15,8567,1729103099999,2024-10-16T18:24:59.999000+00:00,,287,,
HUBB,5m,1729103100000,2024-10-16T18:25:00+00:00,454.2,454.2,453.84,454.04,1899,1729103399999,2024-10-16T18:29:59.999000+00:00,,103,,
HUBB,5m,1729103400000,2024-10-16T18:30:00+00:00,454.045,454.045,453.57,453.57,616,1729103699999,2024-10-16T18:34:59.999000+00:00,,42,,
HUBB,5m,1729103700000,2024-10-16T18:35:00+00:00,454.2099,454.2099,453.32,453.7,1290,1729103999999,2024-10-16T18:39:59.999000+00:00,,70,,
HUBB,5m,1729104000000,2024-10-16T18:40:00+00:00,453.47,453.93,453.43,453.7,1316,1729104299999,2024-10-16T18:44:59.999000+00:00,,75,,
HUBB,5m,1729104300000,2024-10-16T18:45:00+00:00,453.7,453.71,453.34,453.34,1515,1729104599999,2024-10-16T18:49:59.999000+00:00,,58,,
HUBB,5m,1729104600000,2024-10-16T18:50:00+00:00,453.37,453.37,452.74,452.74,8064,1729104899999,2024-10-16T18:54:59.999000+00:00,,289,,
HUBB,5m,1729104900000,2024-10-16T18:55:00+00:00,452.77,452.77,452.53,452.735,3011,1729105199999,2024-10-16T18:59:59.999000+00:00,,127,,
HUBB,5m,1729105200000,2024-10-16T19:00:00+00:00,452.85,453.18,452.66,453.13,6583,1729105499999,2024-10-16T19:04:59.999000+00:00,,268,,
HUBB,5m,1729105500000,2024-10-16T19:05:00+00:00,453.115,453.68,453.115,453.545,3408,1729105799999,2024-10-16T19:09:59.999000+00:00,,123,,
