symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
HUM,5m,1729078500000,2024-10-16T11:35:00+00:00,259.5,259.5,259.5,259.5,232,1729078799999,2024-10-16T11:39:59.999000+00:00,,5,,
HUM,5m,1729080000000,2024-10-16T12:00:00+00:00,259,259,259,259,198,1729080299999,2024-10-16T12:04:59.999000+00:00,,11,,
HUM,5m,1729081500000,2024-10-16T12:25:00+00:00,257.9904,257.9904,257.9904,257.9904,100,1729081799999,2024-10-16T12:29:59.999000+00:00,,1,,
HUM,5m,1729083000000,2024-10-16T12:50:00+00:00,258.1,258.1,258.1,258.1,670,1729083299999,2024-10-16T12:54:59.999000+00:00,,2,,
HUM,5m,1729085400000,2024-10-16T13:30:00+00:00,258.22,258.22,256.01,257.2,24189,1729085699999,2024-10-16T13:34:59.999000+00:00,,520,,
HUM,5m,1729085700000,2024-10-16T13:35:00+00:00,256.55,259.4824,256.55,259.331801,21583,1729085999999,2024-10-16T13:39:59.999000+00:00,,380,,
HUM,5m,1729086000000,2024-10-16T13:40:00+00:00,259.16,259.44,257.76,258.57,23507,1729086299999,2024-10-16T13:44:59.999000+00:00,,536,,
HUM,5m,1729086300000,2024-10-16T13:45:00+00:00,258.59,258.67,257.24,257.24,26352,1729086599999,2024-10-16T13:49:59.999000+00:00,,513,,
HUM,5m,1729086600000,2024-10-16T13:50:00+00:00,257.25,257.86,256.97,257.34,66593,1729086899999,2024-10-16T13:54:59.999000+00:00,,602,,
HUM,5m,1729086900000,2024-10-16T13:55:00+00:00,257.31,258.47,257.1,258.04,43494,1729087199999,2024-10-16T13:59:59.999000+00:00,,517,,
HUM,5m,1729087200000,2024-10-16T14:00:00+00:00,258.18,258.6,257.4,257.5741,17757,1729087499999,2024-10-16T14:04:59.999000+00:00,,486,,
HUM,5m,1729087500000,2024-10-16T14:05:00+00:00,257.48,258.61,257.48,258.2854,12393,1729087799999,2024-10-16T14:09:59.999000+00:00,,336,,
HUM,5m,1729087800000,2024-10-16T14:10:00+00:00,258.29,258.29,257.5415,257.7283,11102,1729088099999,2024-10-16T14:14:59.999000+00:00,,380,,
HUM,5m,1729088100000,2024-10-16T14:15:00+00:00,257.655,258.1005,257.64,257.99,12934,1729088399999,2024-10-16T14:19:59.999000+00:00,,364,,
HUM,5m,1729088400000,2024-10-16T14:20:00+00:00,257.62,258.83,257.38,258.51,14002,1729088699999,2024-10-16T14:24:59.999000+00:00,,332,,
HUM,5m,1729088700000,2024-10-16T14:25:00+00:00,258.82,259.565,258.6,259.25,20562,1729088999999,2024-10-16T14:29:59.999000+00:00,,442,,
HUM,5m,1729089000000,2024-10-16T14:30:00+00:00,259,260.0996,259,259.74,16449,1729089299999,2024-10-16T14:34:59.999000+00:00,,443,,
HUM,5m,1729089300000,2024-10-16T14:35:00+00:00,259.74,260.335,259.74,259.91,15197,1729089599999,2024-10-16T14:39:59.999000+00:00,,413,,
HUM,5m,1729089600000,2024-10-16T14:40:00+00:00,259.75,260.58,259.69,260.27,15482,1729089899999,2024-10-16T14:44:59.999000+00:00,,466,,
HUM,5m,1729089900000,2024-10-16T14:45:00+00:00,260.08,260.08,259.18,259.185,9499,1729090199999,2024-10-16T14:49:59.999000+00:00,,269,,
HUM,5m,1729090200000,2024-10-16T14:50:00+00:00,259.095,259.88,259.05,259.88,8037,1729090499999,2024-10-16T14:54:59.999000+00:00,,264,,
HUM,5m,1729090500000,2024-10-16T14:55:00+00:00,259.53,260.21,258.68,258.9,29274,1729090799999,2024-10-16T14:59:59.999000+00:00,,647,,
HUM,5m,1729090800000,2024-10-16T15:00:00+00:00,258.67,259.16,257.75,259.12,15998,1729091099999,2024-10-16T15:04:59.999000+00:00,,587,,
HUM,5m,1729091100000,2024-10-16T15:05:00+00:00,259.13,259.13,258.18,258.455,13936,1729091399999,2024-10-16T15:09:59.999000+00:00,,487,,
HUM,5m,1729091400000,2024-10-16T15:10:00+00:00,258.355,258.78,258,258.47,18355,1729091699999,2024-10-16T15:14:59.999000+00:00,,363,,
HUM,5m,1729091700000,2024-10-16T15:15:00+00:00,258.645,258.73,258.435,258.69,6676,1729091999999,2024-10-16T15:19:59.999000+00:00,,267,,
HUM,5m,1729092000000,2024-10-16T15:20:00+00:00,258.67,258.785,257.9147,258.18,19608,1729092299999,2024-10-16T15:24:59.999000+00:00,,532,,
HUM,5m,1729092300000,2024-10-16T15:25:00+00:00,258.3,258.3,257.425,257.75,19173,1729092599999,2024-10-16T15:29:59.999000+00:00,,548,,
HUM,5m,1729092600000,2024-10-16T15:30:00+00:00,257.53,257.85,257.53,257.61,4741,1729092899999,2024-10-16T15:34:59.999000+00:00,,235,,
HUM,5m,1729092900000,2024-10-16T15:35:00+00:00,257.77,257.77,257.43,257.77,18377,1729093199999,2024-10-16T15:39:59.999000+00:00,,431,,
HUM,5m,1729093200000,2024-10-16T15:40:00+00:00,257.77,258.01,257.64,258.01,11441,1729093499999,2024-10-16T15:44:59.999000+00:00,,346,,
HUM,5m,1729093500000,2024-10-16T15:45:00+00:00,258.02,258.04,257.71,257.75,7055,1729093799999,2024-10-16T15:49:59.999000+00:00,,271,,
HUM,5m,1729093800000,2024-10-16T15:50:00+00:00,257.7662,257.99,257.51,257.53,11587,1729094099999,2024-10-16T15:54:59.999000+00:00,,361,,
HUM,5m,1729094100000,2024-10-16T15:55:00+00:00,257.49,257.8,257.49,257.6,11684,1729094399999,2024-10-16T15:59:59.999000+00:00,,425,,
HUM,5m,1729094400000,2024-10-16T16:00:00+00:00,257.5967,257.68,256.68,256.68,32963,1729094699999,2024-10-16T16:04:59.999000+00:00,,881,,
HUM,5m,1729094700000,2024-10-16T16:05:00+00:00,256.81,257.35,256.68,257.26,10810,1729094999999,2024-10-16T16:09:59.999000+00:00,,295,,
HUM,5m,1729095000000,2024-10-16T16:10:00+00:00,257.12,257.12,256.2901,256.2901,12237,1729095299999,2024-10-16T16:14:59.999000+00:00,,363,,
HUM,5m,1729095300000,2024-10-16T16:15:00+00:00,256.29,256.61,256.1,256.44,13684,1729095599999,2024-10-16T16:19:59.999000+00:00,,412,,
HUM,5m,1729095600000,2024-10-16T16:20:00+00:00,256.505,256.94,256.43,256.85,7311,1729095899999,2024-10-16T16:24:59.999000+00:00,,197,,
HUM,5m,1729095900000,2024-10-16T16:25:00+00:00,256.85,257.165,256.845,257.16,8429,1729096199999,2024-10-16T16:29:59.999000+00:00,,231,,
