symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
IBKR,5m,1729067700000,2024-10-16T08:35:00+00:00,147.1,147.1,146.55,146.75,2346,1729067999999,2024-10-16T08:39:59.999000+00:00,,32,,
IBKR,5m,1729068900000,2024-10-16T08:55:00+00:00,146.17,146.2,145.63,145.63,1412,1729069199999,2024-10-16T08:59:59.999000+00:00,,44,,
IBKR,5m,1729069200000,2024-10-16T09:00:00+00:00,145.5,145.5,145.01,145.06,614,1729069499999,2024-10-16T09:04:59.999000+00:00,,9,,
IBKR,5m,1729069500000,2024-10-16T09:05:00+00:00,145.44,145.96,145.44,145.96,1283,1729069799999,2024-10-16T09:09:59.999000+00:00,,52,,
IBKR,5m,1729069800000,2024-10-16T09:10:00+00:00,146.3,146.3,145.96,145.96,600,1729070099999,2024-10-16T09:14:59.999000+00:00,,26,,
IBKR,5m,1729070100000,2024-10-16T09:15:00+00:00,145.96,145.96,145,145.44,29389,1729070399999,2024-10-16T09:19:59.999000+00:00,,351,,
IBKR,5m,1729070400000,2024-10-16T09:20:00+00:00,145.14,145.14,145.11,145.11,830,1729070699999,2024-10-16T09:24:59.999000+00:00,,11,,
IBKR,5m,1729070700000,2024-10-16T09:25:00+00:00,145.05,145.05,144.85,144.85,1135,1729070999999,2024-10-16T09:29:59.999000+00:00,,56,,
IBKR,5m,1729071300000,2024-10-16T09:35:00+00:00,145.17,145.17,145.1,145.1,594,1729071599999,2024-10-16T09:39:59.999000+00:00,,15,,
IBKR,5m,1729071600000,2024-10-16T09:40:00+00:00,146.26,146.26,145.51,145.51,626,1729071899999,2024-10-16T09:44:59.999000+00:00,,37,,
IBKR,5m,1729072200000,2024-10-16T09:50:00+00:00,145.51,145.51,145.51,145.51,201,1729072499999,2024-10-16T09:54:59.999000+00:00,,5,,
IBKR,5m,1729072500000,2024-10-16T09:55:00+00:00,145.91,145.91,145.91,145.91,100,1729072799999,2024-10-16T09:59:59.999000+00:00,,1,,
IBKR,5m,1729074600000,2024-10-16T10:30:00+00:00,145.62,145.62,145.62,145.62,100,1729074899999,2024-10-16T10:34:59.999000+00:00,,1,,
IBKR,5m,1729076400000,2024-10-16T11:00:00+00:00,145.96,145.96,145.96,145.96,193,1729076699999,2024-10-16T11:04:59.999000+00:00,,13,,
IBKR,5m,1729077300000,2024-10-16T11:15:00+00:00,147.71,147.71,147.7,147.7,376,1729077599999,2024-10-16T11:19:59.999000+00:00,,6,,
IBKR,5m,1729077600000,2024-10-16T11:20:00+00:00,147.31,147.31,147.25,147.25,500,1729077899999,2024-10-16T11:24:59.999000+00:00,,4,,
IBKR,5m,1729077900000,2024-10-16T11:25:00+00:00,147.5,147.5,147.5,147.5,504,1729078199999,2024-10-16T11:29:59.999000+00:00,,4,,
IBKR,5m,1729078200000,2024-10-16T11:30:00+00:00,147.51,147.51,147.1,147.1,1002,1729078499999,2024-10-16T11:34:59.999000+00:00,,29,,
IBKR,5m,1729078800000,2024-10-16T11:40:00+00:00,147.67,147.67,147.67,147.67,101,1729079099999,2024-10-16T11:44:59.999000+00:00,,2,,
IBKR,5m,1729079100000,2024-10-16T11:45:00+00:00,147.64,147.76,147.64,147.75,2002,1729079399999,2024-10-16T11:49:59.999000+00:00,,41,,
IBKR,5m,1729079400000,2024-10-16T11:50:00+00:00,148.22,148.5,148.22,148.5,2401,1729079699999,2024-10-16T11:54:59.999000+00:00,,63,,
IBKR,5m,1729080000000,2024-10-16T12:00:00+00:00,146.6,148.47,146.6,148.46,4450,1729080299999,2024-10-16T12:04:59.999000+00:00,,146,,
IBKR,5m,1729080300000,2024-10-16T12:05:00+00:00,148.39,148.42,148.38,148.38,3809,1729080599999,2024-10-16T12:09:59.999000+00:00,,16,,
IBKR,5m,1729080600000,2024-10-16T12:10:00+00:00,148.73,149,148.73,149,789,1729080899999,2024-10-16T12:14:59.999000+00:00,,20,,
IBKR,5m,1729082700000,2024-10-16T12:45:00+00:00,148.38,148.38,148.38,148.38,253,1729082999999,2024-10-16T12:49:59.999000+00:00,,5,,
IBKR,5m,1729083000000,2024-10-16T12:50:00+00:00,148.5,148.8,148.5,148.8,778,1729083299999,2024-10-16T12:54:59.999000+00:00,,21,,
IBKR,5m,1729083600000,2024-10-16T13:00:00+00:00,148.89,148.95,148.89,148.95,436,1729083899999,2024-10-16T13:04:59.999000+00:00,,6,,
IBKR,5m,1729084200000,2024-10-16T13:10:00+00:00,148.5001,148.5001,148.5,148.5,996,1729084499999,2024-10-16T13:14:59.999000+00:00,,2,,
IBKR,5m,1729084500000,2024-10-16T13:15:00+00:00,148.95,149.24,148.95,149.22,2345,1729084799999,2024-10-16T13:19:59.999000+00:00,,93,,
IBKR,5m,1729084800000,2024-10-16T13:20:00+00:00,149.21,149.21,149,149,751,1729085099999,2024-10-16T13:24:59.999000+00:00,,12,,
IBKR,5m,1729085100000,2024-10-16T13:25:00+00:00,149.01,149.01,146.3,146.3,20432,1729085399999,2024-10-16T13:29:59.999000+00:00,,176,,
IBKR,5m,1729085400000,2024-10-16T13:30:00+00:00,148.225,149.4,140.56,149.38,488022,1729085699999,2024-10-16T13:34:59.999000+00:00,,5342,,
IBKR,5m,1729085700000,2024-10-16T13:35:00+00:00,149.08,149.98,147.75,149.665,133178,1729085999999,2024-10-16T13:39:59.999000+00:00,,2119,,
IBKR,5m,1729086000000,2024-10-16T13:40:00+00:00,149.62,150.99,149.330925,150.8,65943,1729086299999,2024-10-16T13:44:59.999000+00:00,,820,,
IBKR,5m,1729086300000,2024-10-16T13:45:00+00:00,150.8,150.9617,148.85,148.85,67071,1729086599999,2024-10-16T13:49:59.999000+00:00,,1055,,
IBKR,5m,1729086600000,2024-10-16T13:50:00+00:00,149.08,149.745,148.5,148.94,50556,1729086899999,2024-10-16T13:54:59.999000+00:00,,817,,
IBKR,5m,1729086900000,2024-10-16T13:55:00+00:00,148.7,148.915,148,148.625,46687,1729087199999,2024-10-16T13:59:59.999000+00:00,,790,,
IBKR,5m,1729087200000,2024-10-16T14:00:00+00:00,148.625,148.96,148.28,148.96,48921,1729087499999,2024-10-16T14:04:59.999000+00:00,,902,,
IBKR,5m,1729087500000,2024-10-16T14:05:00+00:00,149.01,149.39,148.71,148.76,51847,1729087799999,2024-10-16T14:09:59.999000+00:00,,911,,
IBKR,5m,1729087800000,2024-10-16T14:10:00+00:00,148.7728,148.7728,148,148.17,49997,1729088099999,2024-10-16T14:14:59.999000+00:00,,920,,
IBKR,5m,1729088100000,2024-10-16T14:15:00+00:00,148.17,148.725,148.17,148.365,48897,1729088399999,2024-10-16T14:19:59.999000+00:00,,922,,
IBKR,5m,1729088400000,2024-10-16T14:20:00+00:00,148.365,148.57,147.75,148.065,47296,1729088699999,2024-10-16T14:24:59.999000+00:00,,855,,
IBKR,5m,1729088700000,2024-10-16T14:25:00+00:00,148.065,148.24,146.81,147.17,50374,1729088999999,2024-10-16T14:29:59.999000+00:00,,1080,,
IBKR,5m,1729089000000,2024-10-16T14:30:00+00:00,147.125,147.165,146.625,146.71,44872,1729089299999,2024-10-16T14:34:59.999000+00:00,,721,,
IBKR,5m,1729089300000,2024-10-16T14:35:00+00:00,146.795,146.8462,145.68,145.94,51799,1729089599999,2024-10-16T14:39:59.999000+00:00,,865,,
IBKR,5m,1729089600000,2024-10-16T14:40:00+00:00,145.845,146.18,145.35,146.05,47645,1729089899999,2024-10-16T14:44:59.999000+00:00,,882,,
IBKR,5m,1729089900000,2024-10-16T14:45:00+00:00,146.05,146.72,145.98,146.68,22383,1729090199999,2024-10-16T14:49:59.999000+00:00,,438,,
IBKR,5m,1729090200000,2024-10-16T14:50:00+00:00,146.77,146.89,146.095,146.265,27413,1729090499999,2024-10-16T14:54:59.999000+00:00,,470,,
IBKR,5m,1729090500000,2024-10-16T14:55:00+00:00,146.3366,146.51,145.95,146.47,26263,1729090799999,2024-10-16T14:59:59.999000+00:00,,559,,
IBKR,5m,1729090800000,2024-10-16T15:00:00+00:00,146.42,146.9799,146.33,146.4,25520,1729091099999,2024-10-16T15:04:59.999000+00:00,,442,,
IBKR,5m,1729091100000,2024-10-16T15:05:00+00:00,146.36,146.78,146.145,146.705,27237,1729091399999,2024-10-16T15:09:59.999000+00:00,,571,,
IBKR,5m,1729091400000,2024-10-16T15:10:00+00:00,146.705,146.84,146.555,146.78,19246,1729091699999,2024-10-16T15:14:59.999000+00:00,,406,,
IBKR,5m,1729091700000,2024-10-16T15:15:00+00:00,146.79,146.86,146.57,146.75,22408,1729091999999,2024-10-16T15:19:59.999000+00:00,,453,,
IBKR,5m,1729092000000,2024-10-16T15:20:00+00:00,146.71,147.675,146.68,147.615,29184,1729092299999,2024-10-16T15:24:59.999000+00:00,,575,,
IBKR,5m,1729092300000,2024-10-16T15:25:00+00:00,147.69,148.14,147.62,148.105,40263,1729092599999,2024-10-16T15:29:59.999000+00:00,,757,,
IBKR,5m,1729092600000,2024-10-16T15:30:00+00:00,148.115,148.115,146.96,146.96,19043,1729092899999,2024-10-16T15:34:59.999000+00:00,,389,,
IBKR,5m,1729092900000,2024-10-16T15:35:00+00:00,146.93,146.93,146.37,146.415,20453,1729093199999,2024-10-16T15:39:59.999000+00:00,,434,,
IBKR,5m,1729093200000,2024-10-16T15:40:00+00:00,146.45,147.46,146.415,147.4,26423,1729093499999,2024-10-16T15:44:59.999000+00:00,,571,,
IBKR,5m,1729093500000,2024-10-16T15:45:00+00:00,147.29,147.85,147.29,147.85,21482,1729093799999,2024-10-16T15:49:59.999000+00:00,,504,,
IBKR,5m,1729093800000,2024-10-16T15:50:00+00:00,147.8122,148.04,147.42,147.48,32106,1729094099999,2024-10-16T15:54:59.999000+00:00,,450,,
IBKR,5m,1729094100000,2024-10-16T15:55:00+00:00,147.465,147.62,147.26,147.27,16014,1729094399999,2024-10-16T15:59:59.999000+00:00,,387,,
IBKR,5m,1729094400000,2024-10-16T16:00:00+00:00,147.23,147.79,147.21,147.71,18616,1729094699999,2024-10-16T16:04:59.999000+00:00,,390,,
IBKR,5m,1729094700000,2024-10-16T16:05:00+00:00,147.71,147.76,147.4,147.53,14786,1729094999999,2024-10-16T16:09:59.999000+00:00,,311,,
IBKR,5m,1729095000000,2024-10-16T16:10:00+00:00,147.57,147.9,147.53,147.72,15222,1729095299999,2024-10-16T16:14:59.999000+00:00,,383,,
IBKR,5m,1729095300000,2024-10-16T16:15:00+00:00,147.745,147.8,147.46,147.62,11777,1729095599999,2024-10-16T16:19:59.999000+00:00,,241,,
IBKR,5m,1729095600000,2024-10-16T16:20:00+00:00,147.575,147.97,147.45,147.58,18523,1729095899999,2024-10-16T16:24:59.999000+00:00,,480,,
IBKR,5m,1729095900000,2024-10-16T16:25:00+00:00,147.72,147.81,147.69,147.735,11262,1729096199999,2024-10-16T16:29:59.999000+00:00,,213,,
IBKR,5m,1729096200000,2024-10-16T16:30:00+00:00,147.79,147.79,147.23,147.325,15188,1729096499999,2024-10-16T16:34:59.999000+00:00,,330,,
IBKR,5m,1729096500000,2024-10-16T16:35:00+00:00,147.325,147.325,146.86,146.91,24256,1729096799999,2024-10-16T16:39:59.999000+00:00,,469,,
IBKR,5m,1729096800000,2024-10-16T16:40:00+00:00,146.96,147.18,146.96,147.06,16541,1729097099999,2024-10-16T16:44:59.999000+00:00,,393,,
IBKR,5m,1729097100000,2024-10-16T16:45:00+00:00,147.09,147.11,146.89,146.91,13029,1729097399999,2024-10-16T16:49:59.999000+00:00,,347,,
IBKR,5m,1729097400000,2024-10-16T16:50:00+00:00,146.9075,146.965,146.66,146.88,21128,1729097699999,2024-10-16T16:54:59.999000+00:00,,442,,
IBKR,5m,1729097700000,2024-10-16T16:55:00+00:00,146.91,146.9599,146.6001,146.65,16533,1729097999999,2024-10-16T16:59:59.999000+00:00,,249,,
IBKR,5m,1729098000000,2024-10-16T17:00:00+00:00,146.705,146.705,146.34,146.46,14910,1729098299999,2024-10-16T17:04:59.999000+00:00,,365,,
IBKR,5m,1729098300000,2024-10-16T17:05:00+00:00,146.46,146.685,146.25,146.27,20017,1729098599999,2024-10-16T17:09:59.999000+00:00,,456,,
IBKR,5m,1729098600000,2024-10-16T17:10:00+00:00,146.27,146.45,146.13,146.415,11564,1729098899999,2024-10-16T17:14:59.999000+00:00,,311,,
IBKR,5m,1729098900000,2024-10-16T17:15:00+00:00,146.4,146.47,146.185,146.185,11183,1729099199999,2024-10-16T17:19:59.999000+00:00,,261,,
IBKR,5m,1729099200000,2024-10-16T17:20:00+00:00,146.28,146.77,146.265,146.7,16697,1729099499999,2024-10-16T17:24:59.999000+00:00,,365,,
IBKR,5m,1729099500000,2024-10-16T17:25:00+00:00,146.74,146.8689,146.28,146.345,8434,1729099799999,2024-10-16T17:29:59.999000+00:00,,206,,
IBKR,5m,1729099800000,2024-10-16T17:30:00+00:00,146.32,146.63,146.23,146.63,20244,1729100099999,2024-10-16T17:34:59.999000+00:00,,365,,
IBKR,5m,1729100100000,2024-10-16T17:35:00+00:00,146.64,146.978,146.64,146.9125,9632,1729100399999,2024-10-16T17:39:59.999000+00:00,,244,,
IBKR,5m,1729100400000,2024-10-16T17:40:00+00:00,146.925,146.97,146.86,146.97,8872,1729100699999,2024-10-16T17:44:59.999000+00:00,,250,,
IBKR,5m,1729100700000,2024-10-16T17:45:00+00:00,146.96,147.27,146.8,146.8,15520,1729100999999,2024-10-16T17:49:59.999000+00:00,,335,,
IBKR,5m,1729101000000,2024-10-16T17:50:00+00:00,146.89,147.02,146.8,146.96,9886,1729101299999,2024-10-16T17:54:59.999000+00:00,,246,,
IBKR,5m,1729101300000,2024-10-16T17:55:00+00:00,146.9438,147.3,146.9438,147.22,14233,1729101599999,2024-10-16T17:59:59.999000+00:00,,368,,
IBKR,5m,1729101600000,2024-10-16T18:00:00+00:00,147.27,147.31,147.04,147.04,11021,1729101899999,2024-10-16T18:04:59.999000+00:00,,302,,
IBKR,5m,1729101900000,2024-10-16T18:05:00+00:00,147.0662,147.0662,146.6014,146.73,12068,1729102199999,2024-10-16T18:09:59.999000+00:00,,214,,
IBKR,5m,1729102200000,2024-10-16T18:10:00+00:00,146.77,146.82,146.57,146.57,7382,1729102499999,2024-10-16T18:14:59.999000+00:00,,216,,
IBKR,5m,1729102500000,2024-10-16T18:15:00+00:00,146.57,146.67,146.4,146.59,15344,1729102799999,2024-10-16T18:19:59.999000+00:00,,441,,
IBKR,5m,1729102800000,2024-10-16T18:20:00+00:00,146.605,147.13,146.605,147.01,13987,1729103099999,2024-10-16T18:24:59.999000+00:00,,386,,
