symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
IBM,5m,1729080000000,2024-10-16T12:00:00+00:00,232.89,232.89,232.88,232.89,658,1729080299999,2024-10-16T12:04:59.999000+00:00,,42,,
IBM,5m,1729081500000,2024-10-16T12:25:00+00:00,232.89,232.89,232.89,232.89,450,1729081799999,2024-10-16T12:29:59.999000+00:00,,6,,
IBM,5m,1729082400000,2024-10-16T12:40:00+00:00,232.65,232.65,232.65,232.65,100,1729082699999,2024-10-16T12:44:59.999000+00:00,,1,,
IBM,5m,1729082700000,2024-10-16T12:45:00+00:00,232.96,233.15,232.96,233.15,1052,1729082999999,2024-10-16T12:49:59.999000+00:00,,36,,
IBM,5m,1729083900000,2024-10-16T13:05:00+00:00,233.2,233.2,233.2,233.2,100,1729084199999,2024-10-16T13:09:59.999000+00:00,,1,,
IBM,5m,1729085100000,2024-10-16T13:25:00+00:00,231.88,231.9,231.77,231.77,735,1729085399999,2024-10-16T13:29:59.999000+00:00,,37,,
IBM,5m,1729085400000,2024-10-16T13:30:00+00:00,232.11,232.38,231.41,231.665,103281,1729085699999,2024-10-16T13:34:59.999000+00:00,,1575,,
IBM,5m,1729085700000,2024-10-16T13:35:00+00:00,231.738,232.5,231.7255,232.02,23655,1729085999999,2024-10-16T13:39:59.999000+00:00,,664,,
IBM,5m,1729086000000,2024-10-16T13:40:00+00:00,232.01,232.67,231.945,232.615,15635,1729086299999,2024-10-16T13:44:59.999000+00:00,,466,,
IBM,5m,1729086300000,2024-10-16T13:45:00+00:00,232.615,232.89,232.325,232.34,16368,1729086599999,2024-10-16T13:49:59.999000+00:00,,758,,
IBM,5m,1729086600000,2024-10-16T13:50:00+00:00,232.36,232.5988,232.22,232.2777,24417,1729086899999,2024-10-16T13:54:59.999000+00:00,,879,,
IBM,5m,1729086900000,2024-10-16T13:55:00+00:00,232.29,232.655,232.1631,232.54,33366,1729087199999,2024-10-16T13:59:59.999000+00:00,,863,,
IBM,5m,1729087200000,2024-10-16T14:00:00+00:00,232.56,232.7,232.305,232.48,26177,1729087499999,2024-10-16T14:04:59.999000+00:00,,894,,
IBM,5m,1729087500000,2024-10-16T14:05:00+00:00,232.44,232.67,232.345,232.465,28572,1729087799999,2024-10-16T14:09:59.999000+00:00,,1050,,
IBM,5m,1729087800000,2024-10-16T14:10:00+00:00,232.38,232.5,231.77,231.99,21834,1729088099999,2024-10-16T14:14:59.999000+00:00,,875,,
IBM,5m,1729088100000,2024-10-16T14:15:00+00:00,231.92,232.6205,231.91,232.42,28234,1729088399999,2024-10-16T14:19:59.999000+00:00,,746,,
IBM,5m,1729088400000,2024-10-16T14:20:00+00:00,232.42,232.44,231.86,231.9,22412,1729088699999,2024-10-16T14:24:59.999000+00:00,,643,,
IBM,5m,1729088700000,2024-10-16T14:25:00+00:00,231.98,232.219,231.84,232.1781,35666,1729088999999,2024-10-16T14:29:59.999000+00:00,,630,,
IBM,5m,1729089000000,2024-10-16T14:30:00+00:00,232.12,232.49,232.09,232.445,21521,1729089299999,2024-10-16T14:34:59.999000+00:00,,554,,
IBM,5m,1729089300000,2024-10-16T14:35:00+00:00,232.4224,232.62,232.2314,232.2812,20668,1729089599999,2024-10-16T14:39:59.999000+00:00,,515,,
IBM,5m,1729089600000,2024-10-16T14:40:00+00:00,232.27,232.27,231.95,231.95,16482,1729089899999,2024-10-16T14:44:59.999000+00:00,,526,,
IBM,5m,1729089900000,2024-10-16T14:45:00+00:00,231.97,232.005,231.75,231.97,23789,1729090199999,2024-10-16T14:49:59.999000+00:00,,682,,
IBM,5m,1729090200000,2024-10-16T14:50:00+00:00,231.99,232,231.835,231.92,25356,1729090499999,2024-10-16T14:54:59.999000+00:00,,525,,
IBM,5m,1729090500000,2024-10-16T14:55:00+00:00,231.9,231.9099,231.59,231.81,16457,1729090799999,2024-10-16T14:59:59.999000+00:00,,539,,
IBM,5m,1729090800000,2024-10-16T15:00:00+00:00,231.82,231.82,231.65,231.65,20642,1729091099999,2024-10-16T15:04:59.999000+00:00,,640,,
IBM,5m,1729091100000,2024-10-16T15:05:00+00:00,231.685,231.687253,231.4,231.49,26691,1729091399999,2024-10-16T15:09:59.999000+00:00,,661,,
IBM,5m,1729091400000,2024-10-16T15:10:00+00:00,231.49,231.51,231.25,231.32,43476,1729091699999,2024-10-16T15:14:59.999000+00:00,,860,,
IBM,5m,1729091700000,2024-10-16T15:15:00+00:00,231.305,231.34,231.14,231.15,32231,1729091999999,2024-10-16T15:19:59.999000+00:00,,668,,
IBM,5m,1729092000000,2024-10-16T15:20:00+00:00,231.15,231.42,231.13,231.25,24637,1729092299999,2024-10-16T15:24:59.999000+00:00,,671,,
IBM,5m,1729092300000,2024-10-16T15:25:00+00:00,231.295,231.41,231.12,231.32,29516,1729092599999,2024-10-16T15:29:59.999000+00:00,,754,,
IBM,5m,1729092600000,2024-10-16T15:30:00+00:00,231.34,231.515,231.3315,231.41,60779,1729092899999,2024-10-16T15:34:59.999000+00:00,,1088,,
IBM,5m,1729092900000,2024-10-16T15:35:00+00:00,231.41,231.82,231.29,231.77,22107,1729093199999,2024-10-16T15:39:59.999000+00:00,,626,,
IBM,5m,1729093200000,2024-10-16T15:40:00+00:00,231.755,231.905,231.71,231.905,13769,1729093499999,2024-10-16T15:44:59.999000+00:00,,500,,
IBM,5m,1729093500000,2024-10-16T15:45:00+00:00,231.87,231.87,231.65,231.73,17873,1729093799999,2024-10-16T15:49:59.999000+00:00,,558,,
IBM,5m,1729093800000,2024-10-16T15:50:00+00:00,231.74,231.888,231.6899,231.74,14613,1729094099999,2024-10-16T15:54:59.999000+00:00,,413,,
IBM,5m,1729094100000,2024-10-16T15:55:00+00:00,231.7334,232.015,231.705,231.83,24387,1729094399999,2024-10-16T15:59:59.999000+00:00,,687,,
IBM,5m,1729094400000,2024-10-16T16:00:00+00:00,231.87,232.01,231.84,231.85,24188,1729094699999,2024-10-16T16:04:59.999000+00:00,,608,,
IBM,5m,1729094700000,2024-10-16T16:05:00+00:00,231.84,232.025,231.79,232.0006,35421,1729094999999,2024-10-16T16:09:59.999000+00:00,,725,,
IBM,5m,1729095000000,2024-10-16T16:10:00+00:00,232.0019,232.2,231.915,231.95,28857,1729095299999,2024-10-16T16:14:59.999000+00:00,,572,,
IBM,5m,1729095300000,2024-10-16T16:15:00+00:00,231.97,232.005,231.82,231.94,44647,1729095599999,2024-10-16T16:19:59.999000+00:00,,438,,
IBM,5m,1729095600000,2024-10-16T16:20:00+00:00,231.94,231.94,231.66,231.78,19171,1729095899999,2024-10-16T16:24:59.999000+00:00,,549,,
IBM,5m,1729095900000,2024-10-16T16:25:00+00:00,231.79,231.83,231.67,231.785,12419,1729096199999,2024-10-16T16:29:59.999000+00:00,,372,,
IBM,5m,1729096200000,2024-10-16T16:30:00+00:00,231.7856,231.96,231.76,231.94,12551,1729096499999,2024-10-16T16:34:59.999000+00:00,,365,,
IBM,5m,1729096500000,2024-10-16T16:35:00+00:00,231.9532,232.09,231.8,232.06,25775,1729096799999,2024-10-16T16:39:59.999000+00:00,,595,,
IBM,5m,1729096800000,2024-10-16T16:40:00+00:00,232.11,232.28,231.992,232.11,21929,1729097099999,2024-10-16T16:44:59.999000+00:00,,500,,
IBM,5m,1729097100000,2024-10-16T16:45:00+00:00,232.14,232.74,232.14,232.74,21204,1729097399999,2024-10-16T16:49:59.999000+00:00,,494,,
IBM,5m,1729097400000,2024-10-16T16:50:00+00:00,232.76,233.15,232.75,232.88,40592,1729097699999,2024-10-16T16:54:59.999000+00:00,,840,,
IBM,5m,1729097700000,2024-10-16T16:55:00+00:00,232.8613,232.8613,232.6,232.64,18821,1729097999999,2024-10-16T16:59:59.999000+00:00,,389,,
IBM,5m,1729098000000,2024-10-16T17:00:00+00:00,232.631,233.01,232.631,232.955,26679,1729098299999,2024-10-16T17:04:59.999000+00:00,,555,,
IBM,5m,1729098300000,2024-10-16T17:05:00+00:00,232.98,233.01,232.86,232.93,127817,1729098599999,2024-10-16T17:09:59.999000+00:00,,489,,
IBM,5m,1729098600000,2024-10-16T17:10:00+00:00,232.95,233.02,232.885,232.94,21003,1729098899999,2024-10-16T17:14:59.999000+00:00,,432,,
IBM,5m,1729098900000,2024-10-16T17:15:00+00:00,232.93,232.97,232.83,232.93,14505,1729099199999,2024-10-16T17:19:59.999000+00:00,,374,,
IBM,5m,1729099200000,2024-10-16T17:20:00+00:00,232.94,232.97,232.89,232.93,10645,1729099499999,2024-10-16T17:24:59.999000+00:00,,312,,
IBM,5m,1729099500000,2024-10-16T17:25:00+00:00,232.94,232.95,232.87,232.9,9537,1729099799999,2024-10-16T17:29:59.999000+00:00,,343,,
IBM,5m,1729099800000,2024-10-16T17:30:00+00:00,232.93,232.95,232.84,232.885,8731,1729100099999,2024-10-16T17:34:59.999000+00:00,,272,,
IBM,5m,1729100100000,2024-10-16T17:35:00+00:00,232.895,232.91,232.815,232.86,8649,1729100399999,2024-10-16T17:39:59.999000+00:00,,344,,
IBM,5m,1729100400000,2024-10-16T17:40:00+00:00,232.86,232.95,232.8,232.95,10834,1729100699999,2024-10-16T17:44:59.999000+00:00,,306,,
IBM,5m,1729100700000,2024-10-16T17:45:00+00:00,232.95,232.95,232.77,232.88,13171,1729100999999,2024-10-16T17:49:59.999000+00:00,,378,,
IBM,5m,1729101000000,2024-10-16T17:50:00+00:00,232.9,232.9848,232.755,232.88,17671,1729101299999,2024-10-16T17:54:59.999000+00:00,,418,,
IBM,5m,1729101300000,2024-10-16T17:55:00+00:00,232.9,233.005,232.89,232.96,34864,1729101599999,2024-10-16T17:59:59.999000+00:00,,716,,
IBM,5m,1729101600000,2024-10-16T18:00:00+00:00,232.95,233.0982,232.83,232.895,61054,1729101899999,2024-10-16T18:04:59.999000+00:00,,966,,
IBM,5m,1729101900000,2024-10-16T18:05:00+00:00,232.862,232.8821,232.79,232.79,14490,1729102199999,2024-10-16T18:09:59.999000+00:00,,380,,
IBM,5m,1729102200000,2024-10-16T18:10:00+00:00,232.77,232.91,232.77,232.81,11229,1729102499999,2024-10-16T18:14:59.999000+00:00,,340,,
IBM,5m,1729102500000,2024-10-16T18:15:00+00:00,232.79,232.865,232.76,232.84,10775,1729102799999,2024-10-16T18:19:59.999000+00:00,,321,,
IBM,5m,1729102800000,2024-10-16T18:20:00+00:00,232.85,233.03,232.82,232.955,59860,1729103099999,2024-10-16T18:24:59.999000+00:00,,984,,
