symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
INCY,5m,1729076400000,2024-10-16T11:00:00+00:00,66.65,66.71,65.8,65.8,5669,1729076699999,2024-10-16T11:04:59.999000+00:00,,109,,
INCY,5m,1729076700000,2024-10-16T11:05:00+00:00,65.91,66.65,65.91,66.34,23712,1729076999999,2024-10-16T11:09:59.999000+00:00,,206,,
INCY,5m,1729077000000,2024-10-16T11:10:00+00:00,66.1,66.4,66.1,66.4,8195,1729077299999,2024-10-16T11:14:59.999000+00:00,,241,,
INCY,5m,1729077300000,2024-10-16T11:15:00+00:00,66.4,66.51,66.4,66.51,2679,1729077599999,2024-10-16T11:19:59.999000+00:00,,190,,
INCY,5m,1729077600000,2024-10-16T11:20:00+00:00,66.35,66.7,66.35,66.7,5344,1729077899999,2024-10-16T11:24:59.999000+00:00,,119,,
INCY,5m,1729077900000,2024-10-16T11:25:00+00:00,66.86,66.88,66.62,66.62,841,1729078199999,2024-10-16T11:29:59.999000+00:00,,27,,
INCY,5m,1729078200000,2024-10-16T11:30:00+00:00,66.6,66.61,66.39,66.55,7436,1729078499999,2024-10-16T11:34:59.999000+00:00,,91,,
INCY,5m,1729078500000,2024-10-16T11:35:00+00:00,66.65,66.77,66.5,66.5,4664,1729078799999,2024-10-16T11:39:59.999000+00:00,,42,,
INCY,5m,1729079400000,2024-10-16T11:50:00+00:00,66.62,66.69,66.55,66.69,2126,1729079699999,2024-10-16T11:54:59.999000+00:00,,32,,
INCY,5m,1729080300000,2024-10-16T12:05:00+00:00,66.7,66.7,66.7,66.7,224,1729080599999,2024-10-16T12:09:59.999000+00:00,,4,,
INCY,5m,1729080600000,2024-10-16T12:10:00+00:00,66.92,66.92,66.86,66.86,201,1729080899999,2024-10-16T12:14:59.999000+00:00,,3,,
INCY,5m,1729081200000,2024-10-16T12:20:00+00:00,66.69,66.69,66.69,66.69,151,1729081499999,2024-10-16T12:24:59.999000+00:00,,1,,
INCY,5m,1729082400000,2024-10-16T12:40:00+00:00,66.78,66.82,66.78,66.82,402,1729082699999,2024-10-16T12:44:59.999000+00:00,,9,,
INCY,5m,1729084200000,2024-10-16T13:10:00+00:00,67.5,67.5,67.5,67.5,295,1729084499999,2024-10-16T13:14:59.999000+00:00,,20,,
INCY,5m,1729085100000,2024-10-16T13:25:00+00:00,66.4,66.4,66.4,66.4,130,1729085399999,2024-10-16T13:29:59.999000+00:00,,1,,
INCY,5m,1729085400000,2024-10-16T13:30:00+00:00,66.38,66.42,65.93,66.42,10856,1729085699999,2024-10-16T13:34:59.999000+00:00,,140,,
INCY,5m,1729085700000,2024-10-16T13:35:00+00:00,66.42,66.42,66.31,66.31,1261,1729085999999,2024-10-16T13:39:59.999000+00:00,,36,,
INCY,5m,1729086000000,2024-10-16T13:40:00+00:00,65.97,66.08,65.97,66.08,2311,1729086299999,2024-10-16T13:44:59.999000+00:00,,68,,
INCY,5m,1729086300000,2024-10-16T13:45:00+00:00,66.08,66.28,66.08,66.28,4912,1729086599999,2024-10-16T13:49:59.999000+00:00,,142,,
INCY,5m,1729086600000,2024-10-16T13:50:00+00:00,66.22,66.2523,66.1,66.1,4830,1729086899999,2024-10-16T13:54:59.999000+00:00,,129,,
INCY,5m,1729086900000,2024-10-16T13:55:00+00:00,66.085,66.24,66.0806,66.21,5858,1729087199999,2024-10-16T13:59:59.999000+00:00,,171,,
INCY,5m,1729087200000,2024-10-16T14:00:00+00:00,66.21,66.44,66.21,66.405,5787,1729087499999,2024-10-16T14:04:59.999000+00:00,,118,,
INCY,5m,1729087500000,2024-10-16T14:05:00+00:00,66.46,66.61,66.46,66.61,2650,1729087799999,2024-10-16T14:09:59.999000+00:00,,85,,
