symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
INTU,5m,1729085400000,2024-10-16T13:30:00+00:00,616.58,618.07,613.1,613.1,15742,1729085699999,2024-10-16T13:34:59.999000+00:00,,564,,
INTU,5m,1729085700000,2024-10-16T13:35:00+00:00,613.1,613.72,610.93,610.96,7825,1729085999999,2024-10-16T13:39:59.999000+00:00,,370,,
INTU,5m,1729086000000,2024-10-16T13:40:00+00:00,611.6,611.765,607.65,607.765,17284,1729086299999,2024-10-16T13:44:59.999000+00:00,,574,,
INTU,5m,1729086300000,2024-10-16T13:45:00+00:00,607.69,609.62,607.47,609.146363,24363,1729086599999,2024-10-16T13:49:59.999000+00:00,,444,,
INTU,5m,1729086600000,2024-10-16T13:50:00+00:00,609.14,609.965,608.7,609.56,14379,1729086899999,2024-10-16T13:54:59.999000+00:00,,419,,
INTU,5m,1729086900000,2024-10-16T13:55:00+00:00,609.64,609.9002,607.71,607.71,6180,1729087199999,2024-10-16T13:59:59.999000+00:00,,359,,
INTU,5m,1729087200000,2024-10-16T14:00:00+00:00,607.87,608.93,607.46,608.93,10346,1729087499999,2024-10-16T14:04:59.999000+00:00,,512,,
INTU,5m,1729087500000,2024-10-16T14:05:00+00:00,608.93,610.25,608.64,610.25,3174,1729087799999,2024-10-16T14:09:59.999000+00:00,,242,,
INTU,5m,1729087800000,2024-10-16T14:10:00+00:00,610.975,611.23,610.62,610.83,7128,1729088099999,2024-10-16T14:14:59.999000+00:00,,324,,
INTU,5m,1729088100000,2024-10-16T14:15:00+00:00,610.825,611,610.12,610.12,4077,1729088399999,2024-10-16T14:19:59.999000+00:00,,193,,
INTU,5m,1729088400000,2024-10-16T14:20:00+00:00,609.97,610.76,609.82,610.76,4787,1729088699999,2024-10-16T14:24:59.999000+00:00,,260,,
INTU,5m,1729088700000,2024-10-16T14:25:00+00:00,610.76,611.91,610.76,611.490698,11129,1729088999999,2024-10-16T14:29:59.999000+00:00,,294,,
INTU,5m,1729089000000,2024-10-16T14:30:00+00:00,611.565,611.6684,610.72,610.8,6339,1729089299999,2024-10-16T14:34:59.999000+00:00,,335,,
INTU,5m,1729089300000,2024-10-16T14:35:00+00:00,610.6,610.6,608.89,608.89,6927,1729089599999,2024-10-16T14:39:59.999000+00:00,,319,,
INTU,5m,1729089600000,2024-10-16T14:40:00+00:00,609.03,609.08,607.73,607.8899,7128,1729089899999,2024-10-16T14:44:59.999000+00:00,,372,,
INTU,5m,1729089900000,2024-10-16T14:45:00+00:00,607.89,608.79,607.88,608.52,6443,1729090199999,2024-10-16T14:49:59.999000+00:00,,242,,
INTU,5m,1729090200000,2024-10-16T14:50:00+00:00,609.34,609.795,609.255,609.665,7563,1729090499999,2024-10-16T14:54:59.999000+00:00,,275,,
INTU,5m,1729090500000,2024-10-16T14:55:00+00:00,609.39,609.45,608.8,608.945,2932,1729090799999,2024-10-16T14:59:59.999000+00:00,,153,,
INTU,5m,1729090800000,2024-10-16T15:00:00+00:00,608.945,609.6019,608.94,609.435,6082,1729091099999,2024-10-16T15:04:59.999000+00:00,,289,,
INTU,5m,1729091100000,2024-10-16T15:05:00+00:00,609.295,610.105,609.295,610.105,6928,1729091399999,2024-10-16T15:09:59.999000+00:00,,316,,
INTU,5m,1729091400000,2024-10-16T15:10:00+00:00,610.105,610.11,609.675,609.675,14106,1729091699999,2024-10-16T15:14:59.999000+00:00,,361,,
INTU,5m,1729091700000,2024-10-16T15:15:00+00:00,609.69,610.31,609.675,610.31,4427,1729091999999,2024-10-16T15:19:59.999000+00:00,,216,,
INTU,5m,1729092000000,2024-10-16T15:20:00+00:00,610.365,610.395,609.74,609.8,4678,1729092299999,2024-10-16T15:24:59.999000+00:00,,302,,
INTU,5m,1729092300000,2024-10-16T15:25:00+00:00,609.78,610.09,609.58,610.09,14725,1729092599999,2024-10-16T15:29:59.999000+00:00,,374,,
INTU,5m,1729092600000,2024-10-16T15:30:00+00:00,610.04,610.18,609.72,609.72,8075,1729092899999,2024-10-16T15:34:59.999000+00:00,,285,,
INTU,5m,1729092900000,2024-10-16T15:35:00+00:00,609.92,610.13,609.5598,609.76,20847,1729093199999,2024-10-16T15:39:59.999000+00:00,,591,,
INTU,5m,1729093200000,2024-10-16T15:40:00+00:00,609.75,610.15,609.672085,609.9397,6854,1729093499999,2024-10-16T15:44:59.999000+00:00,,303,,
INTU,5m,1729093500000,2024-10-16T15:45:00+00:00,609.9,610.11,609.47,609.82,12793,1729093799999,2024-10-16T15:49:59.999000+00:00,,373,,
INTU,5m,1729093800000,2024-10-16T15:50:00+00:00,609.82,609.82,609.41,609.495,6186,1729094099999,2024-10-16T15:54:59.999000+00:00,,246,,
INTU,5m,1729094100000,2024-10-16T15:55:00+00:00,609.32,609.48,609.195,609.48,5247,1729094399999,2024-10-16T15:59:59.999000+00:00,,191,,
INTU,5m,1729094400000,2024-10-16T16:00:00+00:00,609.58,610.41,609.235,610.32,6302,1729094699999,2024-10-16T16:04:59.999000+00:00,,328,,
INTU,5m,1729094700000,2024-10-16T16:05:00+00:00,610.59,611.19,610.445,611.19,15492,1729094999999,2024-10-16T16:09:59.999000+00:00,,392,,
INTU,5m,1729095000000,2024-10-16T16:10:00+00:00,611.39,611.39,609.25,609.36,9613,1729095299999,2024-10-16T16:14:59.999000+00:00,,412,,
INTU,5m,1729095300000,2024-10-16T16:15:00+00:00,609.33,609.33,608.69,608.89,5720,1729095599999,2024-10-16T16:19:59.999000+00:00,,270,,
INTU,5m,1729095600000,2024-10-16T16:20:00+00:00,609.08,609.61,609.08,609.495,3483,1729095899999,2024-10-16T16:24:59.999000+00:00,,196,,
INTU,5m,1729095900000,2024-10-16T16:25:00+00:00,609.5,609.81,609.5,609.81,4936,1729096199999,2024-10-16T16:29:59.999000+00:00,,232,,
INTU,5m,1729096200000,2024-10-16T16:30:00+00:00,610.02,611.345,610.02,611.345,12300,1729096499999,2024-10-16T16:34:59.999000+00:00,,335,,
INTU,5m,1729096500000,2024-10-16T16:35:00+00:00,611.47,611.48,610.8,611.2,8897,1729096799999,2024-10-16T16:39:59.999000+00:00,,322,,
INTU,5m,1729096800000,2024-10-16T16:40:00+00:00,611.7,612.34,611.7,612.265,4172,1729097099999,2024-10-16T16:44:59.999000+00:00,,207,,
INTU,5m,1729097100000,2024-10-16T16:45:00+00:00,612.475,613.18,612.27,612.895,7571,1729097399999,2024-10-16T16:49:59.999000+00:00,,233,,
INTU,5m,1729097400000,2024-10-16T16:50:00+00:00,612.895,613.11,612.43,612.4769,11272,1729097699999,2024-10-16T16:54:59.999000+00:00,,321,,
INTU,5m,1729097700000,2024-10-16T16:55:00+00:00,612.66,613.785,612.66,613.785,6168,1729097999999,2024-10-16T16:59:59.999000+00:00,,273,,
INTU,5m,1729098000000,2024-10-16T17:00:00+00:00,613.81,614.08,613.205,613.34,9422,1729098299999,2024-10-16T17:04:59.999000+00:00,,332,,
INTU,5m,1729098300000,2024-10-16T17:05:00+00:00,613.6,613.6,613.25,613.25,5366,1729098599999,2024-10-16T17:09:59.999000+00:00,,268,,
INTU,5m,1729098600000,2024-10-16T17:10:00+00:00,613.03,613.24,612.6,612.6,1531,1729098899999,2024-10-16T17:14:59.999000+00:00,,126,,
INTU,5m,1729098900000,2024-10-16T17:15:00+00:00,612.955,613.29,612.56,612.61,6132,1729099199999,2024-10-16T17:19:59.999000+00:00,,300,,
INTU,5m,1729099200000,2024-10-16T17:20:00+00:00,612.3,612.77,611.66,611.66,6783,1729099499999,2024-10-16T17:24:59.999000+00:00,,248,,
INTU,5m,1729099500000,2024-10-16T17:25:00+00:00,611.96,611.965,611.21,611.325,6492,1729099799999,2024-10-16T17:29:59.999000+00:00,,197,,
INTU,5m,1729099800000,2024-10-16T17:30:00+00:00,611.07,611.61,611.07,611.61,4015,1729100099999,2024-10-16T17:34:59.999000+00:00,,247,,
INTU,5m,1729100100000,2024-10-16T17:35:00+00:00,611.68,612.08,611.565,611.565,5858,1729100399999,2024-10-16T17:39:59.999000+00:00,,282,,
INTU,5m,1729100400000,2024-10-16T17:40:00+00:00,611.36,611.825,611.36,611.825,3528,1729100699999,2024-10-16T17:44:59.999000+00:00,,222,,
INTU,5m,1729100700000,2024-10-16T17:45:00+00:00,611.64,611.74,611.4656,611.7253,1769,1729100999999,2024-10-16T17:49:59.999000+00:00,,108,,
INTU,5m,1729101000000,2024-10-16T17:50:00+00:00,611.79,612.06,611.325,611.325,5951,1729101299999,2024-10-16T17:54:59.999000+00:00,,345,,
INTU,5m,1729101300000,2024-10-16T17:55:00+00:00,611.46,611.62,611.45,611.45,2498,1729101599999,2024-10-16T17:59:59.999000+00:00,,194,,
INTU,5m,1729101600000,2024-10-16T18:00:00+00:00,611.37,611.62,610.56,611.5275,5746,1729101899999,2024-10-16T18:04:59.999000+00:00,,301,,
INTU,5m,1729101900000,2024-10-16T18:05:00+00:00,611.26,611.26,610.84,611.26,2928,1729102199999,2024-10-16T18:09:59.999000+00:00,,189,,
INTU,5m,1729102200000,2024-10-16T18:10:00+00:00,611.445,611.59,611.42,611.42,1805,1729102499999,2024-10-16T18:14:59.999000+00:00,,84,,
INTU,5m,1729102500000,2024-10-16T18:15:00+00:00,611.29,612.56,611.29,612.39,6854,1729102799999,2024-10-16T18:19:59.999000+00:00,,378,,
INTU,5m,1729102800000,2024-10-16T18:20:00+00:00,612.235,613.48,612.17,613.48,8009,1729103099999,2024-10-16T18:24:59.999000+00:00,,312,,
INTU,5m,1729103100000,2024-10-16T18:25:00+00:00,613.335,613.63,613.05,613.54,12875,1729103399999,2024-10-16T18:29:59.999000+00:00,,315,,
INTU,5m,1729103400000,2024-10-16T18:30:00+00:00,613.85,614.09,613.53,613.53,3325,1729103699999,2024-10-16T18:34:59.999000+00:00,,236,,
INTU,5m,1729103700000,2024-10-16T18:35:00+00:00,613.445,613.445,613.1158,613.42,2415,1729103999999,2024-10-16T18:39:59.999000+00:00,,186,,
