symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
IPG,5m,1729077000000,2024-10-16T11:10:00+00:00,31.4,31.4,31.4,31.4,100,1729077299999,2024-10-16T11:14:59.999000+00:00,,1,,
IPG,5m,1729085400000,2024-10-16T13:30:00+00:00,31.6,31.6,31.27,31.271,73283,1729085699999,2024-10-16T13:34:59.999000+00:00,,458,,
IPG,5m,1729085700000,2024-10-16T13:35:00+00:00,31.31,31.46,31.23,31.42,66180,1729085999999,2024-10-16T13:39:59.999000+00:00,,708,,
IPG,5m,1729086000000,2024-10-16T13:40:00+00:00,31.41,31.49,31.4,31.49,41410,1729086299999,2024-10-16T13:44:59.999000+00:00,,455,,
IPG,5m,1729086300000,2024-10-16T13:45:00+00:00,31.485,31.565,31.485,31.55,32939,1729086599999,2024-10-16T13:49:59.999000+00:00,,427,,
IPG,5m,1729086600000,2024-10-16T13:50:00+00:00,31.56,31.66,31.56,31.64,31712,1729086899999,2024-10-16T13:54:59.999000+00:00,,391,,
IPG,5m,1729086900000,2024-10-16T13:55:00+00:00,31.66,31.755,31.66,31.75,52978,1729087199999,2024-10-16T13:59:59.999000+00:00,,631,,
IPG,5m,1729087200000,2024-10-16T14:00:00+00:00,31.755,31.83,31.755,31.8,78640,1729087499999,2024-10-16T14:04:59.999000+00:00,,832,,
IPG,5m,1729087500000,2024-10-16T14:05:00+00:00,31.82,31.93,31.82,31.88,58795,1729087799999,2024-10-16T14:09:59.999000+00:00,,539,,
IPG,5m,1729087800000,2024-10-16T14:10:00+00:00,31.87,31.91,31.77,31.8,66197,1729088099999,2024-10-16T14:14:59.999000+00:00,,595,,
IPG,5m,1729088100000,2024-10-16T14:15:00+00:00,31.8,31.905,31.79,31.89,29945,1729088399999,2024-10-16T14:19:59.999000+00:00,,438,,
IPG,5m,1729088400000,2024-10-16T14:20:00+00:00,31.88,31.88,31.8,31.84,177142,1729088699999,2024-10-16T14:24:59.999000+00:00,,942,,
IPG,5m,1729088700000,2024-10-16T14:25:00+00:00,31.84,31.9,31.82,31.87,59993,1729088999999,2024-10-16T14:29:59.999000+00:00,,388,,
IPG,5m,1729089000000,2024-10-16T14:30:00+00:00,31.87,31.905,31.87,31.885,33414,1729089299999,2024-10-16T14:34:59.999000+00:00,,364,,
IPG,5m,1729089300000,2024-10-16T14:35:00+00:00,31.885,31.89,31.805,31.84,141385,1729089599999,2024-10-16T14:39:59.999000+00:00,,531,,
IPG,5m,1729089600000,2024-10-16T14:40:00+00:00,31.845,31.855,31.77,31.79,34944,1729089899999,2024-10-16T14:44:59.999000+00:00,,449,,
IPG,5m,1729089900000,2024-10-16T14:45:00+00:00,31.78,31.79,31.755,31.79,21199,1729090199999,2024-10-16T14:49:59.999000+00:00,,290,,
