symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
IR,5m,1729085400000,2024-10-16T13:30:00+00:00,100.51,100.825,100.5,100.825,11077,1729085699999,2024-10-16T13:34:59.999000+00:00,,24,,
IR,5m,1729085700000,2024-10-16T13:35:00+00:00,100.825,100.825,100.765,100.765,1284,1729085999999,2024-10-16T13:39:59.999000+00:00,,37,,
IR,5m,1729086000000,2024-10-16T13:40:00+00:00,100.77,100.773301,100.7,100.74,2346,1729086299999,2024-10-16T13:44:59.999000+00:00,,57,,
IR,5m,1729086300000,2024-10-16T13:45:00+00:00,100.83,100.8621,100.52,100.745,13092,1729086599999,2024-10-16T13:49:59.999000+00:00,,233,,
IR,5m,1729086600000,2024-10-16T13:50:00+00:00,100.745,100.745,100.22,100.3,10839,1729086899999,2024-10-16T13:54:59.999000+00:00,,200,,
IR,5m,1729086900000,2024-10-16T13:55:00+00:00,100.3,100.49,100.24,100.335,10466,1729087199999,2024-10-16T13:59:59.999000+00:00,,257,,
IR,5m,1729087200000,2024-10-16T14:00:00+00:00,100.34,100.47,100.22,100.37,33422,1729087499999,2024-10-16T14:04:59.999000+00:00,,445,,
IR,5m,1729087500000,2024-10-16T14:05:00+00:00,100.37,100.49,100.35,100.36,6709,1729087799999,2024-10-16T14:09:59.999000+00:00,,159,,
IR,5m,1729087800000,2024-10-16T14:10:00+00:00,100.48,100.7,100.36,100.615,41200,1729088099999,2024-10-16T14:14:59.999000+00:00,,502,,
IR,5m,1729088100000,2024-10-16T14:15:00+00:00,100.625,100.71,100.44,100.44,30898,1729088399999,2024-10-16T14:19:59.999000+00:00,,500,,
IR,5m,1729088400000,2024-10-16T14:20:00+00:00,100.5,100.61,100.45,100.57,30183,1729088699999,2024-10-16T14:24:59.999000+00:00,,416,,
IR,5m,1729088700000,2024-10-16T14:25:00+00:00,100.575,100.875,100.575,100.68,21030,1729088999999,2024-10-16T14:29:59.999000+00:00,,379,,
IR,5m,1729089000000,2024-10-16T14:30:00+00:00,100.63,100.89,100.57,100.84,16432,1729089299999,2024-10-16T14:34:59.999000+00:00,,261,,
