symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
IVZ,5m,1729085400000,2024-10-16T13:30:00+00:00,17.88,17.92,17.835,17.92,27035,1729085699999,2024-10-16T13:34:59.999000+00:00,,141,,
IVZ,5m,1729085700000,2024-10-16T13:35:00+00:00,17.92,17.96,17.9,17.95,9407,1729085999999,2024-10-16T13:39:59.999000+00:00,,163,,
IVZ,5m,1729086000000,2024-10-16T13:40:00+00:00,17.95,17.975,17.92,17.965,13585,1729086299999,2024-10-16T13:44:59.999000+00:00,,215,,
IVZ,5m,1729086300000,2024-10-16T13:45:00+00:00,17.965,17.99,17.935,17.94,33830,1729086599999,2024-10-16T13:49:59.999000+00:00,,333,,
IVZ,5m,1729086600000,2024-10-16T13:50:00+00:00,17.925,17.945,17.9,17.92,20180,1729086899999,2024-10-16T13:54:59.999000+00:00,,264,,
IVZ,5m,1729086900000,2024-10-16T13:55:00+00:00,17.92,17.99,17.915,17.99,18624,1729087199999,2024-10-16T13:59:59.999000+00:00,,246,,
IVZ,5m,1729087200000,2024-10-16T14:00:00+00:00,18,18.01,17.95,18,19530,1729087499999,2024-10-16T14:04:59.999000+00:00,,274,,
IVZ,5m,1729087500000,2024-10-16T14:05:00+00:00,18,18.02,17.985,18.015,11491,1729087799999,2024-10-16T14:09:59.999000+00:00,,194,,
IVZ,5m,1729087800000,2024-10-16T14:10:00+00:00,18,18.01,17.955,17.955,12930,1729088099999,2024-10-16T14:14:59.999000+00:00,,226,,
IVZ,5m,1729088100000,2024-10-16T14:15:00+00:00,17.96,18.02,17.95,18.005,22445,1729088399999,2024-10-16T14:19:59.999000+00:00,,293,,
IVZ,5m,1729088400000,2024-10-16T14:20:00+00:00,18,18,17.9638,17.965,8248,1729088699999,2024-10-16T14:24:59.999000+00:00,,154,,
IVZ,5m,1729088700000,2024-10-16T14:25:00+00:00,17.96,17.97,17.935,17.945,9764,1729088999999,2024-10-16T14:29:59.999000+00:00,,184,,
IVZ,5m,1729089000000,2024-10-16T14:30:00+00:00,17.94,18.005,17.94,18,9478,1729089299999,2024-10-16T14:34:59.999000+00:00,,183,,
IVZ,5m,1729089300000,2024-10-16T14:35:00+00:00,18,18.005,17.97,17.995,23582,1729089599999,2024-10-16T14:39:59.999000+00:00,,301,,
IVZ,5m,1729089600000,2024-10-16T14:40:00+00:00,17.99,18.02,17.955,18.01,24282,1729089899999,2024-10-16T14:44:59.999000+00:00,,310,,
IVZ,5m,1729089900000,2024-10-16T14:45:00+00:00,18,18.015,17.98,18.015,9735,1729090199999,2024-10-16T14:49:59.999000+00:00,,196,,
IVZ,5m,1729090200000,2024-10-16T14:50:00+00:00,18.02,18.02,17.99,18.01,21031,1729090499999,2024-10-16T14:54:59.999000+00:00,,270,,
IVZ,5m,1729090500000,2024-10-16T14:55:00+00:00,18.015,18.015,17.99,18.015,8197,1729090799999,2024-10-16T14:59:59.999000+00:00,,169,,
IVZ,5m,1729090800000,2024-10-16T15:00:00+00:00,18.015,18.015,17.995,17.995,9584,1729091099999,2024-10-16T15:04:59.999000+00:00,,183,,
IVZ,5m,1729091100000,2024-10-16T15:05:00+00:00,18,18,17.975,17.995,9597,1729091399999,2024-10-16T15:09:59.999000+00:00,,191,,
IVZ,5m,1729091400000,2024-10-16T15:10:00+00:00,17.99,18.01,17.975,17.98,10395,1729091699999,2024-10-16T15:14:59.999000+00:00,,181,,
IVZ,5m,1729091700000,2024-10-16T15:15:00+00:00,17.99,18,17.99,17.99,1598,1729091999999,2024-10-16T15:19:59.999000+00:00,,61,,
IVZ,5m,1729092000000,2024-10-16T15:20:00+00:00,17.99,17.99,17.965,17.985,9909,1729092299999,2024-10-16T15:24:59.999000+00:00,,186,,
IVZ,5m,1729092300000,2024-10-16T15:25:00+00:00,17.98,17.98,17.96,17.975,9017,1729092599999,2024-10-16T15:29:59.999000+00:00,,190,,
IVZ,5m,1729092600000,2024-10-16T15:30:00+00:00,17.98,17.99,17.975,17.99,10496,1729092899999,2024-10-16T15:34:59.999000+00:00,,205,,
IVZ,5m,1729092900000,2024-10-16T15:35:00+00:00,17.98,17.98,17.955,17.975,15455,1729093199999,2024-10-16T15:39:59.999000+00:00,,254,,
IVZ,5m,1729093200000,2024-10-16T15:40:00+00:00,17.97,17.985,17.97,17.98,5819,1729093499999,2024-10-16T15:44:59.999000+00:00,,162,,
IVZ,5m,1729093500000,2024-10-16T15:45:00+00:00,17.98,18,17.96,18,22236,1729093799999,2024-10-16T15:49:59.999000+00:00,,187,,
IVZ,5m,1729093800000,2024-10-16T15:50:00+00:00,18,18.01,17.995,17.995,9845,1729094099999,2024-10-16T15:54:59.999000+00:00,,150,,
IVZ,5m,1729094100000,2024-10-16T15:55:00+00:00,18,18.03,18,18.02,19518,1729094399999,2024-10-16T15:59:59.999000+00:00,,272,,
IVZ,5m,1729094400000,2024-10-16T16:00:00+00:00,18.025,18.05,18.025,18.025,10561,1729094699999,2024-10-16T16:04:59.999000+00:00,,169,,
IVZ,5m,1729094700000,2024-10-16T16:05:00+00:00,18.03,18.035,18.015,18.03,11958,1729094999999,2024-10-16T16:09:59.999000+00:00,,164,,
IVZ,5m,1729095000000,2024-10-16T16:10:00+00:00,18.03,18.05,18.0299,18.045,11088,1729095299999,2024-10-16T16:14:59.999000+00:00,,145,,
