symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
MMM,5m,1729071000000,2024-10-16T09:30:00+00:00,135.25,135.25,135.25,135.25,145,1729071299999,2024-10-16T09:34:59.999000+00:00,,3,,
MMM,5m,1729084800000,2024-10-16T13:20:00+00:00,135.4,135.59,135.4,135.59,314,1729085099999,2024-10-16T13:24:59.999000+00:00,,8,,
MMM,5m,1729085100000,2024-10-16T13:25:00+00:00,135.34,135.34,135.34,135.34,277,1729085399999,2024-10-16T13:29:59.999000+00:00,,16,,
MMM,5m,1729085400000,2024-10-16T13:30:00+00:00,135.6,136.21,135.505,135.65,51553,1729085699999,2024-10-16T13:34:59.999000+00:00,,629,,
MMM,5m,1729085700000,2024-10-16T13:35:00+00:00,135.66,135.72,135.33,135.51,13297,1729085999999,2024-10-16T13:39:59.999000+00:00,,343,,
MMM,5m,1729086000000,2024-10-16T13:40:00+00:00,135.51,135.84,135.47,135.8,16949,1729086299999,2024-10-16T13:44:59.999000+00:00,,382,,
MMM,5m,1729086300000,2024-10-16T13:45:00+00:00,135.805,135.965,135.575,135.93,16353,1729086599999,2024-10-16T13:49:59.999000+00:00,,504,,
MMM,5m,1729086600000,2024-10-16T13:50:00+00:00,135.92,136.05,135.795,135.89,23366,1729086899999,2024-10-16T13:54:59.999000+00:00,,813,,
MMM,5m,1729086900000,2024-10-16T13:55:00+00:00,135.92,136.08,135.78,136.025,17412,1729087199999,2024-10-16T13:59:59.999000+00:00,,665,,
MMM,5m,1729087200000,2024-10-16T14:00:00+00:00,136.1,136.29,136.02,136.27,23918,1729087499999,2024-10-16T14:04:59.999000+00:00,,908,,
MMM,5m,1729087500000,2024-10-16T14:05:00+00:00,136.31,136.43,136.26,136.31,18250,1729087799999,2024-10-16T14:09:59.999000+00:00,,777,,
MMM,5m,1729087800000,2024-10-16T14:10:00+00:00,136.25,136.33,136.14,136.17,20050,1729088099999,2024-10-16T14:14:59.999000+00:00,,721,,
MMM,5m,1729088100000,2024-10-16T14:15:00+00:00,136.19,136.39,136.16,136.22,15702,1729088399999,2024-10-16T14:19:59.999000+00:00,,513,,
MMM,5m,1729088400000,2024-10-16T14:20:00+00:00,136.22,136.23,136.12,136.135,13892,1729088699999,2024-10-16T14:24:59.999000+00:00,,340,,
MMM,5m,1729088700000,2024-10-16T14:25:00+00:00,136.15,136.195,136.01,136.04,16520,1729088999999,2024-10-16T14:29:59.999000+00:00,,412,,
MMM,5m,1729089000000,2024-10-16T14:30:00+00:00,135.94,136.215,135.89,136.21,20657,1729089299999,2024-10-16T14:34:59.999000+00:00,,533,,
MMM,5m,1729089300000,2024-10-16T14:35:00+00:00,136.215,136.31,136.175,136.19,10993,1729089599999,2024-10-16T14:39:59.999000+00:00,,301,,
MMM,5m,1729089600000,2024-10-16T14:40:00+00:00,136.17,136.17,136,136.145,13631,1729089899999,2024-10-16T14:44:59.999000+00:00,,371,,
MMM,5m,1729089900000,2024-10-16T14:45:00+00:00,136.14,136.18,136.06,136.095,14146,1729090199999,2024-10-16T14:49:59.999000+00:00,,307,,
MMM,5m,1729090200000,2024-10-16T14:50:00+00:00,136.12,136.19,136.12,136.165,14437,1729090499999,2024-10-16T14:54:59.999000+00:00,,307,,
MMM,5m,1729090500000,2024-10-16T14:55:00+00:00,136.17,136.31,136.16,136.29,14219,1729090799999,2024-10-16T14:59:59.999000+00:00,,323,,
MMM,5m,1729090800000,2024-10-16T15:00:00+00:00,136.32,136.39,136.28,136.28,12206,1729091099999,2024-10-16T15:04:59.999000+00:00,,345,,
MMM,5m,1729091100000,2024-10-16T15:05:00+00:00,136.28,136.29,135.96,136.215,24357,1729091399999,2024-10-16T15:09:59.999000+00:00,,511,,
MMM,5m,1729091400000,2024-10-16T15:10:00+00:00,136.21,136.332,136.185,136.325,13337,1729091699999,2024-10-16T15:14:59.999000+00:00,,292,,
MMM,5m,1729091700000,2024-10-16T15:15:00+00:00,136.32,136.38,136.28,136.3,13748,1729091999999,2024-10-16T15:19:59.999000+00:00,,300,,
MMM,5m,1729092000000,2024-10-16T15:20:00+00:00,136.29,136.45,136.26,136.45,16914,1729092299999,2024-10-16T15:24:59.999000+00:00,,408,,
MMM,5m,1729092300000,2024-10-16T15:25:00+00:00,136.445,136.46,136.27,136.33,21196,1729092599999,2024-10-16T15:29:59.999000+00:00,,423,,
MMM,5m,1729092600000,2024-10-16T15:30:00+00:00,136.32,136.51,136.32,136.51,22763,1729092899999,2024-10-16T15:34:59.999000+00:00,,457,,
MMM,5m,1729092900000,2024-10-16T15:35:00+00:00,136.51,136.54,136.43,136.525,13709,1729093199999,2024-10-16T15:39:59.999000+00:00,,332,,
MMM,5m,1729093200000,2024-10-16T15:40:00+00:00,136.53,136.56,136.47,136.51,12400,1729093499999,2024-10-16T15:44:59.999000+00:00,,299,,
MMM,5m,1729093500000,2024-10-16T15:45:00+00:00,136.515,136.52,136.385,136.48,13103,1729093799999,2024-10-16T15:49:59.999000+00:00,,367,,
MMM,5m,1729093800000,2024-10-16T15:50:00+00:00,136.485,136.57,136.485,136.51,12741,1729094099999,2024-10-16T15:54:59.999000+00:00,,313,,
MMM,5m,1729094100000,2024-10-16T15:55:00+00:00,136.52,136.63,136.505,136.6,12908,1729094399999,2024-10-16T15:59:59.999000+00:00,,448,,
MMM,5m,1729094400000,2024-10-16T16:00:00+00:00,136.65,136.78,136.6,136.635,22658,1729094699999,2024-10-16T16:04:59.999000+00:00,,585,,
MMM,5m,1729094700000,2024-10-16T16:05:00+00:00,136.645,136.68,136.59,136.64,17156,1729094999999,2024-10-16T16:09:59.999000+00:00,,337,,
MMM,5m,1729095000000,2024-10-16T16:10:00+00:00,136.6552,136.78,136.57,136.7588,19638,1729095299999,2024-10-16T16:14:59.999000+00:00,,392,,
MMM,5m,1729095300000,2024-10-16T16:15:00+00:00,136.75,136.81,136.7,136.7726,16112,1729095599999,2024-10-16T16:19:59.999000+00:00,,324,,
MMM,5m,1729095600000,2024-10-16T16:20:00+00:00,136.8,136.87,136.74,136.87,19455,1729095899999,2024-10-16T16:24:59.999000+00:00,,314,,
MMM,5m,1729095900000,2024-10-16T16:25:00+00:00,136.8734,136.91,136.72,136.7701,19990,1729096199999,2024-10-16T16:29:59.999000+00:00,,367,,
MMM,5m,1729096200000,2024-10-16T16:30:00+00:00,136.77,136.85,136.75,136.84,13382,1729096499999,2024-10-16T16:34:59.999000+00:00,,327,,
MMM,5m,1729096500000,2024-10-16T16:35:00+00:00,136.83,137.02,136.83,137.02,19354,1729096799999,2024-10-16T16:39:59.999000+00:00,,415,,
MMM,5m,1729096800000,2024-10-16T16:40:00+00:00,137.01,137.03,136.905,136.96,16556,1729097099999,2024-10-16T16:44:59.999000+00:00,,327,,
MMM,5m,1729097100000,2024-10-16T16:45:00+00:00,136.945,136.985,136.91,136.94,13155,1729097399999,2024-10-16T16:49:59.999000+00:00,,320,,
MMM,5m,1729097400000,2024-10-16T16:50:00+00:00,136.95,136.98,136.91,136.91,11223,1729097699999,2024-10-16T16:54:59.999000+00:00,,303,,
MMM,5m,1729097700000,2024-10-16T16:55:00+00:00,136.9,136.9,136.7878,136.83,11148,1729097999999,2024-10-16T16:59:59.999000+00:00,,323,,
MMM,5m,1729098000000,2024-10-16T17:00:00+00:00,136.83,136.92,136.81,136.82,11260,1729098299999,2024-10-16T17:04:59.999000+00:00,,315,,
MMM,5m,1729098300000,2024-10-16T17:05:00+00:00,136.8,136.83,136.74,136.74,10406,1729098599999,2024-10-16T17:09:59.999000+00:00,,253,,
MMM,5m,1729098600000,2024-10-16T17:10:00+00:00,136.75,136.8,136.75,136.8,12944,1729098899999,2024-10-16T17:14:59.999000+00:00,,300,,
MMM,5m,1729098900000,2024-10-16T17:15:00+00:00,136.81,136.82,136.72,136.72,12111,1729099199999,2024-10-16T17:19:59.999000+00:00,,305,,
MMM,5m,1729099200000,2024-10-16T17:20:00+00:00,136.71,136.78,136.7,136.77,12393,1729099499999,2024-10-16T17:24:59.999000+00:00,,298,,
MMM,5m,1729099500000,2024-10-16T17:25:00+00:00,136.77,136.81,136.75,136.77,9976,1729099799999,2024-10-16T17:29:59.999000+00:00,,224,,
MMM,5m,1729099800000,2024-10-16T17:30:00+00:00,136.77,136.77,136.63,136.645,14847,1729100099999,2024-10-16T17:34:59.999000+00:00,,288,,
MMM,5m,1729100100000,2024-10-16T17:35:00+00:00,136.65,136.72,136.6,136.68,12960,1729100399999,2024-10-16T17:39:59.999000+00:00,,352,,
MMM,5m,1729100400000,2024-10-16T17:40:00+00:00,136.692,136.72,136.66,136.67,10225,1729100699999,2024-10-16T17:44:59.999000+00:00,,212,,
MMM,5m,1729100700000,2024-10-16T17:45:00+00:00,136.665,136.745,136.665,136.69,11340,1729100999999,2024-10-16T17:49:59.999000+00:00,,260,,
MMM,5m,1729101000000,2024-10-16T17:50:00+00:00,136.69,136.71,136.65,136.66,10172,1729101299999,2024-10-16T17:54:59.999000+00:00,,212,,
MMM,5m,1729101300000,2024-10-16T17:55:00+00:00,136.665,136.755,136.665,136.755,13017,1729101599999,2024-10-16T17:59:59.999000+00:00,,315,,
MMM,5m,1729101600000,2024-10-16T18:00:00+00:00,136.75,136.82,136.7,136.71,13771,1729101899999,2024-10-16T18:04:59.999000+00:00,,327,,
MMM,5m,1729101900000,2024-10-16T18:05:00+00:00,136.71,136.7595,136.71,136.73,13408,1729102199999,2024-10-16T18:09:59.999000+00:00,,384,,
MMM,5m,1729102200000,2024-10-16T18:10:00+00:00,136.73,136.75,136.68,136.75,14731,1729102499999,2024-10-16T18:14:59.999000+00:00,,403,,
MMM,5m,1729102500000,2024-10-16T18:15:00+00:00,136.75,136.765,136.65,136.695,20431,1729102799999,2024-10-16T18:19:59.999000+00:00,,408,,
MMM,5m,1729102800000,2024-10-16T18:20:00+00:00,136.7007,136.99,136.7,136.94,23485,1729103099999,2024-10-16T18:24:59.999000+00:00,,446,,
MMM,5m,1729103100000,2024-10-16T18:25:00+00:00,136.94,137.05,136.901,136.95,19238,1729103399999,2024-10-16T18:29:59.999000+00:00,,373,,
MMM,5m,1729103400000,2024-10-16T18:30:00+00:00,136.97,136.97,136.88,136.905,13804,1729103699999,2024-10-16T18:34:59.999000+00:00,,341,,
MMM,5m,1729103700000,2024-10-16T18:35:00+00:00,136.9185,136.9623,136.8,136.8,19762,1729103999999,2024-10-16T18:39:59.999000+00:00,,437,,
MMM,5m,1729104000000,2024-10-16T18:40:00+00:00,136.805,136.86,136.76,136.799,13432,1729104299999,2024-10-16T18:44:59.999000+00:00,,406,,
MMM,5m,1729104300000,2024-10-16T18:45:00+00:00,136.81,136.82,136.77,136.77,11208,1729104599999,2024-10-16T18:49:59.999000+00:00,,276,,
