symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
MO,5m,1729066200000,2024-10-16T08:10:00+00:00,49.99,49.99,49.99,49.99,111,1729066499999,2024-10-16T08:14:59.999000+00:00,,2,,
MO,5m,1729067700000,2024-10-16T08:35:00+00:00,49.98,49.98,49.98,49.98,200,1729067999999,2024-10-16T08:39:59.999000+00:00,,1,,
MO,5m,1729069800000,2024-10-16T09:10:00+00:00,49.98,49.98,49.98,49.98,101,1729070099999,2024-10-16T09:14:59.999000+00:00,,1,,
MO,5m,1729074600000,2024-10-16T10:30:00+00:00,49.92,49.92,49.92,49.92,503,1729074899999,2024-10-16T10:34:59.999000+00:00,,31,,
MO,5m,1729075500000,2024-10-16T10:45:00+00:00,49.93,49.93,49.93,49.93,100,1729075799999,2024-10-16T10:49:59.999000+00:00,,1,,
MO,5m,1729077300000,2024-10-16T11:15:00+00:00,49.97,49.97,49.97,49.97,280,1729077599999,2024-10-16T11:19:59.999000+00:00,,3,,
MO,5m,1729079400000,2024-10-16T11:50:00+00:00,49.96,49.96,49.96,49.96,189,1729079699999,2024-10-16T11:54:59.999000+00:00,,2,,
MO,5m,1729080000000,2024-10-16T12:00:00+00:00,49.95,50.024,49.95,50.024,2559,1729080299999,2024-10-16T12:04:59.999000+00:00,,59,,
MO,5m,1729080300000,2024-10-16T12:05:00+00:00,49.98,49.98,49.95,49.95,429,1729080599999,2024-10-16T12:09:59.999000+00:00,,7,,
MO,5m,1729080600000,2024-10-16T12:10:00+00:00,49.9503,49.9503,49.9503,49.9503,122,1729080899999,2024-10-16T12:14:59.999000+00:00,,5,,
MO,5m,1729081500000,2024-10-16T12:25:00+00:00,49.95,49.95,49.95,49.95,777,1729081799999,2024-10-16T12:29:59.999000+00:00,,32,,
MO,5m,1729081800000,2024-10-16T12:30:00+00:00,49.94,49.94,49.94,49.94,301,1729082099999,2024-10-16T12:34:59.999000+00:00,,2,,
MO,5m,1729082100000,2024-10-16T12:35:00+00:00,49.97,49.98,49.97,49.98,779,1729082399999,2024-10-16T12:39:59.999000+00:00,,10,,
MO,5m,1729082400000,2024-10-16T12:40:00+00:00,49.99,49.99,49.98,49.98,1474,1729082699999,2024-10-16T12:44:59.999000+00:00,,22,,
MO,5m,1729082700000,2024-10-16T12:45:00+00:00,50,50,50,50,521,1729082999999,2024-10-16T12:49:59.999000+00:00,,15,,
MO,5m,1729083000000,2024-10-16T12:50:00+00:00,49.99,49.99,49.98,49.98,921,1729083299999,2024-10-16T12:54:59.999000+00:00,,11,,
MO,5m,1729083300000,2024-10-16T12:55:00+00:00,50.04,50.08,50.03,50.05,1451,1729083599999,2024-10-16T12:59:59.999000+00:00,,20,,
MO,5m,1729083900000,2024-10-16T13:05:00+00:00,50.05,50.05,50.01,50.01,1001,1729084199999,2024-10-16T13:09:59.999000+00:00,,9,,
MO,5m,1729084200000,2024-10-16T13:10:00+00:00,50.01,50.01,50.01,50.01,212,1729084499999,2024-10-16T13:14:59.999000+00:00,,3,,
MO,5m,1729085100000,2024-10-16T13:25:00+00:00,50.01,50.01,50.01,50.01,414,1729085399999,2024-10-16T13:29:59.999000+00:00,,7,,
MO,5m,1729085400000,2024-10-16T13:30:00+00:00,49.97,50.030048,49.87,50.01,149278,1729085699999,2024-10-16T13:34:59.999000+00:00,,1358,,
MO,5m,1729085700000,2024-10-16T13:35:00+00:00,50.01,50.0888,49.98,50.07,49722,1729085999999,2024-10-16T13:39:59.999000+00:00,,887,,
MO,5m,1729086000000,2024-10-16T13:40:00+00:00,50.08,50.16,50.01,50.14,47066,1729086299999,2024-10-16T13:44:59.999000+00:00,,689,,
MO,5m,1729086300000,2024-10-16T13:45:00+00:00,50.1387,50.2412,50.125,50.18,53873,1729086599999,2024-10-16T13:49:59.999000+00:00,,1145,,
MO,5m,1729086600000,2024-10-16T13:50:00+00:00,50.17,50.2856,50.165,50.235,84437,1729086899999,2024-10-16T13:54:59.999000+00:00,,1282,,
MO,5m,1729086900000,2024-10-16T13:55:00+00:00,50.23,50.28,50.2273,50.25,52334,1729087199999,2024-10-16T13:59:59.999000+00:00,,1030,,
MO,5m,1729087200000,2024-10-16T14:00:00+00:00,50.26,50.365,50.25,50.365,93496,1729087499999,2024-10-16T14:04:59.999000+00:00,,1366,,
MO,5m,1729087500000,2024-10-16T14:05:00+00:00,50.37,50.3785,50.27,50.27,59405,1729087799999,2024-10-16T14:09:59.999000+00:00,,1097,,
MO,5m,1729087800000,2024-10-16T14:10:00+00:00,50.27,50.27,50.12,50.13,78989,1729088099999,2024-10-16T14:14:59.999000+00:00,,1152,,
MO,5m,1729088100000,2024-10-16T14:15:00+00:00,50.13,50.155,50.1,50.1299,48271,1729088399999,2024-10-16T14:19:59.999000+00:00,,755,,
MO,5m,1729088400000,2024-10-16T14:20:00+00:00,50.12,50.12,50.05,50.07,31731,1729088699999,2024-10-16T14:24:59.999000+00:00,,697,,
MO,5m,1729088700000,2024-10-16T14:25:00+00:00,50.07,50.0987,50.03,50.065,36191,1729088999999,2024-10-16T14:29:59.999000+00:00,,530,,
MO,5m,1729089000000,2024-10-16T14:30:00+00:00,50.06,50.13,50.05,50.11,41810,1729089299999,2024-10-16T14:34:59.999000+00:00,,664,,
MO,5m,1729089300000,2024-10-16T14:35:00+00:00,50.105,50.17,50.105,50.1501,37442,1729089599999,2024-10-16T14:39:59.999000+00:00,,519,,
MO,5m,1729089600000,2024-10-16T14:40:00+00:00,50.15,50.19,50.15,50.164,32427,1729089899999,2024-10-16T14:44:59.999000+00:00,,662,,
MO,5m,1729089900000,2024-10-16T14:45:00+00:00,50.165,50.17,50.1,50.14,57731,1729090199999,2024-10-16T14:49:59.999000+00:00,,702,,
MO,5m,1729090200000,2024-10-16T14:50:00+00:00,50.14,50.145,50.095,50.115,39868,1729090499999,2024-10-16T14:54:59.999000+00:00,,655,,
MO,5m,1729090500000,2024-10-16T14:55:00+00:00,50.115,50.15,50.11,50.15,31190,1729090799999,2024-10-16T14:59:59.999000+00:00,,475,,
MO,5m,1729090800000,2024-10-16T15:00:00+00:00,50.165,50.17,50.105,50.12,47396,1729091099999,2024-10-16T15:04:59.999000+00:00,,601,,
MO,5m,1729091100000,2024-10-16T15:05:00+00:00,50.125,50.15,50.095,50.095,27664,1729091399999,2024-10-16T15:09:59.999000+00:00,,496,,
MO,5m,1729091400000,2024-10-16T15:10:00+00:00,50.095,50.12,50.07,50.085,24974,1729091699999,2024-10-16T15:14:59.999000+00:00,,489,,
MO,5m,1729091700000,2024-10-16T15:15:00+00:00,50.085,50.12,50.085,50.1136,23733,1729091999999,2024-10-16T15:19:59.999000+00:00,,402,,
MO,5m,1729092000000,2024-10-16T15:20:00+00:00,50.115,50.135,50.095,50.115,26563,1729092299999,2024-10-16T15:24:59.999000+00:00,,501,,
MO,5m,1729092300000,2024-10-16T15:25:00+00:00,50.115,50.12,50.075,50.095,24982,1729092599999,2024-10-16T15:29:59.999000+00:00,,438,,
MO,5m,1729092600000,2024-10-16T15:30:00+00:00,50.1,50.11,50.08,50.105,26104,1729092899999,2024-10-16T15:34:59.999000+00:00,,448,,
MO,5m,1729092900000,2024-10-16T15:35:00+00:00,50.1,50.1,50.06,50.0997,30397,1729093199999,2024-10-16T15:39:59.999000+00:00,,507,,
MO,5m,1729093200000,2024-10-16T15:40:00+00:00,50.095,50.13,50.0835,50.13,42481,1729093499999,2024-10-16T15:44:59.999000+00:00,,710,,
MO,5m,1729093500000,2024-10-16T15:45:00+00:00,50.12,50.135,50.11,50.125,29708,1729093799999,2024-10-16T15:49:59.999000+00:00,,472,,
MO,5m,1729093800000,2024-10-16T15:50:00+00:00,50.1299,50.16,50.11,50.12,35146,1729094099999,2024-10-16T15:54:59.999000+00:00,,456,,
MO,5m,1729094100000,2024-10-16T15:55:00+00:00,50.12,50.125,50.075,50.08,45720,1729094399999,2024-10-16T15:59:59.999000+00:00,,624,,
MO,5m,1729094400000,2024-10-16T16:00:00+00:00,50.08,50.11,50.07,50.07,21360,1729094699999,2024-10-16T16:04:59.999000+00:00,,382,,
MO,5m,1729094700000,2024-10-16T16:05:00+00:00,50.07,50.125,50.07,50.12,20259,1729094999999,2024-10-16T16:09:59.999000+00:00,,372,,
MO,5m,1729095000000,2024-10-16T16:10:00+00:00,50.1198,50.14,50.11,50.135,22342,1729095299999,2024-10-16T16:14:59.999000+00:00,,421,,
MO,5m,1729095300000,2024-10-16T16:15:00+00:00,50.134,50.16,50.115,50.145,52010,1729095599999,2024-10-16T16:19:59.999000+00:00,,509,,
MO,5m,1729095600000,2024-10-16T16:20:00+00:00,50.1441,50.1441,50.1,50.1368,26379,1729095899999,2024-10-16T16:24:59.999000+00:00,,437,,
MO,5m,1729095900000,2024-10-16T16:25:00+00:00,50.135,50.14,50.11,50.115,35158,1729096199999,2024-10-16T16:29:59.999000+00:00,,430,,
MO,5m,1729096200000,2024-10-16T16:30:00+00:00,50.12,50.145,50.11,50.145,17202,1729096499999,2024-10-16T16:34:59.999000+00:00,,298,,
MO,5m,1729096500000,2024-10-16T16:35:00+00:00,50.14,50.155,50.134,50.14,39618,1729096799999,2024-10-16T16:39:59.999000+00:00,,432,,
MO,5m,1729096800000,2024-10-16T16:40:00+00:00,50.145,50.15,50.13,50.1438,14745,1729097099999,2024-10-16T16:44:59.999000+00:00,,215,,
MO,5m,1729097100000,2024-10-16T16:45:00+00:00,50.1452,50.155,50.13,50.14,24018,1729097399999,2024-10-16T16:49:59.999000+00:00,,392,,
MO,5m,1729097400000,2024-10-16T16:50:00+00:00,50.135,50.14,50.12,50.13,19427,1729097699999,2024-10-16T16:54:59.999000+00:00,,356,,
MO,5m,1729097700000,2024-10-16T16:55:00+00:00,50.125,50.139,50.1102,50.12,30745,1729097999999,2024-10-16T16:59:59.999000+00:00,,338,,
MO,5m,1729098000000,2024-10-16T17:00:00+00:00,50.12,50.145,50.115,50.14,35918,1729098299999,2024-10-16T17:04:59.999000+00:00,,471,,
MO,5m,1729098300000,2024-10-16T17:05:00+00:00,50.13,50.155,50.13,50.145,26615,1729098599999,2024-10-16T17:09:59.999000+00:00,,389,,
MO,5m,1729098600000,2024-10-16T17:10:00+00:00,50.155,50.18,50.15,50.175,19146,1729098899999,2024-10-16T17:14:59.999000+00:00,,265,,
MO,5m,1729098900000,2024-10-16T17:15:00+00:00,50.175,50.185,50.15,50.1599,31941,1729099199999,2024-10-16T17:19:59.999000+00:00,,346,,
MO,5m,1729099200000,2024-10-16T17:20:00+00:00,50.155,50.16,50.15,50.155,21330,1729099499999,2024-10-16T17:24:59.999000+00:00,,365,,
MO,5m,1729099500000,2024-10-16T17:25:00+00:00,50.155,50.16,50.14,50.145,17709,1729099799999,2024-10-16T17:29:59.999000+00:00,,286,,
MO,5m,1729099800000,2024-10-16T17:30:00+00:00,50.145,50.145,50.11,50.125,27297,1729100099999,2024-10-16T17:34:59.999000+00:00,,414,,
MO,5m,1729100100000,2024-10-16T17:35:00+00:00,50.12,50.145,50.115,50.1331,27069,1729100399999,2024-10-16T17:39:59.999000+00:00,,444,,
MO,5m,1729100400000,2024-10-16T17:40:00+00:00,50.13,50.14,50.11,50.115,14864,1729100699999,2024-10-16T17:44:59.999000+00:00,,306,,
MO,5m,1729100700000,2024-10-16T17:45:00+00:00,50.115,50.13,50.1035,50.111994,41859,1729100999999,2024-10-16T17:49:59.999000+00:00,,591,,
MO,5m,1729101000000,2024-10-16T17:50:00+00:00,50.115,50.13,50.09,50.1128,32718,1729101299999,2024-10-16T17:54:59.999000+00:00,,413,,
MO,5m,1729101300000,2024-10-16T17:55:00+00:00,50.12,50.14,50.1111,50.135,23987,1729101599999,2024-10-16T17:59:59.999000+00:00,,384,,
MO,5m,1729101600000,2024-10-16T18:00:00+00:00,50.14,50.16,50.13,50.145,46012,1729101899999,2024-10-16T18:04:59.999000+00:00,,630,,
MO,5m,1729101900000,2024-10-16T18:05:00+00:00,50.145,50.1575,50.135,50.145,23257,1729102199999,2024-10-16T18:09:59.999000+00:00,,390,,
MO,5m,1729102200000,2024-10-16T18:10:00+00:00,50.1401,50.23,50.1401,50.2201,43371,1729102499999,2024-10-16T18:14:59.999000+00:00,,443,,
MO,5m,1729102500000,2024-10-16T18:15:00+00:00,50.225,50.295,50.225,50.29,27727,1729102799999,2024-10-16T18:19:59.999000+00:00,,423,,
MO,5m,1729102800000,2024-10-16T18:20:00+00:00,50.2975,50.33,50.275,50.3101,24677,1729103099999,2024-10-16T18:24:59.999000+00:00,,387,,
MO,5m,1729103100000,2024-10-16T18:25:00+00:00,50.31,50.315,50.285,50.31,19640,1729103399999,2024-10-16T18:29:59.999000+00:00,,381,,
MO,5m,1729103400000,2024-10-16T18:30:00+00:00,50.31,50.325,50.295,50.325,29841,1729103699999,2024-10-16T18:34:59.999000+00:00,,482,,
MO,5m,1729103700000,2024-10-16T18:35:00+00:00,50.315,50.315,50.285,50.295,26495,1729103999999,2024-10-16T18:39:59.999000+00:00,,419,,
MO,5m,1729104000000,2024-10-16T18:40:00+00:00,50.29,50.29,50.24,50.24,25225,1729104299999,2024-10-16T18:44:59.999000+00:00,,443,,
MO,5m,1729104300000,2024-10-16T18:45:00+00:00,50.245,50.25,50.21,50.214,28442,1729104599999,2024-10-16T18:49:59.999000+00:00,,426,,
MO,5m,1729104600000,2024-10-16T18:50:00+00:00,50.21,50.215,50.18,50.1883,29379,1729104899999,2024-10-16T18:54:59.999000+00:00,,367,,
MO,5m,1729104900000,2024-10-16T18:55:00+00:00,50.18,50.22,50.18,50.205,40615,1729105199999,2024-10-16T18:59:59.999000+00:00,,544,,
MO,5m,1729105200000,2024-10-16T19:00:00+00:00,50.205,50.22,50.19,50.195,24984,1729105499999,2024-10-16T19:04:59.999000+00:00,,443,,
MO,5m,1729105500000,2024-10-16T19:05:00+00:00,50.2,50.235,50.2,50.2336,21240,1729105799999,2024-10-16T19:09:59.999000+00:00,,481,,
MO,5m,1729105800000,2024-10-16T19:10:00+00:00,50.24,50.26,50.23,50.235,36727,1729106099999,2024-10-16T19:14:59.999000+00:00,,385,,
MO,5m,1729106100000,2024-10-16T19:15:00+00:00,50.23,50.235,50.195,50.2,52083,1729106399999,2024-10-16T19:19:59.999000+00:00,,609,,
MO,5m,1729106400000,2024-10-16T19:20:00+00:00,50.2031,50.21,50.18,50.19,40064,1729106699999,2024-10-16T19:24:59.999000+00:00,,555,,
MO,5m,1729106700000,2024-10-16T19:25:00+00:00,50.19,50.2,50.18,50.19,31008,1729106999999,2024-10-16T19:29:59.999000+00:00,,450,,
MO,5m,1729107000000,2024-10-16T19:30:00+00:00,50.195,50.2297,50.18,50.2277,64873,1729107299999,2024-10-16T19:34:59.999000+00:00,,735,,
MO,5m,1729107300000,2024-10-16T19:35:00+00:00,50.225,50.2475,50.215,50.23,64043,1729107599999,2024-10-16T19:39:59.999000+00:00,,960,,
MO,5m,1729107600000,2024-10-16T19:40:00+00:00,50.23,50.3,50.2225,50.271,78574,1729107899999,2024-10-16T19:44:59.999000+00:00,,1011,,
MO,5m,1729107900000,2024-10-16T19:45:00+00:00,50.2723,50.2999,50.23,50.245,54656,1729108199999,2024-10-16T19:49:59.999000+00:00,,768,,
MO,5m,1729108200000,2024-10-16T19:50:00+00:00,50.245,50.275,50.2,50.205,104176,1729108499999,2024-10-16T19:54:59.999000+00:00,,1471,,
MO,5m,1729108500000,2024-10-16T19:55:00+00:00,50.215,50.22,50.13,50.15,597664,1729108799999,2024-10-16T19:59:59.999000+00:00,,4102,,
MO,5m,1729108800000,2024-10-16T20:00:00+00:00,50.16,50.16,50.1408,50.16,27773,1729109099999,2024-10-16T20:04:59.999000+00:00,,25,,
MO,5m,1729109100000,2024-10-16T20:05:00+00:00,50.16,50.16,50.16,50.16,1731,1729109399999,2024-10-16T20:09:59.999000+00:00,,3,,
MO,5m,1729109400000,2024-10-16T20:10:00+00:00,50.16,50.16,50.16,50.16,3394,1729109699999,2024-10-16T20:14:59.999000+00:00,,2,,
MO,5m,1729109700000,2024-10-16T20:15:00+00:00,50.2525,50.2525,50.18,50.18,500,1729109999999,2024-10-16T20:19:59.999000+00:00,,5,,
MO,5m,1729110000000,2024-10-16T20:20:00+00:00,50.18,50.19,50.18,50.18,1126,1729110299999,2024-10-16T20:24:59.999000+00:00,,16,,
MO,5m,1729112400000,2024-10-16T21:00:00+00:00,50.18,50.2099,50.18,50.2099,396,1729112699999,2024-10-16T21:04:59.999000+00:00,,11,,
MO,5m,1729113300000,2024-10-16T21:15:00+00:00,50.16,50.16,50.16,50.16,32786,1729113599999,2024-10-16T21:19:59.999000+00:00,,3,,
MO,5m,1729113600000,2024-10-16T21:20:00+00:00,50.2075,50.2075,50.2075,50.2075,2000,1729113899999,2024-10-16T21:24:59.999000+00:00,,1,,
