symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
PODD,5m,1729085400000,2024-10-16T13:30:00+00:00,230.95,231.195,230.95,231.195,2077,1729085699999,2024-10-16T13:34:59.999000+00:00,,24,,
PODD,5m,1729085700000,2024-10-16T13:35:00+00:00,231.205,231.205,231.205,231.205,280,1729085999999,2024-10-16T13:39:59.999000+00:00,,21,,
PODD,5m,1729086000000,2024-10-16T13:40:00+00:00,230.22,230.4,230.2,230.4,1833,1729086299999,2024-10-16T13:44:59.999000+00:00,,57,,
PODD,5m,1729086300000,2024-10-16T13:45:00+00:00,230.35,230.63,230.35,230.555,1709,1729086599999,2024-10-16T13:49:59.999000+00:00,,39,,
PODD,5m,1729086600000,2024-10-16T13:50:00+00:00,230.13,230.13,229.7,229.7,4416,1729086899999,2024-10-16T13:54:59.999000+00:00,,148,,
PODD,5m,1729086900000,2024-10-16T13:55:00+00:00,229.84,230.37,229.8,230.37,4865,1729087199999,2024-10-16T13:59:59.999000+00:00,,131,,
PODD,5m,1729087200000,2024-10-16T14:00:00+00:00,230.87,231.49,230.85,231.49,2370,1729087499999,2024-10-16T14:04:59.999000+00:00,,77,,
PODD,5m,1729087500000,2024-10-16T14:05:00+00:00,232.07,232.52,232.07,232.52,2697,1729087799999,2024-10-16T14:09:59.999000+00:00,,83,,
PODD,5m,1729087800000,2024-10-16T14:10:00+00:00,232.46,232.46,232.46,232.46,192,1729088099999,2024-10-16T14:14:59.999000+00:00,,11,,
PODD,5m,1729088100000,2024-10-16T14:15:00+00:00,232.8,232.8,232.785,232.785,1619,1729088399999,2024-10-16T14:19:59.999000+00:00,,62,,
PODD,5m,1729088400000,2024-10-16T14:20:00+00:00,232.4,232.48,232.365,232.48,1971,1729088699999,2024-10-16T14:24:59.999000+00:00,,70,,
PODD,5m,1729088700000,2024-10-16T14:25:00+00:00,232.37,232.42,231.63,231.979649,3082,1729088999999,2024-10-16T14:29:59.999000+00:00,,153,,
PODD,5m,1729089000000,2024-10-16T14:30:00+00:00,231.42,232.053,231.42,232.053,903,1729089299999,2024-10-16T14:34:59.999000+00:00,,41,,
PODD,5m,1729089300000,2024-10-16T14:35:00+00:00,231.69,231.69,231.4,231.4,1367,1729089599999,2024-10-16T14:39:59.999000+00:00,,72,,
PODD,5m,1729089600000,2024-10-16T14:40:00+00:00,231.2,231.2,230.81,231,1390,1729089899999,2024-10-16T14:44:59.999000+00:00,,75,,
PODD,5m,1729089900000,2024-10-16T14:45:00+00:00,230.83,231.15,230.83,230.91,1789,1729090199999,2024-10-16T14:49:59.999000+00:00,,68,,
PODD,5m,1729090200000,2024-10-16T14:50:00+00:00,231.105,231.35,231.105,231.32,4236,1729090499999,2024-10-16T14:54:59.999000+00:00,,127,,
PODD,5m,1729090500000,2024-10-16T14:55:00+00:00,231.86,231.86,231.68,231.69,10746,1729090799999,2024-10-16T14:59:59.999000+00:00,,143,,
PODD,5m,1729090800000,2024-10-16T15:00:00+00:00,231.48,231.48,231.39,231.44,1775,1729091099999,2024-10-16T15:04:59.999000+00:00,,62,,
PODD,5m,1729091100000,2024-10-16T15:05:00+00:00,231.675,231.675,231.48,231.48,885,1729091399999,2024-10-16T15:09:59.999000+00:00,,29,,
PODD,5m,1729091400000,2024-10-16T15:10:00+00:00,231.68,231.68,231.48,231.68,2245,1729091699999,2024-10-16T15:14:59.999000+00:00,,77,,
PODD,5m,1729091700000,2024-10-16T15:15:00+00:00,231.685,232.18,231.685,232.18,1281,1729091999999,2024-10-16T15:19:59.999000+00:00,,81,,
PODD,5m,1729092000000,2024-10-16T15:20:00+00:00,232.055,232.2,232.055,232.2,1479,1729092299999,2024-10-16T15:24:59.999000+00:00,,46,,
PODD,5m,1729092300000,2024-10-16T15:25:00+00:00,232.04,232.04,232.04,232.04,406,1729092599999,2024-10-16T15:29:59.999000+00:00,,32,,
PODD,5m,1729092600000,2024-10-16T15:30:00+00:00,232.175,232.175,231.74,232.0668,2934,1729092899999,2024-10-16T15:34:59.999000+00:00,,116,,
PODD,5m,1729092900000,2024-10-16T15:35:00+00:00,231.861,231.87,231.861,231.865,632,1729093199999,2024-10-16T15:39:59.999000+00:00,,17,,
PODD,5m,1729093200000,2024-10-16T15:40:00+00:00,231.86,231.88,231.7,231.88,5182,1729093499999,2024-10-16T15:44:59.999000+00:00,,132,,
PODD,5m,1729093500000,2024-10-16T15:45:00+00:00,231.892,232.01,231.84,231.84,674,1729093799999,2024-10-16T15:49:59.999000+00:00,,20,,
PODD,5m,1729093800000,2024-10-16T15:50:00+00:00,231.88,231.88,231.69,231.69,2588,1729094099999,2024-10-16T15:54:59.999000+00:00,,76,,
