symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
SCHW,5m,1729065600000,2024-10-16T08:00:00+00:00,71.4,71.75,71.4,71.75,1046,1729065899999,2024-10-16T08:04:59.999000+00:00,,146,,
SCHW,5m,1729065900000,2024-10-16T08:05:00+00:00,71.7,71.7,71.7,71.7,204,1729066199999,2024-10-16T08:09:59.999000+00:00,,14,,
SCHW,5m,1729077000000,2024-10-16T11:10:00+00:00,71.84,71.84,71.82,71.82,200,1729077299999,2024-10-16T11:14:59.999000+00:00,,2,,
SCHW,5m,1729077300000,2024-10-16T11:15:00+00:00,71.86,71.86,71.86,71.86,105,1729077599999,2024-10-16T11:19:59.999000+00:00,,2,,
SCHW,5m,1729078200000,2024-10-16T11:30:00+00:00,71.88,71.89,71.88,71.88,2295,1729078499999,2024-10-16T11:34:59.999000+00:00,,5,,
SCHW,5m,1729078500000,2024-10-16T11:35:00+00:00,71.89,72.01,71.88,72.01,1042,1729078799999,2024-10-16T11:39:59.999000+00:00,,18,,
SCHW,5m,1729078800000,2024-10-16T11:40:00+00:00,72.06,72.2,72.06,72.2,530,1729079099999,2024-10-16T11:44:59.999000+00:00,,8,,
SCHW,5m,1729080000000,2024-10-16T12:00:00+00:00,71.87,72.2087,71.62,71.85,1147,1729080299999,2024-10-16T12:04:59.999000+00:00,,31,,
SCHW,5m,1729080900000,2024-10-16T12:15:00+00:00,72.19,72.19,72.19,72.19,500,1729081199999,2024-10-16T12:19:59.999000+00:00,,1,,
SCHW,5m,1729081200000,2024-10-16T12:20:00+00:00,72.12,72.12,72.1,72.1,1796,1729081499999,2024-10-16T12:24:59.999000+00:00,,77,,
SCHW,5m,1729081500000,2024-10-16T12:25:00+00:00,72.21,72.21,72.21,72.21,212,1729081799999,2024-10-16T12:29:59.999000+00:00,,5,,
SCHW,5m,1729081800000,2024-10-16T12:30:00+00:00,72.13,72.13,72.1,72.1,896,1729082099999,2024-10-16T12:34:59.999000+00:00,,5,,
SCHW,5m,1729082400000,2024-10-16T12:40:00+00:00,72.1,72.2,72.1,72.2,713,1729082699999,2024-10-16T12:44:59.999000+00:00,,6,,
SCHW,5m,1729083600000,2024-10-16T13:00:00+00:00,72.1,72.11,72.1,72.1,1300,1729083899999,2024-10-16T13:04:59.999000+00:00,,15,,
SCHW,5m,1729084200000,2024-10-16T13:10:00+00:00,72.18,72.18,72.18,72.18,100,1729084499999,2024-10-16T13:14:59.999000+00:00,,1,,
SCHW,5m,1729084500000,2024-10-16T13:15:00+00:00,72.19,72.32,72.19,72.32,1391,1729084799999,2024-10-16T13:19:59.999000+00:00,,20,,
