symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
STZ,5m,1729085400000,2024-10-16T13:30:00+00:00,243.06,243.285,241.76,242.73,22387,1729085699999,2024-10-16T13:34:59.999000+00:00,,468,,
STZ,5m,1729085700000,2024-10-16T13:35:00+00:00,242.775,243.03,242.11,242.5425,10720,1729085999999,2024-10-16T13:39:59.999000+00:00,,342,,
STZ,5m,1729086000000,2024-10-16T13:40:00+00:00,242.51,242.96,242.42,242.91,22746,1729086299999,2024-10-16T13:44:59.999000+00:00,,410,,
STZ,5m,1729086300000,2024-10-16T13:45:00+00:00,242.71,243.7,242.71,243.14,13127,1729086599999,2024-10-16T13:49:59.999000+00:00,,399,,
STZ,5m,1729086600000,2024-10-16T13:50:00+00:00,243.385,243.67,243.16,243.36,14208,1729086899999,2024-10-16T13:54:59.999000+00:00,,252,,
STZ,5m,1729086900000,2024-10-16T13:55:00+00:00,243.2,243.39,243.06,243.175,11743,1729087199999,2024-10-16T13:59:59.999000+00:00,,253,,
STZ,5m,1729087200000,2024-10-16T14:00:00+00:00,243.21,243.675,243.18,243.675,33374,1729087499999,2024-10-16T14:04:59.999000+00:00,,562,,
STZ,5m,1729087500000,2024-10-16T14:05:00+00:00,243.765,243.82,243.25,243.29,7158,1729087799999,2024-10-16T14:09:59.999000+00:00,,255,,
STZ,5m,1729087800000,2024-10-16T14:10:00+00:00,243.32,243.325,242.84,243.13,10576,1729088099999,2024-10-16T14:14:59.999000+00:00,,221,,
STZ,5m,1729088100000,2024-10-16T14:15:00+00:00,242.97,243.31,242.97,243.21,10519,1729088399999,2024-10-16T14:19:59.999000+00:00,,259,,
STZ,5m,1729088400000,2024-10-16T14:20:00+00:00,243.11,243.11,242.44,242.47,8246,1729088699999,2024-10-16T14:24:59.999000+00:00,,263,,
STZ,5m,1729088700000,2024-10-16T14:25:00+00:00,242.47,242.66,242.23,242.55,11248,1729088999999,2024-10-16T14:29:59.999000+00:00,,306,,
STZ,5m,1729089000000,2024-10-16T14:30:00+00:00,242.55,242.76,242.42,242.61,6253,1729089299999,2024-10-16T14:34:59.999000+00:00,,183,,
STZ,5m,1729089300000,2024-10-16T14:35:00+00:00,242.52,242.69,242.4,242.5,7894,1729089599999,2024-10-16T14:39:59.999000+00:00,,265,,
STZ,5m,1729089600000,2024-10-16T14:40:00+00:00,242.5,242.5,242.34,242.48,8909,1729089899999,2024-10-16T14:44:59.999000+00:00,,236,,
STZ,5m,1729089900000,2024-10-16T14:45:00+00:00,242.35,242.5403,242.28,242.3,5263,1729090199999,2024-10-16T14:49:59.999000+00:00,,199,,
STZ,5m,1729090200000,2024-10-16T14:50:00+00:00,242.34,242.58,242.34,242.445,9806,1729090499999,2024-10-16T14:54:59.999000+00:00,,267,,
STZ,5m,1729090500000,2024-10-16T14:55:00+00:00,242.37,242.42,242.22,242.42,10418,1729090799999,2024-10-16T14:59:59.999000+00:00,,306,,
STZ,5m,1729090800000,2024-10-16T15:00:00+00:00,242.41,242.41,241.64,241.85,25284,1729091099999,2024-10-16T15:04:59.999000+00:00,,597,,
