symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
TECH,5m,1729077600000,2024-10-16T11:20:00+00:00,73.45,73.89,73.3,73.78,8451,1729077899999,2024-10-16T11:24:59.999000+00:00,,72,,
TECH,5m,1729077900000,2024-10-16T11:25:00+00:00,74.3,74.3,73.66,73.66,4347,1729078199999,2024-10-16T11:29:59.999000+00:00,,17,,
TECH,5m,1729085400000,2024-10-16T13:30:00+00:00,73.97,74.035,73.4,73.45,14252,1729085699999,2024-10-16T13:34:59.999000+00:00,,148,,
TECH,5m,1729085700000,2024-10-16T13:35:00+00:00,73.25,73.25,72.22,72.225,6622,1729085999999,2024-10-16T13:39:59.999000+00:00,,179,,
TECH,5m,1729086000000,2024-10-16T13:40:00+00:00,72.24,72.285,71.7,71.96,7644,1729086299999,2024-10-16T13:44:59.999000+00:00,,206,,
TECH,5m,1729086300000,2024-10-16T13:45:00+00:00,72.09,72.42,72.09,72.245,7375,1729086599999,2024-10-16T13:49:59.999000+00:00,,155,,
TECH,5m,1729086600000,2024-10-16T13:50:00+00:00,72.32,72.545,72.32,72.4,11768,1729086899999,2024-10-16T13:54:59.999000+00:00,,251,,
TECH,5m,1729086900000,2024-10-16T13:55:00+00:00,72.36,72.7,72.35,72.69,6540,1729087199999,2024-10-16T13:59:59.999000+00:00,,116,,
TECH,5m,1729087200000,2024-10-16T14:00:00+00:00,72.87,73.525,72.86,73.525,6062,1729087499999,2024-10-16T14:04:59.999000+00:00,,123,,
TECH,5m,1729087500000,2024-10-16T14:05:00+00:00,73.52,73.895,73.4825,73.685,6257,1729087799999,2024-10-16T14:09:59.999000+00:00,,172,,
TECH,5m,1729087800000,2024-10-16T14:10:00+00:00,73.685,73.695,73.46,73.65,8451,1729088099999,2024-10-16T14:14:59.999000+00:00,,205,,
TECH,5m,1729088100000,2024-10-16T14:15:00+00:00,73.52,73.61,73.52,73.585,3538,1729088399999,2024-10-16T14:19:59.999000+00:00,,76,,
TECH,5m,1729088400000,2024-10-16T14:20:00+00:00,73.41,73.49,73,73.055,10078,1729088699999,2024-10-16T14:24:59.999000+00:00,,223,,
TECH,5m,1729088700000,2024-10-16T14:25:00+00:00,73.1,73.34,72.97,73.285,7936,1729088999999,2024-10-16T14:29:59.999000+00:00,,185,,
TECH,5m,1729089000000,2024-10-16T14:30:00+00:00,73.26,73.47,73.2,73.47,1808,1729089299999,2024-10-16T14:34:59.999000+00:00,,46,,
TECH,5m,1729089300000,2024-10-16T14:35:00+00:00,73.47,73.47,73.16,73.19,3190,1729089599999,2024-10-16T14:39:59.999000+00:00,,108,,
TECH,5m,1729089600000,2024-10-16T14:40:00+00:00,73.255,73.255,72.93,72.93,21773,1729089899999,2024-10-16T14:44:59.999000+00:00,,214,,
TECH,5m,1729089900000,2024-10-16T14:45:00+00:00,72.96,72.96,72.74,72.77,1267,1729090199999,2024-10-16T14:49:59.999000+00:00,,61,,
TECH,5m,1729090200000,2024-10-16T14:50:00+00:00,72.84,72.95,72.82,72.95,1512,1729090499999,2024-10-16T14:54:59.999000+00:00,,71,,
TECH,5m,1729090500000,2024-10-16T14:55:00+00:00,72.83,72.83,72.5,72.62,5154,1729090799999,2024-10-16T14:59:59.999000+00:00,,135,,
TECH,5m,1729090800000,2024-10-16T15:00:00+00:00,72.62,72.62,72.06,72.09,9153,1729091099999,2024-10-16T15:04:59.999000+00:00,,190,,
TECH,5m,1729091100000,2024-10-16T15:05:00+00:00,72.06,72.1705,72.06,72.09,2295,1729091399999,2024-10-16T15:09:59.999000+00:00,,80,,
TECH,5m,1729091400000,2024-10-16T15:10:00+00:00,72.185,72.195,72.08,72.09,2616,1729091699999,2024-10-16T15:14:59.999000+00:00,,123,,
TECH,5m,1729091700000,2024-10-16T15:15:00+00:00,72.09,72.345,72.08,72.285,7685,1729091999999,2024-10-16T15:19:59.999000+00:00,,205,,
TECH,5m,1729092000000,2024-10-16T15:20:00+00:00,72.295,72.4,72.28,72.4,2873,1729092299999,2024-10-16T15:24:59.999000+00:00,,84,,
TECH,5m,1729092300000,2024-10-16T15:25:00+00:00,72.37,72.37,72.32,72.32,1841,1729092599999,2024-10-16T15:29:59.999000+00:00,,84,,
TECH,5m,1729092600000,2024-10-16T15:30:00+00:00,72.25,72.31,72.23,72.23,2765,1729092899999,2024-10-16T15:34:59.999000+00:00,,103,,
TECH,5m,1729092900000,2024-10-16T15:35:00+00:00,72.265,72.33,72.265,72.33,1015,1729093199999,2024-10-16T15:39:59.999000+00:00,,39,,
TECH,5m,1729093200000,2024-10-16T15:40:00+00:00,72.285,72.42,72.285,72.335,7186,1729093499999,2024-10-16T15:44:59.999000+00:00,,152,,
TECH,5m,1729093500000,2024-10-16T15:45:00+00:00,72.36,72.39,72.3416,72.355,1950,1729093799999,2024-10-16T15:49:59.999000+00:00,,52,,
TECH,5m,1729093800000,2024-10-16T15:50:00+00:00,72.355,72.355,72.355,72.355,442,1729094099999,2024-10-16T15:54:59.999000+00:00,,17,,
TECH,5m,1729094100000,2024-10-16T15:55:00+00:00,72.31,72.38,72.3,72.37,2250,1729094399999,2024-10-16T15:59:59.999000+00:00,,94,,
