symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
XYZ,5m,1737450000000,2025-01-21T09:00:00+00:00,87.63,87.63,87.63,87.63,115,1737450299999,2025-01-21T09:04:59.999000+00:00,,1,,
XYZ,5m,1737450300000,2025-01-21T09:05:00+00:00,87.63,87.63,87.63,87.63,131,1737450599999,2025-01-21T09:09:59.999000+00:00,,1,,
XYZ,5m,1737452100000,2025-01-21T09:35:00+00:00,87.82,87.82,87.82,87.82,363,1737452399999,2025-01-21T09:39:59.999000+00:00,,1,,
XYZ,5m,1737452400000,2025-01-21T09:40:00+00:00,87.91,87.91,87.91,87.91,204,1737452699999,2025-01-21T09:44:59.999000+00:00,,4,,
XYZ,5m,1737452700000,2025-01-21T09:45:00+00:00,87.91,87.91,87.91,87.91,150,1737452999999,2025-01-21T09:49:59.999000+00:00,,2,,
XYZ,5m,1737453600000,2025-01-21T10:00:00+00:00,87.2,87.2,87.2,87.2,100,1737453899999,2025-01-21T10:04:59.999000+00:00,,1,,
XYZ,5m,1737459000000,2025-01-21T11:30:00+00:00,87,87,87,87,1200,1737459299999,2025-01-21T11:34:59.999000+00:00,,12,,
XYZ,5m,1737461100000,2025-01-21T12:05:00+00:00,87.68,87.68,87.68,87.68,100,1737461399999,2025-01-21T12:09:59.999000+00:00,,1,,
XYZ,5m,1737461400000,2025-01-21T12:10:00+00:00,87.73,87.73,87.73,87.73,100,1737461699999,2025-01-21T12:14:59.999000+00:00,,1,,
XYZ,5m,1737462300000,2025-01-21T12:25:00+00:00,87.82,87.82,87.82,87.82,100,1737462599999,2025-01-21T12:29:59.999000+00:00,,1,,
XYZ,5m,1737462600000,2025-01-21T12:30:00+00:00,87.83,87.83,87.8,87.8,510,1737462899999,2025-01-21T12:34:59.999000+00:00,,8,,
XYZ,5m,1737463800000,2025-01-21T12:50:00+00:00,87.9,87.9,87.9,87.9,106,1737464099999,2025-01-21T12:54:59.999000+00:00,,3,,
XYZ,5m,1737464400000,2025-01-21T13:00:00+00:00,88,88,87.78,87.97,1127,1737464699999,2025-01-21T13:04:59.999000+00:00,,17,,
XYZ,5m,1737464700000,2025-01-21T13:05:00+00:00,87.9732,87.9732,87.9704,87.9704,1009,1737464999999,2025-01-21T13:09:59.999000+00:00,,3,,
XYZ,5m,1737465600000,2025-01-21T13:20:00+00:00,88.06,88.1,88.06,88.1,322,1737465899999,2025-01-21T13:24:59.999000+00:00,,8,,
XYZ,5m,1737465900000,2025-01-21T13:25:00+00:00,88.25,88.25,88.24,88.24,326,1737466199999,2025-01-21T13:29:59.999000+00:00,,7,,
XYZ,5m,1737466500000,2025-01-21T13:35:00+00:00,88.1,88.1,88.1,88.1,101,1737466799999,2025-01-21T13:39:59.999000+00:00,,2,,
XYZ,5m,1737467100000,2025-01-21T13:45:00+00:00,88.2,88.2,88.2,88.2,106,1737467399999,2025-01-21T13:49:59.999000+00:00,,2,,
XYZ,5m,1737467400000,2025-01-21T13:50:00+00:00,88.07,88.1,88.07,88.1,1183,1737467699999,2025-01-21T13:54:59.999000+00:00,,5,,
XYZ,5m,1737467700000,2025-01-21T13:55:00+00:00,88.12,88.15,88.12,88.15,653,1737467999999,2025-01-21T13:59:59.999000+00:00,,4,,
XYZ,5m,1737468000000,2025-01-21T14:00:00+00:00,88.28,88.5,88.28,88.5,211,1737468299999,2025-01-21T14:04:59.999000+00:00,,3,,
XYZ,5m,1737468600000,2025-01-21T14:10:00+00:00,88.0998,88.18,88.0998,88.18,608,1737468899999,2025-01-21T14:14:59.999000+00:00,,6,,
XYZ,5m,1737469200000,2025-01-21T14:20:00+00:00,88.11,88.11,88.09,88.09,1170,1737469499999,2025-01-21T14:24:59.999000+00:00,,19,,
XYZ,5m,1737469500000,2025-01-21T14:25:00+00:00,88.14,88.22,88.064,88.22,1108,1737469799999,2025-01-21T14:29:59.999000+00:00,,12,,
XYZ,5m,1737469800000,2025-01-21T14:30:00+00:00,88.06,89.57,87.63,88.585,154908,1737470099999,2025-01-21T14:34:59.999000+00:00,,1365,,
